title,company,location,date,url,department,workplace_type,source,description,position_type
איש.ת אחזקה (חשמלאי.ת מוסמך.ת),מכללת אפקה,תל אביב,2026-06-21,https://campaign.adamtotal.co.il?d=a321dksvWipRXeWkyh5I%2fw%3d%3d,admin_staff,onsite,afeka,"תיאור תפקיד: טיפול בנושאי חשמל טיפול בנושא תחזוקה, ליקויים במבנים  ותפעול שוטף. אחריות על ביצוע עבודות לפי צרכים משתנים כולל אספקת ציוד ועוד. סיפוק עזרה בהקמת אירועים וכנסים. עבודה שוטפת עם קבלני שירות חיצוניים. דרישות התפקיד: רישיון חשמלאי.ת מוסמך.ת – חובה. נסיון בעבודות חשמל ובעבודת אחזקה. תודעת שירות גבוהה. יכולת עבודה בעומס. יכולת עבודה בצוות והתנהלות באופן עצמאי. נכונות לעבוד שעות נוספות ולעיתים בשעות לא שגרתיות במידת הצורך (התפקיד כולל תורנויות) הכרת מחשב ברמת Excel, Outlook, מערכות ממוחשבות לבקרת מבנה- יתרון. להגשת קורות חיים",
רכז.ת סושיאל,מכללת אפקה,תל אביב,2026-06-21,https://campaign.adamtotal.co.il/?d=%2fFmxv4KECFnLiP857d4ylA%3d%3d,admin_staff,onsite,afeka,"מכללת אפקה מחפשת מנהל.ת סושיאל יצירתי.ת, שמבין.ה תרבות דיגיטלית, יודע.ת לספר סיפורים ולהפוך רגעים מהקמפוס לתוכן שמייצר עניין, מעורבות וגאוות יחידה. זהו תפקיד hands-on למי שחי.ה רשתות חברתיות, יודע.ת לזהות טרנדים בזמן אמת ולתרגם אותם לתוכן חכם ורלוונטי לקהלי יעד צעירים ואקדמיים. תיאור התפקיד: תקשור תכני המכללה בכל פלטפורמות הסושיאל - מטא, לינקדאין, יוטיוב, טיקטוק. ניהול hands-on של כלל הפלטפורמות של המכללה. יצירת תוכן מעולה 360 - קריאייטיב, צילום, עריכה והפצה. צילום וסיקור אירועי המכללה לטובת הנכסים הדיגיטלים. הפקת ימי צילום לתוכן מקורי – פודקאסטים, ראיונות, סיפורי סטודנטים וסגל. עבודה שוטפת מול מחלקות על קמפיינים ומהלכי תוכן. זיהוי טרנדים, יצירת פורמטים חדשים והובלת יוזמות תוכן ברשתות. דרישות התפקיד: ניסיון של כשנתיים ויצירת תוכן וניהול סושיאל. חיבור חזק לעולמות הסושיאל והיכרות עם טרנדים ו",
איש.ת אחזקה,מכללת אפקה,תל אביב,2026-06-21,https://campaign.adamtotal.co.il?d=nUYk1f1IQYrajfDvWhtXoQ%3d%3d,admin_staff,onsite,afeka,"תיאור התפקיד: טיפול בפניות בנושא תחזוקה, ליקויים במבנים, ואספקת ציוד. כולל: אחריות לאבחון, איתור תקלות וטיפולן . תחזוקה שוטפת ומונעת . עבודות אינסטלציה, גבס, שפכטל, צבע, פרזול ועוד . תיקונים והתקנות ריצוף וחיפוי עפ""י צורך. אחריות על ביצוע עבודות לפי צרכים משתנים, כגון העברת עמדות עבודה, אספקת ציוד ועוד . הקמת אירועים וכנסים . עבודה שוטפת עם קבלני שירות חיצוניים . דרישות : ניסיון בעבודת אחזקה - חובה. נכונות לעבודה בכוננות סופ""ש (כולל שבת וחגים) ושעות נוספות - חובה. תודעת שירות גבוהה . יכולת עבודה בעומס. יכולת עבודה בצוות והתנהלות באופן עצמאי. הכרת מערכות מחשב ברמת Excel, Outlook , מערכות ממוחשבות לבקרת מבנה . להגשת קורות חיים",
איש.ת אחזקה וטכנאי.ת מחשוב,מכללת אפקה,תל אביב,2026-06-21,https://campaign.adamtotal.co.il?d=%2fOxMIgkhARpAG%2biv47hUqg%3d%3d,admin_staff,onsite,afeka,"תיאור המשרה: טיפול בפניות תחזוקה וליקויים במבנים עבודות תחזוקה שוטפת ומונעת עבודות אינסטלציה, צבע, גבס, פרזול ותיקונים שונים העברת עמדות עבודה ואספקת ציוד תמיכה טכנית לעובדי המכללה בכיתות ובמשרדים טיפול בתקלות חומרה, תוכנה ורשת בדיקות ציוד מולטימדיה בחדרי לימוד וישיבות טיפול במדפסות, סורקים וטלפונים דרישות התפקיד : ניסיון קודם בתחום האחזקה – חובה. אוריינטציה טכנולוגית וידע בסיסי במחשבים – חובה. היכרות עם Outlook, Excel ומערכות ממוחשבות – חובה. זמינות למשרה מלאה ומשמרת ערב אחת בשבוע – חובה. נכונות לשעות נוספות. שירותיות גבוהה ויכולת עבודה בצוות. אחריות, סדר ויכולת עבודה עצמאית. להגשת קרות חיים",
"אחראי/ת יחידה למעורבות חברתית במכללת אפקה (החלפה לחל""ד)",מכללת אפקה,תל אביב,2026-06-23,https://campaign.adamtotal.co.il/?d=1Og1QZIDV2teAqL4sXHQ0A%3d%3d,admin_staff,onsite,afeka,"מחפש/ת תפקיד עם משמעות, עשייה חברתית והשפעה על חיי הסטודנטים? הצטרפ/י אלינו למכללת אפקה לתפקיד מגוון ומאתגר בתחום המעורבות החברתית והמלגות. תחומי אחריות : ניהול תחום המלגות על בסיס מעורבות חברתית במכללה אחריות על תחום האחריות החברתית לצורך קבלת נקודות זכות אקדמיות ניהול קשרים ושיתופי פעולה עם עמותות וגופים חיצוניים (אייסף, אימפקט ועוד) גיוס, ליווי וביצוע ראיונות לסטודנטים המגישים מועמדות למלגות הובלה וניהול פרויקטים חברתיים, ביניהם תוכנית ""חוויה בהנדסה"" לקידום תלמידים מאזורי פריפריה דרישות התפקיד : תואר ראשון - חובה אהבה לעבודה עם סטודנטים ורצון לסייע ולהשפיע יחסי אנוש מעולים, אמפתיה, קשב ורגישות סדר, ארגון ויכולת עבודה מדויקת שליטה טובה ב-Excel יכולת לנהל מספר פרויקטים במקביל יכולות שיווק, גיוס והנעת תהליכים 📅 משרה זמנית - החלפה לחופשת לידה להגשת קורות חיים",maternity_cover
רכז.ת לוגיסטיקה,מכללת אפקה,תל אביב,2026-06-21,https://campaign.adamtotal.co.il?d=vK%2fhbf1KuZO5u%2fdA7oZyQQ%3d%3d,admin_staff,onsite,afeka,"תיאור תפקיד: ניהול ומעקב אחר תקציבי המחלקה ודוחות שוטפים ותקופתיים. אחריות על רכש ומלאי: הכנת דרישות רכש, בדיקת חשבוניות, חלוקת ציוד ומעקב אחר הגעת מוצרים. ניהול קשר עם ספקים, טיפול בתקלות ואישור חשבוניות. התקשרות ומעקב אחר חברות ניקיון ושמירה. ריכוז מערכות ולוגיסטיקה במחלקה: תיאום ביצוע, מעקב אחר ביקורות, אישורים ודוחות תקופתיים. דרישות התפקיד: תואר ראשון/ לימודי תעודה- חובה. התמצאות גבוהה באקסל- חובה. ידע בתוכנת פריוריטי או  SAP - יתרון. אוריינטציה אנליטית וחישובית. יכולת ניסוח וכושר ביטוי טובים בכתב ובע""פ. יכולת עבודה במצב של ריבוי משימות במגוון נושאים ובזמני לחץ. להגשת קורות חיים",
הנדסאי.ת/מהנדס.ת תפעול מעבדות מכאניות,מכללת אפקה,תל אביב,2026-06-21,https://campaign.adamtotal.co.il?d=1RjM8HqXdiEmx9n70hI9Og%3d%3d,admin_staff,onsite,afeka,"תיאור התפקיד: למכללת אפקה, המכללה האקדמית להכשרת מהנדסים בישראל, דרוש.ה הנדסאי.ת או מהנדס.ת מכונות לתפקיד תפעול ותחזוקת המעבדות המכאניות . אחריות על תקינות, זמינות ותחזוקת המעבדות המכאניות לצורכי הוראה ולימודים. טיפול בציוד מעבדה, מכשירי מדידה, מחשבים, תשתיות ואביזרי עזר. הכנת המעבדות בהתאם לתוכנית הלימודים ומעקב אחר פתיחה ונעילה. ניהול והכנת מלאי חומרים ודגמים בהתאם לנהלי בטיחות. ריכוז ואפיון דרישות רכש בהתאם לצרכים האקדמיים. הכנת והפצת הוראות שימוש ובטיחות לציוד ולמכשור. הקמה ושדרוג של מעבדות מכאניות חדשות. עבודה מול טכנאים וספקים חיצוניים. תמיכה בסגל אקדמי, סטודנטים ופרויקטי גמר. סיוע בפיתוח והטמעת ניסויים חדשים. משרה מלאה בימים א-ה בשעות 8:00 עד 17:00 (משמרת ערב 12:00 עד 21:00 אחת לשבוע). דרישות התפקיד: תואר הנדסאי.ת או מהנדס.ת מכונות ממוסד מוכר – חובה. ניסיון מקצועי : ניסיון בעבודה עם",
טכנאי.ת שליטה ובקרה,מכללת אפקה,תל אביב,2026-06-21,https://campaign.adamtotal.co.il?d=Qjuv0IYDJHCe5zyMshK5WQ%3d%3d,admin_staff,onsite,afeka,"היקף משרה: משרה מלאה במשמרות 07:00-16:00; 14:00-23:00 וימי שישי לפי הצורך (08:00-13:00) אחת לחודש בממוצע. תיאור המשרה : קו ראשון לתקלות כיתה ומשרדים. מתן שירות ותמיכה לכלל עובדי המכללה אופן פרונטלי, טלפוני ובאמצעות השתלטות מרחוק. אפיון ופתרון תקלות בנושא חומרה, תוכנה ורשת. בדיקה יומית של ציוד המולטימדיה בכיתות ובחדרי הישיבות. טיפול בציוד קצה כגון מדפסות, סורקים וטלפונים. הדרכת משתמשי קצה. דרישות התפקיד : שליטה ביישומי office ידע ושליטה בתפעול ובפתרון תקלות, התקנת מערכות הפעלה win10, win11 על גבי מחשבים ניידים ונייחים. שליטה בציוד קצה כגון מדפסות, סורקים וטלפוניה. ידע בסיסי ב-exchange וב- active directory ידע בסיסי ברשתות ובציוד אור-קולי. תודעת שירות גבוהה ויחסי אנוש מעולים. יכולת עבודה תחת לחץ. להגשת קורות חיים",
טכנאי.ת תמיכה ושירות (HELP DESK),מכללת אפקה,תל אביב,2026-06-21,https://campaign.adamtotal.co.il?d=BbGJVLl5YxyIrY2PjZHNRw%3d%3d,admin_staff,onsite,afeka,"תיאור התפקיד: אחריות על מתן תמיכה טכנית שוטפת למשתמשי הארגון, טיפול בתקלות מחשוב, חומרה, תוכנה וציוד קצה. תחומי אחריות עיקריים: תמיכה טכנית במשתמשי קצה ומתן מענה לתקלות שוטפות מרחוק ופרונטלית. התקנה, הגדרה וטיפול בציוד קצה כגון: מדפסות, מצלמות, סורקים ומקרנים. טיפול בתקלות חומרה, תוכנה ורשת. התקנת אימאג'ים ופריסת עמדות מחשב. ניהול וטיפול בהרשאות משתמשים. טיפול בתקלות מערכת הפעלה Windows 11. עבודה במערכת קריאות (Sysaid) ומול מערכות מחשוב ארגוניות שונות. דרישות : ניסיון קודם בתחום ה-IT כולל ידע בחומרה ומערכות הפעלה כגון: Win 10 ו-Win 11, Office 365, Active Directory (AD), Exchange. ניסיון עם תוכנות שליטה מרחוק, מתן תמיכה טכנית טלפונית ושירות למשתמשים. שליטה מלאה בתפעול תקלות והתקנות מחשבים ניידים ונייחים כולל חומרה. היכרות עם סביבת עבודה VDI. ניסיון בעבודה עם מרכזיית IP - יתרון. היכרות עם SC",
Teaching Position in the School of Software Engineering,מכללת אפקה,תל אביב,2026-06-21,https://www.afeka.ac.il/about-afeka/general-information/jobs/,academic_faculty,onsite,afeka,"Description: The School of Software Engineering at Afeka Tel Aviv Academic College of Engineering requires lecturers in the field of Formal modeling and verification of software systems. Responsibilities: Teaching: Develop and deliver courses in the field of Formal modeling and verification of software systems. Support and guide students in seminars, final and research projects. Research: Manage research activities in relevant fields. Publish articles in leading scientific journals. Foster research collaborations with institutions in Israel and abroad. Management and organization: Contribute to the development of innovative and up-to-date curricula. Actively participate in the organizational activities of the school/unit, such as academic committees and more. Contribute to positioning the ",
