title,company,location,department,description,url,date_posted,first_seen,source
איש/אשת צוות גבייה,איילון,רמת גן,בק אופיס ותפעול,"הגדרת התפקיד: o טיפול בהעברות בנקאיות o טיפול בסגירת קופות o עבודה שוטפת מול צוות ממשק מעסיקים o טיפול בהלוואות למבוטחי החברה o טיפול בפיגורים וגבייה קשה o מעקב וטיפול שוטף מול עו""ד חיצוני דרישות התפקיד: o ניסיון בגבייה מחברת ביטוח – יתרון משמעותי o שליטה ב-EXCEL – חובה o יכולת עבודה עצמאית לצד עבודת צוות . o סדר ודיוק ויכולת עבודה תחת לחץ o ראש גדול, אחראי/ת o תודעת שירות גבוהה",https://www.ayalon-ins.co.il/career/jobs/2034,2026-07-01,2026-07-01,ayalon
חתם/ת עסקים למחוז מרכז תל אביב,איילון,רמת גן,חיתום,"הגדרת התפקיד: o אחריות על תהליכי החיתום מול סוכנים בתחום העסקי o טיפול בחידושים ועדכוני פוליסות בתחום העסקי o יצירת קשר ומתן שירות לסוכני הביטוח דרישות התפקיד: o לפחות שנתיים ניסיון בתחום חיתום עסקים - חובה o יכולת ניהול מו""מ וקידום מכירות - חובה o ניסיון עבודה מול סוכנים מובילים o שירותיות, מקצועיות ויחסי אנוש טובים o יכולת עבודה בצוות ועמידה בעבודה מרובת משימות o שליטה מלאה ביישומי ה-OFFICE",https://www.ayalon-ins.co.il/career/jobs/2033,2026-07-01,2026-07-01,ayalon
רכז/ת שיווק דיגיטלי,איילון,רמת גן,מטה ואדמינסטרציה,"הגדרת התפקיד: o ניהול ועדכון שוטף של נכסים דיגיטליים, לרבות הזנת תכנים וניהול אתרי אינטרנט o הפקה, העלאה וניהול של תוכן דיגיטלי (סרטונים, כתבות תוכן ועוד) o ניהול קמפיינים שיווקיים במערכות דיוור (מיילים, ניוזלטרים, SMS וכד') o עבודה שוטפת מול משרדי פרסום לצורך ניהול, בקרה ומעקב אחר קמפיינים דיגיטליים o פעילות וניהול נוכחות במדיה הדיגיטלית וברשתות החברתיות (Meta, Google, LinkedIn) o שיפור חוויית משתמש בממשקים דיגיטליים o בחינה ואפיון UI/UX לצורך הנעת משתמשים לפעולה דרישות התפקיד: o ניסיון בעבודה עם מערכות ניהול תוכן (יתרון ל־Umbraco ) o ניסיון בהזנת תכנים וניהול אתרי אינטרנט o היכרות עם עולמות ה־SEO והבנה בקידום אורגני של אתרים o ניסיון בעבודה עם מערכות דיוור שיווקי o ניסיון בעולמות המדיה הדיגיטלית והרשתות החברתיות o יכולת ניהול ומעקב אחר קמפיינים דיגיטליים o היכרות עם עקרונות אפיון חוויית משתמש (UI/UX) o יכולת עבודה עצמאית ובצוות, ניהול משימות מרובות ועבודה תחת לחץ o סדר וארגון, ירידה לפרטים לצד חשיבה יצירתית ויוזמה o יכולת כתיבה וניסוח ברמה גבוהה o יכולת עבודה על ריבוי משימות",https://www.ayalon-ins.co.il/career/jobs/2029,2026-07-01,2026-07-01,ayalon
עוזר/ת חשב/ת ביטוח חיים,איילון,רמת גן,פיננסים השקעות ושוק ההון,"הגדרת התפקיד: o סיוע בהכנת דוחות כספיים – עבודה כחלק מצוות החשבות של החברה. o ביצוע דיווח כספי שוטף בהתאם לדרישות הרגולציה. o ניתוח נתונים פיננסיים ועבודה עם מאגרי מידע גדולים. o עבודה מול ממשקים רבים בארגון. דרישות התפקיד: o רו""ח מוסמך – חובה. o אוריינטציה טכנולוגית ויכולת עבודה עם מסדי נתונים גדולים., שליטה באקסל o ניסיון בתחום הביטוח – יתרון משמעותי. o היכרות עם תקן IFRS17 – יתרון משמעותי. o דיוק, סדר וארגון ונכונות לעבודה בסביבה דינמית ומרובת משימות.",https://www.ayalon-ins.co.il/career/jobs/2027,2026-07-01,2026-07-01,ayalon
סוכנות נכונים - נציג/ת שירות לקוחות - ביטוחי רכב ודירה,איילון,חולון,שירות לקוחות שימור ומכירות,הגדרת התפקיד: o נכונים – סוכנות ביטוח מקבוצת איילון ביטוח o מתן מענה טלפוני ללקוחות בתחום הרכב והדירה o משרה מלאה- שעות עבודה 8:15-17:00 או 7:45-16:30 וימי שישי לסירוגין וערבי חג עד השעה 12:30. o עבודה ממשרדי החברה במרכז עזריאלי חולון דרישות התפקיד: o תודעת שירות גבוהה o נכונות לעבודה במשרה מלאה o עבודה בסביבה ממוחשבת,https://www.ayalon-ins.co.il/career/jobs/2025,2026-07-01,2026-07-01,ayalon
סוכנות נכונים-נציג.ת מכירות דירה,איילון,חולון,שירות לקוחות שימור ומכירות,הגדרת התפקיד: הוצאת שיחות ללקוחות קיימים שרכשו ביטוח רכב ומתן הצעה לרכישת פוליסת ביטוח דירה לידים חמים ללקוחות קיימים ומועדני לקוחות. דרישות התפקיד: תודעת שירות ומכירה גבוהה - יכולה לניהול משא ומתן ניסיון במכירות טלפוניות -יתרון משמעותי הכשרה מקצועית מלאה על חשבון החברה מיקום המשרה -חולון,https://www.ayalon-ins.co.il/career/jobs/2023,2026-07-01,2026-07-01,ayalon
אחראי/ת פרויקט גמל,איילון,רמת גן,בק אופיס ותפעול,"תיאור התפקיד: o ניהול כולל של תחום הגמל – תהליכים, בקרה ושיפור. o מתן מענה מקצועי לצוותי התפעול לסוכנים. o עבודה צמודה עם ממשקים פנימיים (מערכות מידע, שירות וכיוצא וכדומה) דרישות התפקיד: o ניסיון בתחום הגמל – חובה o ניסיון בעבודה מול סוכנים – חובה o ניסיון בניהול תהליכים או פרויקטים – יתרון משמעותי o יכולת עבודה מול ספקים חיצוניים וניהול ממשקים. o יכולת הובלה והנעה של תהליכים o יחסי אנוש מצוינים ושירותיות גבוהה",https://www.ayalon-ins.co.il/career/jobs/2020,2026-07-01,2026-07-01,ayalon
רפרנט/ית קשרי ספקים,איילון,רמת גן,בק אופיס ותפעול,"הגדרת התפקיד: o תמיכה בתפעול מערך הספקים של מחלקת התביעות o מענה לשאולת ספקי בריאות (בתי חולים/רופאים/עו""ד) o ביצוע תשלומים לספקים ובדיקת חובות ויתרות זכות דרישות התפקיד: o רקע בתחום הביטוח – יתרון o יכולת קריאה והבנה של הסכמים o דיוק ותשומת לב לפרטים o תודעת שירות גבוהה",https://www.ayalon-ins.co.il/career/jobs/2019,2026-07-01,2026-07-01,ayalon
מנהל/ת תיק לקוח-שימור,איילון,רמת גן,שירות לקוחות שימור ומכירות,"הגדרת התפקיד: עבודה בצוות מקצועי של כ-10 מנהלי תיק לקוחות שימור לקוחות טלפוני בשיחות יוצאות בתחום ביטוחי בריאות החיים דרישות התפקיד: ניסיון בשימור/מכירות מעולם הביטוח בתחום בריאות / חיים - חובה הכרת מוצרי ביטוח מעולם הבריאות / חיים - חובה רמה אישית גבוהה, יכולת מכירה ושיווק, יכולת שכנוע, הבנת צרכי הלקוח, נכונות לעבודת צוות, יכולת לעבודה עצמאית",https://www.ayalon-ins.co.il/career/jobs/2013,2026-07-01,2026-07-01,ayalon
"רכז/ת תפעול מכירות במחלקת חא""ט",איילון,רמת גן,בק אופיס ותפעול,"הגדרת התפקיד: תמיכה אדמיניסטרטיבית ותפעולית לצוות המכירות ולמפקחים. שליפת דו""חות בקרה עבודה שוטפת מול מפקחים דרישות התפקיד: ניסיון אדמיניסטרטיבי – יתרון משמעותי היכרות עם עולמות הביטוח – חובה יכולת ירידה לפרטים, ראש גדול יכולת עבודה עצמאית",https://www.ayalon-ins.co.il/career/jobs/2010,2026-07-01,2026-07-01,ayalon
