title,company,city,date,url,department,workplace_type,description,requirements
"#198079גוש דן11/6/2026מנהל/ת סושיאל למדור נכסים דיגיטלייםהיקף משרה        100%       

 

   אם אתם חיים ונושמים תוכן, יודעים לזהות טרנד רגע לפני שהוא מתפוצץ, ואוהבים להפוך רעיונות   לתוכן   סושיאל   שמייצר עניין, רגש ופעולה   -   אנחנו רוצים אתכם איתנו  .     

   אוניברסיטת בר  -  אילן מחפשת יוצר/ת תוכ",אוניברסיטת בר-אילן,רמת גן,2026-05-30,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198079,,onsite,":
פיתוח רעיונות, תחקיר, כתיבה ויצירת תוכן מקורי, מעניין ומניע לפעולה
ניהול שוטף של חשבונות הסושיאל
תכנון וביצוע אסטרטגי של התוכן בהתאם ליעדי הארגון
כתיבת פוסטים ועבודה עם המעצבים על ויזואלים
צילום והפקה באופן עצמאי
הפעלת ספקים לצילום והפקה
צילום בשטח ובאולפן, כולל ניהול לוקיישנים, תיאום מול מצולמים ולו""זים
עריכת וידאו מותאמת לפלטפורמות השונות
עבודה עם צוותי תוכן, עיצוב ודיגיטל
בקרה ומדידה של פעילות הסושיאל
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ו",
"#198073גוש דן11/6/2026מרכזת תפעול ובקרת השקעותהיקף משרה        100%      

      תיאור התפקיד:      



 

	    קליטת נתוני הבנקים למערכת ההשקעות ובקרה על הפעולות בחשבונות הבנק    

 

    רישום ובקרת תנועות במערכת ההשקעות   



 

	   

 

    התאמת בנקים והתאמת יתרות למערכת הנהלת החשבונות",אוניברסיטת בר-אילן,רמת גן,2026-05-30,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198073,,onsite,":
קליטת נתוני הבנקים למערכת ההשקעות ובקרה על הפעולות בחשבונות הבנק
רישום ובקרת תנועות במערכת ההשקעות
התאמת בנקים והתאמת יתרות למערכת הנהלת החשבונות
עריכת תזרים מזומנים
ביצוע ממשקים למערכת הנהלת החשבונות
עריכת דוחות ומצגות לוועדת השקעות
עבודה מול בנקים, קרנות השקעה ומחלקות האוניברסיטה
בקרה על עמלות הבנקים
הכנת דיווחים לרגולטור - בנק ישראל, ות""ת ועוד
הכנת חומר לביקורת רו""ח
הפקת דוחות בקרה וניתוחים שונים
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ו",
"#197954גוש דן9/6/2026יועצת סטודנטים במדור תמיכה והנגשההיקף משרה        100%      

      תיאור התפקיד:      



 

	    ריכוז וטיפול בפניות להתאמות של סטודנטים עם מוגבלות    

	    שיחות אישיות עם הסטודנטים לאיתור ומיפוי צרכים    

	    ייעוץ, הכוונה וסיוע בבניית תכנית לימודים מותאמת לסטודנט בתיאום המחלק",אוניברסיטת בר-אילן,רמת גן,2026-05-30,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=197954,,onsite,":
ריכוז וטיפול בפניות להתאמות של סטודנטים עם מוגבלות
שיחות אישיות עם הסטודנטים לאיתור ומיפוי צרכים
ייעוץ, הכוונה וסיוע בבניית תכנית לימודים מותאמת לסטודנט בתיאום המחלקות
ליווי ומעקב אחר הצלחת הסטודנט
קשר שוטף עם עובדי שיקום של המוסד לביטוח לאומי וגורמי הטיפול של הסטודנט
פיתוח והפעלת תוכניות תמיכה ייעודיות עבור סטודנטים עם מוגבלויות
הדרכה לחונכים ולצוותים השונים העובדים עם הסטודנט
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ו",
"#198012גוש דן9/6/2026מרכזת פרויקטים דיגיטליים באגף מנהל ודקן הסטודנטיםהיקף משרה        100%       

 

   למנהל ודקן הסטודנטים דרושה מרכזת פרויקטים עם אוריינטציה טכנולוגית, יכולת הנעה, חשיבה תהליכית ורצון לשפר את חוויית השירות באוניברסיטה  .    

   התפקיד משלב עבודה עם מדורים שונים, מערכות מידע, פרויקטים דיגיטליים ו",אוניברסיטת בר-אילן,רמת גן,2026-05-30,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198012,,onsite,":
ריכוז, שיפור והטמעה של תהליכי עבודה וטכנולוגיה במדורי מנהל ודקן הסטודנטים, לרבות מתן תמיכה רוחבית למדורים השונים.
איסוף צרכים מהשטח, ליווי פיתוחים ושיפורים במערכות קיימות תוך הבנת האתגרים הקיימים, כולל מעקב אחר ביצוע, בדיקות נתונים, הטמעה והדרכת משתמשים
.
עדכון שוטף של אתרי מנהל ודקן הסטודנטים וביצוע עדכונים שונים במערכות האוניברסיטה.
השתתפות בפרויקטים דיגיטליים וביוזמות
AI
, ובחינת פתרונות והטמעת כלים חדשים
.
קידום תהליכים התורמים לשיפור השירות, לייעול העבודה ולחוויית המשתמש של המדורים והסטודנטים.
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ו",
"#198048גוש דן9/6/2026מתאמת סגל ומחקר בפקולטה לרפואההיקף משרה        100%      

     תיאור התפקיד:     



 

	    ליווי הטיפול במועמדים לתפקידי סגל מחקרי כולל תיאום ביקורים וראיונות     

	    מענה טלפוני ואלקטרוני בפניות חוקרים בפקולטה ובתי חולים מסונפים    

	    תיאום מול בעלי תפקיד וועדות הכפופות",אוניברסיטת בר-אילן,רמת גן,2026-05-30,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198048,,onsite,":
ליווי הטיפול במועמדים לתפקידי סגל מחקרי כולל תיאום ביקורים וראיונות
מענה טלפוני ואלקטרוני בפניות חוקרים בפקולטה ובתי חולים מסונפים
תיאום מול בעלי תפקיד וועדות הכפופות למנהלת המחקר
מעקב וטיפול במשימות שונות ופרויקטים שבאחריות הנהלת המחקר
סיוע בטיפול שוטף בסגל האקדמי בפקולטה ובבתי החולים, במסלולים השונים
מתן מענה וטיפול בבקשות חברי הסגל האקדמי בפקולטה ובבתי החולים, בנושאי שכר, מימוש זכויות ונושאים נוספים.
סיוע בתיאום בין חברי הסגל בפקולטה לגורמים שונים בקמפוס האם.
טיפול במינויים של הסגל הזוטר בפקולטה.
טיפול בתשלומים למרצים אורחים.
סיוע בעדכון שוטף של אתר הפקולטה בנושאים הקשורים לסגל האקדמי.
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ו",
"#198047גוש דן9/6/2026מנהל/ת מעבדה בתחום מדעי המוח והאוטיזם בפקולטה לרפואההיקף משרה        50%      

     תיאור התפקיד:     



 

	    ניהול שוטף של המעבדה ותפעולה.     

	    ביצוע מחקר עצמאי במסגרת הפרויקטים הנחקרים במעבדה.     

	    אחריות על תכנון, ביצוע וניתוח של ניסויים התנהגותיים בעכברים.     

	    אחריות על הקמה,",אוניברסיטת בר-אילן,רמת גן,2026-05-30,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198047,,onsite,":
ניהול שוטף של המעבדה ותפעולה.
ביצוע מחקר עצמאי במסגרת הפרויקטים הנחקרים במעבדה.
אחריות על תכנון, ביצוע וניתוח של ניסויים התנהגותיים בעכברים.
אחריות על הקמה, תחזוקה ותפעול של מערכות
behavioral setups
.
ביצוע ניתוח נתונים התנהגותיים ועיבודם.
ביצוע פרוצדורות כירורגיות בעכברים וטיפול בבעלי חיים בהתאם לנהלים האתיים.
ליווי והכשרת סטודנטים וחוקרים בטכניקות עבודה במעבדה ובמודלים התנהגותיים.
ביצוע הזמנות של חומרי מחקר וציוד למעבדה.
אחריות על תקינות ציוד המעבדה ותחזוקתו השוטפת.
אחריות על הבטיחות במעבדה.
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ו",
"#198045גוש דן9/6/2026ראש יחידת מיקרוסקופיה לתמיכה במחקר ובהוראההיקף משרה        100%      

     תיאור התפקיד:     



 

	    אחריות כוללת על תפעול, תחזוקה וכיול של מיקרוסקופים ומערכות דימות מתקדמות.    

	    הדרכה וליווי חוקרים וסטודנטים בשימוש נכון ובטוח במערכות.    

	    ייעוץ מדעי ותמיכה ניסויית בתכנון, בי",אוניברסיטת בר-אילן,רמת גן,2026-05-30,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198045,,onsite,":
אחריות כוללת על תפעול, תחזוקה וכיול של מיקרוסקופים ומערכות דימות מתקדמות.
הדרכה וליווי חוקרים וסטודנטים בשימוש נכון ובטוח במערכות.
ייעוץ מדעי ותמיכה ניסויית בתכנון, ביצוע וניתוח תוצאות של ניסויים מבוססי מיקרוסקופיה.
פיתוח והטמעה של פרוטוקולים, שיטות עבודה ונהלי בטיחות.
תיאום מול חברות שירות, ספקים ותחזוקה.
הדרכות לשימוש יעיל במשאבים.
השתתפות בפעילות אקדמית ותמיכה בהוראה ובקורסים רלוונטיים.
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ו",
"#198023גוש דן8/6/2026אחראית פעילות מעבדתית של המרכז האוניברסיטאי לנוערהיקף משרה 50%     

     תיאור התפקיד:     



 

	    אחריות מלאה על כלל הפעילות המעבדתית של המרכז האוניברסיטאי לנוער.    

	    תפעול המעבדות על כל היבטיהן: הכנת הציוד, החומרים והתמיסות וכיוצא בזאת, הדרושים לפעילויות המעבדה השונות המתקיימות במרכז ה",אוניברסיטת בר-אילן,רמת גן,2026-05-30,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198023,,onsite,":
אחריות מלאה על כלל הפעילות המעבדתית של המרכז האוניברסיטאי לנוער.
תפעול המעבדות על כל היבטיהן: הכנת הציוד, החומרים והתמיסות וכיוצא בזאת, הדרושים לפעילויות המעבדה השונות המתקיימות במרכז האוניברסיטאי לנוער (במעבדות בבניינים: 202, 211 ו-212).
ניהול הזמנות רכש ואחריות על החומרים והציוד במעבדות
אחריות מלאה על הבטיחות והתחזוקה השוטפת של הציוד
קליטת מדריכים חדשים, ושיבוץ מדריכים לפעילויות השונות.
הדרכת והכשרת מדריכים וסטודנטים בפרטי הניסויים, בהפעלת מערכות הניסוי והציוד.
ניהול צוות מדריכי המעבדות וקביעת נהלי עבודה במעבדות.
פיתוח ניסויים חדשים במגוון דיסציפלינות כגון, כימיה, ביולוגיה, פיזיקה ועוד, בשיתוף צוות המרכז האוניברסיטאי לנוער, המדריכים, והסגל האקדמי של האוניברסיטה.
כתיבת/עריכת פרוטוקולי ניסוי, מצגות, דפי הכנה וכיוצא בזאת.
הפעלה, טיפול ותחזוקת מכשור מדעי במעבדות.
מתן מענה, טלפוני ובמייל,לצוותי הוראה במוסדות החינוך וגופים מוסדיים לשם תיאום פעילויות מדעיות מתאימות.
הקפדה על סדר ניקיון ובטיחות.
חישוב עלויות מול הוצאות של ציוד וחומרים.
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ו",
"#197996גוש דן3/6/2026מתאמת במחלקה לכלכלההיקף משרה 50%     

     תיאור התפקיד:     



 

	    ריכוז אדמיניסטרטיבי של תכנית ב.א. רב תחומי מדעי החברה במחלקה לכלכלה.     

	    שיווק התוכנית למועמדים    

	    טיפול בסטודנטים קיימים    

	    קליטת סגל לתוכנית    

	    בניית מערכת שעות ולוח בח",אוניברסיטת בר-אילן,רמת גן,2026-05-30,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=197996,,onsite,":
ריכוז אדמיניסטרטיבי של תכנית ב.א. רב תחומי מדעי החברה במחלקה לכלכלה.
שיווק התוכנית למועמדים
טיפול בסטודנטים קיימים
קליטת סגל לתוכנית
בניית מערכת שעות ולוח בחינות.
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ו",
"#197965גוש דן31/5/2026הנדסאי/ת מיזוג אווירמשרה מלאה 

תיאור התפקיד   :    



 

	     טיפול     ותיקון     תקלות     במערכות     מיזוג     אויר,     יטא    ""    ות     (יחידות     טיפול     אויר), מפוחי     נחשון     וצ    '    ילרים     

	     טיפול     ותיקון     תקלות     במפוחי",אוניברסיטת בר-אילן,רמת גן,2026-05-30,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=197965,,onsite,":
טיפול
ותיקון
תקלות
במערכות
מיזוג
אויר,
יטא
""
ות
(יחידות
טיפול
אויר), מפוחי
נחשון
וצ
'
ילרים
טיפול
ותיקון
תקלות
במפוחי
אויר
טיפול
וביקורת
כל
יחידות
מיזוג
אויר
מהצ
'
ילרים
עד
ליחידות
קצה
(קרי
,
חדרים
/
אולמות)
עבודת
צוות
עם
קבלני
חוץ, וסיוע
להם
תיקון
וטיפול
בדוודי
הסקה
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ו",
