title,company,location,url,date,deadline,department,email
משרת השגחה על בחינות,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/pensioners/,2026-04-27,,pensioners,examunit@bgu.ac.il
אחראי/ת על קליטת תיזות ודיסרטציות דיגיטליות בספריית ארן,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/pensioners/,2026-04-27,,pensioners,igeller@bgu.ac.il
"פנסיונר/ית לתפקיד טיפול בדו""חות נסיעה של סגל האוניברסיטה",אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/pensioners/,2026-04-27,,pensioners,balag@bgu.ac.il
דרוש/ה פאבריקטור/ית – פיתוח והרצת תהליכי ננופאברקציה,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/pensioners/,2026-04-27,,pensioners,golaner@bgu.ac.il
מייעצ.ת - מדור חשבונות סטודנטים - מחלקת מנהל תלמידים,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/pensioners/,2026-04-27,,pensioners,ornab@bgu.ac.il
דרוש/ה מתאמ/ת מחקר ליחידת המחקר של היחידה למחלות זיהומיות ילדים,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/additional-jobs-administrative-and-technical-staff/,2026-04-27,,admin,orliz@bgu.ac.il
מנהל/ת שיווק ופיתוח עסקי למעבדת NUR,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/additional-jobs-administrative-and-technical-staff/,2026-04-27,,admin,
רכז/ת אדמיניסטרטיבי/ת,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/additional-jobs-administrative-and-technical-staff/,2026-04-27,,admin,hayuns@bgu.ac.il
רכז.ת הערכה ומדידה- היחידה לקידום איכות ההוראה והלמידה,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/additional-jobs-administrative-and-technical-staff/,2026-04-27,,admin,michaler@bgu.ac.il
טכנאי/ת מערך מדידות ייחודי ומקיף בחוות הניסויים משאש שבצומת הנגב,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/additional-jobs-administrative-and-technical-staff/,2026-04-27,,admin,agam@bgu.ac.il
