title,company,location,date,url,department,workplace_type,source,description,position_type
אחראי/ת דיגיטל (החלפה לחופשת לידה),מכללת אורט בראודה,כרמיאל,2026-06-21,https://w3.braude.ac.il/about/jobs/,admin_staff,onsite,braude,"למחלקת שיווק תכולת התפקיד: בניית קמפיינים בדפי נחיתה עריכת תוכן ופרויקטים באתר המכללה עיצוב תוכן גרפי מותאם לצרכי השיווק עיצוב ופרסום תכנים לרשתות החברתיות עיצוב וכתיבת תוכן לדיוור – E-Mail Marketing ניהול מסרים שיווקיים בפורטל הארגוני סיוע למנהלת השיווק בפרויקטים של המחלקה השכלה וקורסים: תואר אקדמי רלוונטי המוכר על ידי המל""ג כישורים וניסיון נדרשים: היכרות ושליטה במדיות החברתיות וטרנדים חדשים בתחום ידע והבנה שיווקית יכולות עיצוב גרפיות וניסיון בעבודה עם תוכנות עיצוב היכרות עם מערכת WordPress – יתרון שליטה בתוכנות Office יכולת למידה ועבודה עצמית יצירתיות וחשיבה מחוץ לקופסה יחסי אנוש מצוינים יכולת ניסוח גבוהה בכתב ובעל פה היקף משרה: 100% משרה הערות: החלפה לחופשת לידה. זמינות החל מחודש יולי קורות חיים יש לשלוח אל מחלקת משאבי אנוש לדואר אלקטרוני jobscv@braude.ac.il",maternity_cover
יועץ/ת לימודים (החלפה לחופשת לידה),מכללת אורט בראודה,כרמיאל,2026-06-21,https://w3.braude.ac.il/about/jobs/,admin_staff,onsite,braude,"למחלקת שיווק – מרכז מידע תכולת התפקיד: ייעוץ והכוונה מועמדים לתוכניות הלימודים הנלמדות במכללה שיווק ומכירה (בעיקר טלפוני) של תוכניות הלימודים בדיקת התאמתו של המועמד לתנאי הרישום המחלקתיים תיאומי פגישות ייעוץ במכינה ומול היועצים האקדמיים במחלקות ניהול מעקב אחר מתעניינים עד להרשמתם ליווי אישי של מועמדים לאורך תהליך ההרשמה, כולל סיוע בהרשמה המקוונת ייצוג המכללה בימים פתוחים, ירידי לימודים ואירועים שיווקיים נוספים זיהוי יוזמות, פרויקטים ואירועים בקמפוס הראויים לחשיפה במדי החברתיות סיוע למחלקת השיווק בצרכים שיווקיים נוספים השכלה וקורסים: תואר ראשון ממוסד אקדמי מוכר על ידי המל""ג/ תעודת הנדסאי/ת – יתרון כישורים וניסיון נדרשים: רקע/ ניסיון במכירות/ שירות לקוחות/ שיווק כישורי תקשורת בין-אישית גבוהים ויכולת שכנוע אוריינטציה מכירתית ויכולת עבודה עצמאית ובצוות שליטה מלאה ביישומי Office ויתרון לניסיון בעבודה עם מערכות CRM זיקה לעולמות הדיגיטל והרשתות החברתיות יכולת צילום ויצירת תכנים שיווקיים מהשטח – יתרון נכונות לעבודה בשעות אחר הצוהריים בהתאם לצורכי המכללה היקף משרה: 100% משרה. נכונות לעבודה בשעו",maternity_cover
עוזר/ת ראש יחידה (החלפה לחופשת לידה),מכללת אורט בראודה,כרמיאל,2026-06-21,https://w3.braude.ac.il/about/jobs/,admin_staff,onsite,braude,"ליחידה לאנגלית תכולת התפקיד: מתן שירות לסגל ולראש המחלקה מתן שרות וטיפול בבקשות/ פניות של סטודנטים ובוגרים כתיבה וטיפול בנהלים פנימיים של המחלקה תכנון ושיבוץ תעסוקת מרצים וניהול קבוצות לימוד, טיפול באילוצי מרצים ובקשות להוראת קורסים, עדכון תעסוקה במערכת הגלבוע טיפול בשנתון ובידיעון טיפול בתנאי קדם עדכון סילבוסים במערכות טיפול בהזמנות רכש של המחלקה השכלה וקורסים: תואר ראשון ממוסד אקדמי מוכר על ידי המל""ג כישורים וניסיון נדרשים: שליטה מלאה ביישומי Office – Word, Excel, PowerPoint, Outlook כושר התנסחות בכתב ובעל פה באנגלית ובעברית ברמה גבוהה תודעת שירות גבוהה אמפטיה, יכולת הקשבה וגישה סבלנית ומכבדת תפקוד יעיל בתנאי לחץ ועומס סדר, כושר ארגון, יכולת עבודה עצמאית יכולת למידה מהירה יכולת השתלבות בצוות ניסיון קודם בניהול משרד היקף משרה: 100% משרה – החלפה לחופשת לידה הערות: זמינות מיידית קורות חיים יש לשלוח אל מחלקת משאבי אנוש לדואר אלקטרוני jobscv@braude.ac.il",maternity_cover
אחראי/ת מעבדות הוראה ומחקר,מכללת אורט בראודה,כרמיאל,2026-06-21,https://w3.braude.ac.il/about/jobs/,admin_staff,onsite,braude,"למחלקות הנדסת תוכנה והנדסת תעשייה וניהול תכולת התפקיד: אפיון, תכנון, רכש, הקמה וניהול שוטף של מעבדות ייעודיות (כגון: מעבדת big data, מעבדת תקשורת, מעבדת Linux, מעבדת VR וכו') בהתאם לצרכי המחקר וההוראה של המחלקות להנדסת תוכנה והנדסת תעשייה וניהול בחירה, התקנה וקינפוג של כלי עזר ממוחשבים עבור סגל המרצים ולצורך הקמת סביבות מחקר וסביבות הפעלה ובדיקה לפרויקטים של חוקרים וסטודנטים מנהל תמיכה (System Administrator) והפעלת ציוד מעבדה מגוון הנדרש לקידום פרויקטים לסגל ולסטודנטים אחראי לתקינות ובניה של ציוד למעבדות וקידום פרויקטים במחלקות התקנה וכוונון של מערכות, תת ,Windows Android, Linux, Unix, Mac OS בסביבת VMware תכנות והפעלת סקריפטים ב- Linux, Unix, Mac OS תחזוקה שוטפת של ציוד מעבדות המחקר וההוראה הייעודיות של המחלקות סיוע טכני לסגל ההוראה בהתאם לצרכי הקורסים השונים, כולל סיוע למרצים בהתקנת והטמעת טכנולוגיות חדשות בקורסים ניהול רכש המחלקות השכלה וקורסים: תואר הנדסאי תוכנה/ מדעי המחשב/ תחום משיק אחר או בוגר קורס צבאי רלוונטי תואר ראשון בהנדסה – יתרון כישורים וניסיון נדרשים: ידע וניסיון בהקמה ",
אחראי/ת מעבדות למחלקה להנדסה אזרחית,מכללת אורט בראודה,כרמיאל,2026-06-21,https://w3.braude.ac.il/about/jobs/,admin_staff,onsite,braude,"תכולת התפקיד: תפעול ותמיכה בהקמת המעבדות להנדסה אזרחית אחריות ותמיכה במעבדות – תפעול הציוד ותחזוקתו, ייצור והכנת מדגמים, הזמנת ציוד וחומרים. קשר רציף מול הספקים השונים, אחריות לפינוי פסולת מהמעבדות, אחריות על בטיחות המעבדות ועוד אחראי לתקינות ובניה של ציוד המעבדות וקידום פרויקטים במחלקה תחזוקה שוטפת של ציוד מעבדות המחקר וההוראה הייעודיות של המחלקה תמיכה טכנית במחקרים של חברי הסגל סיוע לסטודנטים ולסגל ההוראה – תמיכה טכנית בקורסים ובפרויקטים, בהתאם לצרכים השונים סיוע טכני מקצועי השכלה וקורסים: תואר ראשון בהנדסה אזרחית/ בניין ממוסד אקדמי מוכר על ידי המל""ג כישורים וניסיון נדרשים: ניסיון טכני משמעותי ניסיון בהקמת מעבדה – יתרון משמעותי יכולת למידה ועבודה עצמית, יוזמה ופתרון בעיות יכולת הדרכה, כתיבת דו""חות וחומר עזר יכולת תקשורת בין-אישית טובה ועבודה בצוות ניסיון בתחום הרכש ועבודה מול ספקים היקף משרה: 100% משרה קורות חיים יש לשלוח אל מחלקת משאבי אנוש לדואר אלקטרוני jobscv@braude.ac.il",
תומך/ת טכנולוגי/ת למחלקת טכנולוגיות מידע,מכללת אורט בראודה,כרמיאל,2026-06-21,https://w3.braude.ac.il/about/jobs/,admin_staff,onsite,braude,"תכולות התפקיד: תמיכה טכנית, טלפונית ופרונטלית, בעובדי המכללה טיפול בתקלות תוכנה, חומרה ורשת במחשבים נייחים וניידים השכלה וקורסים: הסמכה של מיקרוסופט בתחום/ רשת – יתרון משמעותי הנדסאי/ת תוכנה/ רשתות – יתרון הכישורים הנדרשים: ניסיון בהתקנה, תחזוקה ותמיכת משתמשי קצה במערכות הפעלה Windows , Linux היכרות מעמיקה עם Microsoft Office, One Drive, Software Center תודעת שירות גבוהה יכולת עבודה עצמאית ובצוות ראש גדול ולקיחת אחריות יכולת עמידה בלחצים היקף המשרה: משרה מלאה + שעות נוספות תורנות חודשית במשמרת יום שישי 8:00 – 13:00 הערות: תחילת עבודה – מיידי קורות חיים יש לשלוח אל מחלקת משאבי אנוש לדואר אלקטרוני avio@braude.ac.il",
מיישם/ת מערכות מידע למחלקת טכנולוגיות מידע,מכללת אורט בראודה,כרמיאל,2026-06-21,https://w3.braude.ac.il/about/jobs/,admin_staff,onsite,braude,"תכולת התפקיד: מתן שירות תמיכה והטמעת מערכות המידע השונות לעובדים, מרצים וסטודנטים אפיון שיפורים והעברתם לפיתוח ליצרני התוכנות בדיקות קבלה של פיתוחים מחשוב תהליכי עבודה השכלה וקורסים: מהנדס/ת תעשיה וניהול או תואר רלוונטי אחר ממוסד אקדמי מוכר על ידי המל""ג כישורים וניסיון: ניסיון של 4 שנים לפחות בתחום יכולת ביטוי גבוהה בכתב ובעל-פה יכולת למידה עצמית ניסיון בתמיכת משתמשים במערכות מידע מנהליות ניסיון בניהול פרויקטים יכולת עבודה עצמאית ובצוות בעל/ת יוזמה וראש גדול אינטליגנציה רגשית גבוהה ויחסי אנוש טובים ניסיון והבנה ב-UX ו-UI ידע בפריוריטי, גלבוע – יתרון היקף המשרה: 100% משרה הערות: זמינות מיידית זמינות לעבודה בשעות נוספות קורות חיים יש לשלוח אל מחלקת משאבי אנוש לדואר אלקטרוני jobscv@braude.ac.il",
מפעיל/ת מחרטה כרסומת ידניים ו- CNC למח' הנדסת מכונות,מכללת אורט בראודה,כרמיאל,2026-06-21,https://w3.braude.ac.il/about/jobs/,admin_staff,onsite,braude,"הגדרת התפקיד: תיפעול מעבדת עיבוד שבבי תמיכה והפעלת ציוד מעבדה משוכלל לקידום פרוייקטים לסגל ולסטודנטים תמיכה בתיקונים/ בניה של ציוד למעבדות וקידום פרוייקטים למחלקה תיכנות והפעלת מכונות CNC והפעלת ציוד אלקטרוני תחזוקה שוטפת של ציוד המעבדה השכלה וקורסים: בעל/ת תעודת הנדסאי/ת במגמת מכונות – יתרון רצוי בוגר קורס CAD\CAM, (רצוי Mastercam) הכישורים הנדרשים: בעל/ת ניסיון מוכח בעיבוד שבבי (כירסום וחריטה והפעלת כרסומת/ מחרטה CNC) ניסיון בשימוש תוכנות CAD\CAM (Solidworks ו Mastercam) יכולת קריאת וכתיבת תוכניות בשפת G code שליטה באנגלית טכנית יכולת הדרכה ידע וניסיון בשימוש ציוד בית-מלאכה יכולת עבודה בצוות היקף המשרה: 100% הערות: עבודה רבגונית, מעניינת, מאתגרת ולא שגרתית קורות חיים יש לשלוח אל כרמית מחלקת משאבי אנוש לדואר אלקטרוני jobscv@braude.ac.il",
מרצה לקורסי אנגלית אקדמית,מכללת אורט בראודה,כרמיאל,2026-06-21,https://w3.braude.ac.il/about/jobs/,academic_faculty,onsite,braude,"מרצה לקורסי אנגלית אקדמית תכולת התפקיד: הוראת השפה האנגלית במסגרת קורסי אנגלית אקדמית עבודה בצוות סגל ההוראה של היחידה ללימודי אנגלית פיתוח חומרי הוראה ומבחנים הוראה פרונטלית ו/או מקוונת, בהתאם להחלטות וצרכי המכללה דרישות השכלה: תואר שני בתחום רלוונטי ממוסד אקדמי מוכר על ידי המל""ג תעודת הוראה מטעם משרד החינוך – יתרון כישורים ונסיון נדרשים: ניסיון בהוראת השפה האנגלית רקע וניסיון בלימוד השפה האנגלית במסגרת אקדמית – יתרון הכרות עם מדד ה- CEFR להוראת שפות (יתרון) יחסי אנוש טובים שליטה במיומנויות מחשב היקף המשרה: בהתאם ליכולות המועמד וצרכי המכללה – העסקה כמורה מן החוץ תחילת עבודה מיידית העבודה בשעות אחר הצוהריים וימי שישי בבוקר הערות: מועמד/ת שיתאים, יידרש להעביר שיעור לדוגמא בפני ועדת קבלה יש לצרף קורות חיים עם תיאור קצר של פעילות מקצועית נוכחית ופעילות רלוונטית בעבר בתחום הוראת השפה שמות של 2 ממליצים רלוונטיים קורות חיים יש לשלוח לדואר אלקטרוני tamarga@braude.ac.il",external_lecturer
חבר/ת סגל בכיר/ה בתחום הנדסת חומרים למחלקה להנדסת מכונות,מכללת אורט בראודה,כרמיאל,2026-06-21,https://w3.braude.ac.il/about/jobs/,academic_faculty,onsite,braude,"חבר/ת סגל בכיר/ה בתחום הנדסת חומרים תיאור התפקיד: מינוי חבר/ת סגל אקדמי במשרה מלאה הוראה בתחומי ההתמחות בהנדסת חומרים ובתחומים נוספים בהתאם לצורכי המחלקה ייזום, פיתוח והובלה של פעילות מחקרית עצמאית השתתפות בפעילות האקדמית והארגונית של המחלקה והמכללה הנחיית סטודנטים בפרויקט מסכם השכלה: תואר PhD בהנדסת חומרים ממוסד אקדמי מוכר על ידי המל""ג נסיון וכישורים: ניסיון בהוראה אקדמית – יתרון ניסיון במחקר אקדמי ו/או במחקר ופיתוח בתעשייה יכולת הובלה ופיתוח של פעילות מחקרית עצמאית כישורי תקשורת בין-אישית ברמה גבוהה יכולת עבודה בצוות ויחסי אנוש מצוינים יכולת ארגון, ניהול והובלת משימות היקף משרה: 100% למידע ולמשלוח קורות חיים יש לפנות בדואר אלקטרוני ל ד""ר סאמי אבו סאלח , ראש המחלקה להנדסת מכונות",internship
