title,company,location,date,url,department,workplace_type,source,description,position_type
המכון בחדשות,מכון ברוקדייל,ירושלים,2026-06-01,https://brookdale.jdc.org.il/mjb-in-the-news/,,onsite,brookdale,"7.5.2018, Ynet",
כנסים ואירועים,מכון ברוקדייל,ירושלים,2026-06-01,https://brookdale.jdc.org.il/conference/,,onsite,brookdale,עולם הזיקנה 2020 וובינר 09-09-2020,
מרכז מידע,מכון ברוקדייל,ירושלים,2026-06-01,https://brookdale.jdc.org.il/information-center/,,onsite,brookdale,עמוד הבית >> מרכז מידע מרכז מידע אודות מידע כללי צור קשר כלים לחיפוש ואיתור מידע מאגרי מידע קטלוגים שירותי המרכז השאלה השאלה בין-ספרייתית סיוע באיתור מידע פרסומים אקדמיים של חוקרי המכון כלי עזר כלי AI למחקר Zotero -תוכנה לניהול מקורות ביבליוגרפיים מאגר כלי המחקר של המכון שאלונים וכלי מחקר כלי יעץ תזות ודיסרטציות הודעות גישה לקורסים וספרים מקוונים! ברוק-נט חיפוש בקטלוג הספרייה חיפוש כולל במאגרי המידע חיפוש משולב מאגרי מידע כלי AI למחקר תוכנה לניהול מקורות מאגר כלי המחקר,
דרושים,מכון ברוקדייל,ירושלים,2026-06-01,https://brookdale.jdc.org.il/job-openings/,,onsite,brookdale,"Array חוקר.ת לצוות תעסוקה (החלפה לחל""ד) 31/05/2026 חוקר/ת לצוות הבטחת איכות - החלפה לחופשת לידה 18/05/2026",maternity_cover
צור קשר,מכון ברוקדייל,ירושלים,2026-06-01,https://brookdale.jdc.org.il/contact-us/,,onsite,brookdale,"עמוד הבית >> צור קשר צור קשר מכון מאיירס-ג'וינט-ברוקדייל אליעזר קפלן 9, גבעת רם, ירושלים גבעת הג׳וינט ת.ד. 3886 ירושלים 91037 02-655-7400 [email protected] כתבו לנו שם מלא *: דוא""ל *: טלפון: ארגון נושא ההודעה שלך שלח chevron_left Δ",
שווה ערך,מכון ברוקדייל,ירושלים,2026-06-01,https://brookdale.jdc.org.il/disability-studies/,,onsite,brookdale,עמוד הבית >> שווה ערך – מאגר ידע בלימודי מוגבלות שווה ערך – מאגר ידע בלימודי מוגבלות אודות צור קשר משפט ומדיניות תיאוריות וגישות חברה ותרבות נגישות חינוך והשכלה כלכלה ותעסוקה משפחה ויחסים זקנה והזדקנות דיור וקהילה בריאות ואורח חיים נתונים,
"חוקר.ת לצוות תעסוקה (החלפה לחל""ד) 31/05/2026",מכון ברוקדייל,ירושלים,2026-06-01,//brookdale.jdc.org.il/careers/co/jerusalem-brookdale-institute/A4.861/%d7%97%d7%95%d7%a7%d7%a8-%d7%aa-%d7%9c%d7%a6%d7%95%d7%95%d7%aa-%d7%aa%d7%a2%d7%a1%d7%95%d7%a7%d7%94-%d7%94%d7%97%d7%9c%d7%a4%d7%94-%d7%9c%d7%97%d7%9c%d7%93/all<,,onsite,brookdale,,maternity_cover
חוקר/ת לצוות הבטחת איכות - החלפה לחופשת לידה 18/05/2026,מכון ברוקדייל,ירושלים,2026-06-01,//brookdale.jdc.org.il/careers/co/other/07.A62/%d7%97%d7%95%d7%a7%d7%a8-%d7%aa-%d7%9c%d7%a6%d7%95%d7%95%d7%aa-%d7%94%d7%91%d7%98%d7%97%d7%aa-%d7%90%d7%99%d7%9b%d7%95%d7%aa-%d7%94%d7%97%d7%9c%d7%a4%d7%94-%d7%9c%d7%97%d7%95%d7%a4%d7%a9%d7%aa/all<,,onsite,brookdale,,maternity_cover
מפת האתר,מכון ברוקדייל,ירושלים,2026-06-01,https://brookdale.jdc.org.il/sitemap/,,onsite,brookdale,"Pages ניהול דו״חות PBI תוכנית החומש לפיתוח כלכלי-חברתי בקרב האוכלוסייה הבדואית בנגב לשנים 2021-2017 (החלטת ממשלה 2397) תנאי שימוש מערכת ניתוח וחקר נתוני זקנה מערכת BI לנתוני זיקנה טופס כניסה למערכת שווה ערך – אודות שווה ערך – מאגר ידע בלימודי מוגבלות שווה ערך – צור קשר חיפוש – מאגר מוגבליות קורונה: אוגדן עבודות מצבי חירום לאומיים: נתונים ותובנות חיפוש גלובלי דרושים חדשות ""חברים לספר"" (אנגלית) facts and figures מרכז מידע גישה לספרים ולקורס מקוונים מאגר כלי המחקר תנאי שימוש ציטוט כלים מדריך לחיפוש במאגר מידע כללי כלים לחיפוש ולאיתור מידע כתבי עת אלקטרוניים מאגרים ומנועי חיפוש חופשיים קטלוגים מאגרי מידע שירותי המרכז טופס איתור מידע טופס השאלת ספר טופס הזמנת מאמר טפסים אלקטרוניים מידע מהרשת השאלה בין-ספרייתית השאלה כלי עזר קישורים שימושיים Zotero  – תוכנה לניהול ציטוטים ביבליוגרפיים תזות ודיסרטציות שאלונים וכלי מחקר כלי יעץ מקוונים כלי AI למחקר חדש על המדף ”חברים לספר” מידע מהרשת תמונות ברשת קהילות מחקר שימושי רשתות חברתיות ספרים ועיתונים ברשת ספרים אלקטרוניים מנועי חיפוש מידע סטטיסטי מידע כלכלי מאגרי מידע כתבי עת אלקטרוניים כללי וויקי ווב 3.0 ווב 2.0 הערכה מדעית גישה פתוחה גוגל בסיסי נתונים אנציקלופדיות ומילונים איתור אנשים פרסומים אקדמיים של חוקרי המכון גישה למקורות פתוחים העשייה שלנו TEST AMUD על מכון ברוקדייל היסטוריה הצוות איסוף נתונים הוועד המנהל שותפים ותומכים על מכון ברוקדייל על מכון ברוקדייל ישן המכון בחדשות אינדקס חיפוש במאגר נתוני הזיקנה מפת האתר משאבים אלקטרוניים פרסומים פרסומים דף מעבר צור קשר – מרכז מידע צור קשר Categories איסוף נתונים (8) האוכלוסייה הערבית (84) הבטחת איכות (143) היוזמה והפיתוח (13) השירות הכלכלי (28) זיקנה (323) ילדים, נוער וצעירים (364) כספים (5) ללא קטגוריה (10) לשכת המנכ""ל (3) מדיניות הבריאות (333) מוביליות חברתית-כלכלית (6) מוגבלויות (205) מרכז מידע (7) משאבי אנוש (7) עריכה ופרסומים (9) קשרי חוץ (10) שילוב חברתי (183) תוצאות (112) תעסוקה (176) תפעול (12) Posts per category איסוף נתונים זרקור על יחידת איסוף נתונים של מכון מאיירס-ג'וינט-ברוקדייל - Comments (0) סקרים מקוונים - Comments (0) ראיונות פנים אל פנים - Comments (0) סקרים טלפוני",
ניהול דו״חות PBI,מכון ברוקדייל,ירושלים,2026-06-01,https://brookdale.jdc.org.il/%d7%a0%d7%99%d7%94%d7%95%d7%9c-%d7%93%d7%95%d7%b4%d7%97%d7%95%d7%aa-pbi/,,onsite,brookdale,,
