title,company,location,date,url,department,workplace_type,source,description,position_type
נציג.ת שימור סיכונים לאגף קשרי לקוחות,כלל ביטוח,פתח תקווה,2026-07-01,https://www.clalbit.co.il/careers/#50060757,שירות ומכירה,onsite,clal,"חטיבת חיסכון ארוך טווח מגייסת נציג או נציגת שימור סיכונים *מתאים למתמחים/בתהליך להוצאת רישיון פנסיוני * מה תעשו? -תשמרו את הלקוחות שלנו במוצרי ביטוח חיים, בריאות ותאונות אישיות -תנהלו שיחות טלפון משמעותיות עם לקוחות החברה, תבינו את הצרכים שלהם ותמנע ביטולי פוליסות -תעמדו ביעדים ותהיו שותפים להצלחות דרישות מה אנחנו מחפשים? - יכולת מכירתית- חובה -ידע בסיסי בתחום הביטוח- יתרון משמעותי -ניסיון קודם ממוקדים טלפונים- יתרון משמעותי -מכירותיות לצד שירותיות -כושר ביטוי ברמה גבוהה -אסרטיביות, כושר שכנוע, יכולת התמודדות עם התנגדויות",
מנהל/ת פיתוח עסקי - מגייס/ת עסקים,כלל ביטוח,פתח תקווה,2026-07-01,https://www.clalbit.co.il/careers/#50096771,שירות ומכירה,onsite,clal,"בואו להיות חלק ממשהו גדול בואו להיות חלק מכלל כלל ביטוח ופיננסים מגייסת מנהל או מנהלת פיתוח עסקי מה תעשו? - תאתרו מעסיקים בשווקים חדשים וקיימים להגדלת הפעילות וצמיחה - תעבדו מול ממשקים מרובים ומול משווקים פנסיונים, סוכנים ויתר ערוצי הפצה - תפקחו על ערוצי ההפצה, בין משווק פנסיוני או סוכן לבין המעסיק - תחזקו את הקשר עם לקוחות קיימים והעמקת הפעילות מולם ועוד מה אנחנו מחפשים? ניסיון קודם של 3 שנים לפחות בגיוס עסקים - חובה רישיון פנסיוני - חובה ניסיון קודם מחברות ביטוח/ סוכניות ביטוח - חובה אסרטיביות, יכולת שכנוע, סדר וארגון,יכולת הנעה",
מנהל.ת מכירות בכלל ביטוח אשראי,כלל ביטוח,תל אביב-יפו,2026-07-01,https://www.clalbit.co.il/careers/#50120494,שירות ומכירה,onsite,clal,"בואו להיות חלק ממשהו גדול בואו להיות חלק מכלל כלל ביטוח אשראי מגייסת מנהל או מנהלת מכירות. מה תעשו? -תאתרו ותגייסו לקוחות המתאימים לפעילות של ביטוח אשראי וערבויות -תנהלו מו""מ מורכב מול חברות בינוניות וגדולות במשק -תכירו באופן מעמיק את הפעילות עסקית של חברות בארץ ובחו""ל מה אנחנו מחפשים? -תואר ראשון - חובה (יתרון לבוגרי מנהל עסקים/כלכלה) -ניסיון מוכח במכירות של ביטוח אשראי - חובה -רישיון נהיגה בתוקף - חובה -אנגלית ברמה טובה (קריאה, כתיבה ניסוח)- חובה -שליטה מעולה ב-office -יכולת מכירה ושכנוע גבוהים -יחסי אנוש טובים -יכולת התמודדות עם מצבים מורכבים -יכולת למידה גבוהה",
נציג.ת שימור וגבייה לאגף קשרי לקוחות,כלל ביטוח,פתח תקווה,2026-07-01,https://www.clalbit.co.il/careers/#50081746,שירות ומכירה,onsite,clal,"בואו להיות חלק ממשהו גדול בואו להיות חלק מכלל כלל ביטוח ופיננסים מגייסת נציג או נציגת גביה לביצוע שיחות יזומות למבוטחי החברה מה תעשו? -תיצרו קשר עם מבוטחי החברה לצורך הסדרת תשלום ולתיאום סידורי פריסה -תעבדו מול ממשקים פנים ארגוניים- שירות לקוחות, סוכנים, מחלקת גבייה -תתעדו ותעדכנו נתונים במערכות CRM וגבייה מה אנחנו מחפשים? -ניסיון קודם בתפקיד דומה יתרון משמעותי -היכרות עם תחום הביטוח בדגש על ביטוחי בריאות וחיים יתרון -כישורי תקשורת ברמה גבוהה ויכולת לנהל שיח אסרטיבי עם המבוטחים -יכולת עבודה עצמאית, סדר ודיוק, אוריינטציה שרירותית גבוה -אסרטיביות, יכולת התמדה והתמודדות עם התנגדויות",
נציג.ת תיאום פגישות,כלל ביטוח,פתח תקווה,2026-07-01,https://www.clalbit.co.il/careers/#50099240,שירות ומכירה,onsite,clal,"בואו לעבוד איתנו ולהנות מאווירה כיפית ומתנאים מצוינים סיבוס, מתנות בחגי הולדת, נופשי חברה ועוד מה תעשו? תוציאו שיחות ללקוחות בעלי זיקה לחברת כלל במטרה לתאם פגישות לסוכני השטח תהיו אחראים על ניהול הלו""ז של המשווקים הפנסיונים, תעקבו אחר הפגישות שהתק ותתוגמלו על כל פגישה שמתקיימת מה אנחנו מחפשים? ניסיון קודם ממוקדי שירות/ מכירה- יתרון אוריינטציה מכירתית שירותיות וכושר ביטוי גבוה יכולת התמודדות עם התנגדויות",
נציג.ת מכירות למערך לקוחות פרטיים,כלל ביטוח,פתח תקווה,2026-07-01,https://www.clalbit.co.il/careers/#50093714,שירות ומכירה,onsite,clal,"כלל ביטוח ופיננסים מגייסת נציג או נציגת מכירות ביטוחי חיים ובריאות למוקד אפסייל בסניף שלנו בפתח תקווה מה תעשו? - תבצעו מכירות טלפונית של ביטוחי חיים ובריאות - תזמו שיחות יוצאות ללידים קרים של מנהלי קשרי לקוחות - תעבדו בהתאם ליעדי מכירות, קצב עבודה גבוה - תעבדו לפי נהלי החברה והרגולציה - יכולת למידה מהירה ועבודה בהתאם לנהלים ולרגולציה - חובה - כושר ביטוי גבוה, יכולות מכירה והובלת שיחה - חובה - ניסיון במכירות ביטוחי חיים ובריאות - יתרון משמעותי - ניסיון מעולם הביטוח - יתרון - מוסר עבודה גבוה, יושרה ואחריות - עבודה עם מספר מערכות במקביל",
"נציג.ת מכירות לחטיבת שירות, תפעול ומש""א",כלל ביטוח,פתח תקווה,2026-07-01,https://www.clalbit.co.il/careers/#50093717,שירות ומכירה,onsite,clal,"המשרה מתאימה לאנשים שמעוניינים להיות חלק ממשהו גדול, להיות חלק מכלל כלל ביטוח ופיננסים מגייסת נציג או נציגת הפניות למוקד פרט הפניות במשרדים שלנו בפתח תקווה מה תעשו? - תבצעו שיחות מכירה טלפוניות דרך הפניות ממוקדים אחרים בחברה - תמכרו ביטוחי חיים ובריאות ללקוחות פוטנציאליים - תעבדו עם יעדים ומדדים - תעבדו אל מול נהלי החברה והרגולציה - ניסיון במכירות - יתרון - וורבאליות, כושר שכנוע ואסרטיביות - יכולת עבודה בסביבת מוקד ובסביבה ממוחשבת - יכולת הובלת שיחה ועמידה ביעדים",
נציג.ת מכירות למערך לקוחות פרטיים,כלל ביטוח,פתח תקווה,2026-07-01,https://www.clalbit.co.il/careers/#50076387,שירות ומכירה,onsite,clal,"כלל ביטוח ופיננסים מגייסת נציג או נציגת מכירות ביטוחי נסיעות לחו""ל למשרדים שלנו בפתח תקווה מה תעשו? - תספקו מענה לשיחות נכנסות למבוטחי קופ""ח כללית, מכבי ולאומית בנוגע לנסיעות לחו""ל - תבצעו מכירת ביטוחי נסיעות לחו""ל - תצרו הפניות דרך הר הביטוח - יכולת שירות ומכירה - חובה - כושר שכנוע ויכולת הנעה עצמית - חובה - תקתקנות ועמידה ביעדי כמות שיחות ויצירת הפניות - מוסר עבודה גבוה, יושרה ואחריות - עבודה עם מערכות בסביבת מוקד",
נציג.ת שימור סיכונים לאגף קשרי לקוחות,כלל ביטוח,פתח תקווה,2026-07-01,https://www.clalbit.co.il/careers/#50118399,שירות ומכירה,onsite,clal,,
נציג.ת תיאום פגישות,כלל ביטוח,פתח תקווה,2026-07-01,https://www.clalbit.co.il/careers/#50089591,שירות ומכירה,onsite,clal,"בואו להיות חלק ממשהו גדול בואו להיות חלק מכלל כלל ביטוח ופיננסים מגייסת נציג או נציגת תיאום פגישות מה תעשו? - תוציאו שיחות ללקוחות בעלי זיקה לחברת כלל במטרה לתאם פגישות לסוכני השטח - תהיו אחראים על ניהול הלו""ז של המשווקים הפנסיונים, תעקבו אחר הפגישות שהתקיימו ותתוגמלו על כל פגישה שמתקיימת מה אנחנו מחפשים? ניסיון קודם ממוקדי שירות/ מכירה- חובה אוריינטציה מכירתית שירותיות יכולת התמודדות עם התנגדויות כושר ביטוי גבוה",
