title,company,location,date,url,department,workplace_type,source,description,position_type
תומך.ת עסקים- ענף תשתיות - חטיבה עסקית,בנק דיסקונט,ראשון לציון,2026-06-29,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/5243/details,,onsite,discount,"ניהול הקשר הבנקאי השוטף מול לקוחות, טיפול ותחזוקת תיקי אשראי מורכבים של לקוחות עסקיים.",
אנליסט.ית אשראי מומחה.ית- יחידת מתודולוגיה וכלכלנים-אגף אשראי קמעונאי- חטיבה בנקאית,בנק דיסקונט,אזור,2026-06-21,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/4894/details,,onsite,discount,"ניתוח סיכוני אשראי וגיבוש המלצות במסגרת הליכי חיתום ואישור אשראי ללווים עסקיים, כולל: ניתוח ומעקב אחר חשיפות אשראי ללווה/קב' לווים, סיוע בבניית עסקאות אשראי או מתן חוו""ד מקצועית עליהן ועל פעילות הלווה/קב' לווים וכן סיוע בגיבוש מדיניות האשראי של הבנק.",
תכניתן.ית Full Stack ראש.ת צוות במחלקת מערכות ארגוניות - חטיבת טכנולוגיות,בנק דיסקונט,ישראל,2026-06-17,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/5250/details,,onsite,discount,"תכנון , פיתוח' עיצוב, תוכנה ותחזוקת מערכות/יישומים הן בצד שרת (Server) והן בצד לקוח (Client).",
מזכירות - לשכת חבר הנהלה- חטיבת אסטרטגיה כספים ואחזקות,בנק דיסקונט,ישראל,2026-06-21,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/5251/details,,onsite,discount,"​אחריות לספק תמיכה אדמניסטרטיבית /שירותי מזכירות למנהל בכיר, ליחידה ארגונית או לקבוצת אנשים",
"בנקאי.ת שירות, מחלקת בטוחות וערבויות, אגף מרכזי מומחים- חטיבת תפעול ונכסים",בנק דיסקונט,דן,2026-06-17,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/5280/details,,onsite,discount,"מתן שירותים בנקאיים מקיפים ללקוחות הבנק באופן שוטף וניהול הממשקים באמצעות מערכות תומכות, תוך הקפדה על כללי ציות בקרה וניהול תקין של הקשר עם הלקוחות ויישום תפיסת השירות וחווית הלקוח",
מנתח.ת מערכות מומחה.ית ביחידת יישומי דאטה 2 - חטיבת טכנולוגיות,בנק דיסקונט,ישראל,2026-06-17,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/5281/details,,onsite,discount,"מנתח/ת מערכות Data עם התמחות וניסיון בעולם ה-AI, להצטרפות לצוות דאטה מקצועי ומוביל. התפקיד מציע הזדמנות לשלב בין ניתוח מערכות דאטה לבין הובלת פרויקטים של חדשנות בתחום ה-AI. אנחנו מחפשים איש/אשת מקצוע עם בסיס טכני חזק בניתוח נתונים, שיודע/ת לזהות, לבחון ולהטמיע פתרונות AI מתקדמים כדי לייצר ערך עסקי ממשי ולשפר תהליכים בארגון.",
"בנקאי.ת שירות, מחלקת בטוחות וערבויות, אגף מרכזי מומחים- חטיבת תפעול ונכסים",בנק דיסקונט,דן,2026-06-17,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/5284/details,,onsite,discount,"מתן שירותים בנקאיים מקיפים ללקוחות הבנק באופן שוטף וניהול הממשקים באמצעות מערכות תומכות, תוך הקפדה על כללי ציות בקרה וניהול תקין של הקשר עם הלקוחות ויישום תפיסת השירות וחווית הלקוח.",
"בנקאי.ת שירות למחלקת פעולות עו""ש מורכבות, אגף מרכזי מומחים- חטיבת תפעול ונכסים",בנק דיסקונט,דן,2026-06-17,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/5287/details,,onsite,discount,"מתן שירות וביצוע פעולות בתחום השירות רוחבי הכולל מענה מקצועי תפעולי ושירותי ליחידות הבנק השונות, עבודה מול ממשקים פנים וחוץ ארגוניים מרובים, עבודה שוטפת על דו""חות תוך הקפדה על כללי ציות ובקרה וליווי תהליכים שוטפים.",
בנקאי BO מרכז מזומנים,בנק דיסקונט,דן,2026-06-23,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/5292/details,,onsite,discount,"אחריות על ביצוע פעולות ותפעול שירותים בנקאיים מגוונים בכפוף לרגולציה ונהלי הבנק במרכזי המזומנים עבור בנק דיסקונט ומרכנתיל. הטיפול במזומנים כולל שטרות ומעות במט""י ומט""ח ומבוצע עבור : סניפים , לקוחות ישירים, תיקים עסקיים, הטענות/פריקות מכשירי כספומט, בנקים זרים וכו'.",
בנקאי.ת שירות - סניף אילת - החטיבה הבנקאית,בנק דיסקונט,אילת,2026-06-18,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/5293/details,,onsite,discount,"ניהול הקשר עם הלקוחות ויישום תפיסת השירות וחווית הלקוח, תוך מתן שירותים בנקאיים מקיפים והעמקת פעילות עם לקוחות הבנק (קיימים ופוטנציאלים) בהתאם ליעדים העסקיים והשירותיים תוך הקפדה על כללי ציות ובקרה",
בנקאי.ת טלפוני.ת - מוקד ראשון לציון - החטיבה הבנקאית,בנק דיסקונט,ישראל,2023-06-28,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/103/details,,onsite,discount,"אחריות על כל ההיבטים של מענה טלפוני בנושאי בנקאות, הבנת צורכי הלקוחות והתאמת פתרונות, מתן שירות מגיב ויוזם וביצוע מכירות תוך עמידה ביעדים ובכל קוי המדיניות והנהלים.",
בנקאי.ת טלפוני.ת - מוקד ירושלים - החטיבה הבנקאית,בנק דיסקונט,ישראל,2025-11-11,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/101/details,,onsite,discount,"אחריות על כל ההיבטים של מענה טלפוני בנושאי בנקאות, הבנת צורכי הלקוחות והתאמת פתרונות, מתן שירות מגיב ויוזם וביצוע מכירות תוך עמידה ביעדים ובכל קוי המדיניות והנהלים.",
בנקאי.ת טלפוני.ת - מוקד קריית אתא - החטיבה הבנקאית,בנק דיסקונט,ישראל,2023-07-04,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/102/details,,onsite,discount,"אחריות על כל ההיבטים של מענה טלפוני בנושאי בנקאות, הבנת צורכי הלקוחות והתאמת פתרונות, מתן שירות מגיב ויוזם וביצוע מכירות תוך עמידה ביעדים ובכל קוי המדיניות והנהלים.",
כספר.ית - מרחב מרכז - החטיבה הבנקאית,בנק דיסקונט,ישראל,2022-06-23,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/110/details,,onsite,discount,"מתן שירותים בנקאים בסיסיים ללקוחות, תפעול המכשור האוטומטי וזיהוי הזדמנויות מכירה והפניית לקוחות לגורמים הרלוונטיים בסניף להמשך טיפול. נדרש ליישום תפיסת השירות וחווית הלקוח כגורם המהווה את נקודת המפגש הראשונה של הסניף עם הלקוחות​",
כספר.ית - מרחב ירושלים והדרום - החטיבה הבנקאית,בנק דיסקונט,ישראל,2024-11-24,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/111/details,,onsite,discount,"מתן שירותים בנקאים בסיסיים ללקוחות, תפעול המכשור האוטומטי וזיהוי הזדמנויות מכירה והפניית לקוחות לגורמים הרלוונטיים בסניף להמשך טיפול. נדרש ליישום תפיסת השירות וחווית הלקוח כגורם המהווה את נקודת המפגש הראשונה של הסניף עם הלקוחות​",
כספר.ית - מרחב צפון - החטיבה הבנקאית,בנק דיסקונט,ישראל,2024-07-02,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/113/details,,onsite,discount,"מתן שירותים בנקאים בסיסיים ללקוחות, תפעול המכשור האוטומטי וזיהוי הזדמנויות מכירה והפניית לקוחות לגורמים הרלוונטיים בסניף להמשך טיפול. נדרש ליישום תפיסת השירות וחווית הלקוח כגורם המהווה את נקודת המפגש הראשונה של הסניף עם הלקוחות​",
בנקאי.ת שירות - מרחב מרכז - החטיבה הבנקאית,בנק דיסקונט,ישראל,2022-06-23,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/120/details,,onsite,discount,"מתן שירותים בנקאיים מקיפים (ביצוע פעולות מכירה של מוצרים) ללקוחות הבנק באופן שוטף וניהול הממשקים באמצעות מערכות תומכות, תוך הקפדה על כללי ציות בקרה וניהול תקין של הקשר עם הלקוחות ויישום תפיסת השירות וחווית הלקוח. ​",
בנקאי.ת שירות -מרחב ירושלים והדרום - החטיבה הבנקאית,בנק דיסקונט,ישראל,2026-05-27,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/121/details,,onsite,discount,"מתן שירותים בנקאיים מקיפים (ביצוע פעולות מכירה של מוצרים) ללקוחות הבנק באופן שוטף וניהול הממשקים באמצעות מערכות תומכות, תוך הקפדה על כללי ציות בקרה וניהול תקין של הקשר עם הלקוחות ויישום תפיסת השירות וחווית הלקוח. ​",
בנקאי משכנתאות,בנק דיסקונט,ראשון לציון,2025-05-05,https://www.discountbank.co.il/DB/jobs/#he/sites/CX_3001/requisitions/2344/details,,onsite,discount,"מתן ייעוץ מוצרי משכנתאות הכולל אפיון צרכי המימון של הלקוח, ניתוח יכולת ההחזר שלו וליווי הלקוח בתהליך קבלת המשכנתא החל מאישורה ועד להעמדתה בפועל. ​",
