title,company,location,date,url,department,workplace_type,source,description,position_type
פקיד/ה ביחידת מרכוז פעילות תשלומים בינלאומיים,הבנק הבינלאומי הראשון,ישראל,2026-06-30,https://www.fibi.co.il/private/general/about/jobs/jobsfibi/,,onsite,fibi,": יחידת מרכוז פעילות תשלומים בינלאומיים הינה יחידת הנהלה המרכזת את פעילות לקוחות הבנק בתחום התשלומים הבינלאומיים כולל התנהלות מול כלל לקוחות הבנק, קבלת הוראות תשלומים, ניהול תקבולים, פיתוח מומחיות בזרימת כספים בינלאומית דרך בנקים בחו""ל, מיסוי, איסור הלבנת הון ושימוש בערוצים טכנולוגיים וישירים. הכישורים הנדרשים: תודעת שירות גבוהה יכולת עבודה עצמאית במקביל לעבודת צוות יכולת למידה טובה יכולת עבודה תחת לחץ נכונות לעבודה מעבר לשעות המקובלות היקף משרה: מלאה הקליטה כעובדי הבנק החל מהיום הראשון תנאים מעולים למתאימים קורות חיים יש לשלוח ל- jobs@fibi.co.il​ הבנק מעודד ומקדם העסקת עובדים עם מוגבלויות",
"עובד/ת בקרה ליחידה לבקרת חדר עסקאות מט""ח ונגזרים",הבנק הבינלאומי הראשון,ישראל,2026-06-30,https://www.fibi.co.il/private/general/about/jobs/jobsfibi/,,onsite,fibi,": תואר בתחום פיננסי, עדיפות להתמחות במימון או חשבונאות. או תואר והכשרה בתחום טכנולוגי, ניתוח DATA ניסיון בבק אופיס, מידל אופיס, מסחר, ניסיון בתחום טכנולוגי של ניתוח נתונים, מאגרי מידע. יכולת עבודה בצוות היקף משרה: מלאה הקליטה כעובדי הבנק החל מהיום הראשון תנאים מעולים למתאימים קורות חיים יש לשלוח ל- jobs@fibi.co.il​ הבנק מעודד ומקדם העסקת עובדים עם מוגבלויות",
בנקאי/ת טלפוני לבינלאומי קול,הבנק הבינלאומי הראשון,ישראל,2026-06-30,https://www.fibi.co.il/private/general/about/jobs/jobsfibi/,,onsite,fibi,": * בגרות מלאה/אקדמאיים או סטודנטים לקראת סיום תואר – חובה * תודעת שירות גבוהה ואוריינטציה שיווקית * יכולת ביטוי טובה * קורס הכשרה במקום * מינימום 3 מ שמרות בשבוע מתוכם 2 משמרות מאוחרות עד 19:00, שישי (אחת לחודש לפחות) קורות חיים יש לשלוח ל- jobs@fibi.co.il​ הבנק מעודד ומקדם העסקת עובדים עם מוגבלויות",
"מזכיר/ה לחבר הנהלה, בבנק הבינלאומי",הבנק הבינלאומי הראשון,ישראל,2026-06-30,https://www.fibi.co.il/private/general/about/jobs/jobsfibi/,,onsite,fibi,": מתן מענה אדמיניסטרטיבי שוטף, ניהול יומן, תיאום פגישות וישיבות, ריכוז חומרים לישיבות וועדות, ביצוע שלב הפצה של דוחות, עדכון מערכות שונות המשמשות לניהול עבודת החטיבה, הזמנת ציוד, עדכונים ובקרות נוכחות, סיוע בהכנת מסמכים שונים ומשימות אדמיניסטרטיביות נוספות. הכישורים הנדרשים: אקדמאי- חובה ניסיון בניהול לשכה של מנהל בכיר בארגון גדול - יתרון ידע וניסיון ביישומי אופיס )בעיקר Excel , Word (- חובה שליטה במערכות מחשב וניסיון עם מערכות לניהול משימות אנגלית ברמה גבוהה - שיחה והתכתבות – חובה ניסיון בעבודה על מערכות לניהול משימות - חובה יכולת עבודה מול משימות רבות במקביל, יצירת תעדופים ומעקב אחר ביצוע מול דרגים ניהוליים שירותיות, אסרטיביות ויכולת עבודה מול דרגים ניהוליים בכירים במקביל אמינות ודיסקרטיות אחריות, דיוק וסדר קורות חיים יש לשלוח ל- jobs@fibi.co.il​ הבנק מעודד ומקדם העסקת עובדים עם מוגבלויות",
"מבקר/ת לצוות סיכונים, חשבות ומטה במערך הביקורת הפנימית תיאור תפקיד : ביצוע ביקורת במסגרת צוות סיכונים ומטה במערך הביקורת בבנק גדול העוסק בביקורת תהליכי עבודה וניתוח אירועים הקשורים לפעילות הבנק בתחומי ניהול הסיכונים, החשבות וביחידות נוספות במטה הבנק.",הבנק הבינלאומי הראשון,ישראל,2026-06-30,https://www.fibi.co.il/private/general/about/jobs/jobsfibi/,,onsite,fibi,": בעל תואר ראשון או שני בתחום כלכלי פיננסי - יתרון לרו""ח ידע וניסיון קודם בשליפה, ניתוח וויזואליזציה של הנתונים שליטה בתוכנות OFFICE וכלים לניתוח נתונים חשיבה אנליטית, יכולת ניתוח תהליכי עבודה ונתונים, זיהוי בעיות בעיה וגיבוש תכנית פעולה/המלצות לשיפור כושר ביטוי גבוה בכתב ובע""פ סקרנות וכושר למידה גבוה יסודיות ודיוק בביצוע העבודה אסרטיביות ותקשורת בינאישית טובה יוזמה ויכולת לעבודה עצמאית לצד יכולת עבודה בצוות משימתיות ונכונות לעבודה מאומצת לטובת עמידה במשימות ניסיון בביקורת פנימית – יתרון הכרות עם פעילות בשוק ההון (חדרי מסחר ומערכים עורפיים) ו/או ניהול ננ""ה - יתרון קורות חיים יש לשלוח ל- jobs@fibi.co.il​ הבנק מעודד ומקדם העסקת עובדים עם מוגבלויות",
עובד/ת למשרת בק אופיס לחברה לנאמנות (חברת בת של הבנק הבינלאומי),הבנק הבינלאומי הראשון,ישראל,2026-06-30,https://www.fibi.co.il/private/general/about/jobs/jobsfibi/,,onsite,fibi,": פיקוח ובקרה על קרנות נאמנות, ביצוע בקרות יומיות ושוטפות, בדיקת דוחות שנתיים ועבודת בק אופיס. הכישורים הנדרשים : בוגר/ת תואר ראשון פיננסי – חובה ניסיון בבנק אחר או בחברת השקעות ניסיון בתחום קרנות הנאמנות קורות חיים יש לשלוח ל- jobs@fibi.co.il​ הבנק מעודד ומקדם העסקת עובדים עם מוגבלויות",
יועצי/ות משכנתאות למגוון סניפים ברחבי הארץ,הבנק הבינלאומי הראשון,ישראל,2026-06-30,https://www.fibi.co.il/private/general/about/jobs/jobsfibi/,,onsite,fibi,"ליווי וייעוץ ללקוחות הבנק בתהליך קבלת משכנתא , משלב הייעוץ הראשוני ועד סיום התהליך. בניית תמהיל משכנתא מותאם אישית לצרכי הלקוח. עבודה מול גורמים שונים בבנק ומחוצה לו . הכישורים הנדרשים : משרה מלאה אקדמאי/ת או לקראת סיום תואר תואר פיננסי יתרון ניסיון בתחום המשכנתאות - יתרון ניסיון בשירות לקוחות/מכירות – יתרון תודעת שירות גבוהה אוריינטציה שיווקית הקליטה כעובדי הבנק החל מהיום הראשון תנאים מעולים למתאימים קורות חיים יש לשלוח ל- jobs@fibi.co.il​ הבנק מעודד ומקדם העסקת עובדים עם מוגבלויות",
טלרים- למגוון סניפים ברחבי הארץ,הבנק הבינלאומי הראשון,ישראל,2026-06-30,https://www.fibi.co.il/private/general/about/jobs/jobsfibi/,,onsite,fibi,: משרה מלאה אקדמאי.ת או לקראת סיום תואר- יתרון תואר פיננסי- יתרון אורינטציה שיווקית תודעת שירות גבוהה ניסיון רלוונטי – יתרון הקליטה כעובדי הבנק החל מהיום הראשון תנאים מעולים למתאימים קורות חיים יש לשלוח ל- jobs@fibi.co.il​ הבנק מעודד ומקדם העסקת עובדים עם מוגבלויות,
בנקאים אישיים - למגוון סניפים ברחבי הארץ,הבנק הבינלאומי הראשון,ישראל,2026-06-30,https://www.fibi.co.il/private/general/about/jobs/jobsfibi/,,onsite,fibi,: משרה מלאה אקדמאיים או לקראת סיום תואר פיננסי- יתרון ניסיון בנקאי קודם או זיקה לתחום פיננסי – יתרון ניסיון בשירות לקוחות/מכירות – יתרון תודעת שירות גבוהה אורינטציה שיווקית יכולת עבודה עצמאית לצד יכולת לעבודה בצוות היקף משרה: מלאה הקליטה כעובדי הבנק החל מהיום הראשון תנאים מעולים למתאימים קורות חיים יש לשלוח ל- jobs@fibi.co.il​ הבנק מעודד ומקדם העסקת עובדים עם מוגבלויות,
"בקר/ית ליחידה לבקרת חדרי מסחר ני""ע",הבנק הבינלאומי הראשון,ישראל,2026-06-30,https://www.fibi.co.il/private/general/about/jobs/jobsfibi/,,onsite,fibi,": תואר בתחום פיננסי נסיון בשוק ההון או באשראי נכונות לשעות הפעילות, כולל משמרת אחת בשבוע עד 2100 ועבודה ביום שישי תודעת שרות גבוהה- התפקיד דורש מענה טלפוני רצוף ללקוחות ולגורמי פנים. עבודת צוות ב- open space היקף משרה: מלאה הקליטה כעובדי הבנק החל מהיום הראשון תנאים מעולים למתאימים קורות חיים יש לשלוח ל- jobs@fibi.co.il​ הבנק מעודד ומקדם העסקת עובדים עם מוגבלויות",
