title,company,location,date,url,department,workplace_type,position_type
Senior User Acquisition Manager ,AutoDS,Tel Aviv,2026-04-30,https://job-boards.greenhouse.io/autods/jobs/5201324008,,,
Social Media Manager,AutoDS,Tel aviv Israel,2026-05-27,https://job-boards.greenhouse.io/autods/jobs/5147036008,,,
Director of Global IT Ops,Axonius,Tel Aviv,2026-05-13,https://www.axonius.com/company/careers/open-jobs?gh_jid=7684085003,,,
Director of Product- Platform,Axonius,Tel Aviv,2026-05-13,https://www.axonius.com/company/careers/open-jobs?gh_jid=7654308003,,,
Employee Experience Specialist- Temp role for 9 months,Axonius,Tel Aviv,2026-05-13,https://www.axonius.com/company/careers/open-jobs?gh_jid=7711683003,,,
Principal Full Stack Engineer,Axonius,Tel Aviv,2026-05-13,https://www.axonius.com/company/careers/open-jobs?gh_jid=7699687003,,,
Principal/Senior Product Manager,Axonius,Tel Aviv,2026-05-13,https://www.axonius.com/company/careers/open-jobs?gh_jid=7677652003,,,
Senior Data Infra Engineer,Axonius,Tel Aviv,2026-05-13,https://www.axonius.com/company/careers/open-jobs?gh_jid=7537524003,,,
Senior DevEx (DevOps) Engineer,Axonius,Tel Aviv,2026-05-13,https://www.axonius.com/company/careers/open-jobs?gh_jid=7654285003,,,
Senior Product Security Architect,Axonius,Tel Aviv,2026-05-27,https://www.axonius.com/company/careers/open-jobs?gh_jid=7748661003,,,
Senior Software Engineer- Data Engineering,Axonius,Tel Aviv,2026-05-13,https://www.axonius.com/company/careers/open-jobs?gh_jid=7633981003,,,
Staff Data Engineer,Capitolis,Tel Aviv-Yafo,2026-04-28,https://capitolis.com/careers/job/?gh_jid=7665016003,,,
"Manager I, Engineering - Live Debugging",Datadog,Tel Aviv,2026-06-01,https://careers.datadoghq.com/detail/7942079/?gh_jid=7942079,,,
Senior Backend Software Engineer - Product Analytics,Datadog,Tel Aviv,2026-05-15,https://careers.datadoghq.com/detail/7547361/?gh_jid=7547361,,,
Senior Software Engineer (AI),Datadog,Tel Aviv,2026-05-15,https://careers.datadoghq.com/detail/7097751/?gh_jid=7097751,,,
Customer Architect,Elastic Technologies Israel,Israel,2026-05-18,https://jobs.elastic.co/jobs?gh_jid=7725620&gh_jid=7725620,,,
"Product Designer - Figma Weave (Tel Aviv, Israel)",Figma,Tel Aviv,2026-05-12,https://boards.greenhouse.io/figma/jobs/5991320004?gh_jid=5991320004,,,
