title,company,location,date,deadline,url,department,workplace_type,description,requirements
"מרכז/ת שיווק, פרסום ופרויקטים במוזיאון הכט",אוניברסיטת חיפה,חיפה,2026-06-24,,https://hr.haifa.ac.il/6326-%d7%9e%d7%a8%d7%9b%d7%96-%d7%aa-%d7%a9%d7%99%d7%95%d7%95%d7%a7-%d7%a4%d7%a8%d7%a1%d7%95%d7%9d-%d7%95%d7%a4%d7%a8%d7%95%d7%99%d7%a7%d7%98%d7%99%d7%9d-%d7%91/,,onsite,,
"יועץ/ת התכנית ""לומדים ברצף""",אוניברסיטת חיפה,חיפה,2026-06-29,,https://hr.haifa.ac.il/6226-%d7%99%d7%95%d7%a2%d7%a5-%d7%aa-%d7%94%d7%aa%d7%9b%d7%a0%d7%99%d7%aa-%d7%9c%d7%95%d7%9e%d7%93%d7%99%d7%9d-%d7%91%d7%a8%d7%a6%d7%a3/,,onsite,,
מפתח/ת ומיישם/ת BI בכיר/ה לתשתיות ענן ו-SAP BDC,אוניברסיטת חיפה,חיפה,2026-06-29,,https://hr.haifa.ac.il/6026-%d7%9e%d7%a4%d7%aa%d7%97-%d7%aa-%d7%95%d7%9e%d7%99%d7%99%d7%a9%d7%9d-%d7%aa-bi-%d7%91%d7%9b%d7%99%d7%a8-%d7%94-%d7%9c%d7%aa%d7%a9%d7%aa%d7%99%d7%95%d7%aa/,,onsite,,
סגן/סגנית מנהל יחידת הנדסה,אוניברסיטת חיפה,חיפה,2026-06-29,,https://hr.haifa.ac.il/5926-%d7%a1%d7%92%d7%9f-%d7%a1%d7%92%d7%a0%d7%99%d7%aa-%d7%9e%d7%a0%d7%94%d7%9c-%d7%99%d7%97%d7%99%d7%93%d7%aa-%d7%94%d7%a0%d7%93%d7%a1%d7%94/,,onsite,,
מנהל/ת מעבדה בראשות פרופ' חנוך קפצן בפקולטה למדעי הטבע,אוניברסיטת חיפה,חיפה,2026-06-10,,https://hr.haifa.ac.il/5726-%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%9e%d7%a2%d7%91%d7%93%d7%94-%d7%91%d7%a8%d7%90%d7%a9%d7%95%d7%aa-%d7%a4%d7%a8%d7%95%d7%a4-%d7%97%d7%a0%d7%95%d7%9a-%d7%a7/,,onsite,,
אחראי/ת על איסוף וניהול משאבי מידע באגף קשרי חוץ,אוניברסיטת חיפה,חיפה,2026-06-15,,https://hr.haifa.ac.il/5526-%d7%90%d7%97%d7%a8%d7%90%d7%99-%d7%aa-%d7%a2%d7%9c-%d7%90%d7%99%d7%a1%d7%95%d7%a3-%d7%95%d7%a0%d7%99%d7%94%d7%95%d7%9c-%d7%9e%d7%a9%d7%90%d7%91%d7%99-%d7%9e/,,onsite,,
אחראי/ת מערכות שרתים,אוניברסיטת חיפה,חיפה,2026-06-07,,https://hr.haifa.ac.il/4826-%d7%90%d7%97%d7%a8%d7%90%d7%99-%d7%aa-%d7%9e%d7%a2%d7%a8%d7%9b%d7%95%d7%aa-%d7%a9%d7%a8%d7%aa%d7%99%d7%9d/,,onsite,,
רכז.ת שיווק ומידע – העסקה לפי שעות,אוניברסיטת חיפה,חיפה,2026-06-07,,https://hr.haifa.ac.il/50006-%d7%a8%d7%9b%d7%96-%d7%aa-%d7%a9%d7%99%d7%95%d7%95%d7%a7-%d7%95%d7%9e%d7%99%d7%93%d7%a2-%d7%94%d7%a2%d7%a1%d7%a7%d7%94-%d7%9c%d7%a4%d7%99-%d7%a9%d7%a2/,,onsite,,
מיישמ/ת SAP FI במדור ליבה עסקית,אוניברסיטת חיפה,חיפה,2026-06-07,,https://hr.haifa.ac.il/13424-%d7%9e%d7%99%d7%99%d7%a9%d7%9e-%d7%aa-sap-fi-%d7%91%d7%9e%d7%93%d7%95%d7%a8-%d7%9c%d7%99%d7%91%d7%94-%d7%a2%d7%a1%d7%a7%d7%99%d7%aa/,,onsite,,
"רכז/ת אדמיניסטרציה, הדרכה ושכר לימוד",אוניברסיטת חיפה,חיפה,2026-07-01,,https://hr.haifa.ac.il/7026-%d7%a8%d7%9b%d7%96-%d7%aa-%d7%90%d7%93%d7%9e%d7%99%d7%a0%d7%99%d7%a1%d7%98%d7%a8%d7%a6%d7%99%d7%94-%d7%94%d7%93%d7%a8%d7%9b%d7%94-%d7%95%d7%a9%d7%9b%d7%a8/,,onsite,,
מרכז/ת שיווק ומדיה דיגיטלית – העסקה לפי שעות,אוניברסיטת חיפה,חיפה,2026-07-01,,https://hr.haifa.ac.il/50016-%d7%9e%d7%a8%d7%9b%d7%96-%d7%aa-%d7%a9%d7%99%d7%95%d7%95%d7%a7-%d7%95%d7%9e%d7%93%d7%99%d7%94-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%aa-%d7%94%d7%a2/,,onsite,,
"מרכז/ת חישוב, גבייה ומעקב ושכ""ל – העסקה לפי שעות",אוניברסיטת חיפה,חיפה,2026-07-01,,https://hr.haifa.ac.il/50015-%d7%9e%d7%a8%d7%9b%d7%96-%d7%aa-%d7%97%d7%99%d7%a9%d7%95%d7%91-%d7%92%d7%91%d7%99%d7%99%d7%94-%d7%95%d7%9e%d7%a2%d7%a7%d7%91-%d7%95%d7%a9%d7%9b%d7%9c/,,onsite,,
כלכלן/ית תחום בקרה ודיווח – העסקה לפי שעות,אוניברסיטת חיפה,חיפה,2026-06-07,,https://hr.haifa.ac.il/50014-%d7%9b%d7%9c%d7%9b%d7%9c%d7%9f-%d7%99%d7%aa-%d7%aa%d7%97%d7%95%d7%9d-%d7%91%d7%a7%d7%a8%d7%94-%d7%95%d7%93%d7%99%d7%95%d7%95%d7%97-%d7%94%d7%a2%d7%a1%d7%a7/,,onsite,,
רכז/ת שיווק ומכירות – העסקה לפי שעות,אוניברסיטת חיפה,חיפה,2026-06-07,,https://hr.haifa.ac.il/50013-%d7%a8%d7%9b%d7%96-%d7%aa-%d7%a9%d7%99%d7%95%d7%95%d7%a7-%d7%95%d7%9e%d7%9b%d7%99%d7%a8%d7%95%d7%aa-%d7%94%d7%a2%d7%a1%d7%a7%d7%94-%d7%9c%d7%a4%d7%99/,,onsite,,
משגיחים/ות – העסקה לפי שעות,אוניברסיטת חיפה,חיפה,2026-06-07,,https://hr.haifa.ac.il/50012-%d7%9e%d7%a9%d7%92%d7%99%d7%97%d7%99%d7%9d-%d7%95%d7%aa-%d7%94%d7%a2%d7%a1%d7%a7%d7%94-%d7%9c%d7%a4%d7%99-%d7%a9%d7%a2%d7%95%d7%aa/,,onsite,,
מתאמ/ת רכש – העסקה לפי שעות,אוניברסיטת חיפה,חיפה,2026-06-07,,https://hr.haifa.ac.il/50011-%d7%9e%d7%aa%d7%90%d7%9e-%d7%aa-%d7%a8%d7%9b%d7%a9-%d7%94%d7%a2%d7%a1%d7%a7%d7%94-%d7%9c%d7%a4%d7%99-%d7%a9%d7%a2%d7%95%d7%aa/,,onsite,,
אחראי/ת פיתוח מאגדים לאיחוד האירופי – העסקה לפי שעות,אוניברסיטת חיפה,חיפה,2026-06-07,,https://hr.haifa.ac.il/50010-%d7%90%d7%97%d7%a8%d7%90%d7%99-%d7%aa-%d7%a4%d7%99%d7%aa%d7%95%d7%97-%d7%9e%d7%90%d7%92%d7%93%d7%99%d7%9d-%d7%9c%d7%90%d7%99%d7%97%d7%95%d7%93-%d7%94%d7%90/,,onsite,,
"טכנו-פדגוג/ית – החלפה לחל""ד – העסקה לפי שעות",אוניברסיטת חיפה,חיפה,2026-06-30,,https://hr.haifa.ac.il/60044-%d7%98%d7%9b%d7%a0%d7%95-%d7%a4%d7%93%d7%92%d7%95%d7%92-%d7%99%d7%aa-%d7%94%d7%97%d7%9c%d7%a4%d7%94-%d7%9c%d7%97%d7%9c%d7%93-%d7%94%d7%a2%d7%a1%d7%a7/,,onsite,,
מרכז/ת הרשמה צוות לימודים מתקדמים – העסקה לפי שעות,אוניברסיטת חיפה,חיפה,2026-07-01,,https://hr.haifa.ac.il/50017-%d7%9e%d7%a8%d7%9b%d7%96-%d7%aa-%d7%94%d7%a8%d7%a9%d7%9e%d7%94-%d7%a6%d7%95%d7%95%d7%aa-%d7%9c%d7%99%d7%9e%d7%95%d7%93%d7%99%d7%9d-%d7%9e%d7%aa%d7%a7%d7%93/,,onsite,,
