title,company,location,date,url,department,workplace_type,source,description,position_type
מיישב/ת תביעות סיעוד,הראל,רמת גן,2026-07-01,https://career.adamtotal.co.il/Jobs/JobDetails?token=NWk1WHJWZkVhOEFXdFROZnNleGR5a21kZllIaGd2WU5MUVJoaDROTFdOTnY3MTBKMVRPM2p0TGVQVHEyTUNzbWtIdHZUOFVWZXR5TDYrQVllbWdhdnc9PQ==&shr=&eid=,צוות תביעות סיעוד 1,onsite,harel,"איך יראה היומיום שלך? טיפול מקיף בתביעות ביטוחי סיעוד , משלב הפנייה ועד לקבלת ההחלטה הסופית בדיקת זכאות על פי תנאי הפוליסה והבטחת מיצוי זכויות המבוטח קריאה והבנה של מסמכים רפואיים בעברית ובאנגלית עבודה שוטפת מול מחלקות פנימיות וגורמים חיצוניים מה אנחנו מחפשים ? ניסיון קודם בתחום השירות \ תפעול- חובה היכרות עם עולם הביטוח – יתרון ניסיון קודם כמיישב\ת תביעות- יתרון יכולת ניסוח גבוהה בכתב ובעל פה , הקפדה על דיוק ותשומת לב לפרטים היקף משרה: משרה מלאה, ימים א'-ד' 8.5 שעות, יום ה' - 6 שעות + נכונות לשעות נוספות במידת הצורך יום עבודה מהבית אנחנו על המפה: רמת גן, מתחם הבורסה, צמוד לרכבת סבידור מרכז",
נציג/ת שירות במוקד המשפחתי בתחום הסיעוד!,הראל,בית מ.א.ה,2026-07-01,https://career.adamtotal.co.il/Jobs/JobDetails?token=NWk1WHJWZkVhOEFXdFROZnNleGR5a21kZllIaGd2WU5MUVJoaDROTFdOTXNFTXljM2ZlTVBpRjVTc1NJd0VqOTltY2ZSRFQzYnA0SlJIRU00ZHQyNkE9PQ==&shr=&eid=,מוקד שירות - דקלה,onsite,harel,"איך יראה היום יום שלך? מענה ללקוחות החברה בשיחות נכנסות בתחום סיעוד, מתן הסבר על פרוצדורות, כיסוי ביטוחי ועוד :) לא נדרש ניסיון קודם - הכשרה על חשבוננו! אנחנו מחפשים אנשים בעלי זיקה שירותית, עם אנרגיה מעולה ובעלי רצון ללמוד ולהתפתח עובדי חברת הראל החל מהיום הראשון קרן השתלמות מהיום הראשון תשלום יום מחלה מהיום הראשון ביטוח בריאות רחב לאחר חצי שנה מסלולי קריירה וקידום מקצועי היקף משרה : משרה מלאה, א'-ה' (יש גמישות להורים ולמשרת סטודנט 4 פעמים בשבוע) אנחנו על המפה: רמת גן, מתחם הבורסה, צמוד לרכבת סבידור מרכז והרכבת הקלה",
נציג/ת מכירות [4000],הראל,רמת גן,2026-07-01,https://career.adamtotal.co.il/Jobs/JobDetails?token=NWk1WHJWZkVhOEFXdFROZnNleGR5a21kZllIaGd2WU5MUVJoaDROTFdOTlBTT3Jid3lxanVKVmhwcGZIUm12Qi9leFRGZVlzcVdLeEdJOEhlL2o4aWc9PQ==&shr=&eid=,הדרכה90009754,onsite,harel,"איך יראה היומיום שלך? שיחות יוצאות ללקוחות 5 משמרות בשבוע כולל ימי שישי פעם בחודש שכר בסיס + הגנת שכר + בונוסים גבוהים הכשרה ע""ח החברה ובנוסף ליווי מלא בחודשים הראשונים לתפקיד . זכאות לביטוח בריאות פרטי תחרויות ופרסים באווירה כיפית אופציות קידום והתפתחות נרחבות! מענקים נוספים על פי ותק עובד במהלך השנה מה אנחנו מחפשים? ניסיון במכירות/במוקד מכירות טלפוני - יתרון משרה מלאה מיקום רמת גן, מתחם הבורסה בצמוד לרכבת סבידור מרכז ולרכבת הקלה",
מיישב/ת תביעות רכב חובה- זמני,הראל,בית מ.א.ה,2026-07-01,https://career.adamtotal.co.il/Jobs/JobDetails?token=NWk1WHJWZkVhOEFXdFROZnNleGR5a21kZllIaGd2WU5MUVJoaDROTFdOTURRSExqWjQ5eDZ3UnI3SVpLR25nS3FOenBQR2JJTVpzTVZTWmhNVEhDZEE9PQ==&shr=&eid=,צוות מור - תביעות רכב חובה,onsite,harel,"מסלק לצוות נפגעים ישירים איך ייראה היומיום שלך? טיפול וסילוק תביעות גוף שנגרמו עקב תאונת דרכים קבלת מסמכים ממבוטחים לגבי הנזק מהתאונה ייזום שיחות למבוטחים לצורך טיפול בתביעות בדיקת הכיסויים הביטוחיים ניהול מו""מ מול נפגעי/ות ישירים, אישור/ דחיה וביצוע התשלום מה אנחנו מחפשים? תעודת בגרות מלאה- חובה יכולת ניהול מו""מ ברמה גבוהה - חובה אוריינטציה מכירתית ושירותית תואר ראשון- יתרון הכרות של נושא שיבובים והשתתפויות בין חברות הביטוח- יתרון היקף משרה: משרה מלאה, ימים א'-ד' 8 וחצי שעות עבודה, יום ה' 6 שעות עבודה ( חמישי קצר) אנחנו על המפה: מתחם הבורסה ברמת גן, בסמוך לרכבת סבידור מרכז ולרכבת הקלה",maternity_cover
מנהל/ת תיקי לקוחות,הראל,גוש דן,2026-07-01,https://career.adamtotal.co.il/Jobs/JobDetails?token=NWk1WHJWZkVhOEFXdFROZnNleGR5a21kZllIaGd2WU5MUVJoaDROTFdOTlkzMWRXTVhPeTQ4c3dhb3d4K0JWalpVeXRIQkJpS0thZDVCdTRucXVTT2c9PQ==&shr=&eid=,מחלקת שימור ניוד,onsite,harel,"איך ייראה היומיום שלך ? שיחות יוצאות למבוטחים אשר העבירו בקשה להעברת כספים/ביטול הפוליסה הקיימת בכל מוצרי חא""ט זיהוי צרכי הלקוח והתאמת המוצרים הפנסיונים אחריות לתפעול השוטף וסגירת מעגל טיפול מתן מענה מקצועי למבוטחים עמידה ביעדי מכירות יומיים וחודשיים תגמול גבוה במיוחד למתאימים! מה אנחנו מחפשים? בעל/ת רישיון בביטוח פנסיוני – חובה רקע בתחום החיסכון ארוך טווח – יתרון משמעותי רקע וניסיון בתפקידי שירות ומכירה ללקוחות – יתרון היקף משרה: משרה מלאה, גמישות בשעות ימים א'-ה', 8.5 שעות ביום אנחנו על המפה: רמת גן, מתחם הבורסה, צמוד לרכבת סבידור מרכז",
מבקר/ת פנים,הראל,גוש דן,2026-07-01,https://career.adamtotal.co.il/Jobs/JobDetails?token=NWk1WHJWZkVhOEFXdFROZnNleGR5a21kZllIaGd2WU5MUVJoaDROTFdOTlo2YllWMWl6MkFqQWpBRURqQjc4d05kdTNmOFZDUGZwb1Z6cy9OdWxtbXc9PQ==&shr=&eid=,מחלקת ביקורת פנים 2,onsite,harel,"איך ייראה היומיום שלך ? ביצוע ביקורות חוצות ארגון , לרבות ניתוח תהליכי עבודה ונתונים תוך זיהוי חשיפות. קיום פגישות עם בעלי תפקידים בדרגים שונים. כתיבת דוחות ביקורת והצגת הממצאים בכתב. מה אנחנו מחפשים? אנו מחפשים מבקר/ת פנים למחלקת ביקורות פנים בעל/ת ניסיון של 1-2 שנים לפחות בביקורת פנים במשרד רו""ח גדול/ חברות ביטוח/ שוק ההון/ בנקים. רואה/ת חשבון לאחר סיום התמחות (יתרון). שליטה מלאה בישומי e Offic היקף משרה: משרה מלאה, ימים א'-ה', 8.5 שעות ביום אנחנו על המפה: רמת גן, מתחם הבורסה, צמוד לרכבת סבידור מרכז",
בקרה איכות מכר,הראל,רמת גן,2026-07-01,https://career.adamtotal.co.il/Jobs/JobDetails?token=NWk1WHJWZkVhOEFXdFROZnNleGR5a21kZllIaGd2WU5MUVJoaDROTFdOTnIwNzJaUUV1M3Ftb2xqQkdxaDRma3NNbzZOZ2k3ZW1EVERONFZVekh2UGc9PQ==&shr=&eid=,תהליכי איכות מכר ופניות הציבור -  סטנדרד,onsite,harel,"אנחנו מחפשים נציג/ת בקרת איכות! חמישי מקוצר! במסגרת התפקיד: • ביצוע בקרה והאזנה על הצעות ופוליסות סיכונים מקצה לקצה – משלב הקליטה ועד להפקה • בדיקת תקינות נתונים ומסמכים בהתאם לנהלי החברה והרגולציה • זיהוי חריגות, פערים ותקלות בתהליך ומתן פתרונות בזמן אמת • תיעוד פעולות ובקרות במערכות החברה מה אנחנו מחפשים? • ניסיון קודם בתפעול/בק אופיס/בקרה – יתרון משמעותי • היכרות עם תחום הסיכונים/המשכנתאות ו/או הביטוח – יתרון היקף המשרה: משרה מלאה, א'-ד' – 8.5 שעות יום ה' מקוצר – 6 שעות בלבד! מיקום המשרה: פתח תקווה - על ציר ראשי של ז'בוטינסקי, בצמוד לרכבת הקלה",
מנהל/ת השקעות - מימון פרוויקטים תשתיות,הראל,רמת גן,2026-07-01,https://career.adamtotal.co.il/Jobs/JobDetails?token=NWk1WHJWZkVhOEFXdFROZnNleGR5a21kZllIaGd2WU5MUVJoaDROTFdOUEdNRXNOOWh0WXRrNXRDYzF5ZkdHd2pTU28wY3BPb1NmMGhUVEJsQ0huT2c9PQ==&shr=&eid=,מחלקת אשראי פרויקטים ותשתיות,onsite,harel,"איך ייראה היומיום שלך ? ניתוח כדאיות מתן הלוואות ועסקאות אשראי בליווי פרויקטים בתשתיות. ייזום עסקאות ניהול מו""מ וקשר שוטף מול לקוחות, בנקים ויועצים. אינטגרציה מול יועצים חיצוניים. מעקב ובקרה אחר עסקאות אשראי שבוצעו, ניהול וטיפול שוטף בהלוואות. הצגת עסקאות לוועדות ההשקעה. מה אנחנו מחפשים? תואר ראשון בכלכלה / מנהל עסקים / חשבונאות ניסיון בתפקיד דומה של מימון או ייזום פרויקטים בתשתיות – מינימום שנתיים. הכרות עם שוק ההון ושוק המימון הכרת מודלים למימון פרויקטאלי אקסל ברמה גבוהה מאוד היקף משרה: משרה מלאה, ימים א'-ד, 8.5 שעות ביום, יום ה'- 6 שעות אנחנו על המפה: רמת גן, מתחם הבורסה, צמוד לרכבת סבידור מרכז ולרכבת הקלה",
רכז/ת דסק מעסיקים,הראל,בית הראל רמת גן,2026-07-01,https://career.adamtotal.co.il/Jobs/JobDetails?token=NWk1WHJWZkVhOEFXdFROZnNleGR5a21kZllIaGd2WU5MUVJoaDROTFdOTjZ3d24yU1MzZEhlTTFXR2V2d3JXNlAzbkNaOUp6aGpSUkxSZE5oNytoSEE9PQ==&shr=&eid=,דסק מעסיקים,onsite,harel,"איך ייראה היומיום שלך ? מתן מענה לפניות במייל למעסיקים מתן מענה טלפוני למעסיקים (3 שעות בלבד של מענה טלפוני ביום) ניתוב פניות לגורמים הרלוונטיים הפקת דו""חות במערכות התפעול מה אנחנו מחפשים? ידע מקצועי בתחום הביטוח והחיסכון – יתרון משמעותי ניסיון בעבודה במוקדים – יתרון משמעותי תודעת שירות גבוהה ואדיבות מוסר עבודה גבוה וחריצות יסודיות וירידה לפרטים הקטנים היקף משרה: משרה מלאה, ימים א'-ד' - 8.5 שעות ביום, יום חמישי - 6 שעות אנחנו על המפה: רמת גן, מתחם הבורסה, צמוד לרכבת סבידור מרכז ולרכבת הקלה",
בקר\ית חקירות,הראל,גוש דן,2026-07-01,https://career.adamtotal.co.il/Jobs/JobDetails?token=NWk1WHJWZkVhOEFXdFROZnNleGR5a21kZllIaGd2WU5MUVJoaDROTFdOT0xuc3c2MFhiZWRpOHhudzJ6TzhKcHZzdHowUTRPdW84VVFHMG14Y0RYMkE9PQ==&shr=&eid=,צוות אימות נתונים90009604,onsite,harel,"איך ייראה היומיום שלך ? קבלת הפניות חקירה ממיישבי התביעות ובאי כוח חיצוניים ביצוע פעולות חקירתיות הפניית חקירות למשרדים חיצוניים ביצוע בקרה שוטפת על תוצרי חקירות/זמני טיפול/שכ""ט מתן שירות שוטף ללקוחות המחלקה מה אנחנו מחפשים? רישיון חוקר ממשרד המשפטים - חובה ניסיון בעבודה בתחום חקירות ביטוח (רכב, רכוש וחבויות) מינימום 3 שנים – חובה ניסיון מחברות ביטוח – יתרון משמעותי שליטה באופיס, מאגרי מידע/מידענות – חובה תואר אקדמאי -יתרון היקף משרה: משרה מלאה, ימים א-ה' 8.5 שעות ביום, שעות נוספות לפי דרישה. אנחנו על המפה: רמת גן, מתחם הבורסה, צמוד לרכבת סבידור מרכז",
