title,company,location,date,url,department,workplace_type,source,description,position_type
למחלקת כספים דרוש.ה חשב.ת שכר,מכון טכנולוגי חולון (HIT),חולון,2026-06-22,https://www.hit.ac.il/jobs/#collapse10,admin_staff,onsite,hit,"במסגרת התפקיד: אחריות על תהליך קליטת עובדים במערכת השכר. טיפול בחישובי שכר על כל מרכיביו. טיפול בתהליכי סיום העסקה, כולל מעקב, הכנה והפקת טפסי 161 וכל המסמכים הנלווים. הפקת דו ""חות וב יצוע בקרות שכר. עבודה בסביבה אקדמית מרובת ממשקים מול סגל אקדמי ומנהלי. מתן מענה מקצועי לעובדי המכון בנושאי שכר. ביצוע משימות נוספות בהתאם לצורכי המחלקה. דרישות התפקיד: תואר אקדמי – יתרון. תעודת בגרות מלאה – חובה. תעודת חשב שכר בכיר מטעם לשכת רואי החשבון – חובה. ניסיון של שנתיים לפחות בתחום השכר – יתרון משמעותי. היכרות עם מערכות ""חילן"" – יתרון משמעותי. שליטה גבוהה באקסל, לרבות נוסחאות ופונקציות מתקדמות – חובה. יכולת עבודה עצמאית לצד עבודה שוטפת מול ממשקים מרובים. יכולת עבודה בסביבה מרובת משימות ותחת לוחות זמנים. תכונות אישיות: יוזמה, כושר תיאום וארגון, סדר, דייקנות ויכולת מעקב, מכוונות למתן שירות ויחסי אנוש מעולים, אמינות, דיסקרטיות ויכולת עבודה עם מידע רגיש. * המשרה פונה לנשים וגברים כאחד. היקף משרה: משרה מלאה + שעות נוספות בהתאם לצורך. כפיפות: מ""מ מנהלת מחלקת כספים. תחילת העסקה: מיידי, בכפוף לגיוס מחליף ",
דרוש.ה רכז.ת למכינה הקדם אקדמית,מכון טכנולוגי חולון (HIT),חולון,2026-06-22,https://www.hit.ac.il/jobs/#collapse20,admin_staff,onsite,hit,"תיאור התפקיד: ריכוז פעילות המנהל האקדמי והאדמיניסטרציה במכינה הקדם אקדמית על תחומיה השונים. עבודה שוטפת מול ממשקים חיצונים ופנימיים במכון. מתן שירות לסטודנטים ולסגל. טיפול וריכוז פניות סטודנטים. דיווח והזנת נתונים למערכות ממוחשבות )לדוגמא, מכלול(. הפקת אישורים ודוחות. ביצוע מטלות נוספות ע""פ דרישות ממונים וצרכי המכינה הקדם אקדמית. כישורים נדרשים: השכלה אקדמית – יתרון משמעותי. תקשורת בין אישית טובה ובעל/ת תודעת שירות גבוהה ויכולת עבודה בצוות. ידע וניסיון במערכת מכלול – יתרון. יכולת הבעה גבוהה בעל-פה ובכתב בעברית, באנגלית – יתרון. יכולת ארגון, סדר ומוסר עבודה גבוה. שליטה מלאה בתוכנות office בפרט POINT, POWER ו EXCEL, OUTLOOK. תכונות אישיות: יסודיות, רהיטות, תקשורת בינאישית טובה, יחסי אנוש מעולים, שירותיות ורמת אחריות גבוהה. *המשרה פונה לנשים וגברים כאחד. היקף משרה: 100% משרה + ש""נ במידת הצורך כפיפות: מנהלת המכינה הקדם אקדמית המכון רשאי לבטל מכרז זה ו/או להשהות את בחירת המועמד המתאים ו/או להשהות את תחילת העבודה לאחר בחירת המועמד והנ""ל על-פי צורכי המכון ועל-פי שיקול דעתו הבלעדי. המעוניינים ",
לפקולטה לעיצוב דרוש/ה מרצה,מכון טכנולוגי חולון (HIT),חולון,2026-06-22,https://www.hit.ac.il/jobs/#collapse11,academic_faculty,onsite,hit,"תאריך פרסום ההזמנה: 08/06/2026 תאריך אחרון להגשת מועמדות: 15/6/2026 (לפחות 7 ימים ממועד פרסום ההזמנה) שם הקורס / תרגול :תולדות האמנות א+ב מס' הקורס / תרגול: 30445+30446 סיווג (קורס / תרגול): קורס פקולטה :הפקולטה לעיצוב מחלקה : פקולטי מס' יחידות הוראה : 2+2 מועד הקורס : סמסטר : א+ב , שנה""ל : תשפ""ז תיאור הקורס: תולדות האמנות א' – קורס זה יוקדש לעיון בתולדות האמנות המערבית בין המאה השביעית לפנה""ס למאה ה-14: האמנות היוונית, האמנות הרומית, אמנות שלהי העת העתיקה ותקופת הנצרות המוקדמת ואמנות ימי-הביניים. תולדות האמנות ב' – קורס זה יוקדש לעיון בתולדות האמנות המערבית בין המאה ה-14 למאה ה-21: אמנות הקדם-רנסנס, אמנות הרנסנס, אמנות הבארוק, אמנות הרוקוקו, אמנות העת החדשה והאמנות העכשווית. תנאי סף להגשת מועמדות לקורס: מינוי כמורה מן החוץ/חבר סגל עמית במכון תואר אקדמי: PHD ניסיון רלוונטי:חובה וותק בהוראה:חובה כתובת דוא""ל להגשת מועמדות design@hit.ac.il הבהרות : על המועמד לכתוב בשורת הנושא של הודעת הדוא""ל את שם ומס' הקורס עבורו הוא מגיש מועמדות. על המועמד לצרף לבקשת המועמדות קורות חיים, מכתב קצר על ניס",
International visiting Postdoctoral position in Optics,מכון טכנולוגי חולון (HIT),חולון,2026-06-22,https://www.hit.ac.il/jobs/#collapse21,academic_faculty,onsite,hit,"Institute Description HIT – Holon Institute of Technology, Israel Faculty of Electrical and Electronics Engineering Remote Optical Sensing Biomedical Lab Role Description This is a full-time, on-site role for an International Postdoctoral Position in a Remote optical sensing biomedical Lab at HIT. The role will involve conducting research, developing innovative speckle-based optical applications, collaborating with a multidisciplinary team, and publishing scientific papers in optics Qualifications Ph.D. in Engineering, Physics, or related discipline with a major in Optics Proven record of publishing scientific papers Previous research involving speckle patterns – advantage Proficiency in MATLAB/Python and other scientific software Excellent analytical and problem-solving skills Ability to work independently and collaboratively in a team environment Ability to supervise undergraduate students Citizenship: Non-Israeli Duration: 6 months (with a chance to extend another 6 months) Start Da",
International visiting Postdoctoral position in ML/AI,מכון טכנולוגי חולון (HIT),חולון,2026-06-22,https://www.hit.ac.il/jobs/#collapse31,academic_faculty,onsite,hit,"Institute Description HIT – Holon Institute of Technology, Israel Faculty of Electrical and Electronics Engineering Remote Optical Sensing Biomedical Lab Role Description This is a full-time, on-site role for an International Postdoctoral Position in a Remote optical sensing biomedical Lab at HIT. The role will involve conducting research, developing innovative machine learning/deep learning applications for medical, optical and electrical devices, collaborating with a multidisciplinary team, and publishing scientific papers in the relevant field. Qualifications Ph.D. in Engineering, Physics, or related discipline with a major in Optics Proven record of publishing scientific papers Previous research involving speckle patterns – advantage Proficiency in MATLAB/Python and other scientific software Excellent analytical and problem-solving skills Ability to work independently and collaboratively in a team environment Ability to supervise undergraduate students Citizenship: Non-Israeli Dura",
משרת פוסטדוק | Postdoctoral Position,מכון טכנולוגי חולון (HIT),חולון,2026-06-22,https://www.hit.ac.il/jobs/#collapse41,academic_faculty,onsite,hit,"Postdoctoral Position A postdoctoral position is available at the Holon Institute of Technology in the laboratory of Prof. Alla Zak. The lab focuses on the synthesis and characterization of inorganic nanomaterials for various applications. The position is for one year, with the possibility of extension. Requirements: Ph.D. in Chemistry, Inorganic Chemistry, or Materials Engineering Experience with analytical techniques such as Transmission Electron Microscopy (TEM), Scanning Electron Microscopy (SEM), and X-ray Diffraction (XRD) is highly desirable. Contact should be made through the scientist – alzak@hit.ac.il",
משרת פוסטדוק | Postdoctoral Position,מכון טכנולוגי חולון (HIT),חולון,2026-06-22,https://www.hit.ac.il/jobs/#collapse51,academic_faculty,onsite,hit,"Research Institute Description The Holon Institute of Technology (HIT) focuses on teaching and research in sciences, engineering, computer science, technology, management of technology, and design. The institute emphasizes multi-disciplinary theoretical and practical study of innovative technologies. You can learn more about Dr. Yuval Dorfan, HIT, here: https://dorfany.wixsite.com/dorfan-group/contact . The proposed positions are based on a few collaborations Dr. Dorfan has in Israel. Role Description This is a full-time on-site role for Postdoc, Ph.D. or M.Sc. positions. The responsibilities include conducting synthetic microbiology research, performing data analysis, engaging in laboratory activities, and mentoring undergraduate students. Candidates will contribute to the academic community by publishing research findings and participating in interdisciplinary projects. Qualifications Proficiency in microbiology wet laboratory skills Experience in conducting research and performing d",
למחלקה במדעי הנתונים דרושים מרצים ומרצות לעיבוד שפה טבעית,מכון טכנולוגי חולון (HIT),חולון,2026-06-22,https://www.hit.ac.il/jobs/#collapse61,academic_faculty,onsite,hit,"דרוש תואר שלישי בתחום (ד""ר) תלמידי הקורס יכירו את המורכבות של המידול בשפות אנושיות, בתוספת ידע מעשי על פתרון משימות מסווג מסמכים לתרגום מכונה. בקורס זה נדון באלגוריתמים שונים של NLP נסביר ויישם אלגוריתמים בסיסיים וטכניקות בתחום. לדוגמא התלמידים ילמדו להבין גישות תחביר וסמנטיקה, הבנת גישות לשיח, יצירת דיאלוג וניהולו במכונה, ולסיכום והבנת שיטות קיימות לגישות סטטיסטיות לתרגום מכונה. הבנת טכניקות הלמידה של מכונה בשימוש ב ,NLP- כולל מודלי Markov מוסתרים ודקדוקים הסתברותיים ללא הקשר, אשכולות ושיטות ללא השגחה, מודלים ליניאריים ועוד. הסטודנט יידרש לרקע מתמטי מספיק כדי להיות מסוגל לקרוא מאמרים בלמידת מכונה אשר כוללים טיעונים לגבי סטטיסטיקה והסתברות בנוסף מיומנויות תכנות טובות כדי לפתח מודלים עבור הפרויקט הסופי בשפות המתאימות לכך, כגון R, Python וכו'",
למחלקה במדעי הנתונים דרושים מרצים ומרצות למערכות תומכות החלטה,מכון טכנולוגי חולון (HIT),חולון,2026-06-22,https://www.hit.ac.il/jobs/#collapse71,academic_faculty,onsite,hit,"דרוש תואר שלישי בתחום (ד""ר) הקורס מספק ידע תיאורטי ומעשי על צרכי המידע בתהליכי קבלת החלטות של יחידים וארגונים. אפיון של סיטואציות החלטה מבחינת: רמת המבניות, אופן ההצגה, המידע הנדרש, ומודלים שיסייעו בקבלת החלטות. הכרת עקרונות הסיווג והצגת העקרונות של מערכות מידע המסייעות בתהליכי קבלת החלטות. הקניית יכולת מתודולוגית להיעזר במערכות מידע ממוחשבות בסיטואציות החלטה. גישות ושיטות לעיצוב מערכות תומכות החלטה. הקורס דן ביחסי הגומלין בין סיטואציות החלטה והמידע הנדרש לבין קבלת החלטות. בנוסף, נלמדות גישות ומתודולוגיות לעיצוב מערכות מידע לתמיכה בקבלת החלטות. הסטודנטים יתנסו בבעיות מחקריות ויישומים אמיתיים תוך דגש על פרויקט מסכם של הקורס (בשיטת למידה מבוססת פרויקטים) ולפי מסלול ההתמחות.",
למחלקה במדעי הנתונים דרושים מרצים ומרצות לאבטחה והגנה על מערכות נתוני עתק | Protection Security of Big Data,מכון טכנולוגי חולון (HIT),חולון,2026-06-22,https://www.hit.ac.il/jobs/#collapse81,academic_faculty,onsite,hit,"דרוש תואר שלישי בתחום (ד""ר) הקורס מיועד להקנות לסטודנטים היכרות עם עולם האבטחה וההגנה על מאגרים של נתוני עתק, והבנה של הכלים הקיימים המאפשרים פעילויות מניעתיות, תגובתיות ושיקומיות. נושאי הקורס: זיהוי אירועים חריגים הגורמים נזק למאגרי נתוני עתק, אבטחת מידע ופרטיות, היבטים של אתיקה.",
