title,company,location,date,url,department,workplace_type,level,source,position_type
יועץ.ת סביבה/מהנדס.ת סביבה לתחום קרקעות מזוהמות ומי תהום,c3,רחובות,2026-06-15,https://hujicareer.co.il/jobs/%d7%99%d7%95%d7%a2%d7%a5-%d7%aa-%d7%a1%d7%91%d7%99%d7%91%d7%94-%d7%9e%d7%94%d7%a0%d7%93%d7%a1-%d7%aa-%d7%a1%d7%91%d7%99%d7%91%d7%94-%d7%9c%d7%aa%d7%97%d7%95%d7%9d-%d7%a7%d7%a8%d7%a7%d7%a2%d7%95%d7%aa/,,onsite,junior,huji,
משרות סטודנט/ית שוות באסם-נסטלה,HUJI Career,,2026-06-15,https://hujicareer.co.il/jobs/%d7%9e%d7%a9%d7%a8%d7%95%d7%aa-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%a9%d7%95%d7%95%d7%aa-%d7%91%d7%90%d7%a1%d7%9d-%d7%a0%d7%a1%d7%98%d7%9c%d7%94-2/,,onsite,junior,huji,
מדריכי/ות שיקום לאנשים עם מוגבלות - אלווין ישראל,ELWIN-LOGO,ירושלים,2026-06-15,https://hujicareer.co.il/jobs/%d7%9e%d7%93%d7%a8%d7%99%d7%9b%d7%99-%d7%95%d7%aa-%d7%a9%d7%99%d7%a7%d7%95%d7%9d-%d7%9c%d7%90%d7%a0%d7%a9%d7%99%d7%9d-%d7%a2%d7%9d-%d7%9e%d7%95%d7%92%d7%91%d7%9c%d7%95%d7%aa-%d7%90%d7%9c%d7%95%d7%95/,,onsite,junior,huji,
דרוש.ה עוזר.ת לרכז היחידה לשירותי הוראה - מדעי החברה,HUJI Career,ירושלים,2026-06-15,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a2%d7%95%d7%96%d7%a8-%d7%aa-%d7%9c%d7%a8%d7%9b%d7%96-%d7%94%d7%99%d7%97%d7%99%d7%93%d7%94-%d7%9c%d7%a9%d7%99%d7%a8%d7%95%d7%aa%d7%99-%d7%94%d7%95%d7%a8%d7%90%d7%94/,,onsite,junior,huji,
עמותת אלווין ישראל מחפשת עובדת סוציאלית למרכז יום בירושלים,ELWIN-LOGO,ירושלים,2026-06-15,https://hujicareer.co.il/jobs/%d7%a2%d7%9e%d7%95%d7%aa%d7%aa-%d7%90%d7%9c%d7%95%d7%95%d7%99%d7%9f-%d7%99%d7%a9%d7%a8%d7%90%d7%9c-%d7%9e%d7%97%d7%a4%d7%a9%d7%aa-%d7%a2%d7%95%d7%91%d7%93%d7%aa-%d7%a1%d7%95%d7%a6%d7%99%d7%90%d7%9c/,,onsite,junior,huji,
מדריכ/ה שיקומי/ת למסגרת יום - אלווין ישראל,ELWIN-LOGO,,2026-06-15,https://hujicareer.co.il/jobs/%d7%9e%d7%93%d7%a8%d7%99%d7%9b-%d7%94-%d7%a9%d7%99%d7%a7%d7%95%d7%9e%d7%99-%d7%aa-%d7%9c%d7%9e%d7%a1%d7%92%d7%a8%d7%aa-%d7%99%d7%95%d7%9d-%d7%90%d7%9c%d7%95%d7%95%d7%99%d7%9f-%d7%99%d7%a9%d7%a8/,,onsite,junior,huji,
"עו""ס/ית במרכז יום - אלווין ישראל",ELWIN-LOGO,,2026-06-15,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%a1-%d7%99%d7%aa-%d7%91%d7%9e%d7%a8%d7%9b%d7%96-%d7%99%d7%95%d7%9d-%d7%90%d7%9c%d7%95%d7%95%d7%99%d7%9f-%d7%99%d7%a9%d7%a8%d7%90%d7%9c/,,onsite,junior,huji,
גלעם מגייסת כלכלן/ית לתפקיד משמעותי במחלקה הכלכלית,maxresdefault,,2026-06-15,https://hujicareer.co.il/jobs/%d7%92%d7%9c%d7%a2%d7%9d-%d7%9e%d7%92%d7%99%d7%99%d7%a1%d7%aa-%d7%9b%d7%9c%d7%9b%d7%9c%d7%9f-%d7%99%d7%aa-%d7%9c%d7%aa%d7%a4%d7%a7%d7%99%d7%93-%d7%9e%d7%a9%d7%9e%d7%a2%d7%95%d7%aa%d7%99-%d7%91%d7%9e/,,onsite,junior,huji,
מפעיל/ת חדר בקרה,HUJI Career,ירושלים,2026-06-14,https://hujicareer.co.il/jobs/%d7%9e%d7%a4%d7%a2%d7%99%d7%9c-%d7%aa-%d7%97%d7%93%d7%a8-%d7%91%d7%a7%d7%a8%d7%94/,,onsite,junior,huji,
"סטודנט/ית באגף רכש, נכסים ולוגיסטיקה במשרד החדשנות, המדע והטכנולוגיה ומשרד התרבות והספורט",HUJI Career,ירושלים,2026-06-10,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%91%d7%90%d7%92%d7%a3-%d7%a8%d7%9b%d7%a9-%d7%a0%d7%9b%d7%a1%d7%99%d7%9d-%d7%95%d7%9c%d7%95%d7%92%d7%99%d7%a1%d7%98%d7%99%d7%a7%d7%94-%d7%91%d7%9e/,,onsite,junior,huji,
אחראי/ת קשרי לקוחות למרפאה הדנטלית בתאגיד הבריאות שמיר,111111,,2026-06-10,https://hujicareer.co.il/jobs/%d7%90%d7%97%d7%a8%d7%90%d7%99-%d7%aa-%d7%a7%d7%a9%d7%a8%d7%99-%d7%9c%d7%a7%d7%95%d7%97%d7%95%d7%aa-%d7%9c%d7%9e%d7%a8%d7%a4%d7%90%d7%94-%d7%94%d7%93%d7%a0%d7%98%d7%9c%d7%99%d7%aa-%d7%91%d7%aa%d7%90/,,onsite,junior,huji,
משרות פתוחות במשרד מבקר המדינה,news-img2,ירושלים,2026-06-10,https://hujicareer.co.il/jobs/%d7%9e%d7%a9%d7%a8%d7%95%d7%aa-%d7%a4%d7%aa%d7%95%d7%97%d7%95%d7%aa-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%9e%d7%91%d7%a7%d7%a8-%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94/,,onsite,junior,huji,
"למרכז רפואי צפון (פוריה) דרוש/ה מנהל/ת מחסן/מרלו""ג ב'",לוגו-מרכז-רפואי-שקוף,,2026-06-10,https://hujicareer.co.il/jobs/7989/,,onsite,junior,huji,
למוקדי השירות של אגף הכספים ואגף משאבי אנוש במשרד הביטחון דרושים נציגי שירות,לוגו משרד הביטחון,תל אביב,2026-06-10,https://hujicareer.co.il/jobs/%d7%9c%d7%9e%d7%95%d7%a7%d7%93%d7%99-%d7%94%d7%a9%d7%99%d7%a8%d7%95%d7%aa-%d7%a9%d7%9c-%d7%90%d7%92%d7%a3-%d7%94%d7%9b%d7%a1%d7%a4%d7%99%d7%9d-%d7%95%d7%90%d7%92%d7%a3-%d7%9e%d7%a9%d7%90%d7%91%d7%99/,,onsite,junior,huji,
