title,company,location,date,url,department,workplace_type,level,source,position_type
דרוש סטודנט למשפטים לארכיון המדינה,PrimeMinisterOfficeEmblem,ירושלים,2026-05-28,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%9c%d7%9e%d7%a9%d7%a4%d7%98%d7%99%d7%9d-%d7%9c%d7%90%d7%a8%d7%9b%d7%99%d7%95%d7%9f-%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-2/,,onsite,junior,huji,
לחברה בירושלים דרושים/ות 2 סטודנטים/ות לעזרה בהרכבות מכניות של מוצרים אלקטרו-מכניים מדויקים,c3,ירושלים,2026-05-28,https://hujicareer.co.il/jobs/%d7%9c%d7%97%d7%91%d7%a8%d7%94-%d7%91%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d-%d7%93%d7%a8%d7%95%d7%a9%d7%99%d7%9d-%d7%95%d7%aa-2-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98%d7%99%d7%9d-%d7%95%d7%aa-%d7%9c/,,onsite,junior,huji,
Breeding Assistant,images (1),,2026-05-28,https://hujicareer.co.il/jobs/breeding-assistant/,,onsite,junior,huji,
QC Laboratory Technician,images (1),,2026-05-28,https://hujicareer.co.il/jobs/qc-laboratory-technician-2/,,onsite,junior,huji,
EHS Specialist,images (1),,2026-05-28,https://hujicareer.co.il/jobs/ehs-specialist/,,onsite,junior,huji,
סטודנט/ית למינהלת איסרד,הרשות לחדשנות,ירושלים,2026-05-27,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%9e%d7%99%d7%a0%d7%94%d7%9c%d7%aa-%d7%90%d7%99%d7%a1%d7%a8%d7%93/,,onsite,junior,huji,
סטודנט/ית לחטיבת צמיחה,הרשות לחדשנות,ירושלים,2026-05-27,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%97%d7%98%d7%99%d7%91%d7%aa-%d7%a6%d7%9e%d7%99%d7%97%d7%94/,,onsite,junior,huji,
דרוש/ה סטודנט/ית לפיתוח עסקי ומכירות למגזר הפיננסי,logo1,תל אביב,2026-05-27,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%a4%d7%99%d7%aa%d7%95%d7%97-%d7%a2%d7%a1%d7%a7%d7%99-%d7%95%d7%9e%d7%9b%d7%99%d7%a8%d7%95%d7%aa-%d7%9c%d7%9e/,,onsite,junior,huji,
לרשות מקרקעי ישראל דרוש/ה סטודנט/ית בתכנון ערים,Israel_Land_Authority_Logo.svg,תל אביב,2026-05-27,https://hujicareer.co.il/jobs/%d7%9c%d7%a8%d7%a9%d7%95%d7%aa-%d7%9e%d7%a7%d7%a8%d7%a7%d7%a2%d7%99-%d7%99%d7%a9%d7%a8%d7%90%d7%9c-%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%91%d7%aa%d7%9b/,,onsite,junior,huji,
מתאמ/ת מחקר B. Sc. במדעי הטבע,c3,ירושלים,2026-05-27,https://hujicareer.co.il/jobs/%d7%9e%d7%aa%d7%90%d7%9e-%d7%aa-%d7%9e%d7%97%d7%a7%d7%a8-b-sc-%d7%91%d7%9e%d7%93%d7%a2%d7%99-%d7%94%d7%98%d7%91%d7%a2/,,onsite,junior,huji,
