title,company,location,date,deadline,url,jobcode,campus,department,workplace_type,description,requirements
מומחה/ית מערכות הזדהות-האגף למחשוב,האוניברסיטה העברית בירושלים,ירושלים,2026-05-28,2026-06-10,https://huji.hunterhrms.com/job-details/?jobcode=JB-4760,JB-4760,"קמפוס  ע""ש אדמונד י.ספרא",,onsite,"•	שותף בכיר בצוות פיתוח מערכות IDM האוניברסיטאיות.
•	פיתוח ותחזוקת המערכות הקיימות וכתיבת מערכות חדשות המתממשקות לקיימות.
•	שילוב מוצרים חיצוניים במערכות, כולל מוצרים מסחריים ומוצרי קוד פתוח.
•	כתיבת ממשקים חדשים למערכות חיצוניות.
•	פיתוח במערך מסדי הנתונים של מערכת ה-IDM, ופיתוח בתוכנות עזר.
•	משימות נוספות בהתאם לדרישות הממונים.","•	תעודת בגרות מלאה. תואר במדעי המחשב או לחליפין תעודת הנדסאי תוכנה/חומרה – יתרון.
•	ניסיון של 3 שנים ב-MYSQL, כולל פרוצדורות ו-Triggers.
•	ניסיון בעבודה במערכות גדולות מרובות תשתיות מורכבות - יתרון.
•	ידע ב-LINUX כמשתמש מתקדם.
•	ידע בשפת תכנות מודרנית (Python וכד’).
•	יכולת למידה של פרוטוקולים ומוצרים מורכבים.
•	היכרות פרוטוקולי הזדהות: SAML2, OAUTH, LDAP – יתרון.
•	ידע ב-JAVA- יתרון.
•	ידע ב-PHP- יתרון.
•	ידע במערכת NetIQ IDM – יתרון.
•	ידיעת השפה העברית על בוריה ואנגלית טכנית ברמה טובה.
•	יחסי אנוש טובים, יוזמה ויכולת עבודה בצוות."
ראש/ת צוות דיווח ובקרה-הרשות למחקר ופיתוח,האוניברסיטה העברית בירושלים,ירושלים,2026-05-28,2026-06-10,https://huji.hunterhrms.com/job-details/?jobcode=JB-4979,JB-4979,"קמפוס  ע""ש אדמונד י.ספרא",,onsite,"האוניברסיטה העברית בירושלים היא המוסד המוביל בישראל להשכלה גבוהה. האוניברסיטה חרטה על דגלה חזון של מצוינות בהוראה, מחקר ובהון האנושי.
הרשות למחקר ופיתוח באוניברסיטה העברית מחפשת ראש צוות דיווח ובקרה -  תפקיד מרכזי ובעל השפעה, הכולל אחריות על ניהול צוות, בקרת תהליכים פיננסיים והובלת שיפורים בעבודה מול חוקרים ומממנים בארץ ובחו""ל.
תיאור התפקיד:
•	ניהול צוות רכזי תקציב ודיווח: הובלה, הדרכה ופיקוח על ביצוע המשימות.
•	אחריות על הכנת ובקרת דוחות כספיים לתקציבי מחקר, תוך עמידה בדרישות המממנים.
•	אפיון ושיפור תהליכי עבודה.
•	קביעת נוהלי עבודה והנחיות לדיווח בהתאם לכללי המממנים ולנהלי האוניברסיטה.
•	ליווי ביקורות רו""ח ותיקון הליקויים הנדרשים וכן ייצוג הרשות למו""פ בנושאים פיננסיים מול הגורמים השונים.
•	עבודה עם חוקרים, עוזרי מנהל, חשבים ובעלי תפקידים שונים באוניברסיטה.
•	משימות נוספות בהתאם להנחיות הממונה ומנהל הרשות למו""פ.
כפיפות ישירה למנהל/ת היחידה הפיננסית","•	תואר אקדמי. תואר בחשבונאות/כלכלה ו/או תואר שני-יתרון.
•	ניסיון מעשי משמעותי בעבודה חשבונאית/הנה""ח/תקצוב ודיווח.
•	ניסיון קודם בניהול צוות עובדים.
•	שליטה ברמה גבוהה ביישומי Office בדגש על Excel.
•	ידיעת השפה העברית על בוריה ואנגלית ברמה טובה.
•	אחריות, כושר ארגון, יכולת עבודה בתנאי לחץ ותודעת שירות גבוהה.
•	זמינות לעבודה בשעות נוספות, לפי הצורך.
היקף:	משרה מלאה"
מנהל/ת FAB LAB-מרכז אדמונד ולילי ספרא למדעי המוח,האוניברסיטה העברית בירושלים,ירושלים,2026-05-28,2026-06-10,https://huji.hunterhrms.com/job-details/?jobcode=JB-5052,JB-5052,"קמפוס  ע""ש אדמונד י.ספרא",,onsite,"•	אחריות והובלה מקצועית של פרויקטים ובכלל זה: מתן שירותי עיצוב, הנדסה, תכנון וייצור של אבות-טיפוס פונקציונליים עבור חוקרים.
•	ניהול שוטף של היחידה: ניהול צוות עובדים, ניהול תקציב, רכש והזמנות, ניהול אספקה של חומרי גלם ורכיבים נוספים, עבודה מול ספקים.
•	תפעול ופיתוח תשתיות: אחריות על צי המכונות ביחידה (אוטומטי וידני), אחריות על תכנון ופיתוח היחידה והצטיידותה בהתאם לצרכי המחקר ולהתפתחויות טכנולוגיות בתחום.
•	מתן הדרכה, ייעוץ ושיתוף ידע בתחומי התכנון והייצור לחוקרים המעוניינים לבצע פרויקטים באופן עצמאי ב-Makerspace.
•	בחינת רעיונות לפרויקטים ישירות באתר בו מתבצע הניסוי תוך התאמה מלאה לצרכי החוקר ומתן שירות מקצועי וגמיש בהתאם לצרכים ולעומס.
•	מטלות נוספות בהתאם להוראות הממונים.","•	תואר אקדמי בהנדסת מכונות/ עיצוב תעשייתי או הנדסה בתחום רלוונטי.
•	ניסיון מעשי (Hands-on) בהפעלת מכונות ייצור דיגיטליות (CNC כרסום 3 צירים, מדפסות FFF/SLA, לייזר) וכלים אנלוגיים (כרסומת, מחרטה).
•	ניסיון בתכנון וייצור In-house של אבות-טיפוס (Prototyping) משלב הרעיון ועד להטמעה.
•	ניסיון בתכנון מתקנים לניסויים, ג׳יגים, רכיבים אופטו־מכניים או מערכות למעבדה - יתרון.
•	ניסיון בניהול עובדים/בהדרכה - יתרון.
•	היכרות עם צורכי מחקר במדעי המוח, אופטיקה, מיקרוסקופיה, אלקטרופיזיולוגיה או מערכות ניסוי - יתרון.
•	שליטה בתוכנות CAD/CAM (עדיפות ל-Solidworks ו-Solidcam) ובתוכנות הכנה לייצור בדו ותלת מימד (כגון Vcarve, Lightburn וסלייסרים)
•	שליטה מלאה ביישומי Office ואינטרנט.
•	ידיעת השפה העברית על בוריה ואנגלית ברמה טובה.
•	יכולת ניהול פרויקטים מקבילים, יצירתיות, תודעת שירות גבוהה.
היקף:	משרה מלאה"
מזכיר/ה לענייני הוראה - בית הספר לרפואה– הפקולטה לרפואה,האוניברסיטה העברית בירושלים,ירושלים,2026-05-28,2026-06-04,https://huji.hunterhrms.com/job-details/?jobcode=JB-5025,JB-5025,קמפוס עין כרם,,onsite,"ניהול צוות המזכירות לענייני הוראה ותלמידים של בית הספר לרפואה ואחריות לביצוע התפקידים המוטלים על המזכירות ובכלל זה:
•	תכנון ובניית תוכנית הלימודים בשנים הפרה-קליניות והקליניות.
•	בניית לוח הבחינות בתיאום עם נציגי הסטודנטים והחוגים.
•	 טיפול במלגות ביה""ס ובפרסים.
•	אחריות על הליכי הרישום והקבלה וריכוז פעילות ועדת הקבלה.
•	טיפול בסטודנטים בתואר ראשון ושני: מתן עזרה בבעיות הקשורות ללימודים, ציונים, מתן אישורים, טיפול בסקר הערכת ההוראה, סגירת תארים, טיפול בבחינות גמר ועוד.
•	אחריות על ועדות הוראה (קליני ופרה-קליני), הכנת חומרי רקע, כתיבת פרוטוקולים ומעקב אחרי ביצוע ההחלטות.
•	סיוע וייעוץ לסגל האקדמי והמנהלי הרלוונטי בכל הקשור לנהלי הוראה ולתקנוני האוניברסיטה.
•	שותפות בהובלת תהליכי שיפור השירות לסטודנטים, כולל הדרכת צוות המזכירות והטמעת תכנים רלבנטיים.
•	טיפול בבעיות אקדמיות חריגות, השתתפות בוועדות משמעת , ריכוז ועדות קידום, בעיות פרט, ערעורים על החלטות ועדת הוראה וכיו""ב.
•	אחריות על תכנון, ארגון והוצאה לפועל של טקסים.
•	עבודה שוטפת מול גורמי פנים וחוץ אוניברסיטאיים לרבות מול ביה""ח הדסה.
•	מטלות נוספות בהתאם להנחיות הנהלת הפקולטה והמנהלים האקדמיים.","•	תואר אקדמי. תואר שני- יתרון.
•	ניסיון בעבודה בנושאי הוראה ותלמידים – יתרון.
•	היכרות עם תוכנות ההוראה, הרישום והבחינות האוניברסיטאיות.
•	ניסיון בניהול צוות עובדים-יתרון.
•	שליטה מלאה ביישומי Office ואינטרנט ויכולת למידה של מערכות ממוחשבות.
•	 ידיעת השפה העברית על בוריה ואנגלית ברמה טובה.
•	יחסי אנוש מעולים, יוזמה, כושר ארגון, יכולת הנעה ותודעת שירות גבוהה.
•	נכונות ויכולת לעבודה בשעות נוספות, בהתאם לצורך.
היקף:  משרה מלאה"
מתאם/ת מחשוב-הפקולטה למתמטיקה ולמדעי הטבע – המכון למדעי החיים,האוניברסיטה העברית בירושלים,ירושלים,2026-05-28,2026-06-04,https://huji.hunterhrms.com/job-details/?jobcode=JB-5041,JB-5041,"קמפוס  ע""ש אדמונד י.ספרא",,onsite,"מתן שירותי תמיכה במחשוב, ובכלל זה:
•	אחריות על הפעלת ותחזוקת המחשבים והציוד הנלווה במכון, כולל מענה מידי לקריאות ולתקלות, התקנות ושדרוגים.
•	מתן סיוע, הדרכה ותמיכה לעובדי המכון בתפעול הציוד ובשימוש בתוכנות.
•	 תמיכה אפליקטיבית בתוכנות קיימות כגון תוכנות Office ומערכות פנים -אוניברסיטאיות והטמעת תוכנות חדשות למנהל ומחקר.
•	סיוע ותמיכה בטכנולוגיות הוראה לרבות עבודה ב-Moodle ו-Tomax ,קורסים מקוונים ומצולמים ומעבר לביצוע בחינות ממוחשבות.
•	תחזוקה שוטפת של אתר האינטרנט של המכון וסיוע בניהול התוכן.
•	תחזוקה של שרתי LINUX  ועבודה עם שירותי אחסון.
•	אפיון חומרות מתאימות עבור מחקר.
•	ייעוץ בנושא רכש מערכות מחשוב, חומרה ותוכנה.
•	פתיחת חשבונות מחשב, דוא""ל וגישה מרחוק לפי הוראות האגף למחשוב.
•	תחזוקת ציוד מולטימדיה בשיתוף עם אנשי אגף מחשוב.
•	משימות נוספות בהתאם להנחיות הממונים.
הנחייה מקצועית ודיווח למתאם מערכות מידע ומחשוב פקולטאי","•	תעודת בגרות מלאה והכשרה פורמאלית מוכחת בתחום המחשוב או תואר בוגר במדעי המחשב או הנדסאי תוכנה/מחשבים.
•	ניסיון בתמיכה במשתמשים ובהתקנת מחשבים וציוד ממוחשב, בהגדרת התחברות מחשבים לרשת ולציוד היקפי וכן באיתור וטיפול בתקלות.
•	הכרות עם Moodle – יתרון.
•	הכרת מערכת הפעלה Microsoft ותוכנות Windows לעומק.
•	ידע במערכות Linux  ו- OSX/macOS. – יתרון.
•	היכרות בסיסית של פרוטוקולי רשת ותוכנות, כגון TCP/IP, RDP, NFS, CIFS, FTP SSH – יתרון.
•	שליטה מלאה ביישומי Office ואינטרנט.
•	ידיעת השפה העברית על בוריה ואנגלית טכנית ברמה טובה.
•	יכולת עבודה עצמאית, יחסי אנוש מעולים, יוזמה ותודעת שירות גבוהה.
•	נכונות לעבודה בשעות עבודה לא שגרתיות ובשעות נוספות בהתאם לצורך.
היקף:	משרה מלאה"
עובד/ת מעבדה- בית הספר לרוקחות,האוניברסיטה העברית בירושלים,ירושלים,2026-05-28,2026-06-04,https://huji.hunterhrms.com/job-details/?jobcode=JB-4998,JB-4998,,,onsite,"השתתפות בניהול השוטף של שתי מעבדות החוקרות כאב והתמכרות ובכלל זה:
•	תמיכה מקצועית וטכנית במחקרים המתנהלים במעבדות המחקר.
•	עיבוד וניתוח נתוני המחקר במעבדה, לרבות הפקת דוחות וממצאים.
•	סיוע וייעוץ לצוות, סטודנטים וחוקרים בעבודתם במעבדת המחקר.
•	אחריות ואכיפה של נהלי העבודה במעבדה.
•	סיוע בניהול האדמיניסטרטיבי של המעבדה ובכלל זה: הזמנת ציוד וחומרים, מעקב אחר מלאי ועבודה מול ספקים.
•	הדרכת סטודנטים בנושאי בטיחות במעבדה.
•	הפעלת הציוד והמכשור במעבדה ואחזקתו השוטפת.
•	משימות נוספות בהתאם להוראות הממונים.","•	תואר שני במדעים ניסויים. תואר שלישי- יתרון.
•	ניסיון בשיטות מחקר במדעי החיים, אלקטרופיזיולגיה/ביולוגיה מולקולרית/ביוכימיה – יתרון.
•	ניסיון בעבודה עם עכברים - יתרון.
•	שליטה מלאה ביישומיOffice   ואינטרנט.
•	ידיעת השפה העברית על בוריה והשפה האנגלית ברמה טובה.
•	יכולת עבודה בצוות, יכולת הדרכה ויחסי אנוש מצוינים.
•	כושר ארגון, יכולת עמידה בריבוי משימות, יוזמה, סקרנות וחריצות.
•	נכונות ויכולת לעבוד בשעות נוספות, במידת הצורך.
היקף:  משרה מלאה"
רכז/ת תמיכה בטכנולוגיות להוראה ולמידה- הפקולטה לרפואה,האוניברסיטה העברית בירושלים,ירושלים,2026-05-28,2026-06-03,https://huji.hunterhrms.com/job-details/?jobcode=JB-5000,JB-5000,קמפוס עין כרם,,onsite,"הובלה והטמעה של מערכות למידה ממוחשבות ופתרונות דיגיטליים תומכי הוראה ולמידה בקרב סגל אקדמי ומנהלי ובכלל זה:
•	מתן תמיכה טכנית בתחום הבחינות הממוחשבות, פיקוח, בקרה וניטור הבחינה בזמן אמת.
•	הטמעה והדרכה של תוכנות וטכנולוגיות חדשניות בתחומי ההוראה והלמידה והטמעתן אצל המשתמשים.
•	מתן מענה שוטף לפניות משתמשים, טיפול בתקלות ומתן פתרונות מהירים בשטח תוך תיעדוף משימות ועבודה בסביבה מרובת ממשקים.
•	אחריות כוללת על הכלים הטכנולוגיים בסביבת ההוראה, בשיתוף עם יה""ל.
•	אחריות על ניהול מערכת הסקרים בשנים הקליניות לרבות פיקוח ובקרה של הזנת הנתונים.
•	קשר עם אגף המחשוב ומימוש הנחיות האגף והנהלת האוניברסיטה בהיבטים טכנולוגיים.
•	אחריות והובלה מקצועית של צוות עוזרי הוראה.
•	התפקיד ממוקם ביחידה לחינוך רפואי ובממשקי עבודה עם היחידה לשירותי הוראה.
•	מטלות נוספות בהתאם להנחיות הממונים.","•	תואר אקדמי. תואר בטכנולוגיות למידה/ מערכות מידע/ חינוך/ מדעי המחשב או תואר שני- יתרון.
•	ידע וניסיון במערכות למידה ממוחשבות. הכרת מערכת Moodle- יתרון.
•	ניסיון בעבודה בסביבה אקדמית- יתרון .
•	ניסיון בניהול והובלת צוות עובדים- יתרון.
•	שליטה מלאה ביישומי Office ואינטרנט.
•	ידיעת השפה העברית על בוריה ואנגלית ברמה טובה.
•	יחסי אנוש מצוינים ויכולת עבודה עם קהל מגוון ובממשקים מרובים.
•	יכולת עבודה בסביבה מורכבת ומשתנה, יוזמה, חדשנות וחשיבה אסטרטגית.
היקף:	משרה מלאה"
טכנאי/ת מכניקה בכיר/ה-מכון רקח לפיסיקה -טבע,האוניברסיטה העברית בירושלים,ירושלים,2026-05-28,2026-06-02,https://huji.hunterhrms.com/job-details/?jobcode=JB-5050,JB-5050,"קמפוס  ע""ש אדמונד י.ספרא",,onsite,"•	ייצור חלקים למערכות מחקר והוראה בעיבוד שבבי, כולל כרסום וחריטה.
•	יכולת עבודה עם מגוון חומרים: מתכות, חומרים פלסטיים ואל-מתכות.
•	הרכבה של מכלולים מחלקים בסיסיים: מערכות אופטיות, מערכות הנעה, תאי זרימה ומחליפי חום.
•	עבודה מול סטודנטים וחוקרים.
•	מטלות נוספות בהתאם להוראות הממונים.","•	תעודת טכנאי הנדסאי/ תואר ראשון בתחום מדעים.
•	ניסיון עבודה של שנתיים לפחות בעיבוד שבבי, חריטה וכרסום קונבנציונליים.
•	יכולת קריאת שרטוט טכני.
•	ידע בתכנות והפעלת כרסומת CNC -יתרון.
•	ידיעת השפה העברית על בוריה ואנגלית טכנית ברמה טובה.
•	יכולת עבודה עצמאית ובצוות, תודעת שירות גבוהה.
היקף:	משרה מלאה"
עובד/ת מעבדה-הפקולטה לרפואה והפק' לרפואת שיניים,האוניברסיטה העברית בירושלים,ירושלים,2026-05-28,2026-06-02,https://huji.hunterhrms.com/job-details/?jobcode=JB-4980,JB-4980,קמפוס עין כרם,,onsite,"התפקיד כולל חצי משרה ביחידה לתשתיות מחקר של הפקולטה לרפואה וחצי משרה בניהול מעבדה בפקולטה לרפואת שיניים:
•	הפעלה שוטפת ותחזוקה של מערכת microCT להדמיה תלת־ממדית ברזולוציה גבוהה של דגימות ביולוגיות ואחרות, כולל ביצוע סריקות בהתאם לפרוטוקולים ועמידה בתקני בטיחות.
•	עיבוד וניתוח נתונים באמצעות תוכנות ייעודיות והפקת תוצאות למחקרים.
•	תיאום וניהול משתמשים במערכת, לרבות חוקרים וסטודנטים, ומתן תמיכה מקצועית וטכנית למחקרים המתקיימים ביחידה.
•	שמירה על תקינות המכשור, ביצוע בדיקות תקופתיות ותיאום טיפולים ותחזוקה מול ספקים.
•	סיוע בביצוע מחקרים בתחום התפתחות ורגנרציה של שיניים ועצמות.
•	הדרכה וליווי של סטודנטים בהפעלת ציוד ומכשור מעבדתי.
•	עבודה עם חיות מעבדה, כולל ניהול מושבת עכברים.
•	סיוע בניהול האדמיניסטרטיבי של המעבדה, לרבות ניהול מלאי, הזמנת חומרים ועבודה שוטפת מול ספקים.
•	אחריות על יישום ואכיפה של נהלי עבודה, בטיחות ביולוגית ונהלי קרינה.
•	ביצוע מטלות נוספות בהתאם להנחיות הממונים.","•	תואר שני בתחומים רלוונטיים (מדעי החיים, ביולוגיה, הנדסה ביו-רפואית).  תואר שלישי -יתרון.
•	ניסיון בעבודת מעבדה.
•	ניסיון בעבודה עם מערכות הדמיה- יתרון .
•	ידע בסיסי בתוכנות עיבוד תמונה תלת־ממדית כגון  Avizo, Dragonfly, Imaris – יתרון.
•	שליטה מלאה ביישומי Office ואינטרנט .
•	ידיעת השפה העברית על בוריה ואנגלית ברמה טובה.
•	יכולת גבוהה של ארגון וסדר, יחסי אנוש מעולים, יכולת הדרכה, יכולת עבודה בצוות.
היקף:	משרה מלאה"
עוזר/ת לראשת המדור להכשרה מקצועית ומעורבות חברתית- בית הספר לעבודה סוציאלית ולרווחה חברתית,האוניברסיטה העברית בירושלים,ירושלים,2026-05-28,,https://huji.hunterhrms.com/job-details/?jobcode=JB-5030,JB-5030,קמפוס הר הצופים,,onsite,"•	ריכוז התוכנית למעורבות החברתית ובכלל זה: תפעול מקצועי של התוכנית, גיוס מדריכים, הדרכה וליווי שוטף של המדריכים והמדריכות, ניהול קשר מול ארגונים חיצוניים וביצוע שיבוצי סטודנטים.
•	השתתפות בהובלה של תהליכים ארגוניים במדור.
•	ניהול יומן פגישות דינמי.
•	ריכוז והפקה של אירועי המדור וימי שיא.
•	ריכוז נתונים במערכות הממוחשבות, מעקב ובקרה אחר תהליכי הערכה ומשוב וניטור איכות ההדרכה.
•	עבודה שוטפת ותיאום מול רכזות המרכזים, מדריכים וגורמי פנים וחוץ באוניברסיטה.
•	מטלות נוספות בהתאם להוראות הממונים.","•	תואר אקדמי . תואר בעבודה סוציאלית- יתרון.
•	ניסיון קודם בעבודה אדמיניסטרטיבית.
•	ניסיון בהדרכה וליווי צוותים -יתרון.
•	ידיעת השפה העברית על בוריה ואנגלית ברמה טובה.
•	שליטה מלאה ביישומי Office , אינטרנט ויכולת למידה של מערכות חדשות.
•	יחסי אנוש מעולים, תודעת שירות גבוהה ויכולת עבודה בצוות.
•	יוזמה, דייקנות, אחריות אישית ויכולת הובלת תהליכים עצמאית.
היקף:	חצי משרה."
