id,title,company,city,url,date_posted,source,work_type,sector,level,raw_text
03b4d23a9c53,מנהל/ת חטיבה טכנולוגית וחטיבת הסברה,עמותת פורום מיכל סלה,מבשרת ציון,https://t.me/biltiformali/33562,2026-05-18,Telegram: מציאת עבודה,משרה מלאה,עמותות,בכיר,"עמותת פורום מיכל סלה פועלת להצלת חיים ומניעת אלימות כלפי נשים באמצעות חדשנות וטכנולוגיה.  לעמותה דרוש/ה מנהל/ת חטיבה טכנולוגית וחטיבת הסברה. תפקיד מפתח אסטרטגי בארגון, הכולל ניהול והובלת התוכניות הטכנולוגיות, פיתוח שיתופי פעולה בינלאומיים ותמיכה בסטרטאפים בשלבי צמיחה שונים.  העבודה במשרה מלאה ממשרדי"
3efaafb6ebde,מנהל/ת מרכז חוסן עציון,מרכז חוסן עציון,,https://drive.google.com/file/d/1f6ts5EY9-dpg0qYWn2yp2atl8w2Hr1WG/view?usp=sharing,2026-05-18,Telegram: מציאת עבודה,,עמותות,ניהולי,דרוש/ה מנהל/ת מרכז חוסן עציון  לפירוט התפקיד: https://drive.google.com/file/d/1f6ts5EY9-dpg0qYWn2yp2atl8w2Hr1WG/view?usp=sharing
3dc9b6652f09,רכז/ת בכיר/ה לצוות הקליני,בית ספר לרפואה,,ttps://campaign.adamtotal.co.il?d=2upJQGHeCT3V1IYUafx8ew%3d%3d,2026-05-18,Telegram: מציאת עבודה,,חינוך,בכיר,"בית ספר לרפואה מחפש *רכז/ת בכיר/ה* לצוות הקליני. 🩺 התפקיד כולל ניהול ותיאום מערך ההוראה הקלינית במחלקות בתי החולים ובמרפאות הקהילה, תוך עבודה בכפיפות לראש צוות לימודים קליניים. # תואר ראשון/הנדסאי – חובה רוצה לקחת חלק בהכשרת דור הרופאים הבא? שלחו קו""ח או העבירו לחברים שיכול להתאים להם ✨ https://camp"
6c669a344da3,עובד/ת סוציאלי/ת לעבודה היברידית,,,https://open.spotify.com/episode/69B3pXovtur4hq64A2yLbf?si=92f9d987aeb047b5,2026-05-18,Telegram: מציאת עבודה,משרה מלאה,רווחה,ביניים,"דרוש/ה עו""ס לעבודה היברידית, מאתגרת ומשמעותית! עבודה של מיצוי זכויות וסיוע לחיילי מילואים, משרה מלאה בלבד. תחילת עבודה ביולי.   לפודקאסט על הפעילות שלנו - https://open.spotify.com/episode/69B3pXovtur4hq64A2yLbf?si=92f9d987aeb047b5"
78fa444b6d53,Budget Manager,,ירושלים,info@mikumconsulting.com,2026-05-18,Telegram: מציאת עבודה,משרה מלאה,עמותות,ביניים,"NGO empowering new immigrants and at-risk youth seeks F/T Budget Manager Location: Jerusalem; initially, one day of remote work and four days in-office are required; after a number of months, this may change to two days of remote work and three in-office. Reports to: CFO Description: this role will "
6431c08e98fc,ראש.ת תחום צעירים גוינט אשלים,גוינט אשלים,,https://www.thejoint.org.il/career/,2026-05-17,Telegram: מציאת עבודה,משרה מלאה,עמותות,ניהולי,https://www.thejoint.org.il/career/  ראש.ת תחום צעירים גוינט אשלים
1db2e5e5f3fb,חוקר.ת מדעי ההתנהגות,,נתניה,//forms.gle/ZAd2A5ZEt2Fi6LzJ7,2026-05-17,Telegram: מציאת עבודה,משרה חלקית,ממשלתי,ביניים,"דרוש.ה חוקר.ת מדעי ההתנהגות אנחנו מחפשים שותף.ה לחשיבה והובלת מחקרים, עם סקרנות ויכולת ""לרוץ"" על מחקרים עצמאית (תחת הנחיה).  מתאים לבעלי ניסיון בשיטות מחקר איכותניות, כולל ביצוע ראיונות עומק, ניתוחי טקסט וכתיבה ברמה גבוהה.  התפקיד כולל: פיתוח וביצוע מחקרים מקצה לקצה, ביצוע ראיונות עומק, ניתוח תוכן ו"
116cf4d43a57,רכז/ת הדרכה,תנועת עזרא,,"tps://ezra.org.il/דרושים/

",2026-05-17,Telegram: מציאת עבודה,משרה מלאה,עמותות,ביניים,"תנועת עזרא מגייסת *רכז/ת הדרכה* להשפיע במקום עבודה משמעותית, מספקת, ומעניינת!  100% משרה   לפרטים נוספים והגשת קורות חיים👇🏻 https://ezra.org.il/דרושים/  למתלבטים יותר-צ'אט עם דבורה👇🏻 https://did.li/CBamC"
399b9e03dfc6,עובד/ת סוציאלי/ת,תנועת עזרא,,"tps://ezra.org.il/דרושים/

",2026-05-17,Telegram: מציאת עבודה,משרה חלקית,עמותות,,"תנועת עזרא מגייסת *עובד/ת סוציאלי/ת* להשפיע במקום עבודה משמעותית, מספקת, ומעניינת!  50% משרה   לפרטים נוספים והגשת קורות חיים👇🏻 https://ezra.org.il/דרושים/  למתלבטים יותר-צ'אט עם דבורה👇🏻 https://did.li/CBamC"
5e9bffbaf223,מנהל/ת קשרי קהילה ושיתופי פעולה,עמותת צלול,,https://t.me/biltiformali/33527,2026-05-17,Telegram: מציאת עבודה,משרה מלאה,עמותות,ניהולי,"(לא קשור למשרה)  לעמותת 'צלול' דרוש/ה מנהל/ת קשרי קהילה ושיתופי פעולה  עמותת 'צלול' מחפשת מנהל/ת קשרי קהילה ושיתופי פעולה להובלת מהלכים משותפים עם רשויות מקומיות, ארגונים, קהילות מתנדבים, מגזר עסקי ועוד.  תיאור התפקיד:  * הובלה וניהול שת""פים עם גורמים מגוונים.  * הובלת מהלכים ציבוריים ועבודה שוטפת מ"
