id,title,company,city,url,date_posted,source,work_type,sector,level,employer_type,description,raw_text
21f17952acf8,מנהל/ת סניף חיפה,איל״ן,חיפה,https://ח:anatg@ilan-israel.co.il,2026-05-20,Biltiformali-Telegram,משרה מלאה,עמותות,בכיר,Nonprofit/NGO,"לעמותת איל""ן העוסקת בטיפול ובשיקום אנשים עם מוגבלויות פיזיות דרוש/ה מנהל/ת סניף חיפה יודעים להוביל להישגים וליצור קשרים חדשים בשטח – הצטרפו אלינו. אנו מחפשים מנהל/ת יוזם/ת, אנרגטי/ת ובעל/ת יכולת להוביל צמיחה, פיתוח שירותים ופעילויות חדשות ובניית קהילה פעילה ומשמעותית. תיאור התפקיד: • אחריות לניהול השוטף של הסניף הצוות והתכנים כולל הכנת תקציב שנתי, ונכסים תכניות עבודה שנתיות ורב-שנתיות , גיוס כספים וכד' • גיבוש ויישום מדיניות וקשרי עבודה שוטפים עם מטה איל""ן, מועצת מנהלים סניפית וממשקים ארגונים וחוץ ארגונים, וקשרים עם רשויות מקומיות. • פיתוח וצמיחה של פעילות הסניף — ייזום רעיונות חדשים, פיתוח תוכניות וחוגים, הרחבת קהלי יעד, יצירת חיבורים בקהילה והגדלת מספר המשתתפים בפעילויות הסניף דרישות התפקיד : •           ניסיון ניהולי וארגוני מתאים •           ניסיון בניהול עובדים ,ניהול תקציב וממשקים פנים וחוץ ארגוניים. •           יוזמה, יצירתיות ויכולת להניע תהליכים ופעילויות באופן עצמאי •           יכולת מוכחת ביצירת קשרים בקהילה, רתימת שותפים והובלת פעילות צומחת •           ניסיון בעבודת ממשקים פנים וחוץ ארגוניים •           רצוי היכרות וניסיון קודם בעבודה עם אנשים עם מוגבלות פיזית ו/או אחרת / עולמות הרפואה והפרא-רפואי. •           תואר ראשון לפחות בתחומים הרלוונטיים •           תקשורת בינאישית גבוה, עבודת צוות מעולה   המשרה מיועדת לנשים וגברים כאחד לשליחת קו""ח:anatg@ilan-israel.co.il","לעמותת איל""ן העוסקת בטיפול ובשיקום אנשים עם מוגבלויות פיזיות דרוש/ה מנהל/ת סניף חיפה יודעים להוביל להישגים וליצור קשרים חדשים בשטח – הצטרפו אלינו. אנו מחפשים מנהל/ת יוזם/ת, אנרגטי/ת ובעל/ת יכולת להוביל צמיחה, פיתוח שירותים ופעילויות חדשות ובניית קהילה פעילה ומשמעותית. תיאור התפקיד: • אחריות לניהול ה"
a2845e4c1dbd,מנהל/ת למידה טכנולוגית,עמותת תפוח,,https://tps://did.li/E2Qx5,2026-05-20,Biltiformali-Telegram,משרה מלאה,עמותות,ניהולי,Nonprofit/NGO,"רוצה להוביל את העתיד של החינוך הטכנולוגי? עמותת תפוח מגייסת! 🍎🚀 האם את/ה מדריך/ה בנשמה שנושם/ת טכנולוגיה? עמותת תפוח מחפשת מנהל/ת למידה טכנולוגית לזירת החינוך שלנו, מישהו/י שרוצה לחבר בין חינוך ערכי לבין הכוח של הבינה המלאכותית. שליחת קורות חיים כאן: https://did.li/E2Qx5","רוצה להוביל את העתיד של החינוך הטכנולוגי? עמותת תפוח מגייסת! 🍎🚀 האם את/ה מדריך/ה בנשמה שנושם/ת טכנולוגיה? עמותת תפוח מחפשת מנהל/ת למידה טכנולוגית לזירת החינוך שלנו, מישהו/י שרוצה לחבר בין חינוך ערכי לבין הכוח של הבינה המלאכותית. שליחת קורות חיים כאן: https://did.li/E2Qx5"
4965a4ecfa61,ניהול סניף צפת,,צפת,https://ttps://correct-tech.co.il/JI/727fde73-4720-41be-9f11-db9e673d5096,2026-05-20,Biltiformali-Telegram,משרה מלאה,,ניהולי,Nonprofit/NGO,"📍ניהול סניף צפת   מענק הצטרפות 10,000 ש""ח  Ellas@matav.org.il  לכל המשרות >> https://correct-tech.co.il/JI/727fde73-4720-41be-9f11-db9e673d5096","📍ניהול סניף צפת   מענק הצטרפות 10,000 ש""ח  Ellas@matav.org.il  לכל המשרות >> https://correct-tech.co.il/JI/727fde73-4720-41be-9f11-db9e673d5096"
61d73368253f,מנהל/ת תוכניות שותפ/ה - קול מקומי,מרכזים לצדק חברתי,בנימינה,https://tps://wkf.ms/4dfN70I,2026-05-19,Biltiformali-Telegram,משרה מלאה,עמותות,ניהולי,Nonprofit/NGO,"📣 אנחנו מחפשים ומחפשות את השותפ/ה הבא/ה להובלת קול מקומי 🏙️  'קול מקומי' היא התוכנית של 'מרכזים לצדק חברתי' להכשרת נבחרות ונבחרי ציבור במרחב המוניציפלי, לקידום דמוקרטיה, שוויון וצדק חברתי ברמה המקומית.  לקראת בחירות 2028, אנחנו מחפשות מנהל/ת תוכניות שותפ/ה שיובילו איתנו את תוכניות ההכשרה, רשת חברי וחברות המועצה, מערך המנטורים, המצפן, אירועים, סמינרים ופיתוח תוכניות חדשות.  מתאים למי שמכיר/ה את עולם השלטון המקומי, אוהב/ת להוביל אנשים ותהליכים, יודע/ת להחזיק גם תוכן וגם הפקה, ומחפש/ת תפקיד עם השפעה אמיתית בזירה הכי חשובה היום.  משרה מלאה | שכר: 11,900 ש״ח | עבודה היברידית מבנימינה ומהבית | נסיעות ברחבי הארץ | עבודה גם בשעות אחה״צ וערב  ⬅️ להגשת מועמדות: https://wkf.ms/4dfN70I","📣 אנחנו מחפשים ומחפשות את השותפ/ה הבא/ה להובלת קול מקומי 🏙️  'קול מקומי' היא התוכנית של 'מרכזים לצדק חברתי' להכשרת נבחרות ונבחרי ציבור במרחב המוניציפלי, לקידום דמוקרטיה, שוויון וצדק חברתי ברמה המקומית.  לקראת בחירות 2028, אנחנו מחפשות מנהל/ת תוכניות שותפ/ה שיובילו איתנו את תוכניות ההכשרה, רשת חברי ו"
8712a13a0aa9,רכזת קשרי קהילה,עמותת אחת מתשע,בני ברק,einatb@onein9.org.il,2026-05-19,Biltiformali-Telegram,משרה מלאה,עמותות,ביניים,Nonprofit/NGO,"עמותת אחת מתשע מגייסת רכזת קשרי קהילה לעשייה משמעותית בתחום העלאת המודעות וגילוי מוקדם של סרטן השד.  מה כולל התפקיד? • יצירה וניהול קשרים עם ארגונים, רשויות וקהילות • הובלת פעילויות שטח, ימי הסברה, מפגשים והרצאות • ליווי שותפים משלב החיבור ועד לביצוע הפעילות • איתור הזדמנויות לשיתופי פעולה והרחבת הפעילות בשטח  מה אנחנו מחפשות?  יכולת ליצור קשרים בקלות, להניע תהליכים ולעבוד בצורה עצמאית ומסודרת.  ניסיון בריכוז פרויקטים, קהילה, שטח, הדרכה, הפקה או שיתופי פעולה - יתרון. חיבור לעשייה חברתית ולבריאות נשים - חשוב לנו במיוחד. פרטים נוספים: משרה מלאה | תחילת עבודה מיידית | עבודה היברידית | משרדי העמותה בבני ברק (מול קניון איילון) קורות חיים ל: einatb@onein9.org.il","עמותת אחת מתשע מגייסת רכזת קשרי קהילה לעשייה משמעותית בתחום העלאת המודעות וגילוי מוקדם של סרטן השד.  מה כולל התפקיד? • יצירה וניהול קשרים עם ארגונים, רשויות וקהילות • הובלת פעילויות שטח, ימי הסברה, מפגשים והרצאות • ליווי שותפים משלב החיבור ועד לביצוע הפעילות • איתור הזדמנויות לשיתופי פעולה והרחבת הפ"
3697f489b48d,פרויקטו/ית למרכזי שיקום לפגיעות ראש,מכון פוירשטיין,,https://acrobat.adobe.com/id/urn:aaid:sc:ap:e14ab7c7-c92f-4915-ac00-f6e91b140d63,2026-05-19,Biltiformali-Telegram,משרה מלאה,רווחה,ביניים,Nonprofit/NGO,מכון פוירשטיין מחפש פרויקטו/ית למרכזי שיקום לפגיעות ראש.  https://acrobat.adobe.com/id/urn:aaid:sc:ap:e14ab7c7-c92f-4915-ac00-f6e91b140d63  לשליחת קורות חיים: morkat@icelp.org.il,מכון פוירשטיין מחפש פרויקטו/ית למרכזי שיקום לפגיעות ראש.  https://acrobat.adobe.com/id/urn:aaid:sc:ap:e14ab7c7-c92f-4915-ac00-f6e91b140d63  לשליחת קורות חיים: morkat@icelp.org.il
cc41e2da6fa3,מנהל מכינה,קול עמי,עוטף,https://docs.google.com/forms/d/16f2sLV9SpdHUOu8kdJ0n7B-SWN1A84cPeG11Q1ddsKY/edit,2026-05-19,Biltiformali-Telegram,משרה מלאה,חינוך,ניהולי,Nonprofit/NGO,"*קול עמי מגייסת מנהל מכינה לשלוחת איבים בעוטף!* ☀️  מה אנחנו מחפשים? * בוגרי תואר ראשון ושירות צבאי משמעותי * ניסיון בחינוך בלתי פורמלי, הובלת צוותים, הדרכה או פיקוד * אנגלית ברמה גבוהה * תשוקה לחינוך ורצון לעבודה עם משמעות * יכולת ניהולית ולוגיסטית * מוכנות לעבודה אינטנסיבית עם סיפוק ומשמעות   יתרןו לבעלי ניסיון בעבודה עם יהדות התפוצות או ניסיון קודם בניהול תוכנית חינוכית  להגשת מועמדות: https://docs.google.com/forms/d/16f2sLV9SpdHUOu8kdJ0n7B-SWN1A84cPeG11Q1ddsKY/edit","*קול עמי מגייסת מנהל מכינה לשלוחת איבים בעוטף!* ☀️  מה אנחנו מחפשים? * בוגרי תואר ראשון ושירות צבאי משמעותי * ניסיון בחינוך בלתי פורמלי, הובלת צוותים, הדרכה או פיקוד * אנגלית ברמה גבוהה * תשוקה לחינוך ורצון לעבודה עם משמעות * יכולת ניהולית ולוגיסטית * מוכנות לעבודה אינטנסיבית עם סיפוק ומשמעות   יתרן"
8724895fc87c,מנהל/ת יחידה טיפולית,כפר הנוער מנוף,עכו,https://mitam-hr.org/jobs/161,2026-05-19,Biltiformali-Telegram,משרה מלאה,עמותות,ניהולי,Nonprofit/NGO,"לכפר הנוער מנוף בעכו דרוש מנהל.ת יחידה טיפולית   כפר הנוער מנוף, הסמוך לעכו, הוא מסגרת חינוכית-טיפולית לבני נוער בסיכון, המשלבת פנימייה, בית ספר ומעטפת טיפולית רחבה. הכפר מלווה כ-150 חניכים ופועל מתוך תפיסה שיקומית הרואה בכל נער ונערה יכולת לצמיחה, שינוי והשתלבות מיטיבה בחברה.   תיאור התפקיד: ·        ניהול והובלה מקצועית של היחידה הפסיכוסוציאלית בכפר. ·        ניהול, הדרכה וליווי של צוות טיפולי רב-מקצועי, הכולל עובדים סוציאליים, פסיכולוג/ית ואנשי מקצוע פרא-רפואיים. ·        אחריות על התפיסה הטיפולית בכפר ועל יישומה בעבודה השוטפת עם החניכים והצוותים. ·        חברות בהנהלת הכפר ושותפות בקבלת החלטות מערכתיות. ·        הדרכה וליווי של הצוותים החינוכיים בהיבטים טיפוליים ורגשיים. ·        עבודה בממשקים עם גורמי טיפול, חינוך ורווחה, לרבות קשר מקצועי עם פסיכיאטרית הכפר. ·        התמודדות עם מצבי חירום ומתן מענה טיפולי-מערכתי במצבים מורכבים                  דרישות התפקיד: ·        תואר שני בעבודה סוציאלית או פסיכולוגיה-  חובה. ·        ניסיון טיפולי מוכח בעבודה עם ילדים ובני נוער בסיכון-  חובה. ·        ניסיון בעבודה במסגרת פנימייתית / כפר נוער / מסגרת חוץ-ביתית- יתרון משמעותי. ·        ניסיון בניהול והדרכה של צוותים טיפוליים- חובה. ·        ניסיון בהנחיית קבוצות- יתרון. ·        יכולת עבודה תחת לחץ ובמצבי חירום. ·        ראייה מערכתית וקלינית רחבה. ·        יכולת הובלה, הנעה ועבודה עם צוות רב-מקצועי. ·        יחסי אנוש מצוינים, בשלות מקצועית ויכולת עבודה בממשקים מרובים.   פרטים נוספים: היקף המשרה: מלאה כפיפות ניהולית: מנהלת הכפר   תהליך המיון נעשה ע""י ארגון מתאם, ניתן להגיש מועמדות ","לכפר הנוער מנוף בעכו דרוש מנהל.ת יחידה טיפולית   כפר הנוער מנוף, הסמוך לעכו, הוא מסגרת חינוכית-טיפולית לבני נוער בסיכון, המשלבת פנימייה, בית ספר ומעטפת טיפולית רחבה. הכפר מלווה כ-150 חניכים ופועל מתוך תפיסה שיקומית הרואה בכל נער ונערה יכולת לצמיחה, שינוי והשתלבות מיטיבה בחברה.   תיאור התפקיד: ·     "
f6a26aa06f9e,מנהל/ת סניף אור יהודה,,אור יהודה,https://correct-tech.co.il/JI/727fde73-4720-41be-9f11-db9e673d5096,2026-05-19,Biltiformali-Telegram,משרה מלאה,,ניהולי,Nonprofit/NGO,מגייסים מנהל/ת סניף אור יהודה Ellas@matav.org.il   לכל המשרות שלנו > https://correct-tech.co.il/JI/727fde73-4720-41be-9f11-db9e673d5096,מגייסים מנהל/ת סניף אור יהודה Ellas@matav.org.il   לכל המשרות שלנו > https://correct-tech.co.il/JI/727fde73-4720-41be-9f11-db9e673d5096
4298c0d3b868,חשב/ת שכר,עמותת מטב,"כרמיאל, רחובות",https://correct-tech.co.il/JI/727fde73-4720-41be-9f11-db9e673d5096,2026-05-19,Biltiformali-Telegram,משרה מלאה,עמותות,ביניים,Nonprofit/NGO,"*תחום חשבות השכר מעניין אותך? יש לנו משרה להציע לך!* לעמותת מטב המתמחה בשירותי טיפול ורווחה דרושים/ות חשבי/ות שכר. היקף משרה: 100% 8:00-16:00 מיקום: כרמיאל, רחובות הגדרת תפקיד: אחריות על הכנת שכר לכ-1,500 עובדים. ביצוע הקמת עובדים במערכת השכר, עדכונים שוטפים, טפסים לביטוח לאומי, ביצוע גמרי חשבון והכנת טפסי 161. מתן מענה וסיוע טלפוני ופרונטלי למנהלים ולעובדים בסניפים בנושאי שכר ונוכחות. פיקוח והדרכה על נוהלי הארגון הקשורים להעסקת עובדים וניהול תקין. הגעה בין פעם בחודש לסניפים שבהם מטפלת כחשבת שכר. דרישות: תעודת חשב שכר. ניסיון מוכח של 3 שנים בעבודה כחשב/ת שכר. עבודה בארגון גדול - יתרון. ניסיון עם הפעלת מערכות שכר חילן, חילנט ואופק - יתרון משמעותי. הכרת תוכנות אופיס וידע בהפעלת אקסל ברמה טובה. המשרה מיועדת לנשים ולגברים כאחד. הגשה למייל Ellas@matav.org.il   לכל המשרות שלנו: https://correct-tech.co.il/JI/727fde73-4720-41be-9f11-db9e673d5096","*תחום חשבות השכר מעניין אותך? יש לנו משרה להציע לך!* לעמותת מטב המתמחה בשירותי טיפול ורווחה דרושים/ות חשבי/ות שכר. היקף משרה: 100% 8:00-16:00 מיקום: כרמיאל, רחובות הגדרת תפקיד: אחריות על הכנת שכר לכ-1,500 עובדים. ביצוע הקמת עובדים במערכת השכר, עדכונים שוטפים, טפסים לביטוח לאומי, ביצוע גמרי חשבון והכ"
