title,company,city,date,deadline,url,department,workplace_type,description,requirements
ראש/ראשת צוות ביקורת פנימית,The Joint (ג'וינט),ירושלים,2026-05-18,,https://www.thejoint.org.il/en/career/?juid=CC.767,,onsite,,":
ניסיון מוכח בביקורת פנימית (לפחות 3 שנים) עם רקע בהובלת צוותים או פרויקטים מורכבים.
הבנה עמוקה של מסגרות בקרה פנימית ועקרונות ניהול סיכונים.
מיומנויות בין-אישיות ותקשורתיות חזקות.
גישה טכנולוגית (Tech-savvy) עם תשוקה לביקורת מונעת נתונים ולאוטומציה.
ניסיון בניתוח נתונים בדגש על יישום למטרות ביקורת פנימית - יתרון משמעותי.
שפות:
רוסית - שפת אם/שליטה מלאה
. אנגלית ועברית - רמה גבוהה.
השכלה:
תואר ראשון בתחומים רלוונטיים - חובה.
Application Form
If you are unable to fill out the form, you can send us contact information and a resume file to the address
JDC.CC.767@applynow.io
Contact
9 Eliezer Kaplan, Givat Ram, Jerusalem
POB 3489, Zip code 9103401
Phone
+972-2-6557111
Fax
+972-2-6557515
About Us
Our Story
Management
Partnership with the Joint
Challenges
All Challenges
Joint-TEVET: Workforce Integration and Productivity
Joint-ASHALIM: Advancing Social Mobility
Joint- ESHEL: Successful Aging
Joint- ISRAEL UNLIMITED: Independent Living for People with Disabilities
Joint- ELKA: System Efficiency and Effectiveness
Integration of the Ultra-Orthodox Sector
Success Stories
Updates
News
Knowledge Center
Digital Library
Coronavirus Crisis
Voices of The Joint
Related Sites:
The Global JDC
© All rights reserved
Terms Of Use
Privacy Policy
Site Map
Accessibility statement
English
עברית
Send this to a friend
Send
Cancel
Notifications"
ראש / ראשת תחום צעירים - ג'וינט אשלים,The Joint (ג'וינט),ירושלים,2026-05-17,,https://www.thejoint.org.il/en/career/?juid=19.766,,onsite,,
מנהל/מנהלת תכניות,The Joint (ג'וינט),Jerusalem,2026-04-13,,https://www.thejoint.org.il/en/career/?juid=EB.561,,onsite,,":
תואר ראשון בעבודה סוציאלית או תחומים נושקים – חובה; תואר שני – יתרון.
ניסיון משמעותי של לפחות 5 שנים בניהול והפעלת תוכניות חברתיות – חובה.
שפות: רוסית-חובה; עברית ואנגלית-ברמה גבוהה.
היכרות עם גישות עדכניות בתחום העבודה הסוציאלית, כגון ניהול מקרה (case (management ועבודה סוציאלית קהילתית.
ידע או ניסיון בתחום הגרונטולוגיה או תוכניות רווחה מונעת – יתרון.
היכרות עם טכנולוגיות וחדשנות בתחום הזקנה – יתרון.
כישורים בין-אישיים מצוינים ויכולת גבוהה לבניית שיתופי פעולה עם צוותים מגוונים, כולל דרגי הנהלה.
יכולת הובלת תהליכים, חשיבה יוזמת, גמישות מחשבתית והתמודדות עם אתגרים מורכבים.
נכונות לנסיעות לחו""ל.
Application Form
If you are unable to fill out the form, you can send us contact information and a resume file to the address
JDC.EB.561@applynow.io
Contact
9 Eliezer Kaplan, Givat Ram, Jerusalem
POB 3489, Zip code 9103401
Phone
+972-2-6557111
Fax
+972-2-6557515
About Us
Our Story
Management
Partnership with the Joint
Challenges
All Challenges
Joint-TEVET: Workforce Integration and Productivity
Joint-ASHALIM: Advancing Social Mobility
Joint- ESHEL: Successful Aging
Joint- ISRAEL UNLIMITED: Independent Living for People with Disabilities
Joint- ELKA: System Efficiency and Effectiveness
Integration of the Ultra-Orthodox Sector
Success Stories
Updates
News
Knowledge Center
Digital Library
Coronavirus Crisis
Voices of The Joint
Related Sites:
The Global JDC
© All rights reserved
Terms Of Use
Privacy Policy
Site Map
Accessibility statement
English
עברית
Send this to a friend
Send
Cancel
Notifications"
מנהל / מנהלת תכניות שיקום – ג'וינט ישראל מעבר למגבלות,The Joint (ג'וינט),ירושלים,2026-05-17,,https://www.thejoint.org.il/en/career/?juid=63.96E,,onsite,,":
תואר שני לפחות בתחום רלוונטי לעולמות השיקום (רפואה, סיעוד, מקצועות הבריאות, עבודה סוציאלית, פסיכולוגיה).
ניסיון משמעותי של לפחות 5 שנים בעבודה בתחום השיקום – חובה.
ניסיון משמעותי של לפחות 3 שנים בניהול והפעלת תוכניות חברתיות/בריאותיות – חובה.
היכרות עם גישות עדכניות בתחום הבריאות והשיקום, כגון International Classification of Functioning and Disability and Health (ICF).
היכרות עם טכנולוגיות וחדשנות בתחום השיקום – יתרון.
כישורי ניסוח והצגה גבוהים בכתב ובע""פ.
נכונות לעבודה דינמית, מרובת משימות ואחריות.
פרטים נוספים:
משרה מלאה היברדית דורשת הגעה של פעמיים בשבוע לפחות לירושלים
העסקה ע""י ג'וינט-ישראל
קורות חיים יש להגיש באמצעות הטופס עד לתאריך 21 במאי 2026. רק פניות מתאימות יענו.
Application Form
If you are unable to fill out the form, you can send us contact information and a resume file to the address
JDC.63.96E@applynow.io
Contact
9 Eliezer Kaplan, Givat Ram, Jerusalem
POB 3489, Zip code 9103401
Phone
+972-2-6557111
Fax
+972-2-6557515
About Us
Our Story
Management
Partnership with the Joint
Challenges
All Challenges
Joint-TEVET: Workforce Integration and Productivity
Joint-ASHALIM: Advancing Social Mobility
Joint- ESHEL: Successful Aging
Joint- ISRAEL UNLIMITED: Independent Living for People with Disabilities
Joint- ELKA: System Efficiency and Effectiveness
Integration of the Ultra-Orthodox Sector
Success Stories
Updates
News
Knowledge Center
Digital Library
Coronavirus Crisis
Voices of The Joint
Related Sites:
The Global JDC
© All rights reserved
Terms Of Use
Privacy Policy
Site Map
Accessibility statement
English
עברית
Send this to a friend
Send
Cancel
Notifications"
מנהל / מנהלת תוכניות לפיתוח והובלה במסגרת אתגר התחדשות השירות הציבורי – ג'וינט אלכא,The Joint (ג'וינט),Jerusalem,2026-05-12,,https://www.thejoint.org.il/en/career/?juid=12.367,,onsite,"הובלת תכניות ותהליכים מערכתיים לחיזוק יכולות השירות הציבורי – משלב אבחון האתגר ועד יישום והטמעה בפועל בממשלה וברשויות.
במסגרת התפקיד:
הובלת תהליכי שינוי מערכתיים
פיתוח וגיבוש מודלים, תורות הפעלה וכלים לחיזוק יכולות ביצוע ויישום מדיניות
הובלת תהליכים בין-משרדיים ובין-מגזריים סביב אתגרי עומק
ליווי תכניות ויוזמות מורכבות מקצה לקצה – אבחון, עיצוב, יישום והטמעה
עבודה שוטפת עם דרגים בכירים בממשלה
הקמה והובלה של פורומים מקצועיים ובכירים
ניהול תהליכי חשיבה, צוותי ליווי ויועצים
תכנון ומעקב אחר יישום, כולל היבטים תקציביים ותפעוליים
ליווי כתיבת מסמכים תפישתיים ותהליכי מחקר ואיסוף דאטה",
"מנהל / מנהלת אזור חיפה והשרון למיזם הלאומי  לקידום חוסן, בריאות נפשית ופיסית בקהילה – ג'וינט ישראל",The Joint (ג'וינט),ירושלים,2026-05-11,,https://www.thejoint.org.il/en/career/?juid=06.76A,,onsite,,":
ניסיון של שלוש שנים לפחות בניהול תכניות חברתיות שכללו עבודה בקהילה ו/או תכניות לקידום בריאות והובלת שותפויות ומיזמים מורכבים – חובה
היכרות מעמיקה עם הממשל המקומי בישראל - חובה
ניסיון בניהול צוות ותקציב - חובה
ניסיון של 3 שנים לפחות בעובדה בשותפויות בין מגזריות – חובה
היכרות מעם תחומי תוכן של בריאות נפשית ופיסית  - יתרון משמעותי
השכלה אקדמאית בתחומים רלוונטיים- תואר שני יתרון
אנו מחפשים מועמד/ ת עם
יכולות בין אישיות גבוהות, יחסי אנוש מעולים ורצון לעבודה צוותית ושיתופית ויכולת לעבוד באופן עצמאי ובסביבה מורכבת  וכן ראייה מערכתית ויוזמה
פרטים נוספים:
היקף המשרה: 100%. נדרשת נכונות לשעות עבודה גמישות
ניידות גבוהה בשטח
בסיס העבודה: עבודת שטח, דורשת הגעה של פעם בשבועיים למשרדי הג'וינט בירושלים
גורם מעסיק: ג'וינט ישראל
תחילת עבודה:
מיידי
לכחצי שנה החלפה לחל""ד
קורות חיים יש לשלוח ל באמצעות הטופס עד לתאריך 15 במאי 2026. יענו פניות מתאימות בלבד.
*הג'וינט פועל כמרכז הפיתוח החברתי של ישראל, בשיתוף פעולה אסטרטגי עם הממשלה, הרשויות, המגזר השלישי והעסקי ושותפים נוספים. מיזם זה הינו מיזם משותף של הממשלה והג'וינט.
Application Form
If you are unable to fill out the form, you can send us contact information and a resume file to the address
JDC.06.76A@applynow.io
Contact
9 Eliezer Kaplan, Givat Ram, Jerusalem
POB 3489, Zip code 9103401
Phone
+972-2-6557111
Fax
+972-2-6557515
About Us
Our Story
Management
Partnership with the Joint
Challenges
All Challenges
Joint-TEVET: Workforce Integration and Productivity
Joint-ASHALIM: Advancing Social Mobility
Joint- ESHEL: Successful Aging
Joint- ISRAEL UNLIMITED: Independent Living for People with Disabilities
Joint- ELKA: System Efficiency and Effectiveness
Integration of the Ultra-Orthodox Sector
Success Stories
Updates
News
Knowledge Center
Digital Library
Coronavirus Crisis
Voices of The Joint
Related Sites:
The Global JDC
© All rights reserved
Terms Of Use
Privacy Policy
Site Map
Accessibility statement
English
עברית
Send this to a friend
Send
Cancel
Notifications"
מנהל  / מנהלת הדרכה בתחום הבריאות - בית הספר הלאומי לקידום הזדקנות מיטבית – ג'וינט אשל,The Joint (ג'וינט),ירושלים,2026-05-20,,https://www.thejoint.org.il/en/career/?juid=D7.A68,,onsite,,"תואר ראשון חובה
יתרון לתואר במקצועות הבריאות או הטיפול (ריפוי בעיסוק, סיעוד, פיזיותרפיה, גרונטולוגיה, עבודה סוציאלית)
היכרות מעמיקה עם תחום הזקנה בדגש על תחום הבריאות ו/או מוסדות – חובה.
ניסיון של שנתיים לפחות בפיתוח והובלת תכנית הדרכה מערכתית – חובה.
ניסיון בהובלת תהליכי שינוי ארגוני – יתרון משמעותי
ניסיון של שנתיים לפחות בהנחיה, ליווי והכשרת צוותים מקצועיים - חובה (עם צוותי בריאות – יתרון משמעותי.)
ניסיון בבנייה והובלה של מפגשי למידה, ימי עיון וכנסים – חובה.
ניסיון בשיתופי פעולה מקצועיים עם גורמים פנים וחוץ ארגוניים – חובה.
שליטה בסביבה דיגיטלית: אופיס, בניית מצגות – חובה; ניסיון בעבודה מקוונת וכלים דיגיטליים – יתרון.
אנחנו מחפשים מועמד / מועמדת עם:
תקשורת בין־אישית מצוינת ויכולת הבעה מעולה בכתב ובעל פה, כולל יכולת למידה עיבוד וכתיבה של חומרים מקצועיים.
יכולת למידה ועבודה עצמאית לצד יכולת לעבודת צוות, מחויבות ונכונות לעבודה בריבוי משימות ובממשקים מרובים.
.
פרטים נוספים:
היקף המשרה: 100% משרה
מודל עבודה: היברידי (בית / משרדי הג'וינט בירושלים / הדרכות בשטח).
זוהי הזדמנות ייחודית להוביל תכנית בעלת השפעה משמעותית על בריאותם ואיכות חייהם של אזרחים ותיקים ברמה לאומית. אם יש לך את הניסיון, המוטיבציה והחזון, נשמח לשמוע ממך.
קורות חיים יש להגיש באמצעות הטופס עד לתאריך ה- 28 במאי 2026, רק פניות מתאימות יענו.
Application Form
If you are unable to fill out the form, you can send us contact information and a resume file to the address
JDC.D7.A68@applynow.io
Contact
9 Eliezer Kaplan, Givat Ram, Jerusalem
POB 3489, Zip code 9103401
Phone
+972-2-6557111
Fax
+972-2-6557515
About Us
Our Story
Management
Partnership with the Joint
Challenges
All Challenges
Joint-TEVET: Workforce Integration and Productivity
Joint-ASHALIM: Advancing Social Mobility
Joint- ESHEL: Successful Aging
Joint- ISRAEL UNLIMITED: Independent Living for People with Disabilities
Joint- ELKA: System Efficiency and Effectiveness
Integration of the Ultra-Orthodox Sector
Success Stories
Updates
News
Knowledge Center
Digital Library
Coronavirus Crisis
Voices of The Joint
Related Sites:
The Global JDC
© All rights reserved
Terms Of Use
Privacy Policy
Site Map
Accessibility statement
English
עברית
Send this to a friend
Send
Cancel
Notifications"
מיישם/ת SAP - MM,The Joint (ג'וינט),ירושלים,2026-05-19,,https://www.thejoint.org.il/en/career/?juid=50.653,,onsite,,":
שנתיים ניסיון בהטמעת מערכת SAP במודולים MM, WF, כולל ניסיון בכתיבת אפיונים טכניים, אפיונים פונקציונאליים, והטמעתם במערכת- חובה.
ניסיון במודולים משיקים FM CO PS GM – יתרון משמעותי
ניסיון בניתוח תהליכים עסקיים מורכבים וייעולם – חובה
יכולת לנהל שיחות באנגלית עם משתמשים ולקוחות בחו""ל- חובה
ניסיון בהטמעת מעבר מערכת ה-SAP מ-ECC ל-SAP S/4HANA - יתרון
תואר ראשון בתחום רלוונטי /קורס מיישמי SAP  - יתרון
התפקיד יתאים לך אם את/ה:
בעל חשיבה יסודית, דייקנות גבוהה וגישה מתודולוגית.
נהנה/ית מהשילוב בין שירות ותמיכה יומיומית למשתמשים לבין טיפול והובלה של תקלות, בדיקות ותהליכים מורכבים.
יודע/ת לרדת לפרטים, לתחקר ולהעמיק, ובמקביל לנהל משימות ותהליכים בצורה יעילה ואפקטיבית.
בעל/ת יכולת להבין ולנתח תהליכים עסקיים, ולחבר בין הצורך העסקי לפתרון המערכתי.
עובד/ת בנוחות מול ממשקים מרובים, יודע/ת לרכז גורמים שונים ולהוביל טיפול בנושאים עד סגירה ברורה ומלאה.
בעל/ת אוריינטציה שירותית גבוהה, תקשורת בין‑אישית מצוינת ויכולת עבודה נעימה ומכבדת מול משתמשים וגורמים מקצועיים.
פרטים נוספים:
משרה מלאה, חוזה זמני לטובת הפרויקט (דצמבר 2027), עם אופציה להארכה
מיקום
: משרדי הג'וינט בירושלים, עבודה במודל היברידי. (יומיים מהמשרד, שלושה ימים מהבית)
כפיפות
: ראש/ת צוות SAP.
תחילת עבודה
: מיידית.
Application Form
If you are unable to fill out the form, you can send us contact information and a resume file to the address
JDC.50.653@applynow.io
Contact
9 Eliezer Kaplan, Givat Ram, Jerusalem
POB 3489, Zip code 9103401
Phone
+972-2-6557111
Fax
+972-2-6557515
About Us
Our Story
Management
Partnership with the Joint
Challenges
All Challenges
Joint-TEVET: Workforce Integration and Productivity
Joint-ASHALIM: Advancing Social Mobility
Joint- ESHEL: Successful Aging
Joint- ISRAEL UNLIMITED: Independent Living for People with Disabilities
Joint- ELKA: System Efficiency and Effectiveness
Integration of the Ultra-Orthodox Sector
Success Stories
Updates
News
Knowledge Center
Digital Library
Coronavirus Crisis
Voices of The Joint
Related Sites:
The Global JDC
© All rights reserved
Terms Of Use
Privacy Policy
Site Map
Accessibility statement
English
עברית
Send this to a friend
Send
Cancel
Notifications"
מוביל /מובילת פיילוט – הכוונה ותיאום מענים פרטניים לרווחה נפשית ברשויות מקומיות           המיזם הלאו,The Joint (ג'וינט),ירושלים,2026-05-20,,https://www.thejoint.org.il/en/career/?juid=0A.968,,onsite,,
חוקר/ת לצוות הבטחת איכות - החלפה לחופשת לידה,The Joint (ג'וינט),ירושלים,2026-05-18,,https://www.thejoint.org.il/en/career/?juid=07.A62,,onsite,":
התפקיד משלב בין מחקר יישומי למתן ייעוץ למקבלי החלטות בעיצוב מדיניות. הוא כולל ביצוע מחקרים בשיטות איכותניות וכמותיות, איסוף וניתוח נתונים, כתיבת דוחות ומסמכי מדיניות, והצגת ממצאי המחקרים בפורומים שונים. על בסיס התשתית המחקרית, התפקיד כולל גם ליווי תהליכים של פיתוח מדיניות, כלי פיקוח ומערכי מדידה לשיפור איכות השירותים.",":
תואר שני במדעי החברה
ניסיון ובקיאות בשיטות מחקר כמותיות ואיכותניות
יכולת ביטוי גבוהה בכתב ובעל פה
יכולת המשגה וחשיבה שיטתית
יחסי אנוש מעולים: יכולת עבודה בצוות ועם אנשים מארגונים שונים
שליטה טובה באנגלית
שליטה בתוכנה סטטיסטית אחת לפחות (SPSS, SAS, STATA, R)
הכרות וניסיון בעבודה עם כלי בינה מלאכותית
הכרות עם המערכת הציבורית בישראל
ידע והיכרות עם תחום הבטחת איכות ופיקוח על שירותים חברתיים – יתרון
פרטים נוספים:
היקף המשרה: משרה מלאה
משרה זמנית לשישה חודשים
מיקום: ירושלים, עם גמישות לשילוב עבודה מהבית
כמה מילים על סביבת העבודה במכון:
עבודת המחקר במכון מתבצעת בצוותים הטרוגניים ורב תחומיים המאפשרים למידה הדדית והפריה מקצועית. המכון מתאפיין בסביבת עבודה נעימה ותומכת, ומשקיע משאבים רבים לטובת הפיתוח המקצועי והאישי של העובדים, זאת מתוך תפיסה כי המשאב האנושי הוא המרכיב המרכזי בעבודת מחקר מעמיקה, מקצועית, המתאפיינת במצוינות.
Application Form
If you are unable to fill out the form, you can send us contact information and a resume file to the address
JDC.07.A62@applynow.io
Contact
9 Eliezer Kaplan, Givat Ram, Jerusalem
POB 3489, Zip code 9103401
Phone
+972-2-6557111
Fax
+972-2-6557515
About Us
Our Story
Management
Partnership with the Joint
Challenges
All Challenges
Joint-TEVET: Workforce Integration and Productivity
Joint-ASHALIM: Advancing Social Mobility
Joint- ESHEL: Successful Aging
Joint- ISRAEL UNLIMITED: Independent Living for People with Disabilities
Joint- ELKA: System Efficiency and Effectiveness
Integration of the Ultra-Orthodox Sector
Success Stories
Updates
News
Knowledge Center
Digital Library
Coronavirus Crisis
Voices of The Joint
Related Sites:
The Global JDC
© All rights reserved
Terms Of Use
Privacy Policy
Site Map
Accessibility statement
English
עברית
Send this to a friend
Send
Cancel
Notifications"
