title,company,location,date,url,department,workplace_type,source,description,position_type
יועץ/ת השקעות במרכזי הייעוץ 1020,בנק לאומי,ישראל,2026-06-30,https://www.leumi.co.il/he/Articles/38824,"החטיבה הבנקאית תיאור משרה: אנרגטיים/יות? אוהבים/ות אנשים? מכירתיים/יות? יש לנו הצעת עבודה בשבילכם/ן! דרושים/ות בנקאים/יות לסניפי לאומי מה אנו מציעים? תנאים מעולים וקליטה כעובד הבנק מהיום הראשון! הכשרה מקצועית . שכר התחלתי גבוה. סביבת עבודה דינאמית ומאתגרת. תיאור משרה: שירות בנקאי פרונטלי וטלפוני וכן מכירת מוצרים בנקאיים ללקוחות פרטיים וללקוחות פרימיום טיפול בכל הנכסים וההתחייבויות של הלקוח. ייזום מול לקוחות, גיוס לקוחות חדשים, קידום מכירות, שימור והרחבת פעילות עם לקוחות קיימים, ליווי הלקוח לאורך זמן, פגישות עם לקוחות קיימים וחדשים. מכירת מוצרים בנקאיים כדוגמת: אשראים, פיקדונות, כרטיסי אשראי, גלישה ישירה באינטרנט. במסגרת התפקיד יוכשר הבנקאי במגוון תחומים: בנקאות, אשראי, קשרי לקוחות, שירות ושיווק. היקף משרה: משרה מלאה 5 ימים בשבוע ,שעות העבודה: ענף מרכזי ייעוץ מורכב משמונה מרכזים בפריסה ארצית. המרכזים נותנים שירותי ייעוץ בהשקעות למערך הייעוץ ולכל יועץ מקושרים כ-350 לקוחות. תהליכי העבודה כוללים שיחות ייעוץ יזומות+נכנסות, טיפול בבקרות בעולם הייעוץ, עבודה תפעולית עוטפת ייעוץ וכן יעדים עסקיים בנושא גיוס פאסיב, לקוחות ועוד. תיאור התפקיד: אחריות למכלול הטיפול בפעילות ההשקעות של הלקוחות. גיוס לקוחות חדשים והרחבת הפעילות אצל לקוחות קיימים. גורם מקצועי סניפי בתחומי ההשקעות. סקירה כלכלית שבועית/אד הוק, ניתוח מוצרים ועוד. קליטה כעובדי בנק מהיום הראשון. היקף משרה: משרה מלאה בימים א'-ה', בין השעות 8-15:45 משמרת פעמיים בשבוע: 11:00-19:00 דרישות: רישיון ייעוץ/ שיווק/ ניהול תיקים- חובה ניסיון בתחום ההשקעות- יתרון משמעותי כפיפות: מנהל מרכז ייעוץ ממשקים: לקוחות, סניפים ואגף הייעוץ נא לציין ת.ז על גבי קורות החיים. המשרה מיועדת לגברים ולנשים כאחד .",onsite,leumi,"אנרגטיים/יות? אוהבים/ות אנשים? מכירתיים/יות? יש לנו הצעת עבודה בשבילכם/ן! דרושים/ות בנקאים/יות לסניפי לאומי מה אנו מציעים? תנאים מעולים וקליטה כעובד הבנק מהיום הראשון! הכשרה מקצועית . שכר התחלתי גבוה. סביבת עבודה דינאמית ומאתגרת. תיאור משרה: שירות בנקאי פרונטלי וטלפוני וכן מכירת מוצרים בנקאיים ללקוחות פרטיים וללקוחות פרימיום טיפול בכל הנכסים וההתחייבויות של הלקוח. ייזום מול לקוחות, גיוס לקוחות חדשים, קידום מכירות, שימור והרחבת פעילות עם לקוחות קיימים, ליווי הלקוח לאורך זמן, פגישות עם לקוחות קיימים וחדשים. מכירת מוצרים בנקאיים כדוגמת: אשראים, פיקדונות, כרטיסי אשראי, גלישה ישירה באינטרנט. במסגרת התפקיד יוכשר הבנקאי במגוון תחומים: בנקאות, אשראי, קשרי לקוחות, שירות ושיווק. היקף משרה: משרה מלאה 5 ימים בשבוע ,שעות העבודה: ענף מרכזי ייעוץ מורכב משמונה מרכזים בפריסה ארצית. המרכזים נותנים שירותי ייעוץ בהשקעות למערך הייעוץ ולכל יועץ מקושרים כ-350 לקוחות. תהליכי העבודה כוללים שיחות ייעוץ יזומות+נכנסות, טיפול בבקרות בעולם הייעוץ, עבודה תפעולית עוטפת ייעוץ וכן יעדים עסקיים בנושא גיוס פאסיב, לקוחות ועוד. תיאור התפקיד: אחריות למכלול הטיפול בפעילות ההשקעות של הלקוחות. גיוס לקוחות חדשים והרחבת הפעילות אצל לקוחות קיימים. גורם מקצועי סניפי בתחומי ההשקעות. סקירה כלכלית שבועית/אד הוק, ניתוח מוצרים ועוד. קליטה כעובדי בנק מהיום הראשון. היקף משרה: משרה מלאה בימים א'-ה', בין השעות 8-15:45 משמרת פעמיים בשבוע: 11:00-19:00 | דרישות: רישיון ייעוץ/ שיווק/ ניהול תיקים- חובה ניסיון בתחום ההשקעות- יתרון משמעותי",
"בנקאי/ת במרכז הטלפוני של בנק לאומי ראשל""צ 1205",בנק לאומי,ישראל,2026-06-30,https://twitter.com/home?status=https://www.leumi.co.il/he/node/809,,onsite,leumi,"אנרגטיים/יות? אוהבים/ות אנשים? מחפשים קריירה? יש לנו הצעת עבודה בשבילכם/ן! דרושים בנקאים/יות למרכזי בנקאות של לאומי, מרכז השירות הבנקאי הטלפוני של הבנק. מה אנחנו מציעים? סביבת עבודה דינאמית, צעירה ומתגמלת, הכשרה מקצועית, מסלול קידום נרחב. מרכזי בנקאות מרכזים את מרבית הפניות הטלפוניות של לקוחות לאומי ומהווים ערוץ מקצועי ושירותי ללקוחות הבנק. בנקאי המרכז שיסיימו את ההכשרה יקבלו ידע נרחב בעולם הבנקאות, האשראי, מיומנויות שירות והובלת שיחה. המרכז מאופיין בסביבת עבודה דינמית, צעירה ומתגמלת. עבודה בשעות עבודה גמישות. מיקום המשרה : ראשון לציון כישורים נדרשים תודעת שירות גבוהה כושר ביטוי גבוה בעל פה יחסי אנוש מעולים ועבודת צוות יכולת למידה מהירה יכולת התמודדות במצבי לחץ נכונות להשקעה ועבודה מאומצת אוריינטציה לשירות ומכירה היקף המשרה שעות פעילות המרכז א'-ה' 6:30-23:00 , ו' 6:30-14:00 שעות העבודה גמישות המשרה מתאימה לסטודנטים מינימום 24 שעות שבועיות גמישות לעבודה מהבית בהתאם לצורך *קליטה ללאומי מהיום הראשון | דרישות: עדיפות לסטודנטים המחפשים קריירה בלאומי. כמו כן, עדיפות לבעלי/ות ניסיון תעסוקתי קודם בתחום מתן שירות.",
בנקאי/ית לקוחות עסקיים בחטיבה הבנקאית 1091,בנק לאומי,ישראל,2026-06-30,https://twitter.com/home?status=https://www.leumi.co.il/he/node/812,"חטיבה בנקאית תיאור משרה: בנקאי/ית ללקוחות עסקיים בחטיבה הבנקאית אנרגטיים/יות? אוהבים/ות אנשים? מכירתיים/יות? יש לנו הצעת עבודה בשבילכם/ן! דרושים/ות בנקאים/יות לסניפי לאומי מה אנחנו מציעים? תנאים מעולים וקליטה כעובד הבנק מהיום הראשון! הכשרה מקצועית שכר התחלתי גבוה סביבת עבודה דינאמית ומאתגרת תיאור התפקיד: מתן מענה ללקוחות העסקיים של הסניף טיפול בנכסים והתחייבויות של הלקוחות העסקיים קבלת בקשות אשראי, ניתוחן והפקת המלצות הפקדת פיקדונות, העמדת הלוואות, העברות כספיות, בדיקת צ'קים, הזנת נתונים במערכות מיכוניות ייזום עסקי הכולל מכירת מוצרים פיננסיים מכוונות להתמקצעות בתחום האשראי המסחרי היקף המשרה: משרה מלאה בין השעות 8:00-16:00, בימים שני ורביעי פיצול עד השעה 19:00. דרישות: תואר ראשון פיננסי/לקראת סיום תואר- חובה ניסיון קודם בבנקאות/פיננסים -יתרון ניסיון קודם בשירות ומכירה-יתרון תודעת שירות גבוהה ומכוונות לעבודה עם לקוחות מכוונות לייזום עסקי והתמקצעות בתחום הבנקאות והאשראים כפיפות: ראש צוות ממשקים: לקוחות ועובדי הסניף נא לציין ת.ז על גבי קורות החיים. המשרה מיועדת לגברים ולנשים כאחד .",onsite,leumi,"בנקאי/ית ללקוחות עסקיים בחטיבה הבנקאית אנרגטיים/יות? אוהבים/ות אנשים? מכירתיים/יות? יש לנו הצעת עבודה בשבילכם/ן! דרושים/ות בנקאים/יות לסניפי לאומי מה אנחנו מציעים? תנאים מעולים וקליטה כעובד הבנק מהיום הראשון! הכשרה מקצועית שכר התחלתי גבוה סביבת עבודה דינאמית ומאתגרת תיאור התפקיד: מתן מענה ללקוחות העסקיים של הסניף טיפול בנכסים והתחייבויות של הלקוחות העסקיים קבלת בקשות אשראי, ניתוחן והפקת המלצות הפקדת פיקדונות, העמדת הלוואות, העברות כספיות, בדיקת צ'קים, הזנת נתונים במערכות מיכוניות ייזום עסקי הכולל מכירת מוצרים פיננסיים מכוונות להתמקצעות בתחום האשראי המסחרי היקף המשרה: משרה מלאה בין השעות 8:00-16:00, בימים שני ורביעי פיצול עד השעה 19:00. | דרישות: תואר ראשון פיננסי/לקראת סיום תואר- חובה ניסיון קודם בבנקאות/פיננסים -יתרון ניסיון קודם בשירות ומכירה-יתרון תודעת שירות גבוהה ומכוונות לעבודה עם לקוחות מכוונות לייזום עסקי והתמקצעות בתחום הבנקאות והאשראים",
בנקאי/ת במרכז הטלפוני של בנק לאומי ירושלים 1206,בנק לאומי,ישראל,2026-06-30,https://twitter.com/home?status=https://www.leumi.co.il/he/node/1570,,onsite,leumi,"אנרגטיים/יות? אוהבים/ות אנשים? מחפשים קריירה? יש לנו הצעת עבודה בשבילכם/ן! דרושים בנקאים/יות למרכזי בנקאות של לאומי, מרכז השירות הבנקאי הטלפוני של הבנק. מה אנחנו מציעים? סביבת עבודה דינאמית, צעירה ומתגמלת, הכשרה מקצועית, מסלול קידום נרחב. מרכזי בנקאות מרכזים את מרבית הפניות הטלפוניות של לקוחות לאומי ומהווים ערוץ מקצועי ושירותי ללקוחות הבנק. בנקאי המרכז שיסיימו את ההכשרה יקבלו ידע נרחב בעולם הבנקאות, האשראי, מיומנויות שירות והובלת שיחה. המרכז מאופיין בסביבת עבודה דינמית, צעירה ומתגמלת. עבודה בשעות עבודה גמישות. מיקום המשרה : ירושלים כישורים נדרשים תודעת שירות גבוהה כושר ביטוי גבוה בעל פה יחסי אנוש מעולים ועבודת צוות יכולת למידה מהירה יכולת התמודדות במצבי לחץ נכונות להשקעה ועבודה מאומצת אוריינטציה לשירות ומכירה היקף המשרה שעות פעילות המרכז א'-ה' 6:30-23:00 , ו' 6:30-14:00 שעות העבודה גמישות המשרה מתאימה לסטודנטים מינימום 24 שעות שבועיות גמישות לעבודה מהבית בהתאם לצורך *קליטה ללאומי מהיום הראשון | דרישות: עדיפות לסטודנטים המחפשים קריירה בלאומי. כמו כן, עדיפות לבעלי/ות ניסיון תעסוקתי קודם בתחום מתן שירות.",
בנקאי/ת במרכז הטלפוני של בנק לאומי אשקלון 1228,בנק לאומי,ישראל,2026-06-30,https://twitter.com/home?status=https://www.leumi.co.il/he/node/1571,,onsite,leumi,"אנרגטיים/יות? אוהבים/ות אנשים? מחפשים קריירה? יש לנו הצעת עבודה בשבילכם/ן! דרושים בנקאים/יות למרכזי בנקאות של לאומי, מרכז השירות הבנקאי הטלפוני של הבנק. מה אנחנו מציעים? סביבת עבודה דינאמית, צעירה ומתגמלת, הכשרה מקצועית, מסלול קידום נרחב. מרכזי בנקאות מרכזים את מרבית הפניות הטלפוניות של לקוחות לאומי ומהווים ערוץ מקצועי ושירותי ללקוחות הבנק. בנקאי המרכז שיסיימו את ההכשרה יקבלו ידע נרחב בעולם הבנקאות, האשראי, מיומנויות שירות והובלת שיחה. המרכז מאופיין בסביבת עבודה דינמית, צעירה ומתגמלת. עבודה בשעות עבודה גמישות. מיקום המשרה : אשקלון כישורים נדרשים תודעת שירות גבוהה כושר ביטוי גבוה בעל פה יחסי אנוש מעולים ועבודת צוות יכולת למידה מהירה יכולת התמודדות במצבי לחץ נכונות להשקעה ועבודה מאומצת אוריינטציה לשירות ומכירה היקף המשרה שעות פעילות המרכז א'-ה' 6:30-23:00 , ו' 6:30-14:00 שעות העבודה גמישות המשרה מתאימה לסטודנטים מינימום 24 שעות שבועיות גמישות לעבודה מהבית בהתאם לצורך *קליטה ללאומי מהיום הראשון | דרישות: עדיפות לסטודנטים המחפשים קריירה בלאומי. כמו כן, עדיפות לבעלי/ות ניסיון תעסוקתי קודם בתחום מתן שירות.",
בנקאי/ת מבואה לסניפי בנק לאומי 1034,בנק לאומי,ישראל,2026-06-30,https://twitter.com/home?status=https://www.leumi.co.il/he/node/1675,,onsite,leumi,"הבנקאות מתחילה במבואה של הסניף - שירות בנקאי וקבלת קהל במבואה של אחד מסניפי לאומי תוך מתן מענה פרונטלי ללקוחות. מטרת התפקיד היא מיקסום חווית לקוח ומיצוי פוטנציאל עסקי במפגש הפרונטלי עם הלקוחות התפקיד כולל: הכוונה וסיוע בביצוע פעולות בכלל ערוצי הדיגיטל מתן מענה לצרכים בנקאיים (עמדת מחשב של הבנקאי) איתור הזדמנויות עבור הלקוח / זיהוי פוטנציאל עסקי / הצעות ערך ייזום עסקי בסניף בשעות שאינן קבלת קהל. היקף משרה: משרה מלאה - 5 ימים בשבוע. ימי א', ג' וה' 8:00-15:00 ובימי פיצול ב' וד' 8:00-18:00 | דרישות: עמידה תחת עומס טיפול בהתמודדויות במענה פרונטלי תודעת שירות גבוהה מוסר עבודה גבוה אחריות ורצינות עצמאות אסרטיביות כושר ביטוי גבוה",
בנקאי/ת ללקוחות פרטיים לסניפי בנק לאומי 1004,בנק לאומי,ישראל,2026-06-30,https://twitter.com/home?status=https://www.leumi.co.il/he/node/1685,,onsite,leumi,"דרושים/ות בנקאים/יות למגזר הפרטי לתפקיד המשלב שירות לקוחות ומכירות. אנרגטיים/יות? אוהבים/ות אנשים? מכירתיים/יות? תנאים מעולים וקליטה כעובד הבנק מהיום הראשון! מה אנחנו מציעים? הכשרה מקצועית שכר התחלתי גבוה סביבת עבודה דינמית ומאתגרת שירות בנקאי פרונטלי וטלפוני וכן מכירת מוצרים בנקאיים ללקוחות פרטיים וללקוחות פרימיום טיפול בכל הנכסים וההתחייבויות של הלקוח ייזום מול לקוחות, גיוס לקוחות חדשים, קידום מכירות, שימור והרחבת פעילות עם לקוחות קיימים, ליווי הלקוח לאורך זמן, פגישות עם לקוחות קיימים וחדשים מכירת מוצרים בנקאיים כדוגמת: אשראים, פיקדונות, כרטיסי אשראי, גלישה ישירה באינטרנט במסגרת התפקיד יוכשרו הבנקאים במגוון תחומים: בנקאות, אשראי, קשרי לקוחות, שירות ושיווק על חשבון הבנק. היקף המשרה : משרה מלאה 5 ימים בשבוע ,שעות העבודה: א', ג', ה': - 08:00-16:00 ב+ד (פיצול) 8:00-14:00 + 16:00-19:00 (בסניפים שפתוחים בשישי, יום א' חופשי). | דרישות: בגרות מלאה – חובה תואר ראשון-יתרון משמעותי ניסיון קודם בבנקאות/פיננסים-יתרון משמעותי 1-2 שנות ניסיון בשירות ומכירות -יתרון משמעותי יכולות למידה, שיקול דעת, חשיבה פרקטית וכושר ביטוי גבוה תודעת שירות גבוהה, יכולת מכירה, יכולת עבודה בצוות אנרגיה, יוזמה, יכולת להתמודד עם מספר משימות במקביל, חוסן ועמידה באתגרים.",
אנליסט/ית אשראי למערך העסקי 1996,בנק לאומי,ישראל,2026-06-30,https://twitter.com/home?status=https://www.leumi.co.il/he/node/2117,"החטיבה עסקית תיאור משרה: החטיבה העסקית בבנק לאומי מטפלת בתאגידים הגדולים במשק ונותנת אשראי לעסקאות הענק. תיאור התפקיד: ניתוח דוחות כספיים וצרכי אשראי של חברות ותאגידים. כתיבת ועדות אשראי, בקשות שוטפות, מתן הוראות וביצוע בקרה. מימוש החלטות עסקיות, וטיפול שוטף בתיקי הלקוחות. טיפול בדוחות ודיווחים תקופתיים. היקף משרה: משרה מלאה ימים א'-ה' . מיקום – קמפוס לאומי, אבא הלל סילבר לוד. דרישות: ניסיון של מעל שנתיים באנליזת אשראי/ניסיון בניתוח דוחות כספיים-חובה תואר פיננסי –חובה, רו""ח-יתרון. ניסיון בעבודה מול לקוחות עסקיים. יכולת אנליטית ולמידה מהירה. יכולת ניהול והובלת ריבוי משימות. יכולת ניסוח והבעה טובה בכתב ובעל פה. דיוק, יסודיות, יכולת עבודה בתנאי עומס ולו""ז מוגדרים. תודעת שרות גבוהה, תקשורת בינאישית גבוהה ויכולת עבודה בצוות. יכולת גבוהה לעבוד עם ממשקים. מוכוונות לפיתוח עסקים. נא לציין ת.ז על גבי קורות החיים. המשרה מיועדת לגברים ולנשים כאחד .",onsite,leumi,"החטיבה העסקית בבנק לאומי מטפלת בתאגידים הגדולים במשק ונותנת אשראי לעסקאות הענק. תיאור התפקיד: ניתוח דוחות כספיים וצרכי אשראי של חברות ותאגידים. כתיבת ועדות אשראי, בקשות שוטפות, מתן הוראות וביצוע בקרה. מימוש החלטות עסקיות, וטיפול שוטף בתיקי הלקוחות. טיפול בדוחות ודיווחים תקופתיים. היקף משרה: משרה מלאה ימים א'-ה' . מיקום – קמפוס לאומי, אבא הלל סילבר לוד. | דרישות: ניסיון של מעל שנתיים באנליזת אשראי/ניסיון בניתוח דוחות כספיים-חובה תואר פיננסי –חובה, רו""ח-יתרון. ניסיון בעבודה מול לקוחות עסקיים. יכולת אנליטית ולמידה מהירה. יכולת ניהול והובלת ריבוי משימות. יכולת ניסוח והבעה טובה בכתב ובעל פה. דיוק, יסודיות, יכולת עבודה בתנאי עומס ולו""ז מוגדרים. תודעת שרות גבוהה, תקשורת בינאישית גבוהה ויכולת עבודה בצוות. יכולת גבוהה לעבוד עם ממשקים. מוכוונות לפיתוח עסקים.",
"בנקאי/ת טלפוני במרכז אשראי משכנתאות בראשל""צ 1741",בנק לאומי,ישראל,2026-06-30,https://twitter.com/home?status=https://www.leumi.co.il/he/node/2159,,onsite,leumi,"מרכז אשראי משכנתאות בראשל""צ הוא מרכז שירות ומכירה מקצועי לפניות בנושא משכנתא ללקוחות פוטנציאליים וקיימים. במסגרת הטיפול בנקאי/ת המשכנתאות מבצע.ת בירור צרכים מול הלקוח, הכוונה וליווי בתהליך החל ממתן מידע כללי, ביצוע תשאול להבנת העסקה, הגשת בקשה למשכנתא, בניית הרכב, ניהול מו""מ וביצוע מעקב עד לסגירת עסקה. בנקאי המרכז יקבלו הכשרה ויזכו בידע נרחב בעולם המשכנתאות והנדל""ן, שיקולים במתן אשראי, מיומנויות לניהול שיחה אפקטיבית ומשא ומתן. פוטנציאל קידום למצטיינים לתפקיד יועץ/ת משכנתאות בסניפי הבנק. שעות העבודה: 3 פעמים בשבוע 8:00-16:15 פעמיים בשבוע עד 18:00 וימי שישי אחת לחודש (08:00-12:00) שכר+בונוסים על עמידה ביעדים! | דרישות: ניסיון במוקד שירות טלפוני או מכירות - יתרון. בגרות מלאה - חובה. תואר ראשון - יתרון. זמינות מיידית - יתרון. תודעת שירות גבוהה. יחסי אנוש מעולים ועבודת צוות. יכולת למידה מהירה. יכולת התמודדות במצבי לחץ. נכונות להשקעה ועבודה מאומצת. אוריינטציה לשירות ומכירה.",
נציג.ת גבייה למוקד הטלפוני בנשר 2146,בנק לאומי,ישראל,2026-06-30,https://twitter.com/home?status=https://www.leumi.co.il/he/node/2298,,onsite,leumi,"המשרה כוללת ביצוע שיחות יזומות ללקוחות פרטיים, אשר חורגים מהמסגרת המאושרת, במטרה להסדיר את החוב בחשבון, בהסכמה עם הלקוח העבודה בעומסים גבוהים וריבוי משימות עבודה כחלק מצוות תוך חלוקת משימות וגיבוי ותמיכה הדדיים המרכז יושב בבית אליר – נשר, חיפה שעות פעילות המוקד - 08:00-16:00 נכונות לביצוע שעות נוספות | דרישות: ניסיון בשירות לקוחות ובעבודת גבייה – יתרון עדיפות לבעלי ידע וניסיון בבנקאות ושירותים בנקאים יכולת וורבלית גבוהה יכולת עבודה עצמאית יכולת למידה והפעלת שיקול דעת יכולת ניהול מו""מ עם לקוחות יחסי אנוש טובים מול לקוחות ויכולת עבודה בצוות סגנון עבודה מסודר ומדויק מוטיבציה גבוהה וראש גדול",
