title,company,location,date,url,department,workplace_type
ABM & Paid Specialist (Contract),Cloudinary,Kraków,2026-05-13,https://jobs.lever.co/cloudinary/f458f058-e694-4bee-bdfd-3d3a4de90211,Go-To-Market (GTM),remote
Collections & AR Specialist,Cloudinary,Israel,2026-04-13,https://jobs.lever.co/cloudinary/709d1a44-7f5d-4718-b01f-6a0e9ac063bd,CFO,hybrid
"Design Manager, Contract (6 months)",Cloudinary,United States,2026-05-22,https://jobs.lever.co/cloudinary/705dfeb7-ea45-4315-b88f-a30e120f6eb6,Marketing,remote
GEO / AI Visibility Specialist (Contract),Cloudinary,Kraków,2026-05-13,https://jobs.lever.co/cloudinary/1579aa4c-9c05-4402-a09c-43660f19b485,Go-To-Market (GTM),remote
Growth Project Manager - Operations (Contract),Cloudinary,Kraków,2026-05-13,https://jobs.lever.co/cloudinary/ab722ac8-bb97-46c1-99c4-b7506fa26e65,Go-To-Market (GTM),remote
Junior SEO Specialist (Contract),Cloudinary,Kraków,2026-05-13,https://jobs.lever.co/cloudinary/c37b2d1f-e359-44a5-81e2-feeb6c340aac,Go-To-Market (GTM),remote
"Managing Director, Image",Cloudinary,United States,2025-11-25,https://jobs.lever.co/cloudinary/0d7f830f-f5cb-49da-a784-b21ec2c970de,Go-To-Market (GTM),remote
"Managing Director, Image",Cloudinary,Israel,2026-03-31,https://jobs.lever.co/cloudinary/ed21b568-a822-4ede-b849-71468df54bc4,Go-To-Market (GTM),onsite
Principal engineer – Shopify Ecosystem,Cloudinary,Israel,2026-03-09,https://jobs.lever.co/cloudinary/1483a486-189e-4d3d-857c-1d801058ab66,CTO,hybrid
Senior Backend Engineer - Image Processing,Cloudinary,Israel,2026-01-27,https://jobs.lever.co/cloudinary/3ce505ef-d316-45b0-a9a6-4bd09b8559d4,CTO,hybrid
Senior FP&A Analyst- Cash flow (Contract),Cloudinary,Israel,2026-03-31,https://jobs.lever.co/cloudinary/7392116f-8b5e-47d6-83d4-f38f10249be2,CFO,hybrid
