title,company,location,date,url,department,workplace_type,position_type
Cloud-based cUAS Management System - Product Manager,D-Fend Solutions,"Raanana, Center District",2026-06-08,https://jobs.lever.co/d-fendsolutions/5103f15b-55ae-4a21-ac3c-f9c7d7c40cbe,Product,onsite,
Communication PHY Research Engineer,D-Fend Solutions,"Raanana, Center District",2025-09-01,https://jobs.lever.co/d-fendsolutions/ef27125d-5b64-4ca8-a3d7-a6e0833ee8ab,System & Integration,onsite,
Creative Marketing Designer/Specialist,D-Fend Solutions,"Raanana, Center District",2026-06-04,https://jobs.lever.co/d-fendsolutions/3e708b10-1925-46bf-bcb5-c51780a3915a,Marketing,hybrid,
Customer Program Manager,D-Fend Solutions,"Raanana, Center District",2025-09-10,https://jobs.lever.co/d-fendsolutions/a117f717-b22f-4688-aa9e-b65384471a03,Customers Operations,onsite,
Director of Engineering (Operations),D-Fend Solutions,"Raanana, Center District",2026-05-25,https://jobs.lever.co/d-fendsolutions/4c023bc1-9863-47b6-9143-8e15bd837e22,Engineering,onsite,
Field System QA,D-Fend Solutions,"Raanana, Center District",2026-04-06,https://jobs.lever.co/d-fendsolutions/dc1b0f80-3ba6-4077-b815-41d3a2ccdeab,Validation,onsite,
Global Technical Support  Director,D-Fend Solutions,"Raanana, Center District",2025-09-30,https://jobs.lever.co/d-fendsolutions/475cd149-568d-475d-a58a-08237828c7d2,Customers Operations,onsite,
Hardware Debug Technician/Engineer,D-Fend Solutions,"Raanana, Center District",2026-06-08,https://jobs.lever.co/d-fendsolutions/2667c4a8-b0fc-49ec-8611-c29612579821,Engineering,onsite,
Junior Production Planner- Temporary position,D-Fend Solutions,"Raanana, Center District",2026-05-12,https://jobs.lever.co/d-fendsolutions/1ec04a41-fbb6-4911-8f7a-587a499e63c8,Supply chain,onsite,
Market Intelligence Analyst (Drone & Counter-Drone Systems),D-Fend Solutions,"Raanana, Center District",2026-03-05,https://jobs.lever.co/d-fendsolutions/6a52d9de-ec0e-48f7-8c4f-ba409b0dd256,Product,onsite,
ML-Engineering Lead,D-Fend Solutions,"Raanana, Center District",2026-03-02,https://jobs.lever.co/d-fendsolutions/72d445bc-f13f-4242-aa27-00213cb82151,AI,onsite,
Professional Services Engineer – Integrated Solutions,D-Fend Solutions,"Raanana, Center District",2026-06-04,https://jobs.lever.co/d-fendsolutions/ad96d5f9-f12e-4b56-a3da-73f50e71a99c,Customers Operations,onsite,
RF Test  Automation Developer,D-Fend Solutions,"Raanana, Center District",2026-03-25,https://jobs.lever.co/d-fendsolutions/2e770567-a9fd-4b51-aaed-7fc4c5802ee2,Automation,onsite,
RF/HW & System Validation Engineer,D-Fend Solutions,"Raanana, Center District",2026-06-14,https://jobs.lever.co/d-fendsolutions/b100cfc4-7674-4420-8a36-4cf03dc93591,Validation,onsite,
RMA and Delivery Projects Manager,D-Fend Solutions,"Raanana, Center District",2026-05-07,https://jobs.lever.co/d-fendsolutions/d712bc16-5e8e-479d-ac01-342edd0b0c96,Customers Operations,onsite,
Senior Communication PHY Algorithms Engineer,D-Fend Solutions,"Raanana, Center District",2026-02-17,https://jobs.lever.co/d-fendsolutions/ecb21abd-803d-4cb9-a6a9-9d5869343e2c,Algorithms,onsite,
Senior Embedded Vulnerability Researcher,D-Fend Solutions,"Raanana, Center District",2025-11-04,https://jobs.lever.co/d-fendsolutions/e34308fd-301e-4c57-bb61-739689005e8a,Reversing,hybrid,
Senior Purchasing Manager,D-Fend Solutions,"Raanana, Center District",2025-11-20,https://jobs.lever.co/d-fendsolutions/ab37c32c-832b-4e54-836c-087b1746fd68,Supply chain,onsite,
Senior RF System & Design Engineer,D-Fend Solutions,"Raanana, Center District",2026-05-25,https://jobs.lever.co/d-fendsolutions/edfc36d0-0bbf-4bdc-bcae-03256b3ba138,Hardware,onsite,
Senior Software Engineer (Cloud/Backend),D-Fend Solutions,"Raanana, Center District",2026-02-12,https://jobs.lever.co/d-fendsolutions/e6a9150c-558e-4b06-a5d6-347d1494ba29,Software,onsite,
Senior Verification Engineer (FPGA),D-Fend Solutions,"Raanana, Center District",2026-03-26,https://jobs.lever.co/d-fendsolutions/721b07ac-40d0-4ada-9f36-2427f442ca1d,Hardware,onsite,
System Engineer,D-Fend Solutions,"Raanana, Center District",2026-03-24,https://jobs.lever.co/d-fendsolutions/53dc8287-8969-472d-8b48-6c9b8901035a,System & Integration,onsite,
System QA Engineer,D-Fend Solutions,"Raanana, Center District",2026-06-02,https://jobs.lever.co/d-fendsolutions/53dee7a1-7f63-4699-a2a8-7eb0a8bbdccf,Validation,onsite,
Technical Instructor,D-Fend Solutions,"Raanana, Center District",2026-04-28,https://jobs.lever.co/d-fendsolutions/10688955-276b-4629-8a41-1b753c41804e,Customers Operations,onsite,
Account Manager - OpenRAN (Africa),Parallel Wireless,Kenya,2026-01-28,https://jobs.lever.co/parallelwireless/c9c66902-e290-4e2d-b4df-cf7c5e46ed6d,401-Sales Africa/MENA/EU,remote,
Account Manager - OpenRAN (Africa),Parallel Wireless,South Africa,2026-01-30,https://jobs.lever.co/parallelwireless/f1ebcbff-942c-4be0-94a9-555cb490327b,401-Sales Africa/MENA/EU,remote,
"Director, Solution Sales Engineering, Asia region (Malaysia)",Parallel Wireless,Malaysia,2025-05-21,https://jobs.lever.co/parallelwireless/4b85a0b7-6f75-4957-a38f-349dc556df53,401-Sales Africa/MENA/EU,remote,
"Director, Solution Sales Engineering, Asia region (Philippines)",Parallel Wireless,Philippines,2025-07-22,https://jobs.lever.co/parallelwireless/cf88e5b9-354b-4579-bbcd-6408a70a08d6,401-Sales Africa/MENA/EU,remote,
"Director, Solution Sales Engineering, Asia region (Singapore)",Parallel Wireless,Singapore,2025-07-22,https://jobs.lever.co/parallelwireless/d654396e-ad14-4391-9c94-dccfcde4a846,401-Sales Africa/MENA/EU,remote,
"Director, Solution Sales Engineering, Pacific region (Fiji)",Parallel Wireless,Fiji,2025-07-22,https://jobs.lever.co/parallelwireless/3f811b61-e2ce-48d0-b503-7578b0b3df53,401-Sales Africa/MENA/EU,remote,
"Director, Solution Sales Engineering, Pacific region (New Zealand)",Parallel Wireless,New Zealand,2026-02-10,https://jobs.lever.co/parallelwireless/2e18b10b-15f5-469b-a839-2869af44570f,401-Sales Africa/MENA/EU,remote,
"Director, Solution Sales Engineering, Pacific region (PNG)",Parallel Wireless,PNG,2025-07-22,https://jobs.lever.co/parallelwireless/0390d44d-1c48-49f3-ae72-16516a3d42d9,401-Sales Africa/MENA/EU,remote,
PHY System Engineer,Parallel Wireless,Kfar Saba,2020-10-19,https://jobs.lever.co/parallelwireless/d7f056ee-98d1-48ff-9164-1ec5fdac9af0,,hybrid,
PHY System Team Leader,Parallel Wireless,Kfar Saba,2025-12-23,https://jobs.lever.co/parallelwireless/08381099-f5c2-4fd8-ac1c-a1b59368aac8,348-RAT,hybrid,
Sales Director / Customer Executive - Pacific Region,Parallel Wireless,Pacific,2026-01-22,https://jobs.lever.co/parallelwireless/0ad79952-db29-46e4-a47d-a6fc5dc1a765,402-Sales APAC,remote,
Sales Director / Customer Executive - Pacific Region,Parallel Wireless,Fiji,2026-01-21,https://jobs.lever.co/parallelwireless/123bd845-e78b-4377-852f-c106070fc3a2,402-Sales APAC,remote,
Sales Director/ Customer Executive - South East Asia,Parallel Wireless,Malaysia,2026-01-22,https://jobs.lever.co/parallelwireless/c7e795fd-d5a5-48af-abfb-4fc11044636c,402-Sales APAC,remote,
"Sr. Director, Platform",Parallel Wireless,Kfar Saba,2026-01-26,https://jobs.lever.co/parallelwireless/e615e732-e7ea-406c-938a-4632b189b7ba,347-RANOPS,hybrid,
"System Architecture Team Lead (Platform, Cloud)",Parallel Wireless,Kfar Saba,2026-03-11,https://jobs.lever.co/parallelwireless/eaf8378b-46aa-4d6e-a73f-124f43cf2ece,347-RANOPS,hybrid,
Create your own role,Twingate,Remote,2025-04-29,https://jobs.lever.co/twingate/c3f15f73-5725-4032-9e0b-bf8bf845f991,Future Roles,remote,
Senior DevOps Engineer,Twingate,Remote,2026-04-27,https://jobs.lever.co/twingate/6c685d70-e482-439f-b38c-2ee386245064,DevOps,remote,
Sr. Software Engineer Networking Team,Twingate,Remote (US or Israel),2022-06-14,https://jobs.lever.co/twingate/2e30c68a-0207-49e6-beb0-07a02bc7bba5,SDWAN,remote,
"Technical Support Engineer, L1/L2",Twingate,"Remote, (East Coast preferred)",2026-04-22,https://jobs.lever.co/twingate/603ad0f4-09b4-4da5-ab5a-2f334bc833fa,Technical Support,remote,
