title,company,location,date,url,department,workplace_type,source,description,position_type
נציג/ת שירות לבית מרקחת במודיעין,מכבי שירותי בריאות,"ירושלים יו""ש",2026-06-05,https://www.maccabi4u.co.il/careers/all-positions/נציג-ת-שירות-בית-מרקחת-1536/,אדמיניסטרציה,onsite,maccabi,על המשרה לבית המרקחת של מכבי פארם במודיעין דרושים/ות נציגי/ות שירות בית מרקחת. תנאי העסקה מצויינים במשמרות גמישות ללא שבתות וחגים. העבודה באווירה נעימה. למתאימים/ות אופק קידום. דרישות התפקיד • השכלה תיכונית מלאה • תודעת שירות גבוהה • ניסיון בעבודה מול קהל • היכרות עם ניהול מלאי וקופה רושמת • עבודה בסביבה ממוחשבת רק פניות מתאימות תענינה,
רוקח/ת לבית מרקחת השלום,מכבי שירותי בריאות,מרכז,2026-06-05,https://www.maccabi4u.co.il/careers/all-positions/רוקח-ת-1588/,רוקחות,onsite,maccabi,"על המשרה • 80 % משרה ,כלומר 6 משמרות יומיות וימי שישי לסירוגין [ 3 משמרות בוקר + 2 משמרות ערב ] • יש אפשרות ל- 100% , וכמובן לשעות נוספות • ללא עבודה בשבתות וחגים • תן ביס החל מהיום הראשון • קרן השתלמות החל מהיום הראשון • כ-21 ימי מחלה בשנה + 22 ימי חופשה בשנה • דמי הבראה מוגדלים דרישות התפקיד • רוקח/ת עם רישיון בתוקף",
מנהל/ת בית מרקחת בני ברק,מכבי שירותי בריאות,מרכז,2026-06-05,https://www.maccabi4u.co.il/careers/all-positions/מנהל-ת-בית-מרקחת-1589/,רוקחות,onsite,maccabi,"על המשרה • משרת ניהול בית מרקחת - אחריות לניהול בית המרקחת ולאספקת מכלול השירותים הניתנים לחברי מכבי • אחריות על ניהול מקצועי ורוקח/ת אחראי/ת בהתאם לנהלי משרד הבריאות ומכבי שירותי בריאות • 100% משרה , 6 ימים בשבוע , יום שישי לסירוגין [ שבוע כן שבוע לא ] • ללא עבודה בשבתות • תן ביס החל מהיום הראשון • קרן השתלמות החל מהיום הראשון • כ-21 ימי מחלה בשנה + 22 ימי חופשה בשנה • דמי הבראה מוגדלים דרישות התפקיד • רוקח/ת עם רישיון בתוקף • ניסיון של שנתיים לפחות",
נציג/ת שירות לבית מרקחת אופקים,מכבי שירותי בריאות,דרום,2026-06-05,https://www.maccabi4u.co.il/careers/all-positions/נציג-ת-שירות-בית-מרקחת-1621/,אדמיניסטרציה,onsite,maccabi,על המשרה לבית המרקחת של מכבי פארם באופקים דרושים/ות נציגי/ות שירות בית מרקחת. תנאי העסקה מצויינים במשמרות גמישות ללא שבתות וחגים. העבודה באווירה נעימה. למתאימים/ות אופק קידום. דרישות התפקיד • השכלה תיכונית מלאה • תודעת שירות גבוהה • ניסיון בעבודה מול קהל • היכרות עם ניהול מלאי וקופה רושמת • עבודה בסביבה ממוחשבת רק פניות מתאימות תענינה,
נציג/ת שירות לבית מרקחת אשדוד,מכבי שירותי בריאות,דרום,2026-06-05,https://www.maccabi4u.co.il/careers/all-positions/נציג-ת-שירות-בית-מרקחת-1622/,אדמיניסטרציה,onsite,maccabi,על המשרה לבית המרקחת של מכבי פארם באשדוד דרושים/ות נציגי/ות שירות בית מרקחת. תנאי העסקה מצויינים במשמרות גמישות ללא שבתות וחגים. העבודה באווירה נעימה. למתאימים/ות אופק קידום. דרישות התפקיד • השכלה תיכונית מלאה • תודעת שירות גבוהה • ניסיון בעבודה מול קהל • היכרות עם ניהול מלאי וקופה רושמת • עבודה בסביבה ממוחשבת רק פניות מתאימות תענינה,
נציג/ת שירות לבית מרקחת יבנה,מכבי שירותי בריאות,דרום,2026-06-05,https://www.maccabi4u.co.il/careers/all-positions/נציג-ת-שירות-בית-מרקחת-1623/,אדמיניסטרציה,onsite,maccabi,על המשרה לבית המרקחת של מכבי פארם ביבנה דרושים/ות נציגי/ות שירות בית מרקחת. תנאי העסקה מצויינים במשמרות גמישות ללא שבתות וחגים. העבודה באווירה נעימה. למתאימים/ות אופק קידום. דרישות התפקיד • השכלה תיכונית מלאה • תודעת שירות גבוהה • ניסיון בעבודה מול קהל • היכרות עם ניהול מלאי וקופה רושמת • עבודה בסביבה ממוחשבת רק פניות מתאימות תענינה,
נציג/ת שירות לבית מרקחת חולון- הופיין,מכבי שירותי בריאות,השפלה,2026-06-19,https://www.maccabi4u.co.il/careers/all-positions/נציג-ת-שירות-בית-מרקחת-1624/,אדמיניסטרציה,onsite,maccabi,על המשרה לבית המרקחת של מכבי פארם חולון- הופיין דרושים/ות נציגי/ות שירות בית מרקחת. תנאי העסקה מצויינים במשמרות גמישות ללא שבתות וחגים. העבודה באווירה נעימה. למתאימים/ות אופק קידום. דרישות התפקיד • השכלה תיכונית מלאה • תודעת שירות גבוהה • ניסיון בעבודה מול קהל • היכרות עם ניהול מלאי וקופה רושמת • עבודה בסביבה ממוחשבת רק פניות מתאימות תענינה,
מרפא/ה בעיסוק עצמאי/ת התפתחות הילד - מחוז צפון,מכבי שירותי בריאות,צפון,2026-06-19,https://www.maccabi4u.co.il/careers/all-positions/מרפא-ה-בעיסוק-התפתחות-הילד-1675/,ריפוי בעיסוק,onsite,maccabi,"מכבי שירותי בריאות מגייסת מרפא/ה בעיסוק בתחום התפתחות הילד – מקנה לילד המטופל יכולות המאפשרות תפקוד ועצמאות מרביים במסגרת יכולותיו, מתוך רצון לסייע לילד להיות מעורב ושותף פעיל בעיסוקים בעלי מטרה, משמעות וחשיבות עבורו. על המשרה • טיפול בילדים בעלי עיכוב התפתחותי, בילדים עם אוטיזם וילדים עם נכות סומטית עד גיל 18. • קביעת תכנית טיפול, יעדים ומטרות המבוססים על תוצאות האבחון ובשיתוף עם הורי הילד. • הטיפול כולל הדרכת הורים, הדרכת צוות חינוכי וקשר רציף עם גורמי טיפול נוספים. * סוגי טיפול מגוונים: פרטני, קבוצתי, מקוון והיברידי. • היקף המשרה – 10 ש""ש+ אחר הצהרים. • מיקום- טבריה/ צפת/ נווה הדר/הר יונה/ זכרון יעקב. דרישות התפקיד • תואר ראשון בריפוי בעיסוק – חובה. • רישיון ממשרד הבריאות – חובה. • ניסיון של שנתיים מיחידות התפתחותיות או כל מסגרת המוכרת ע""י משרד הבריאות – חובה. • על פי הוראת משרד הבריאות, נדרש לבצע בדיקה במרפאה תעסוקתית והשלמת חיסונים, בהתאם לתכנית החיסונים של עובדי מערכת הבריאות.",
פיזיותרפיסט/ית לפתח תקווה,מכבי שירותי בריאות,השרון,2026-06-19,https://www.maccabi4u.co.il/careers/all-positions/פיזיותרפיסט-ית-1685/,פיזיותרפיה,onsite,maccabi,"על המשרה •התפקיד מצריך ידע מקצועי מעמיק וכן סגנון טיפולי נאות •התפקיד כולל אבחון הבעיה, תכנון תכנית טיפולית עם לו""ז מוגדר, תוך זיהוי מוכנותו של המטופל להיות שותף להחלמתו. •נדרשת בקרה וליווי מקצועי מתמיד המצריכים פתיחות, סקרנות מקצועית ונכונות לקבלת ביקורת מקצועית מבוססת מדדים ותצאות טיפול. דרישות התפקיד •מכוונות טיפולית גבוהה •יכולת לעורר לשיתוף פעולה ולהניע לשינוי התנהגות •יכולת לשיתוף פעולה בצוות ופתיחות להתייעצות עם גורמים מקצועיים ועמיתים •תודעת שרות גבוהה •היקף משרה 70%",
פיזיותרפיסט/ית להתפתחות הילד נתניה,מכבי שירותי בריאות,השרון,2026-06-19,https://www.maccabi4u.co.il/careers/all-positions/פיזיותרפיסט-ית-1687/,פיזיותרפיה,onsite,maccabi,"על המשרה •התפקיד מצריך ידע מקצועי מעמיק וכן סגנון טיפולי נאות •התפקיד כולל אבחון הבעיה, תכנון תכנית טיפולית עם לו""ז מוגדר, תוך זיהוי מוכנותו של המטופל להיות שותף להחלמתו. •נדרשת בקרה וליווי מקצועי מתמיד המצריכים פתיחות, סקרנות מקצועית ונכונות לקבלת ביקורת מקצועית מבוססת מדדים ותצאות טיפול. דרישות התפקיד •מכוונות טיפולית גבוהה •יכולת לעורר לשיתוף פעולה ולהניע לשינוי התנהגות •יכולת לשיתוף פעולה בצוות ופתיחות להתייעצות עם גורמים מקצועיים ועמיתים •קשר צמוד, הנחיה וגיוס של ההורים •תודעת שרות גבוהה •היקף משרה 75%",
קלינאי/ת תקשורת עצמאי/ת התפתחות הילד - מחוז צפון,מכבי שירותי בריאות,חיפה והקריות,2026-06-19,https://www.maccabi4u.co.il/careers/all-positions/ק-תקשורת-עצמאית-בהתפתחות-הילד-1716/,קלינאות תקשורת,onsite,maccabi,"מכבי שירותי בריאות מגייסת קלינאי/ת תקשורת בתחום התפתחות הילד – במטרה להקנות ולשפר מיומנויות שפה ותקשורת של ילדים, ולאפשר מעורבות פעילה ומעצימה בחברה. על המשרה: • טיפול בילדים בעלי עיכוב התפתחותי, בילדים עם אוטיזם וילדים עם נכות סומטית עד גיל 18. • קביעת תכנית טיפול, יעדים ומטרות המבוססים על תוצאות האבחון ובשיתוף עם הורי הילד. • הורי הילד הינם שותפים מלאים לתהליך הטיפולי. • הטיפול כולל הדרכת הורים, הדרכת צוות חינוכי וקשר רציף עם גורמי טיפול נוספים. • סוגי טיפול מגוונים: פרטני, קבוצתי, מקוון והיברידי. • היקף המשרה – 10 ש""ש. בוקר + אחר הצהרים אחד. • מיקום: טבריה,שפרעם,נצרת,נוף הגליל,קריות חיפה ויוקנעם דרישות התפקיד: • תואר ראשון בהפרעות תקשורת – חובה. • רישיון ממשרד הבריאות – חובה. • ניסיון של שנתיים מיחידות התפתחותיות או כל מסגרת המוכרת ע""י משרד הבריאות – חובה. • על פי הוראת משרד הבריאות, נדרש לבצע בדיקה במרפאה תעסוקתית והשלמת חיסונים, בהתאם לתכנית החיסונים של עובדי מערכת הבריאות.",
רוקח/ת לרשת מכבי פארם - מרחב ים שפלה,מכבי שירותי בריאות,"ירושלים יו""ש",2026-06-19,https://www.maccabi4u.co.il/careers/all-positions/רוקח-ת-2025/,רוקחות,onsite,maccabi,"דרושים/ות רוקחים/ות לרשת מכביפארם באזור ים ושפלה מכבי פארם מגייסת רוקח/ת - עבודה במשמרות נוחות ללא שבתות וחגים, סביבת עבודה נעימה, הכשרות מקצועיות, אפיקי התפתחות וקידום. על המשרה • ניפוק תרופות למטופלי הקופה, קידום בריאות ושיפור היענות המטופלים בהתאם לנהלי מכבי ומשרד הבריאות. • מתן שירות מטבי ברמה מקצועית תוך התעדכנות באופן שוטף בנהלים ומידע על תרופות חדשות. • השתתפות בימי עיון, הכשרות וקורסים הניתנים ע""י מכבי. דרישות התפקיד • רישיון רוקחות ממשרד הבריאות – חובה. • תואר ראשון ברוקחות- חובה • תודעת שירות גבוהה. • יכולת עבודה בצוות. • על פי הוראת משרד הבריאות, נדרש לבצע בדיקה במרפאה תעסוקתית והשלמת חיסונים, בהתאם לתכנית החיסונים של עובדי מערכת הבריאות.",
רוקח/ת לרשת מכבי פארם - מרחב דרום,מכבי שירותי בריאות,דרום,2026-06-19,https://www.maccabi4u.co.il/careers/all-positions/רוקח-ת-2028/,רוקחות,onsite,maccabi,"דרושים/ות רוקחים/ות לרשת מכביפארם באזור דרום מכבי פארם מגייסת רוקח/ת - עבודה במשמרות נוחות ללא שבתות וחגים, סביבת עבודה נעימה, הכשרות מקצועיות, אפיקי התפתחות וקידום. על המשרה • ניפוק תרופות למטופלי הקופה, קידום בריאות ושיפור היענות המטופלים בהתאם לנהלי מכבי ומשרד הבריאות. • מתן שירות מטבי ברמה מקצועית תוך התעדכנות באופן שוטף בנהלים ומידע על תרופות חדשות. • השתתפות בימי עיון, הכשרות וקורסים הניתנים ע""י מכבי. דרישות התפקיד • רישיון רוקחות ממשרד הבריאות – חובה. • תואר ראשון ברוקחות- חובה • תודעת שירות גבוהה. • יכולת עבודה בצוות. • על פי הוראת משרד הבריאות, נדרש לבצע בדיקה במרפאה תעסוקתית והשלמת חיסונים, בהתאם לתכנית החיסונים של עובדי מערכת הבריאות.",
מתאמ/ת שירות רפואי למרכז מומחים באלעד,מכבי שירותי בריאות,מרכז,2026-06-19,https://www.maccabi4u.co.il/careers/all-positions/מתאמ-ת-שירות-רפואי-2057/,אדמיניסטרציה,onsite,maccabi,"מכבי שירותי בריאות מגייסת מתאמ/ת שירות רפואי לעבודה בצוות חם ותומך. מתן שירות מקצועי ואמפתי לחברי הקופה ברגעי אמת: תפקיד עם משמעות, השפעה ושליחות *הכשרה ייעודית לתפקיד במסגרת מכבי- תוך התמקצעות והתעדכנות מתמדת בעולם התוכן הרפואי על המשרה: עבודה בסביבה רפואית עם צוות רפואי – רופאים, מטפלים ,מנהלים וצוות מינהלי. מתן שירות לחברי מכבי במספר ערוצים – טלפוני , עבודת BACK OFFICE סיוע ותיאום שירות לחברי מכבי בתוך מכבי ומחוצה לה. ורסטיליות גבוהה בהתמודדות עם מצבים מורכבים ובחירת חלופות המתאימות שמירה על דיסקרטיות וסודיות רפואית עבודה בצוות תוך מתן עזרה וגיבוי הדדי. היקף משרה – 100% מיקום המשרה- רבנו ניסים גאון 1, אלעד דרישות התפקיד: יכולות בינאישיות גבוהות - חובה תודעת שירות גבוהה - חובה ורסטיליות, יכולת למידה מתמדת - חובה ניסיון תעסוקתי עם לקוחות – יתרון תעודת בגרות ותואר ראשון – יתרון על פי הוראת משרד הבריאות, נדרש לבצע בדיקה במרפאה תעסוקתית והשלמת חיסונים, בהתאם לתכנית החיסונים של עובדי מערכת הבריאות.",
קלינאי/ת תקשורת התפתחות הילד - מחוז ים שפלה,מכבי שירותי בריאות,"ירושלים יו""ש",2026-06-19,https://www.maccabi4u.co.il/careers/all-positions/קלינאי-ת-תקשורת-2132/,קלינאות תקשורת,onsite,maccabi,"מכבי שירותי בריאות מגייסת קלינאי/ת תקשורת בתחום התפתחות הילד – במטרה להקנות ולשפר מיומנויות שפה ותקשורת של ילדים, ולאפשר מעורבות פעילה ומעצימה בחברה. מה אנחנו מציעים ? ▪ תנאים סוציאליים מורחבים (כולל סיבוס, ימי מחלה מהיום הראשון, הפרשות מכל רכיבי השכר וקרן השתלמות) ▪ סביבת עבודה מקצועית, תומכת ורב-מקצועית עם צוות מנוסה ▪ ליווי, הדרכה ופיתוח מקצועי לאורך הדרך (השתלמויות, ימי עיון והכשרות) ▪ אפשרויות קידום והתפתחות מקצועית מגוונות, כולל שילוב תחומי טיפול שונים ▪ מענק התמדה ואפשרות לקבלת מענק ללימודים מתקדמים ▪ גמישות תעסוקתית, כולל אפשרות לשילוב עבודה מהבית וביצוע ססיות על המשרה • טיפול בילדים בגילאי 0-9 שנים בעלי עיכוב התפתחותי, בילדים עם אוטיזם וילדים עם נכות סומטית בגילאי 0-6. • אבחון והערכה מקיף באופן פרטני או רב מקצועי, תוך שימוש בכלי תצפית וכלים סטנדרטיים. • קביעת תכנית טיפול המבוססת על יעדים ומטרות מדידות בשיתוף עם הורי הילד. • הטיפול כולל הדרכת הורים, הדרכת צוות חינוכי וקשר רציף עם גורמי טיפול נוספים. • סוגי טיפול מגוונים: פרטני, קבוצתי, רב מקצועי, מקוון והיברידי. • למידה והדרכה שוטפים הכוללים: ימי עיון, סדנאות, קורסים והשתלמויות. • היקף המשרה – 50% • מיקום- חולון/ראשון לציון/רמלה/ירושלים/בית שמש דרישות התפקיד • תואר ראשון בהפרעות תקשורת – חובה. • רישיון ממשרד הבריאות – חובה. • יכולת עבודה בצוות - חובה. • יכולת עבודה עצמאית וקבלת החלטות - חובה. • על פי הוראת משרד הבריאות, נדרש לבצע בדיקה במרפאה תעסוקתית והשלמת חיסונים, בהתאם לתכנית החיסונים של עובדי מערכת הבריאות.",
מרפא/ה בעיסוק התפתחות הילד - מחוז צפון,מכבי שירותי בריאות,צפון,2026-06-19,https://www.maccabi4u.co.il/careers/all-positions/מרפא-ה-בעיסוק-התפתחות-הילד-2135/,ריפוי בעיסוק,onsite,maccabi,"מכבי שירותי בריאות מגייסת מרפא/ה בעיסוק בתחום התפתחות הילד – מקנה לילד המטופל יכולות המאפשרות תפקוד ועצמאות מרביים במסגרת יכולותיו, מתוך רצון לסייע לילד להיות מעורב ושותף פעיל בעיסוקים בעלי מטרה, משמעות וחשיבות עבורו. על המשרה • טיפול בילדים בעלי עיכוב התפתחותי, בילדים עם אוטיזם וילדים עם נכות סומטית בגילאי 0-6. • אבחון והערכה מקיף באופן פרטני או רב מקצועי, תוך שימוש בכלי תצפית וכלים סטנדרטיים. • קביעת תכנית טיפול המבוססת על יעדים ומטרות מדידות בשיתוף עם הורי הילד. • הטיפול כולל הדרכת הורים, הדרכת צוות חינוכי וקשר רציף עם גורמי טיפול נוספים. • סוגי טיפול מגוונים: פרטני, קבוצתי, רב מקצועי, מקוון והיברידי. • למידה והדרכה שוטפים הכוללים: ימי עיון, סדנאות, קורסים והשתלמויות. • היקף המשרה – 25%-50% • מיקום – חיפה/ טירת הכרמל/ צפת/זכרון יעקוב/נוף הגליל/נהריה דרישות התפקיד • תואר ראשון בריפוי בעיסוק – חובה. • רישיון ממשרד הבריאות – חובה. • יכולת עבודה בצוות - חובה. • יכולת עבודה עצמאית וקבלת החלטות - חובה. • על פי הוראת משרד הבריאות, נדרש לבצע בדיקה במרפאה תעסוקתית והשלמת חיסונים, בהתאם לתכנית החיסונים של עובדי מערכת הבריאות.",
קלינאי/ת תקשורת עצמאי/ת התפתחות הילד - מחוז צפון,מכבי שירותי בריאות,השרון,2026-06-19,https://www.maccabi4u.co.il/careers/all-positions/ק-תקשורת-עצמאית-בהתפתחות-הילד-2137/,קלינאות תקשורת,onsite,maccabi,"מכבי שירותי בריאות מגייסת קלינאי/ת תקשורת בתחום התפתחות הילד - במטרה להקנות ולשפר מיומנויות שפה ותקשורת של ילדים, ולאפשר מעורבות פעילה ומעצימה בחברה. על המשרה: • טיפול בילדים בעלי עיכוב התפתחותי, בילדים עם אוטיזם וילדים עם נכות סומטית עד גיל 18. • קביעת תכנית טיפול, יעדים ומטרות המבוססים על תוצאות האבחון ובשיתוף עם הורי הילד. • הורי הילד הינם שותפים מלאים לתהליך הטיפולי. • הטיפול כולל הדרכת הורים, הדרכת צוות חינוכי וקשר רציף עם גורמי טיפול נוספים. • סוגי טיפול מגוונים: פרטני, קבוצתי, מקוון והיברידי. • היקף המשרה – 10 ש""ש. בוקר + בוקר אחר הצהרים אחד. • מיקום: פתח תקווה,כפר סבא נתניה/קריית השרון, חדרה, הוד השרון,חריש, ראש עין ואורנית דרישות התפקיד: • תואר ראשון בהפרעות תקשורת – חובה. • רישיון ממשרד הבריאות – חובה . • ניסיון של שלוש שנים מיחידות התפתחותיות או כל מסגרת המוכרת ע""י משרד הבריאות – חובה. • על פי הוראת משרד הבריאות, נדרש לבצע בדיקה במרפאה תעסוקתית והשלמת חיסונים, בהתאם לתכנית החיסונים של עובדי מערכת הבריאות.",
קלינאי/ת תקשורת עצמאי/ת התפתחות הילד - מחוז מרכז,מכבי שירותי בריאות,מרכז,2026-06-19,https://www.maccabi4u.co.il/careers/all-positions/ק-תקשורת-עצמאית-בהתפתחות-הילד-2138/,קלינאות תקשורת,onsite,maccabi,"מכבי שירותי בריאות מגייסת קלינאי/ת תקשורת בתחום התפתחות הילד - במטרה להקנות ולשפר מיומנויות שפה ותקשורת של ילדים, ולאפשר מעורבות פעילה ומעצימה בחברה. על המשרה: • טיפול בילדים בעלי עיכוב התפתחותי, בילדים עם אוטיזם וילדים עם נכות סומטית עד גיל 18. • קביעת תכנית טיפול, יעדים ומטרות המבוססים על תוצאות האבחון ובשיתוף עם הורי הילד. • הורי הילד הינם שותפים מלאים לתהליך הטיפולי. • הטיפול כולל הדרכת הורים, הדרכת צוות חינוכי וקשר רציף עם גורמי טיפול נוספים. • סוגי טיפול מגוונים: פרטני, קבוצתי, מקוון והיברידי. • היקף המשרה – 10 ש""ש. בוקר + בוקר אחר הצהרים אחד. • מיקום- תל אביב יפו/בני ברק/אלעד דרישות התפקיד: • תואר ראשון בהפרעות תקשורת – חובה. • רישיון ממשרד הבריאות – חובה . • ניסיון של שלוש שנים מיחידות התפתחותיות או כל מסגרת המוכרת ע""י משרד הבריאות – חובה. • על פי הוראת משרד הבריאות, נדרש לבצע בדיקה במרפאה תעסוקתית והשלמת חיסונים, בהתאם לתכנית החיסונים של עובדי מערכת הבריאות.",
קלינאי/ת תקשורת עצמאי/ת התפתחות הילד - מחוז ים שפלה,מכבי שירותי בריאות,מרכז,2026-06-19,https://www.maccabi4u.co.il/careers/all-positions/ק-תקשורת-עצמאית-בהתפתחות-הילד-2139/,קלינאות תקשורת,onsite,maccabi,"מכבי שירותי בריאות מגייסת קלינאי/ת תקשורת בתחום התפתחות הילד מחוז דרום – במטרה להקנות ולשפר מיומנויות שפה ותקשורת של ילדים, ולאפשר מעורבות פעילה ומעצימה בחברה. על המשרה: • טיפול בילדים בעלי עיכוב התפתחותי, בילדים עם אוטיזם וילדים עם נכות סומטית עד גיל 18. • קביעת תכנית טיפול, יעדים ומטרות המבוססים על תוצאות האבחון ובשיתוף עם הורי הילד. • הורי הילד הינם שותפים מלאים לתהליך הטיפולי. • הטיפול כולל הדרכת הורים, הדרכת צוות חינוכי וקשר רציף עם גורמי טיפול נוספים. • סוגי טיפול מגוונים: פרטני, קבוצתי, מקוון והיברידי. • היקף המשרה – 10 ש""ש. בוקר + אחר הצהרים אחד. • מיקום: חולון, ראשון לציון, מודיעין,רמלה,לוד, בית שמש, ירושלים דרישות התפקיד: • תואר ראשון בהפרעות תקשורת – חובה. • רישיון ממשרד הבריאות – חובה. • ניסיון של שנתיים מיחידות התפתחותיות או כל מסגרת המוכרת ע""י משרד הבריאות – חובה. • על פי הוראת משרד הבריאות, נדרש לבצע בדיקה במרפאה תעסוקתית והשלמת חיסונים, בהתאם לתכנית החיסונים של עובדי מערכת הבריאות.",
