title,company,location,department,description,url,date_posted,first_seen,source
נציג.ת מכירות- לא חובה ניסיון!,מנורה מבטחים,,שירות לקוחות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
נציג/ת מכירות ותיאום פגישות במוקד שיחות נכנסות- חיפה,מנורה מבטחים,,מכירות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
"רכז.ת שירות ותפעול מנורה מי סוכנות לביטוח פנסיוני בע""מ",מנורה מבטחים,,תפעול,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת פיתוח ארגוני ולמידה,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
שירות עם משמעות במוקד בריאות הבוטיקי שלנו !,מנורה מבטחים,,שירות לקוחות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
איש/אשת סיסטם,מנורה מבטחים,,טכנולוגיות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
אנליסט.ית שכר ותקינה,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מתכנן.ת פנסיוני טלפוני,מנורה מבטחים,,מכירות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
כלכלנ.ית/ אנליסט.ית מתחיל.ה,מנורה מבטחים,,כספים והשקעות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת מחלקת ניהול פרויקטים,מנורה מבטחים,,טכנולוגיות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מדריכ.ת מערכות אגף אלמנטרי,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מיישב.ת תביעות רכוש ועסקים,מנורה מבטחים,,מיישבי תביעות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מיישב.ת תביעות רכב צד ג',מנורה מבטחים,,מיישבי תביעות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
בקר.ית חקירות,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
סטודנטים/יות לשיווק פנסיוני? בואו נכיר!,מנורה מבטחים,,שיווק פנסיוני,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
קצין/ת בטיחות בתעבורה,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
משמר.ת פנסיונית- חדר עסקים גמל,מנורה מבטחים,,שיווק פנסיוני,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת קשרי יועצי בנקים,מנורה מבטחים,,שיווק פנסיוני,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מזכיר.ה לסוכנות מנורה ME,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
רפרנט.ית בק אופיס - ללא ניסיון,מנורה מבטחים,,תפעול,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מומחי/ת מכירות ושיווק ביטוחי רכב,מנורה מבטחים,,מכירות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
נציג.ת שיווק ומכירה לפעילות ביטוח חיים ובריאות,מנורה מבטחים,,מכירות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
בוגרי ובוגרות תואר בכלכלה? הקריירה שלכם מתחילה כאן,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת פרויקטים,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מומחה/ית מכירות ושיווק לביטוחי רכב סוכנות סיני מבית מנורה מבטחים,מנורה מבטחים,,מכירות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
אחראי.ת שימור לקוחות,מנורה מבטחים,,שירות לקוחות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
רכז.ת פיתוח הדרכה ולמידה,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
נציג/ת שירות לקוחות - אגף אלמנטרי,מנורה מבטחים,,שירות לקוחות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת צוות מוקד פנסיה וגמל חיפה,מנורה מבטחים,,שירות לקוחות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
"רכז.ת הצטרפויות מרחב דרום ואונליין- החלפה לחל""ד",מנורה מבטחים,,מכירות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
משווק.ת פנסיוני.ת שטח/ טלפוני,מנורה מבטחים,,שיווק פנסיוני,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת צוות קליטה וניהול זכויות עמיתים,מנורה מבטחים,,תפעול,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
חתמ.ת רפואי.ת,מנורה מבטחים,,חתמים,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
רכז.ת בק אופיס לצוות זכויות עמיתים,מנורה מבטחים,,תפעול,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
