title,company,location,date,url,department,workplace_type,source,description,position_type
למרפאת שיניים במאוחדת נס ציונה דרוש/ה שינן/ית,קופת חולים מאוחדת,נס ציונה,2026-06-17,https://www.meuhedet.co.il/?id=13330&j=1,רפואת שיניים,onsite,meuhedet,,
למרפאת שיניים מאוחדת - אשדוד גן העיר דרוש/ה מזכיר/ה רפואי/ת,קופת חולים מאוחדת,אשדוד,2026-06-17,https://www.meuhedet.co.il/?id=13333&j=1,פקידות ואדמניסטרציה,onsite,meuhedet,,
למרפאת שיניים במאוחדת מזכרת בתיה דרוש/ה שינן/ית,קופת חולים מאוחדת,מזכרת בתיה,2026-06-17,https://www.meuhedet.co.il/?id=13335&j=1,רפואת שיניים,onsite,meuhedet,,
למרפאת שיניים מאוחדת אשדוד - גן העיר דרוש/ה סייע/ת לרופא שיניים.,קופת חולים מאוחדת,אשדוד,2026-06-17,https://www.meuhedet.co.il/?id=13340&j=1,רפואת שיניים,onsite,meuhedet,,
דוגם.ת למרפאת הגבורה באשקלון,קופת חולים מאוחדת,אשקלון,2026-06-16,https://www.meuhedet.co.il/?id=13319&j=1,סיעוד,onsite,meuhedet,,
טכנולוג/ית רפואי/ת צפיפות העצם לפתח תקווה,קופת חולים מאוחדת,פתח תקווה,2026-06-16,https://www.meuhedet.co.il/?id=13323&j=1,טכנ.מכשור רפואי,onsite,meuhedet,,
למרפאת שיניים מאוחדת - חיפה דרוש/ה מזכיר/ה רפואית,קופת חולים מאוחדת,חיפה,2026-06-16,https://www.meuhedet.co.il/?id=13324&j=1,פקידות ואדמניסטרציה,onsite,meuhedet,,
למרפאת שיניים מאוחדת - חיפה אחוזה דרוש/ה מזכיר/ה רפואית,קופת חולים מאוחדת,חיפה,2026-06-16,https://www.meuhedet.co.il/?id=13325&j=1,פקידות ואדמניסטרציה,onsite,meuhedet,,
מתאמ/ת שירות למרפאה אורטופדית,קופת חולים מאוחדת,ירושלים,2026-06-16,https://www.meuhedet.co.il/?id=13326&j=1,פקידות ואדמניסטרציה,onsite,meuhedet,,
"מ""מ מתאמ/ת שירות לנווה יעקוב משה דיין",קופת חולים מאוחדת,ירושלים,2026-06-15,https://www.meuhedet.co.il/?id=13311&j=1,פקידות ואדמניסטרציה,onsite,meuhedet,,
דוגמ/ת למרפאות באר שבע,קופת חולים מאוחדת,באר שבע,2026-06-15,https://www.meuhedet.co.il/?id=13312&j=1,סיעוד,onsite,meuhedet,,
