title,company,location,date,url,department,workplace_type,source,description,position_type
מתאמ/ת פגישות- כרטיס כניסה לעולם המכירות,מגדל,"היצירה 2, קרית אריה פתח-תקווה",2026-07-01,https://my.migdal.co.il/about/jobs#181889,"מכירות ,שיווק פנסיוני, שירות ומשאבים",onsite,migdal,"מחפשים עבודה עם ממוצע שכר גבוה? מגדל קוראת לכם ! דרוש/ה נציג/ת תיאום פגישות תיאום פגישות למרחב מעסיקים ולקוחות מתוך מאגר של ""לידים חמים"" אחריות על ניהול הלו""ז של המשווקים ומעקב אחר קיום פגישות עמידה איכותית וכמותית של יעדי מכירות שיחות יוצאות למבוטחי החברה/ מבוטחים במגדל דרך בית העסק סביבת עבודה צעירה ודינאמית בצוות של כ-20 מתאמים/ות (מעולה למשוחררים/ות מהצבא!) עבודה על פי תסריט שיחה מובנה אפשרויות קידום לאחר תקופה **מגדל‎ ‎מעודדת‎ ‎העסקת‎ ‎אנשים‎ ‎עם‎ ‎מוגבלויות‎ ‎ומנגישה‎ ‎את‎ ‎סביבת‎ ‎העבודה‎ ‎לצרכיהם/ן.",
משווק/ת פנסיוני-דסק,מגדל,"היצירה 2, קרית אריה פתח-תקווה",2026-07-01,https://my.migdal.co.il/about/jobs#165043,"מכירות ,שיווק פנסיוני, שירות ומשאבים",onsite,migdal,"בעלי רישיון פנסיוני? תותחי מכירות? אוהבים לדבר בטלפון בלי הפסקה? זה ה-תפקיד בשבילכם! מגדל, חברת הביטוח המובילה בישראל, מגייסת משווק/ת פנסיוני טלפוני! וזאת ההזדמנות שלכם להצטרף לצוות מטורף של תותחי מכירות ולהנות מתנאים מעולים, בונוסים גבוהים, אפשרויות קידום והכשרה מקצועית ומקיפה על חשבוננו!! איך יראה היום שלך? # עבודה שמגיעה עד אלייך - קיום פגישות טלפוניות עם לקוחות פוטנציאלים, ללא צורך בהשגת לידים באופן עצמאי # ניהול תיק לקוח על כל רבדיו: מכירה, שירות ומתן יעוץ פנסיוני # מכירה מחודשת של המוצר הקיים או בשלל אלטרנטיבות החברה # עמידה ביעדים מוגדרים וברגולציות מכירה. # רישיון שיווק פנסיוני- חובה # יכולת מכירתית גבוהה, אסרטיביות, יכולת התמדה, יכולת לימוד עצמי, יכולת הנעה עצמית #נכונות לעבודה טלפונית # הכרות עמוקה וניסיון בתחום הביטוח הפנסיוני- יתרון משמעותי. המשרה בפתח תקווה שלחו אלינו קוח ותוכלו להצטרף לצוות של מנצחים ולהרוויח בגדול! ** *מגדל מעודדת העסקת גברים/נשים עם מוגבלויות, ומנגישה את סביבת העבודה לצרכיהם/ן",
מגדל מגייסת רכז/ת בק אופיס,מגדל,"היצירה 2, קרית אריה פתח-תקווה",2026-07-01,https://my.migdal.co.il/about/jobs#196098,"מכירות ,שיווק פנסיוני, שירות ומשאבים",onsite,migdal,"מחפש/ת עבודה משרדית, ללא מכירות וללא שירות לקוחות? בוא/י ללמוד מקצוע ולהתפתח מקצועית ואישית, בחברה המציעה מסלולי קידום ופיתוח! והתנאים מעולים- קליטה כעובדי חברה מהיום הראשון! תשלום על ארוחות, מערך הסעות מצירים מרכזיים, נהנים מחדר אוכל וקפיטריות, חדר כושר, מלא מתנות באירועים ועוד הרבה פינוקים שווים! אז איך היום שלך אצלנו יראה? אחריות כוללת על תהליכי תפעול פוליסות פנסיה וביטוח. בקרת הפוליסות וירידה לפרטים לצורך בדיקת תקינות הפוליסות. מתן מענה מקצועי לסוכנים. עבודה טלפונית, מענה למיילים ולמשימות תפעוליות שוטפות. עבודה עם ממשקים פנים ארגוניים. עמידה ביעדי תפוקות. *העבודה במשרה מלאה בשעות גמישות בפתח תקווה. ניסיון קודם בתפקיד דומה – יתרון משמעותי. ניסיון בעבודה בסביבה ממוחשבת. יכולות – יחסי אנוש, שרותיות, זריזות ודיוק. **מגדל‎ ‎מעודדת‎ ‎העסקת‎ ‎אנשים‎ ‎עם‎ ‎מוגבלויות‎ ‎ומנגישה‎ ‎את‎ ‎סביבת‎ ‎העבודה‎ ‎לצרכיהם/ן.",
נציג/ת שירות לקוחות! בואו לעבוד איתנו!,מגדל,"היצירה 2, קרית אריה פתח-תקווה",2026-07-01,https://my.migdal.co.il/about/jobs#197862,"מכירות ,שיווק פנסיוני, שירות ומשאבים",onsite,migdal,"תתכוננו להתאהב בתחום הביטוח, כנציג/ת שירות של מגדל, שרק מגיעים אלינו, לא מבינים עד כמה הולכים להתאהב בעולם הביטוח! הזדמנות חד פעמית להשתלב בארגון מוביל ! האתגר, העניין וההכשרה המקצועית המקיפה שמקבלים, יתנו לך ידע לחיים וגם יפתחו בפנייך אפשרויות קידום ופיתוח מקצועי מהר יותר ממה שנדמה לך. זו ההזדמנות שלך להיות חלק מארגון שייתן לך את כל הכלים ללמוד מקצוע, שיחות נכנסות בלבד *ללא מכירות*, יש פה תנאים מעולים למתאימים– *שכר מעולה , סיבסוד ארוחות, תנאים סוציאליים מדהימים. אווירה משפחתית, שמחה, דינאמית. נשמע לך מעניין? הנה מה שצריך כדי להגיש מועמדות – יכולות ביטוי גבוהות בכתב ובעל פה. תודעת שירות גבוהה. יכולת למידה של חומר מקצועי רב ועבודה עצמאית. *מגדל‎ ‎מעודדת‎ ‎העסקת‎ ‎גברים‎/נשים ‎עם‎ ‎מוגבלויות‎ ‎ומנגישה‎ ‎את‎ ‎סביבת‎ ‎העבודה‎ ‎לצרכיהם/ן.",
תמיד אמרו לכם שאתם סופר משכנעים? בואו להרוויח מזה ובגדול !,מגדל,"היצירה 2, קרית אריה פתח-תקווה",2026-07-01,https://my.migdal.co.il/about/jobs#174162,"מכירות ,שיווק פנסיוני, שירות ומשאבים",onsite,migdal,"מגדל, חברת הביטוח המובילה בישראל מגייסת מומחה/ית שימור ריסק וזאת ההזדמנות שלכם להצטרף אלינו לצוות של מומחים ולהנות מתנאים שווים, סבסוד ארוחות, בונוסים גבוהים, אויירה טובה, תחרויות ופרסים, נופש חברה, מתנות בימי הולדת וערבי חג + אופציה לסטאז' בהוצאת רישיון פנסיוני! התפקיד כולל: שימור לקוחות- ניהול שיחות עם לקוחות המעוניינים לפדות את הפוליסה שלהם בתחום הריסק (בריאות, מחלות קשות וכדומה) התנהלות מול ממשקים פנימיים וחיצוניים שיחות יוצאות ללקוחות החברה, מתן שירות ברמה גבוהה ושימור - ניסיון במכירות בעולמות הביטוח- ייתרון - יכולת ורבאלית טובה ויכולות מכירה - יחסי אנוש מעולים - נכונות לעבודה תחת יעדי שימור נכונות למשרה מלאה בפתח תקווה אז אם עולם הביטוח קורץ לכם, יעדים מדרבנים אתכם ובא לכם לעשות ארגזים של כסף תשלחו קוח ותוכלו להנות מכל הטוב שקורה כאן **מגדל‎‏ ‏מעודדת‎‏ ‏העסקת‎‏ ‏אנשים‎‏ ‏עם‎‏ ‏מוגבלויות‎‏ ‏ומנגישה‎‏ ‏את‎‏ ‏סביבת‎‏ ‏העבודה‎‏ ‏לצרכיהם/ן‎.",
מנהל/ת פרויקטים מצוינות תפעולית,מגדל,"היצירה 2, קרית אריה פתח-תקווה",2026-07-01,https://my.migdal.co.il/about/jobs#189070,"טכנולוגיה, פיתוח עסקי, דאטה ודיגיטל",onsite,migdal,"• ניהול והובלה של פרויקטים אסטרטגיים חוצי חטיבות במגוון תחומים • קידום ליווי והטמעה של תהליכים חוצי ארגון לשיפור חווית לקוח ומצוינות תפעולית • הובלת פרויקטים לאורך כל שלבי הפרויקט הכולל אבחון מצב קיים, גיבוש המלצות וליווי היישום והטמעה • הטמעת כלים וטכנולוגיות מתקדמות וחדשניות בעולמות האוטומציה והשירות • עבודה עם ממשקים רבים בכלל הארגון • השכלה רלוונטית בתחום (עדיפות בתחומים פיננסיים, בהנדסת תעשיה וניהול, וכד') – חובה. • ניסיון מוכח בניהול פרויקטים בחברת יעוץ אסטרטגי/ יחידה אסטרטגית של ארגון גדול. • היכרות עם חברות ביטוח ו/או ארגונים פיננסיים גדולים - יתרון. • ניסיון בכתיבת מסמכי דרישות לטכנולוגיות • יכולת יוצאת דופן בהשפעה והנעת ממשקים • יכולות אנליטיות מעולות **מגדל‎‏ ‏מעודדת‎‏ ‏העסקת‎‏ ‏אנשים‎‏ ‏עם‎‏ ‏מוגבלויות‎‏ ‏ומנגישה‎‏ ‏את‎‏ ‏סביבת‎‏ ‏העבודה‎‏ ‏לצרכיהם/ן‎.",
נציג/ת שירות לקוחות - אשקלון,מגדל,התחיה 4 אשקלון,2026-07-01,https://my.migdal.co.il/about/jobs#197863,"מכירות ,שיווק פנסיוני, שירות ומשאבים",onsite,migdal,"שירות הלקוחות של מגדל מונה כ350 עובדים. המוקד הוא ""הפנים"" של החברה, כאשר הנציגים הטלפונים הם הקו הראשון אותו הלקוח פוגש בעת פניה לצורך בירור מידע בנוגע לפוליסות הביטוח שלו בחברה, כלומר, עיקר התפקיד הוא מענה טלפוני (שיחות נכנסות) ומתן מידע אינפורמטיבי בנושאים שונים כגון : שינויים, מידע לגבי דוחות, משיכות, כיסויים ועוד. המוקד מחולק למספר תחומים (פנסיה, גמל , חיים) עבור כל גיוס נפתח קורס ייעודי אשר אורכו כחודש ימים ומועבר ע""י מדריכים מקצועיים. מטרת הקורס היא למקצע את העובדים בכל המידע הדרוש להם בתחומים השונים וכן בנושא שירות. • יכולת עמידה בלחצים • יחסי אנוש טובים • מוטיבציה גבוהה • אחריות ,דיוק ויסודיות • משמעת עצמית • מכוונות לתפקידי שירות *מגדל‎ ‎מעודדת‎ ‎העסקת‎ ‎גברים‎/נשים ‎עם‎ ‎מוגבלויות‎ ‎ומנגישה‎ ‎את‎ ‎סביבת‎ ‎העבודה‎ ‎לצרכיהם/ן.",
משווק/ת פנסיוני -משרת שטח,מגדל,"היצירה 2, קרית אריה פתח-תקווה",2026-07-01,https://my.migdal.co.il/about/jobs#165039,"מכירות ,שיווק פנסיוני, שירות ומשאבים",onsite,migdal,"בעלי רישיון שיווק פנסיוני? תותחי מכירות? חיים את השטח? יש לנו את ה-תפקיד בשבילכם! חברת מגדל, חברת הביטוח המובילה בישראל, מגייסת משווקים פנסיונים וזאת ההזדמנות שלכם להצטרף לחברה גדולה ומובילה, לככב בתפקיד הכי שווה שיש, להרוויח בגדול, להנות מבונוסים מטורפים ותנאים שווים! אז מה מקבלים? נקלטים כעובדי חברה מהיום הראשון, רכב חברה, סיבסוד ארוחות, קרן השתלמות מהיום הראשון, הגנת עמלה גבוהה, מענק חתימה, הכשרה מקצועית ומקיפה על חשבוננו ועוד תנאים מטורפים! איך יראה היום שלך? # ביצוע פגישות פרונטאליות מול לקוחות פרטיים ועסקיים #סביבת עבודה עצמאית ודינאמית במשרת אמון # הגדלת מאגר הלידים באמצעות איסוף נספחים, כנסים, מקומות תעסוקה ועוד # תחרויות, פרסים ומבצעים בלעדיים למרחב! # עבודת שטח בכל רחבי הארץ #מעטפת מקצועית רחבה ביותר (קורסים מקצועיים, סדנאות העשרה והכשרות מקצועיות.) # אפשרויות קידום רבות בתחום המקצועי והניהולי # רישיון שיווק פנסיוני-חובה # רישיון נהיגה- חובה # ניסיון מוכח במכירת מוצרים פנסיונים ופיננסים- יתרון משמעותי # מכוונות לעמידה ביעדים # אסרטיביות וכושר שכנוע אז אם בא לכם להתחיל להרוויח בונוסים מטורפים ולהיות חלק מכל הטוב שקורה כאן- תשלחו קוח ואל תפספסו את ההזדמנות להצטרף אלינו! **מגדל‎‏ ‏מעודדת‎‏ ‏העסקת‎‏ ‏אנשים‎‏ ‏עם‎‏ ‏מוגבלויות‎‏ ‏ומנגישה‎‏ ‏את‎‏ ‏סביבת‎‏ ‏העבודה‎‏ ‏לצרכיהם/ן‎.",
"מנהל/ת פרויקטים תביעות עסקים, חבויות ורכוש",מגדל,"היצירה 2, קרית אריה פתח-תקווה",2026-07-01,https://my.migdal.co.il/about/jobs#195582,"חיסכון ארוך טווח, ביטוח כללי ותביעות",onsite,migdal,"אחראי/ת על הובלת פרויקטים רוחביים ואסטרטגיים לאורך כל מחזור חיי הפרויקט, במטרה לשפר תהליכי עבודה, לייעל את איכות הטיפול בתביעות, לתמוך בצרכים רגולטוריים, ולחזק את הממשקים עם גורמים פנימיים וחיצוניים. התפקיד משלב יכולות ניהול, הבנה ביטוחית מעמיקה ויכולות יישום של פתרונות טכנולוגיים ותפעוליים. • אחריות מקצה לקצה על תכנון, הובלה ויישום של פרויקטים בתחום תביעות עסקים, חבויות ורכוש. • אפיון צרכים עסקיים וכתיבת מסמכי דרישות (BRD) מול גורמים מקצועיים. • הגדרת יעדים, לו”ז, משאבים ומדדי הצלחה (KPIs) לכל פרויקט. • ניהול שוטף של סטטוס, סיכונים ושינויים בפרויקט. • מיפוי, בחינה והטמעה של תהליכים תפעוליים חדשים ומתקדמים. • איתור צווארי בקבוק ותכנון פתרונות לשיפור איכות השירות, זמן הטיפול ורמת הדיוק. • הטמעת רגולציה חדשה ותיאום מול גורמי ציות ומשפטית. • תואר ראשון במנהל עסקים, משפטים, כלכלה או תעשייה וניהול- חובה • ניסיון מחברות ביטוח בתחום תביעות עסקים/חבויות/רכוש – חובה • היכרות וידע מעמיק עם תהליכי תביעות ביטוח כללי כולל היכרות עם רגולציה ומערכות מידע בתחום- חובה • ניסיון קודם בניהול פרויקטים רוחביים ואסטרטגיים או תפקידי PMO – יתרון משמעותי • ניסיון ניהולי- יתרון • יכולות אנליטיות וניתוח נתונים גבוהות • היכרות והבנה ביישום פתרונות טכנולוגיים ותפעוליים • יכולת עבודה עצמאית ומול ממשקים מרובים **מגדל‎‏ ‏מעודדת‎‏ ‏העסקת‎‏ ‏אנשים‎‏ ‏עם‎‏ ‏מוגבלויות‎‏ ‏ומנגישה‎‏ ‏את‎‏ ‏סביבת‎‏ ‏העבודה‎‏ ‏לצרכיהם/ן‎.",
אנשי מכירות ביטוחי חיים ובריאות,מגדל,"היצירה 2, קרית אריה פתח-תקווה",2026-07-01,https://my.migdal.co.il/about/jobs#197864,"מכירות ,שיווק פנסיוני, שירות ומשאבים",onsite,migdal,"מגדל חברת ביטוח מחפשת תותח/ית מכירות לסיירת מובילה. - מוקד מכירות בתחום חיים בריאות - לב ליבו של עולם הביטוח! - עבודה על מאגר לידים איכותי משת""פ סוכנים. - מוקד דינאמי, עם הווי, תחרויות ופרסים! - הזדמנות אטרקטיבית לרכוש מקצוע בביטוח וללמוד מהמובילים במשק (המוקד מכיל מדריכה צמודה, מנהלי צוותים, אחראי משמרת ומנהל מוקד! כולם בשביל להפוך את הנציגים שלנו לתותחי מכירות) - הגנת שכר, הכשרה על חשבון החברה וליווי מקצועי בשטח. המשרה מתאימה גם לחיילים משוחררים. - ניסיון בתפקיד מכירות (עדיפות מביטוח) - יתרון משמעותי. - נכונות לעבודה טלפונית. - אסרטיביות, יכולת מכירתית גבוה. - רעב להצלחה ואהבה לתחום המכירות. - נכונות לעבודה לטווח רחוק. **מגדל‎ ‎מעודדת‎ ‎העסקת‎ ‎אנשים‎ /נשים ‎עם‎ ‎מוגבלויות‎ ‎ומנגישה‎ ‎את‎ ‎סביבת‎ ‎העבודה‎ ‎לצרכיהם/ן.",
