title,company,location,date,url,department,workplace_type
עובדת סוציאלית ורכזת מערך פסיכוסוציאלי,עמותה,tel_aviv,2026-05-26,https://www.mitam-hr.org/jobs/167,"רכזות, מטה, הדרכה, טיפול, ייעוץ והנחיית קבוצות",full_time
"דרוש/ה מנכ""לית לאגודת צער בעלי חיים בישראל (תל אביב)",עמותה,תל אביב,2026-05-26,https://www.mitam-hr.org/jobs/166,"ניהול בכיר, פיתוח משאבים ושיווק",full_time
רכז / רכזת  לליווי המיזם להנגשה לשונית ותרבותית – העסקה בחוזה יועצים,עמותה,ירושלים,2026-05-26,https://www.mitam-hr.org/jobs/165,רכזות,freelance
מדריכים/ות למכינת רקיע,עמותה,מרכז,2026-05-26,https://www.mitam-hr.org/jobs/164,הדרכה,full_time
דרוש/ה מנהל/ת פעילות,עמותה,מרכז,2026-05-24,https://www.mitam-hr.org/jobs/163,,full_time
"מובילי/מובילות תוכנית מח""ר  - מעטפת חיזוק לרווחה ברשויות באזור הצפון",עמותה,צפון,2026-05-24,https://www.mitam-hr.org/jobs/162,רכזות,full_time
לכפר הנוער מנוף בעכו דרוש מנהל.ת יחידה טיפולית,עמותה,צפון,2026-05-18,https://www.mitam-hr.org/jobs/161,טיפול,full_time
מנהל/ת לקוחות ייעוץ בתחום האחריות התאגידית ESG,עמותה,center,2026-05-09,https://www.mitam-hr.org/jobs/158,ניהול בכיר,full_time
מומחה ארוך מועד בתחום החקלאות באקוודור,עמותה,,2026-05-07,https://www.mitam-hr.org/jobs/157,,full_time
דרוש/ה מנהל/ת תחום ליווי משפחות לעמותת היו שלום בירושלים,עמותה,jerusalem,2026-05-06,https://www.mitam-hr.org/jobs/156,ניהול בכיר,full_time
"דרוש.ה רכז.ת תמיכה וסיוע לעמותת 'גדולים מהחיים'  בבית חולים רמב""ם",עמותה,צפון,2026-04-26,https://www.mitam-hr.org/jobs/149,טיפול,full_time
לעמותת אג'יק דרוש/ה מנהל/ת משאבי אנוש,עמותה,דרום,2026-04-26,https://www.mitam-hr.org/jobs/148,,full_time
דרושה אחראי.ת גיוס משאבים לעמותת אקואושן,עמותה,צפון,2026-04-23,https://www.mitam-hr.org/jobs/147,פיתוח משאבים ושיווק,full_time
'דרוש.ה רכז.ת תוכניות הדרכה וקשרי מוסדות תרבות לעמותת 'ויקימדיה ישראל,עמותה,תל אביב,2026-04-20,https://www.mitam-hr.org/jobs/144,הדרכה,full_time
למתאם דרוש/ה רכז/ת גיוס מעולה לעבודה כפרילנס,עמותה,,2026-04-15,https://www.mitam-hr.org/jobs/143,,freelance
"דרוש/ה מנהל.ת פרויקטים בשיווק לעמותת ""הבית""",עמותה,,2026-04-13,https://www.mitam-hr.org/jobs/142,פיתוח משאבים ושיווק,freelance
דרוש.ה מנהל.ת תחום שותפויות ותוכניות לעמותת 'ויקימדיה ישראל ',עמותה,מרכז,2026-03-30,https://www.mitam-hr.org/jobs/135,ניהול בכיר,full_time
דרוש/ה אחראי/ת גיוס כספים ל'קואליציה הישראלית לטראומה',עמותה,ירושלים,2026-03-26,https://www.mitam-hr.org/jobs/134,פיתוח משאבים ושיווק,full_time
מנהל/ת תחום הכשרות ופיתוח מנהיגות – עמותת״ עתידנא״,עמותה,צפון,2026-03-17,https://www.mitam-hr.org/jobs/129,רכזות,full_time
מנהל/ת פרויקט,עמותה,,2026-03-12,https://www.mitam-hr.org/jobs/124,ניהול בכיר,full_time
מנהל/ת פיתוח מקצועי לתוכנית הלאומית ללימודי עברית לתעסוקה בגישת המסוגלות,עמותה,,2026-03-12,https://www.mitam-hr.org/jobs/123,ניהול בכיר,full_time
IVN  -דרוש/ה רכז/ת תפעול לעמותת,עמותה,מרכז,2026-03-01,https://www.mitam-hr.org/jobs/117,,full_time
מנהל/מנהלת תכניות,עמותה,ירושלים,2026-02-26,https://www.mitam-hr.org/jobs/116,"ניהול בכיר, מטה, ייעוץ והנחיית קבוצות, הדרכה",full_time
דרוש/ה מנחה לליווי ופיתוח תהליכי התחדשות בחטיבה העליונה,עמותה,,2026-02-25,https://www.mitam-hr.org/jobs/114,ייעוץ והנחיית קבוצות,freelance
דרוש.ה רכז.ת גיוס ופיתוח משאבים  לעמותת 'נגישות ישראל',עמותה,מרכז,2026-02-11,https://www.mitam-hr.org/jobs/106,פיתוח משאבים ושיווק,full_time
'דרוש/ה מנהל/ת גיוס משאבים לרשת 'מיתרים',עמותה,דרום,2026-01-26,https://www.mitam-hr.org/jobs/101,פיתוח משאבים ושיווק,full_time
"מנהל/ת מרחב לביה""ס הטכנולוגיים (של משרד העבודה)",עמותה,מרכז,2026-01-20,https://www.mitam-hr.org/jobs/95,ניהול בכיר,full_time
דרוש.ה מנהל.ת חשבונות ל'ימקא',עמותה,ירושלים,2026-01-20,https://www.mitam-hr.org/jobs/94,כספים,full_time
"מנהל מערך תפעול, מינהל חינוך מו""פ וטכנולוגיה",עמותה,מרכז,2026-01-07,https://www.mitam-hr.org/jobs/81,תפעול,full_time
דרוש/ה כלכלנ/ית /רו״ח למחלקת הכספים- מכון ״הרטמן״,עמותה,ירושלים,2026-01-06,https://www.mitam-hr.org/jobs/75,,full_time
רכז/ת אדמיניסטרטיבי/ת למכון ״מתן״,עמותה,ירושלים,2026-01-01,https://www.mitam-hr.org/jobs/71,אדמיניסטרציה,part_time
