title,company,location,date,url,department,workplace_type,position_type
לעמותת עתידים דרוש/ה רכז/ת תפעול ורכש,עמותה,מרכז,2026-06-23,https://www.mitam-hr.org/jobs/178,תפעול,full_time,
דרוש/ה מנהל/ת פנימייה בכפר טיפולי בעמק חפר,עמותה,מרכז,2026-06-23,https://www.mitam-hr.org/jobs/177,ניהול בכיר,full_time,
דרוש/ה רכז/ת מאיץ רשותי לנגב מערבי לעמותת עתידים,עמותה,דרום,2026-06-18,https://www.mitam-hr.org/jobs/176,רכזות,full_time,
מנהל/ת עמותה,עמותה,ירושלים,2026-06-16,https://www.mitam-hr.org/jobs/175,ניהול בכיר,full_time,
פרויקטור  / פרוייקטורית ייזום תכניות בריאות - לתחום נוער ג'וינט אשלים בשיתוף משרד הבריאות,עמותה,ירושלים,2026-06-14,https://www.mitam-hr.org/jobs/173,ניהול בכיר,part_time,
מנהלת פלוגת בית-תל אביב,עמותה,מרכז,2026-06-11,https://www.mitam-hr.org/jobs/172,,full_time,
דרוש/ה רכז.ת סושיאל למערך הדיגטל  למכון למחקרי ביטחון לאומי (INSS),עמותה,מרכז,2026-06-03,https://www.mitam-hr.org/jobs/171,,full_time,
דרוש/ה חוקר/ת ורכז/ת מחקר ל'עמותת יוצאים לשינוי',עמותה,מרכז,2026-06-03,https://www.mitam-hr.org/jobs/170,,full_time,
פרויקטור/ית להקמה וניהול האב לקריירה בגליל המזרחי,עמותה,ירושלים,2026-06-02,https://www.mitam-hr.org/jobs/169,ניהול בכיר,full_time,
מנהל /ת שותפויות אזורי/ת לאזור הגליל מזרחי לתוכנית לפיתוח תפיסה אסטרטגית אזורית לפריון מכליל ותעסוקה איכותית,עמותה,צפון,2026-06-02,https://www.mitam-hr.org/jobs/168,ניהול בכיר,full_time,
מדריכים/ות למכינת רקיע,עמותה,מרכז,2026-05-26,https://www.mitam-hr.org/jobs/164,הדרכה,full_time,
"לחברת ייעוץ דרוש/ה מנהל/ת בכיר/ה לתחומי ESG, קיימות ואחריות תאגידית",עמותה,מרכז,2026-05-24,https://www.mitam-hr.org/jobs/163,,full_time,
"מובילי/מובילות תוכנית מח""ר  - מעטפת חיזוק לרווחה ברשויות באזור הצפון",עמותה,צפון,2026-05-24,https://www.mitam-hr.org/jobs/162,רכזות,full_time,
לכפר הנוער מנוף בעכו דרוש מנהל.ת יחידה טיפולית,עמותה,צפון,2026-05-18,https://www.mitam-hr.org/jobs/161,טיפול,full_time,
"דרוש.ה רכז.ת תמיכה וסיוע לעמותת 'גדולים מהחיים'  בבית חולים רמב""ם",עמותה,צפון,2026-04-26,https://www.mitam-hr.org/jobs/149,טיפול,full_time,
לעמותת אג'יק דרוש/ה מנהל/ת משאבי אנוש,עמותה,דרום,2026-04-26,https://www.mitam-hr.org/jobs/148,,full_time,
דרושה אחראי.ת גיוס משאבים לעמותת אקואושן,עמותה,צפון,2026-04-23,https://www.mitam-hr.org/jobs/147,פיתוח משאבים ושיווק,full_time,
'דרוש.ה רכז.ת תוכניות הדרכה וקשרי מוסדות תרבות לעמותת 'ויקימדיה ישראל,עמותה,תל אביב,2026-04-20,https://www.mitam-hr.org/jobs/144,הדרכה,full_time,
למתאם דרוש/ה רכז/ת גיוס מעולה לעבודה כפרילנס,עמותה,,2026-04-15,https://www.mitam-hr.org/jobs/143,,freelance,freelance
"דרוש/ה מנהל.ת פרויקטים בשיווק לעמותת ""הבית""",עמותה,,2026-04-13,https://www.mitam-hr.org/jobs/142,פיתוח משאבים ושיווק,freelance,
דרוש.ה מנהל.ת תחום שותפויות ותוכניות לעמותת 'ויקימדיה ישראל ',עמותה,מרכז,2026-03-30,https://www.mitam-hr.org/jobs/135,ניהול בכיר,full_time,
דרוש/ה אחראי/ת גיוס כספים ל'קואליציה הישראלית לטראומה',עמותה,ירושלים,2026-03-26,https://www.mitam-hr.org/jobs/134,פיתוח משאבים ושיווק,full_time,
מנהל/ת תחום הכשרות ופיתוח מנהיגות – עמותת״ עתידנא״,עמותה,צפון,2026-03-17,https://www.mitam-hr.org/jobs/129,רכזות,full_time,
מנהל/ת פרויקט,עמותה,,2026-03-12,https://www.mitam-hr.org/jobs/124,ניהול בכיר,full_time,
מנהל/ת פיתוח מקצועי לתוכנית הלאומית ללימודי עברית לתעסוקה בגישת המסוגלות,עמותה,,2026-03-12,https://www.mitam-hr.org/jobs/123,ניהול בכיר,full_time,
IVN  -דרוש/ה רכז/ת תפעול לעמותת,עמותה,מרכז,2026-03-01,https://www.mitam-hr.org/jobs/117,,full_time,
מנהל/מנהלת תכניות,עמותה,ירושלים,2026-02-26,https://www.mitam-hr.org/jobs/116,"ניהול בכיר, מטה, ייעוץ והנחיית קבוצות, הדרכה",full_time,
דרוש.ה רכז.ת גיוס ופיתוח משאבים  לעמותת 'נגישות ישראל',עמותה,מרכז,2026-02-11,https://www.mitam-hr.org/jobs/106,פיתוח משאבים ושיווק,full_time,
'דרוש/ה מנהל/ת גיוס משאבים לרשת 'מיתרים',עמותה,דרום,2026-01-26,https://www.mitam-hr.org/jobs/101,פיתוח משאבים ושיווק,full_time,
"מנהל/ת מרחב לביה""ס הטכנולוגיים (של משרד העבודה)",עמותה,מרכז,2026-01-20,https://www.mitam-hr.org/jobs/95,ניהול בכיר,full_time,
דרוש.ה מנהל.ת חשבונות ל'ימקא',עמותה,ירושלים,2026-01-20,https://www.mitam-hr.org/jobs/94,כספים,full_time,
"מנהל מערך תפעול, מינהל חינוך מו""פ וטכנולוגיה",עמותה,מרכז,2026-01-07,https://www.mitam-hr.org/jobs/81,תפעול,full_time,
דרוש/ה כלכלנ/ית /רו״ח למחלקת הכספים- מכון ״הרטמן״,עמותה,ירושלים,2026-01-06,https://www.mitam-hr.org/jobs/75,,full_time,
רכז/ת אדמיניסטרטיבי/ת למכון ״מתן״,עמותה,ירושלים,2026-01-01,https://www.mitam-hr.org/jobs/71,אדמיניסטרציה,part_time,
