title,company,location,date,url,department,workplace_type,source,description,position_type
בנקאי/ת לסניפי מזרחי-טפחות,בנק מזרחי-טפחות,שפלה,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,לבנק מזרחי-טפחות דרוש/ה בנקאי/ת לעבודה בסניפי הבנק בדיגיטליים הממוקמים באזור התעשיה הצפוני בלוד,part_time
בנקאי טלפוני - מרכז מכירות בלוד,בנק מזרחי-טפחות,שפלה,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,מעניינת אותך בקריירה בנקאית בסביבת עבודה צעירה ודינאמית? בנק מזרחי-טפחות מגייס בנקאים טלפוניים למרכז המכירות בלוד. קליטה כעובד בנק מהיום הראשון!,
בנקאי טלפוני – מרכז בנקאות,בנק מזרחי-טפחות,שפלה,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,מעניינת אותך קריירה בנקאית בסביבת עבודה צעירה ודינאמית? בנק מזרחי מגייס בנקאים טלפוניים למרכז הבנקאות בלוד. קליטה כעובד בנק מהיום הראשון!,
טלר במרכז עסקים המגדל בבורסה ברמת גן,בנק מזרחי-טפחות,מרכז,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש/ה טלר/ית במרכז עסקים המגדל בבורסה בר""ג.",
טלר בסניף הוד השרון,בנק מזרחי-טפחות,שרון,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש טלר בסניף הוד השרון. תפקיד הטלר הוא שער הכניסה לבנק, ובהמשך ניתן להתקדם לתפקידי בנקאות שונים בסניפי הבנק.",
טלר בסניף הרצליה,בנק מזרחי-טפחות,שרון,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש/ה טלר/ית בסניף הרצליה. תפקיד הטלר הוא שער הכניסה לבנק, ובהמשך ניתן להתקדם לתפקידים שונים בסניפי הבנק ובמטה.",
טלר בסניף רמלה,בנק מזרחי-טפחות,שפלה,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש/ה טלר/ית בסניף רמלה. תפקיד הטלר הוא שער הכניסה לבנק, ובהמשך ניתן להתקדם לתפקידים שונים בסניפי הבנק ובמטה.",
"טלר בסניף רמת אביב בת""א",בנק מזרחי-טפחות,מרכז,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש/ה טלר/ית בסניף רמת אביב. תפקיד הטלר הוא שער הכניסה לבנק, ובהמשך ניתן להתקדם לתפקידים שונים בסניפי הבנק ובמטה.",
"טלר בסניף סקיי טאוור בת""א",בנק מזרחי-טפחות,מרכז,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש טלר בסניף סקיי טאוור בת""א. תפקיד הטלר הוא שער הכניסה לבנק, ובהמשך ניתן להתקדם לתפקידי בנקאות שונים בסניפי הבנק.",
"טלר מתנייד באזור ת""א, ר""ג ובת ים",בנק מזרחי-טפחות,מרכז,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש טלר מתנייד בין סניפי הבנק באזור ת""א, ר""ג ובת ים. תפקיד הטלר הוא שער הכניסה לבנק, ובהמשך ניתן להתקדם לתפקידי בנקאות שונים בסניפי הבנק. ​",part_time
"טלר בסניף קרית עתידים ברמת החייל בת""א",בנק מזרחי-טפחות,מרכז,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש טלר בסניף קרית עתידים ברמת החייל בת""א. תפקיד הטלר הוא שער הכניסה לבנק, ובהמשך ניתן להתקדם לתפקידי בנקאות שונים בסניפי הבנק.",
בנקאי/ת עסקי בסניף המגדל בבורסה ברמת גן,בנק מזרחי-טפחות,מרכז,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,הצעד הבא שלך בעולם הבנקאות העסקית מתחיל כאן! בנק מזרחי-טפחות מחפש בנקאי/ת עסקי/ת בסניף המגדל בבורסה ברמת גן. אם תחום האשראי מעניין אותך ואת/ה מחפש/ת תפקיד משמעותי עם אופק קידום בבנק מוביל - זה המקום בשבילך!,
בנקאי טלפוני - מרכז משכנתאות בירושלים,בנק מזרחי-טפחות,ירושלים,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,מעניינת אותך קריירה בנקאית בסביבת עבודה צעירה ודינאמית? בנק מזרחי מגייס סטודנטים/יות בנקאים טלפוניים למרכז המשכנתאות בירושלים. קליטה כעובד בנק מהיום הראשון!,part_time
"בנקאי משכנתאות בסניף חשמונאים בת""א",בנק מזרחי-טפחות,מרכז,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מונחים כמו לוח שפיצר, ריבית משתנה ומחזור משכנתא מדברים אליך? רוצה להצטרף לבנק המוביל בתחום המשכנתאות? לבנק מזרחי-טפחות דרוש בנקאי משכנתאות לעבודה בסניף חשמונאים בתל אביב.",
טלר בסניף נס ציונה,בנק מזרחי-טפחות,שפלה,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש טלר בסניף נס ציונה. תפקיד הטלר הוא שער הכניסה לבנק, ובהמשך ניתן להתקדם לתפקידי בנקאות שונים בסניפי הבנק.",
"טלר מתנייד באזור פתח תקווה, בני ברק והסביבה",בנק מזרחי-טפחות,מרכז,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש טלר מתנייד בין סניפי הבנק באזור חולון, בני ברק, גבעתיים, פ""ת, קרית אונו, גבעת שמואל והסביבה.תפקיד הטלר הוא שער הכניסה לבנק, ובהמשך ניתן להתקדם לתפקידי בנקאות שונים בסניפי הבנק.",
טלר מתנייד ב-60% משרה במרחב מרכז,בנק מזרחי-טפחות,מרכז,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש טלר מתנייד בין סניפי הבנק באזור ת""א, ר""ג ובת ים לעבודה של 3 ימים בשבוע. תפקיד הטלר הוא שער הכניסה לבנק, ובהמשך ניתן להתקדם לתפקידי בנקאות שונים בסניפי הבנק.",part_time
בנקאי עסקי במרכז עסקים קרית שדה התעופה באירפורט סיטי,בנק מזרחי-טפחות,שפלה,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,תפקיד בנקאי מוביל בתחום האשראי מעניין אותך? לבנק מזרחי טפחות דרוש בנקאי עסקי במרכז עסקים קרית שדה התעופה באירפורט סיטי. העבודה במשרה מלאה כעובד בנק מהיום הראשון!,
טלר בסניף פארק המדע ברחובות,בנק מזרחי-טפחות,שפלה,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש טלר בסניף פארק המדע ברחובות תפקיד הטלר הוא שער הכניסה לבנק, ובהמשך ניתן להתקדם לתפקידי בנקאות שונים בסניפי הבנק.",
בנקאי עסקי בפארק עסקים חולון,בנק מזרחי-טפחות,מרכז,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,תפקיד בנקאי מוביל בתחום האשראי מעניין אותך? לבנק מזרחי טפחות דרוש בנקאי עסקי לסניף פארק עסקים בחולון. העבודה במשרה מלאה כעובד בנק מהיום הראשון!,
טלר בסניף שמאי בירושלים,בנק מזרחי-טפחות,ירושלים,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש טלר בסניף שמאי בירושלים. תפקיד הטלר הוא שער הכניסה לבנק, ובהמשך ניתן להתקדם לתפקידים שונים בסניפי הבנק ובמטה.",
טלר בסניף כיכר המדינה בתל אביב,בנק מזרחי-טפחות,מרכז,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש טלר בסניף כיכר המדינה בתל אביב. תפקיד הטלר הוא שער הכניסה לבנק, ובהמשך ניתן להתקדם לתפקידי בנקאות שונים בסניפי הבנק.",
טלר בסניף הבנק בבת ים,בנק מזרחי-טפחות,מרכז,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש טלר בסניף הבנק בבת ים. תפקיד הטלר הוא שער הכניסה לבנק, ובהמשך ניתן להתקדם לתפקידים שונים בסניפי הבנק ובמטה.",
"טלר מתנייד באזור ראשל""צ ורחובות",בנק מזרחי-טפחות,שפלה,2026-06-30,https://www.mizrahi-tefahot.co.il/about-mizrahi-tefahot-he/career/open-jobs/,בנקאות,onsite,mizrahi,"מעניין אותך ללמוד, להשקיע ולהתפתח בבנק מוביל? לבנק מזרחי-טפחות דרוש טלר מתנייד בין סניפי הבנק באזור ראשל""צ, רחובות, נס ציונה ויבנה. תפקיד הטלר הוא שער הכניסה לבנק, ובהמשך ניתן להתקדם לתפקידים שונים בסניפי הבנק ובמטה.",
