title,company,location,date,url,department,workplace_type,description
"ר' תחום שירותי רפואה בחו""ל",אגף השיקום,פתח תקוה,2026-05-19,https://jobs.mod.gov.il/#/Tenders?TenderId=24437,,onsite,"ניהול ותיאום מתן שירותים רפואיים הניתנים לכלל נכי צה""ל השוהים בחו""ל , עפ""י חוק הנכים (תגמולים ושיקום), תשי""ט-1959 [נוסח משולב] והוראות האגף. אחריות על פעילות ועדות פרוסטטיות ביחידה, יועצים וכלל ההסכמים הכרוכים בפעילות היחידה."
"ע""ב לתגמולי נכים ותשלומים",אגף השיקום,פתח תקוה,2026-05-19,https://jobs.mod.gov.il/#/Tenders?TenderId=24450,,onsite,"אחריות על בקרה ואישור תגמולי נכים ותשלומים מיוחדים בהתאם לחוק הנכים(תגמולים ושיקום), תשי""ט-1959 [נוסח משולב]."
"ע' בכיר לרווחה חו""ל","משפחות, הנצחה ומורשת",טבריה,2026-05-19,https://jobs.mod.gov.il/#/Tenders?TenderId=24453,,onsite,"אחריות על מתן שירותי רווחה וניהול מעקב אחר ביצוע מימוש הזכאות של אוכלוסיית הזכאים בחו""ל . מעורבות במצבים שונים בהתאם לסמכויות."
ע' בכיר לשירותים רפואיים,אגף השיקום,תל השומר,2026-05-19,https://jobs.mod.gov.il/#/Tenders?TenderId=24461,,onsite,אחריות על טיפול בנושאים בתחום הרווחה/ שירותים הרפואיים של אוכלוסיית הזכאים.
"ר' תחום מדיניות שת""פ וקש""ח מזרח אירופה",ביטחוני מדיני,תל אביב-יפו,2026-05-19,https://jobs.mod.gov.il/#/Tenders?TenderId=24464,,onsite,"ריכוז פעולות התכנון, התיאום וההנחייה של מדיניות שיתופי הפעולה וקשרי החוץ הביטחוניים הנוגעים לאזור הג""ג שבתחום האחריות."
ע' בכיר וועדות רפואיות - מרכז,אגף השיקום,תל השומר,2026-05-19,https://jobs.mod.gov.il/#/Tenders?TenderId=24482,,onsite,"אחריות לפעילות התקינה של הועדות הרפואיות במרכזים השונים בפריסה ארצית , עפ""י הנחיות הממונה ."
ע' בכיר לשירותים רפואיים,אגף השיקום,באר שבע,2026-05-14,https://jobs.mod.gov.il/#/Tenders?TenderId=24406,,onsite,אחריות על טיפול בנושאים בתחום הרווחה/ שירותים הרפואיים של אוכלוסיית הזכאים.
ראש תחום למענים סוציאליים,אגף השיקום,פתח תקוה,2026-05-14,https://jobs.mod.gov.il/#/Tenders?TenderId=24412,,onsite,"אחריות לריכוז העבודה המקצועית להוביל ולקדם תכניות התערבות והתקשרויות בתחום הטיפול והמענים השיקומיים לנכי צה""ל."
ע' בכיר לרווחה- יתומים,"משפחות, הנצחה ומורשת",טבריה,2026-05-14,https://jobs.mod.gov.il/#/Tenders?TenderId=24416,,onsite,אחריות על מתן שירותי הרווחה וניהול מעקב אחר ביצוע מימוש הזכאות של אוכלוסיית יתומים ואוכלוסיות ייחודיות נוספות. מעורבות במצבים חריגים בהתאם לסמכויות.
עובד סוציאלי,אגף השיקום,באר שבע,2026-05-14,https://jobs.mod.gov.il/#/Tenders?TenderId=24418,,onsite,"נשיאה באחריות למתן שירות טיפולי שיקומי בתחום האזור הגיאוגרפי המוגדר. נשיאה באחריות על ניהול, ארגון וקידום נושא מקצועי בתחום השיקום במחוז."
ר' תחום ניתוח מערכות,דיגיטל וטכנולוגיית המידע,תל אביב-יפו,2026-05-14,https://jobs.mod.gov.il/#/Tenders?TenderId=24425,,onsite,"נשיאה באחריות על ניתוח המערכות המופעלות/הנדרשות במשרד, בהתאם להנחיות הממונה ולנהלים ."
