title,company,location,date_posted,deadline,url,source,education,experience,summary
"ר' החטיבה לתיאום והקמת פרוייקט - מרה""ס",מינהל המעבר דרומה,מחנה בית נבאללה,2026-05-26,2026-06-09,https://jobs.mod.gov.il/#/Tenders?TenderId=34495,mod,"מהנדס/ת או הנדסאי/ת או טכנאי/ת ,באחד מהתחומים הבאים: תעשייה וניהול /אזרחית/חשמל/מכונות/אדריכלות. רישום בפנקס המהנדסים/האדריכלים או בפנקס ההנדסאים/טכנאים.","ניסיון של 4 שנים למהנדס/ת (תואר ראשון)/ 5 שנים להנדסאי/ת ו-6 שנים לטכנאי/ת, בניהול פרויקטי בינוי או בפיקוח על פרויקטי בינוי. לבעל/ת תואר שני תופחת שנת ניסיון אחת.","נשיאה באחריות להיבטי ההנדסה בפרוייקט ה-PPP בהיבטים הבאים: ניהול וארגון מערך הבטחת האיכות, תיאום ובקרת התכן ופיקוח על מימוש תכולות החוזה ההנדסיות בפרוייקט ה-.PPP"
ר' חטיבת כלכלת התקשרויות,מינהל המעבר דרומה,פתח תקוה,2026-05-26,2026-06-09,https://jobs.mod.gov.il/#/Tenders?TenderId=24361,mod,"השכלה באחת מהאפשרויות הבאות : א.תואר בכלכלה* ב.תואר דו חוגי בחשבונאות ג.תואר במנהל עסקים/כלכלה עם התמחות בחשבונאות ד.רואה חשבון מוסמך/ת מטעם לשכת רואי החשבון בישראל בהתאם לחוק רואי החשבון בישראל תשט""ו 1955. *מועמד/ת שהציג/ה תעודה המזכה אותו/ה בהשכלה במסלול משולב תחשב רק במידה והוכיח/ה כי התואר מורכב מ 60 נקודות זכות לפחות בתחום הכלכלה בהתאם לפסקה 11.131 ב)2 א)2 בתקשי""ר ולהודעת נש""מ פב/9","ניסיון של 4 שנים לפחות בביצוע עבודות כלכליות בפרוייקטים. לבעל/ת תואר שני תופחת שנת ניסיון אחת. רצוי ניסיון במימון/בקרת תקציבים/בקרה כלכלית רצוי ניסיון בהתקשרויות PFI ובפרוייקטים מורכבים בהיקף העולה על 50 מש""ח. במכרז פנימי- רצוי מי ששימש/ה במשך 3 שנים בתפקיד ר' תחום/מערכה, במשרד.",אחריות על היבטים כלכליים בהתקשרויות המבוססות על שיתוף פעולה עם המגזר הפרטי (פרויקטי PPP) הכולל ליווי כלכלי של פרויקטים המורכבים בהיקפם התקציבי הנרחב לאורך כל שלבי הפרויקט. ניהול ושימור הידע בתחום כלכלת התקשרויות בפרויקטי PPP והטמעתם בפרויקטים עתידיים.
ר' תחום ניתוח מערכות,דיגיטל וטכנולוגיית המידע,תל אביב-יפו,2026-05-26,2026-06-09,https://jobs.mod.gov.il/#/Tenders?TenderId=24455,mod,אקדמאית (תואר ראשון) /הנדסאי/ת או טכנאי/ת.,"ניסיון של 3 שנים לאקדמאי/ת, 4 שנים להנדסאי/ת ו- 5 שנים לטכנאי/ת, בתחום התכנות/ניתוח מערכות. לבעלי/ות תואר שני תופחת שנת ניסיון אחת. רצויה הכרת 2 שפות לפחות בתכנות בתקשוב (C#,.NET ,ABAP P.L.1 JAVA SCRIPT).","נשיאה באחריות על ניתוח המערכות המופעלות/הנדרשות במשרד, בהתאם להנחיות הממונה ולנהלים ."
"מנמ""ח תובלה",אמון- אגף מבצעים לוגיסטיקה ונכסים,תל אביב-יפו,2026-05-26,2026-06-09,https://jobs.mod.gov.il/#/Tenders?TenderId=24471,mod,השכלה אקדמית (תואר ראשון) או הנדסאי/ת או טכנאי/ת. קורס APLP או קורס מקצועי אחר בתחום הלוגיסטיקה בהיקף של 100 שעות. הערה: ניתן להשלים קורס זה במהלך השנה הראשונה לתפקיד.,"2 שנות ניסיון לאקדמאי/ת, 3 שנות ניסיון להנדסאי/ת, 4 שנות ניסיון לטכנאי/ת באחד או יותר מהתחומים הבאים: א. ניהול מו""מ מול ספקים ב. ניהול התקשרויות ואכיפת הסכמים לרבות מקרקעין/ נכסים. ג. ניהול פרוייקטי בינוי ושיפוצים ד. ניהול מחסנים ומלאי ה. תפעול תחזוקת מבנים/ אתרים/ תשתיות פזיות ו. תפקידי: לוגיסטיקה/ אחזקה/ הנצחה ז. פיקוח, תכנון או ביצוע שינוע/שילוח של מטענים, רצוי בינלאומי לבעל/ת תואר שני תופחת שנת ניסיון אחת.","סיוע לממונה בתפעול מערך התובלה בצה""ל ובמערכת הביטחון באמצעות קיום קשר רציף עם הספקים. תכלול והפעלת מערך התובלה לשעת חירום לרבות ייזום שינויים ושיפורים המתחייבים מהשינויים במשק להבטחת תפקודו המיטבי."
עובד סוציאלי בכיר,"משפחות, הנצחה ומורשת",רחובות,2026-05-26,2026-06-09,https://jobs.mod.gov.il/#/Tenders?TenderId=24474,mod,אקדמאית (תואר ראשון) בעבודה סוציאלית. רצויות הכשרות ו/או התמחות בנושאים: התערבות בשעת משבר/ טיפול משפחתי. רישום בפנקס העובדים הסוציאליים.,ניסיון של 1 שנה לפחות בעבודה טיפולית. בעלי/ות תואר שני אינם נדרשים/ות לתקופת ניסיון.,"נשיאה באחריות למתן השירותים בתחום העבודה הסוציאלית לזכאים באזור הגיאוגרפי שבאחריותו/ה, והנחיית העובדים הסוציאליים הכפופים לו/לה."
ע' בכיר וועדות רפואיות - מרכז,אגף השיקום,תל השומר,2026-05-19,2026-06-02,https://jobs.mod.gov.il/#/Tenders?TenderId=24482,mod,השכלה אקדמית (תואר ראשון).,2 שנות ניסיון בתחום העיסוק של המשרה כמתואר בפירוט המטלות בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.,"אחריות לפעילות התקינה של הועדות הרפואיות במרכזים השונים בפריסה ארצית , עפ""י הנחיות הממונה ."
ע' בכיר לשירותים רפואיים,אגף השיקום,תל השומר,2026-05-19,2026-06-02,https://jobs.mod.gov.il/#/Tenders?TenderId=24461,mod,אקדמאית (תואר ראשון),2 שנות ניסיון בתחום העיסוק של המשרה כמתואר בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.,אחריות על טיפול בנושאים בתחום הרווחה/ שירותים הרפואיים של אוכלוסיית הזכאים.
"ר' תחום מדיניות שת""פ וקש""ח מזרח אירופה",ביטחוני מדיני,תל אביב-יפו,2026-05-19,2026-06-02,https://jobs.mod.gov.il/#/Tenders?TenderId=24464,mod,"אקדמאי/ת (תואר ראשון), רצוי בתום מדעי המדינה/יחסים בינלאומיים.","ניסיון של 3 שנים בתחומי תכנון מדיניות שת""פ בינ""ל וקשרי חוץ בתחום המדיני או הביטחוני. לבעלי/ות תואר שני תופחת שנת ניסיון אחת. במכרז פנימי רצוי מי ששימש/ה שנתיים לפחות ברמת מנהל מחלקה במשרד. למשרה מס' 10144559 - נדרשת שליטה מלאה (כתיבה/קריאה/דיבור) בשפה האנגלית והרוסית - חובת מעבר מבחן שפה. למשרה מס' 10144564- נדרשת שליטה מלאה (כתיבה/קריאה/דיבור) בשפה האנגלית והספרדית - חובת מעבר מבחן שפה. למשרה מס' 62700 - נדרשת שליטה מלאה (כתיבה/קריאה/דיבור) בשפה האנגלית - חובת מעבר מבחן שפה.","ריכוז פעולות התכנון, התיאום וההנחייה של מדיניות שיתופי הפעולה וקשרי החוץ הביטחוניים הנוגעים לאזור הג""ג שבתחום האחריות."
"ר' תחום שירותי רפואה בחו""ל",אגף השיקום,פתח תקוה,2026-05-19,2026-06-02,https://jobs.mod.gov.il/#/Tenders?TenderId=24437,mod,אקדמית (תואר ראשון),3 שנות ניסיון במשאבי אנוש/ארגון ותקינה/רווחה/הדרכה/ גיוס והשמה/ ניהול תהליכי טיפול בפרט. לבעל/ת תואר שני תופחת שנת ניסיון אחת.,"ניהול ותיאום מתן שירותים רפואיים הניתנים לכלל נכי צה""ל השוהים בחו""ל , עפ""י חוק הנכים (תגמולים ושיקום), תשי""ט-1959 [נוסח משולב] והוראות האגף. אחריות על פעילות ועדות פרוסטטיות ביחידה, יועצים וכלל ההסכמים הכרוכים בפעילות היחידה."
"ע""ב לתגמולי נכים ותשלומים",אגף השיקום,פתח תקוה,2026-05-19,2026-06-02,https://jobs.mod.gov.il/#/Tenders?TenderId=24450,mod,"השכלה אקדמית (תואר ראשון) בכלכלה או בחשבונאות או במנהל עסקים או פכ""מ או חכ""מ או רו""ח בעל רישיון לראיית חשבון ממועצת רואי החשבון בישראל.","2 שנות ניסיון בתחום העיסוק של המשרה כמתואר בפירוט המטלות בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. לבעל/ת תואר שני תופחת שנת ניסיון אחת. הערה: ניתן למנות גם את שנות הניסיון המקצועי שנרכש ע""י המועמד/ת טרם קבלת התואר האקדמי הנדרש בסעיף ההשכלה.","אחריות על בקרה ואישור תגמולי נכים ותשלומים מיוחדים בהתאם לחוק הנכים(תגמולים ושיקום), תשי""ט-1959 [נוסח משולב]."
