title,company,location,date,url,department,workplace_type,source,description,position_type
JB-268 Back-End Developer – C# .NET Core & Azure,Movement Group,LOD,2026-06-06,https://movement-group.com/jobs/jb-268-back-end-developer-c-net-core-azure/,,onsite,movement,"Develop and maintain back-end services using C# .NET Core. Design and implement RESTful APIs and microservices. Work with Azure services such as Azure Functions. Optimize performance, security, and scalability of applications. Collaborate with front-end developers, DevOps, and other teams. Write clean, maintainable, and testable code. Participate in Agile development cycles, including stand-ups, sprint planning, and retrospectives. Troubleshoot and debug back-end issues efficiently. 1+ years of experience as a Back-End Developer. Strong knowledge of C# and .NET Core. Experience with Azure services (e.g., Azure Functions, Blob Storage). Experience with NoSQL databases (Cosmos DB, MongoDB). Knowledge of message queuing (Azure Service Bus, RabbitMQ). Understanding of RESTful API design and best practices. Experience with Agile methodologies. Knowledge of CI/CD pipelines and Git version control. Strong problem-solving skills and attention to detail.",
JB-373 -Manual QA Engineer (Mobile & Web),Movement Group,ra'anena,2026-06-15,https://movement-group.com/jobs/jb-373-manual-qa-engineer-mobile-web/,,onsite,movement,"We are looking for a dedicated and detail-oriented Manual QA Engineer to join our team. In this role, you will take full ownership and accountability for the quality of our mobile applications and administrative dashboards. If you are passionate about delivering flawless user experiences and thrive in a collaborative, in-office environment, we want to hear from you! • Perform comprehensive manual testing on mobile applications (iOS and Android) and web-based admin panels. • Take full end-to-end responsibility for the quality, stability, and performance of the apps and admin platforms. • Design, write, and execute detailed test cases and testing plans. • Identify, record, document thoroughly, and track bugs. • Work closely with developers to isolate issues and verify fixes. • 2-4 years of proven experience in manual software testing. • Strong emphasis and hands-on experience in testing Mobile Applications (iOS & Android). • Experience working with Jira for bug tracking and test management. • Basic knowledge and understanding of Web Dev-Tools. • Experience in API testing using Postman or Swagger. • Familiarity with databases and querying, such as MongoDB and/or RavenDB. • Familiarity with AI tools and coding assistants (such as Gemini, Claude, etc.) to enhance productivity and testing workflows. • Excellent problem-solving skills and a high level of attention to detail. • Strong communication skills and ability to work effectively in a team environment. Advantage: • Previous experience or foundational knowledge in QA Automation.",
Online Marketing & CRO Manager (Freelance / Part-Time),Movement Group,Beit Shemesh (Hybrid),2026-06-06,https://movement-group.com/jobs/online-marketing-cro-manager-freelance-part-time/,,onsite,movement,"Join a fast-growing dietary supplement brand and drive digital growth! What You’ll Do: Optimize landing pages, funnels, and user experiences to boost conversions. Lead performance marketing campaigns (Meta, Google) with an annual budget of over $500K. Utilize AI tools for ad optimization, audience segmentation, and automation processes. Run A/B tests, analyze results, and improve conversion rates. Track KPIs, generate reports, and refine strategies. What We’re Looking For: 3+ years of experience in CRO and performance marketing, especially in e-commerce / D2C. Fluent Hebrew (must) – expertise in the Israeli market. Strong analytical skills (Google Analytics, Hotjar, A/B testing tools). Proven success in increasing conversions and lowering CPA. Action-oriented, data-driven, and adaptable.",part_time
Product Designer (UX/UI) – JB-363,Movement Group,LOD,2026-06-06,https://movement-group.com/jobs/product-designer-ux-ui-jb-363/,,onsite,movement,"We’re looking for a Product Designer to join our team and help create products that make healthier lifestyles and preventive healthcare more accessible, engaging, and effective. This is a meaningful opportunity for a designer who wants to shape products people use in everyday life and play a central role in building the design function within the team. You’ll design end-to-end user experiences for new features and projects, while also creating in-app assets for existing products. At this stage, you’ll be the sole product designer on the team. You’ll work closely with Product Managers, developers, and an external UX/UI partner, with the goal of gradually strengthening in-house design ownership over time. We’re looking for someone experienced, independent, and hands-on – a designer with strong UX thinking, strong UI craft, and a user-centric mindset, who enjoys both strategic product thinking and executional design work in a fast-paced, evolving environment. What you’ll do: • Own the design process end-to-end, from problem framing, user flows, and wireframes through final UI and handoff. • Create polished, high-quality, production-ready designs for mobile products. • Design clear, intuitive, user-centered experiences, while maintaining consistent design languages across products and features. • Create live assets such as banners, promotional elements, and dynamic components. • Work closely with Product, Engineering, QA, and other stakeholders to translate product needs, user insights, and business goals into thoughtful design solutions. • Use feedback, data, research, and iteration to refine and improve designs over time : Requirements • 4+ years of experience in product design / UX/UI design for digital products. • Proven experience designing end-to-end experiences for mobile apps or B2C products. • Strong UX and UI skills, including user flows, wireframing, prototyping, interaction design, and visual design. • Strong user-centric mindset and the ability to translate user needs into intuitive, effective solutions. • High proficiency in Figma and AI-supported design and workflow tools. • Experience working closely with Product and Engineering in a cross-functional environment. • Ability to work independently, prioritize effectively, and move work forward with a strong sense of ownership. • Strong communication skills and the ability to clearly explain design decisions and tradeoffs. • Experience working in an iterative design process, from early exploration through refinement and handoff. • An up-to-date online portfolio showcasing relevant product design work :Nice to have • Experience in the gaming industry or in gamified consumer products.",
Product Manager-JB-370,Movement Group,lod,2026-06-06,https://movement-group.com/jobs/product-manager-jb-370/,,onsite,movement,"We’re looking for a Product Manager to join our team and help create products that make healthier lifestyles and preventive healthcare more accessible, engaging, and effective. This is a meaningful opportunity for a product manager who wants to take ownership of a dedicated product area and serve as the main product focal point for an app. You’ll help shape what we build, why we build it, and how it evolves over time, with real influence on both the user experience and the product’s business impact. You’ll work closely with developers, designers, QA, analysts, project managers, and R&D, and play a central role in turning business needs, user needs, and product opportunities into clear, well-executed product decisions. We’re looking for someone experienced, independent, and hands-on – a product manager with strong product instincts, a creative and solution-oriented mindset, and the ability to bring clarity, structure, and momentum in a fast-paced, evolving environment. What you’ll do Own product initiatives across the full product lifecycle, from problem definition and requirements through development, launch, and iteration. Serve as the main product focal point for your app or product area, driving alignment, decisions, and momentum across teams. Define clear product requirements, flows, use cases, edge cases, and success metrics for new features and product improvements. Work closely with design, development, QA, and business stakeholders to translate needs and priorities into thoughtful, well-executed product solutions. Prioritize product opportunities based on user value, business impact, effort, and strategic fit. Monitor product performance, analyze results, and drive ongoing Requirements 2+ years of experience in product management for mobile products or user-facing digital products. Proven experience leading features or product areas from concept to launch. Experience working closely with designers and developers in a cross-functional product environment. Strong ability to write clear product requirements and translate complex needs into structured, actionable product work. Strong product judgment, with the ability to balance user needs, business goals, and technical constraints. AI-driven approach to product work, with the ability to use AI tools to brainstorm ideas, explore solutions, accelerate workflows, and improve execution. Strong organizational and analytical skills, with attention to detail. A proactive, adaptable approach and comfort working in a dynamic, fast-paced environment. Ability to work independently, prioritize effectively, and move work forward with a strong sense of ownership. Strong communication skills and the ability to align stakeholders and drive clarity across teams. Bonus points Experience in the gaming industry or with gamified products. Familiarity with wellness, health, or lifestyle products. Experience working with external development teams or cross-company stakeholders.",
אנליסט.ית  JB-355,Movement Group,הרצליה,2026-06-06,https://movement-group.com/jobs/אנליסט-ית/,,onsite,movement,"קבוצת מובמנט מגייסת אנליסט/ית לחטיבה הקמעונאית אנרג’ים, המתמחה בפיתוח, יבוא ושיווק ציוד ספורט וכושר למגוון מגזרים בישראל. המשרה מלאה, במשרדי החברה בהרצליה. העבודה כוללת אחריות על ניתוח כלכלי ועסקי של פעילות החברה במטרה לתמוך בקבלת החלטות ניהוליות, לשפר רווחיות ולייעל תהליכי ייבוא, הפצה וקמעונאות. • ניתוח ביצועים פיננסיים של פעילות החברה, מוצרים וקטגוריות. • ביצוע ניתוחים כלכליים של פעילויות עסקיות, כולל רווחיות, עלויות ותמחור. • ניתוח עלויות אחסנה, שינוע ולוגיסטיקה וזיהוי הזדמנויות לייעול וחיסכון. • בניית דוחות ניהוליים וניתוח מגמות מכירה, רווחיות ומלאי. • עבודה עם מערכות מידע ו-BI לצורך הפקת נתונים, בניית דשבורדים ותובנות עסקיות. • שימוש בכלי AI ואנליטיקה לצורך שיפור תהליכי ניתוח וקבלת החלטות. • שיתוף פעולה עם מחלקות כספים, תפעול, רכש ומכירות. • תמיכה בקבלת החלטות אסטרטגיות באמצעות ניתוח נתונים והצגת תובנות להנהלה. • בניית מודלים כלכליים ותחזיות. • ניסיון של 2-3 שנים כאנליסט/ית, עדיפות לעסקי / כלכלי. • ניסיון בעבודה עם מערכת פריוריטי – חובה • ניסיון בעבודה בחברות ייבוא, הפצה או קמעונאות – חובה • ניסיון בעבודה עם מערכות BI. • שליטה גבוהה ב-Excel • ניסיון בניתוח ובקרת מלאי בשיתוף פעולה עם מח' לוגיסטיקה וייבוא • היכרות עם כלי AI וData Analysis – • יכולת עבודה עם נתונים מורכבים והפקת תובנות עסקיות. • חשיבה אנליטית, יכולת הצגת נתונים והמלצות להנהלה. • תואר ראשון בכלכלה / מנהל עסקים / תעשייה וניהול או תחום רלוונטי.",internship
בק אופיס- תפעול חשבוניות  JB-346,Movement Group,לוד,2026-06-06,https://movement-group.com/jobs/בק-אופיס-תפעול-חשבוניות-jb-346/,,onsite,movement,"קליטת חשבוניות במערכות שונות בארגון בדיקה, בקרה ואימות נתונים הפקת דוחות שוטפים ודוחות בקרה עבודה מול ממשקים פנימיים (כספים, ספקים וכו’) טיפול בחריגים ומתן מענה לפניות עמידה ביעדים ובזמנים תחת עומס ולחץ ניסיון קודם בתפעול וקליטת חשבוניות – חובה שליטה מלאה בתוכנות Office, בדגש על Excel ברמה גבוהה (פיבוטים, VLOOKUP וכד’) – חובה ניסיון בעבודה עם מערכת SAP – יתרון משמעותי ניסיון בעבודה עם מערכות ממוחשבות מרובות",
איש.ת מכירות ושירות בהרצליה JB-313,Movement Group,ישראל,2026-06-06,https://movement-group.com/jobs/דרוש-ה-איש-ת-מכירות-ושירות-בהרצליה/,,onsite,movement,"אנחנו בחברת אנרג'ים , מקבוצת מובמנט, החברה המובילה בתחום ציוד ספורט וכושר מגייסים איש.ת מכירות ושירות לחנות בהרצליה התפקיד כולל: ייעוץ ומכירות ללקוחות בחנויות הדגל אחריות על תחזוקה ונראות החנות מעקב אחר תקינות מלאי ותפעול נכון של הקופה מענה טלפוני ועזרה ברכישה באתר שעות עבודה : 19:00 – 10:00 עבודה בשישי לסירוגין המשרה בהרצליה. קיימת אפשרות למשמרות בסניפים נוספים באזור המרכז. יכולות מכירה גבוהות -חובה ניסיון כנציג.ת שירות ומכירה בחנויות (עדיפות לחנויות ספורט) יחסי אנוש טובים זיקה לספורט יתרון",
דרוש.ה נציג.ת מכירות לאנרג'ים JB-313,Movement Group,"מחלף הסירה, הרצליה",2026-06-06,https://movement-group.com/jobs/דרוש-ה-נציג-ת-מכירות-לאנרגים-jb-313/,,onsite,movement,"לחברת אנרג'ים מקבוצת מובמנט, החברה המובילה בתחום ציוד ספורט וכושר דרוש/ה איש/ת מכירות ושירות לחנות בהרצליה התפקיד כולל: ייעוץ ומכירות ללקוחות החנות אחריות על תחזוקה ונראות החנות מעקב אחר תקינות מלאי ותפעול נכון של הקופה מענה טלפוני ועזרה ברכישה באתר שעות עבודה : 19:00 – 10:00 עבודה בשישי לסירוגין המשרה בהרצליה. קיימת אפשרות למשמרות בסניפים נוספים באזור המרכז. יכולות מכירה גבוהות -חובה ניסיון כנציג.ת שירות ומכירה בחנויות (עדיפות לחנויות ספורט) יחסי אנוש טובים זיקה לספורט יתרון",
טכנאי.ת שטח JB-299,Movement Group,הרצליה,2026-06-06,https://movement-group.com/jobs/טכנאי-ת-שטח-jb-299/,,onsite,movement,"אנחנו ב – Energym, החברה המובילה בישראל לציוד ושירותי כושר, מחפשים טכנאי.ת שטח מנוסה להצטרף לצוות השירות שלנו. כחלק מהתפקיד הטכנאי.ת יתבצעו קריאות שירות בבתי לקוחות פרטיים ובמועדוני כושר (כגון מועדוני כושר מובילים ועוד) הכוללים : תיקונים, תחזוקה, הרכבות והדרכות. ביצוע 8–10 קריאות שירות ביום אצל לקוחות פרטיים ועסקיים טיפול במגוון תקלות – מכניות, חשמליות ואלקטרוניות (החלפת מסלולים, מנועים, כיול ועוד) הדרכת משתמשים על שימוש נכון ובטוח בציוד עבודה עם מערכת Priority Mobile לניהול קריאות ודיווחים בזמן אמת שמירה על רמת שירות גבוהה וייצוגיות מול הלקוחות ניסיון מוכח כטכנאי.ת שטח (יתרון לניסיון במכונאות, ציוד מכני או חשמלי) – חובה השכלה טכנית – טכנאי.ת חשמל / אלקטרוניקה / מכונות (יתרון להסמכה כפולה) – חובה רישיון נהיגה – חובה אנגלית טכנית בסיסית יכולת עבודה פיזית (נשיאת ציוד קל עד בינוני) יחסי אנוש מעולים ושירותיות גבוהה",
