title,company,location,url,date,deadline,department,description,requirements,position_type
אחר,נצרת,נצרת,https://namerz.moin.gov.il/showexternal/55212/1,2026-06-12,2026-06-28,רווחה,"רשות: נצרת · מחוז: צפון · יחידה: רווחה · תחום: רווחה · דירוג: עו""ס · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-12 · מועד הגשה: 2026-06-28 · מספר מכרז: 34/2026",אקדמאית / חילופית בהתאם לחוק,
אחר,קרית גת,קרית גת,https://namerz.moin.gov.il/showexternal/55098/2,2026-06-10,2026-06-28,משאבי אנוש,"רשות: קרית גת · מחוז: דרום · יחידה: משאבי אנוש · תחום: משאבי אנוש · דירוג: מינהלי או מח""ר · רמת השכלה: בגרות · תאריך פרסום: 2026-06-10 · מועד הגשה: 2026-06-28 · מספר מכרז: 27/2026",בגרות,
מנהלן בית ספר,קרית גת,קרית גת,https://namerz.moin.gov.il/showexternal/55099/2,2026-06-10,2026-06-28,חינוך,רשות: קרית גת · מחוז: דרום · יחידה: חינוך · תחום: חינוך · דירוג: מתח דרגות 7- 9/10 · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-10 · מועד הגשה: 2026-06-28 · מספר מכרז: 28/2026,12 שנות לימוד,
מנהל יחידת מכרזים והתקשרויות,אור עקיבא,אור עקיבא,https://namerz.moin.gov.il/showexternal/54966/1,2026-06-08,2026-06-29,ניהול כללי,רשות: אור עקיבא · מחוז: חיפה · יחידה: ניהול כללי · תחום: ניהול כללי · דירוג: דירוג מח''ר | דרגה 39 – 41 + או 30% - 40% שכר בכירים בכפוף לאישור משרד הפנים  או דירוג מנהלי 9 – 11 + · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-08 · מועד הגשה: 2026-06-29 · מספר מכרז: 10/2026,אקדמאית / חילופית בהתאם לחוק,
מנהל יחידת הכשרה והדרכה,אור עקיבא,אור עקיבא,https://namerz.moin.gov.il/showexternal/54969/1,2026-06-08,2026-06-29,משאבי אנוש,"רשות: אור עקיבא · מחוז: חיפה · יחידה: משאבי אנוש · תחום: משאבי אנוש · דירוג: דירוג המח''ר | דרגה 39 – 41 + / אפשרות לחוזה בכירים , 30% - 40% בכפוף לאישור משרד הפנים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-08 · מועד הגשה: 2026-06-29 · מספר מכרז: 25/2026",אקדמאית / חילופית בהתאם לחוק,
תובע עירוני,אור עקיבא,אור עקיבא,https://namerz.moin.gov.il/showexternal/54975/1,2026-06-08,2026-06-29,משפטי,רשות: אור עקיבא · מחוז: חיפה · יחידה: משפטי · תחום: משפטי · דירוג: דירוג משפטנים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-08 · מועד הגשה: 2026-06-29 · מספר מכרז: 49/2026,אקדמאית / חילופית בהתאם לחוק,
מדריך נוער רשותי,אור עקיבא,אור עקיבא,https://namerz.moin.gov.il/showexternal/54979/1,2026-06-08,2026-06-29,נוער תרבות וספורט,"רשות: אור עקיבא · מחוז: חיפה · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: דירוג: חינוך ונוער | דרגה: בהתאם להשכלה · רמת השכלה: 12 שנות לימוד, בגרות · תאריך פרסום: 2026-06-08 · מועד הגשה: 2026-06-29 · מספר מכרז: 42/2026",12 שנות לימוד; בגרות,
מידען תכנוני,בני שמעון,בני שמעון,https://namerz.moin.gov.il/showexternal/55089/2,2026-06-10,2026-06-29,הנדסה,"רשות: בני שמעון · מחוז: דרום · יחידה: הנדסה · תחום: הנדסה · דירוג: הנדסאים · רמת השכלה: אדריכל / מהנדס, אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-10 · מועד הגשה: 2026-06-29 · מספר מכרז: 1023",אדריכל / מהנדס; אקדמאית / חילופית בהתאם לחוק,
מנהל יחידה לפיתוח כלכלי ומיצוי משאבים ברשות,אור עקיבא,אור עקיבא,https://namerz.moin.gov.il/showexternal/55266/1,2026-06-08,2026-06-29,כספים,"רשות: אור עקיבא · מחוז: חיפה · יחידה: כספים כללי · תחום: כספים · דירוג: מח''ר  39 – 41+ / אפשרות לחוזה בכירים , 30% - 40% בכפוף לאישור משרד הפנים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-08 · מועד הגשה: 2026-06-29 · מספר מכרז: 5/2026",אקדמאית / חילופית בהתאם לחוק,
מדריך ראש צוות,דרום השרון,דרום השרון,https://namerz.moin.gov.il/showexternal/55274/1,2026-06-15,2026-06-29,רווחה,"רשות: דרום השרון · מחוז: מרכז · יחידה: רווחה · תחום: רווחה · דירוג: עו""סים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, קורסים נוספים כמפורט בקובץ · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 12/2026",אקדמאית / חילופית בהתאם לחוק; קורסים נוספים כמפורט בקובץ,
מידען תכנוני,ראשון לציון,ראשון לציון,https://namerz.moin.gov.il/showexternal/55275/1,2026-06-15,2026-06-29,הנדסה,"רשות: ראשון לציון · מחוז: מרכז · יחידה: הנדסה · תחום: הנדסה · דירוג: העובד יועסק במתח דרגות 38-42 בדירוג המח""ר/מהנדסים או בדירוג 38-42 בדירוג ההנדסאים/טכנאים.                100% משרה (2 תקנים)                מועמד שיבחר לתפקיד ישובץ במערך החירום העירוני. · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 182.2026",אקדמאית / חילופית בהתאם לחוק,
