title,company,location,date,url,department,workplace_type,description,source
פקיד/ה למחסן החזרות למרכז הלוגיסטי,Osem-Nestlé,Hevel Modiin,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/406814,אדמיניסטרציה,fulltime,"המרכז הלוגיסטי של שוהם מגייס פקיד/ה למחסן החזרות לתפקיד שכולל: עבודות משרדיות שונות
הוצאת דוחות יומיים
תיוקים וסגירת תיקים
עבודות משרדיות שונות
זיכוי לקוחות
מענה ומתן שירות ללקוחות פנים
דרישות התפקיד
ניסיון של כשנה בתפקיד אדמיניסטרטיבי דומה – חובה
שליטה ביישומי OFFICE – חובה
תודעת שירות גבוהה
נכונות לעבודה במשרה מלאה, שישי לפי צורכי עבודה (07:00-16:00)
העבודה בשוהם, אזור תעשיה חבל מודיעין- הגעה עצמאית",osem
טכנולוג/ית קו מפעל שדרות,Osem-Nestlé,Sderot,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/407019,טכנולוגיה ואיכות,fulltime,"מפעל אסם נסטלה בשדרות מגייס טכנולוג/ית קו לתפקיד שכולל
דרישות התפקיד:
תואר ראשון באחד מהתחומים הבאים : טכנולוג מזון/הנדסת ביוטכנולוגיה/הנדסת כימיה.
ניסיון בתעשיית המזון/התרופות כטכנולוג קו/טכנולוג פיתוח/מהנדס תהליך – יתרון
ניסיון וידע עם מערכות מחשוביות – OFFICE
ניסיון בעבודה עם מערכות בקרה ומערכות ERP – יתרון
הבנה מעמיקה בתהליכים תרמיים וייצור רציף – יתרון
הבנה בתהליכי CIP וניקיון קווים – יתרון
נדרשת הגעה עצמאית נכונות לעבוד מעבר לשעות העבודה וזמינות מלאה במקרים של תקלות טכנולוגיות במהלך היממה.",osem
נציג/ת מכירות ONP,Osem-Nestlé,Kiryat Gat,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/407056,כספים,fulltime,"חטיבת אסם נסטלה Professional מגייס/ת נציג/ת מכירות למוקד בקרית גת
חטיבת אסם נסטלה Professional מגייס/ת נציג/ת מכירות למוקד בקרית גת !
במסגרת התפקיד:
עמידה ביעדי מכירות לפי יעדי החטיבה
עמידה ביעדים מבצעים ומרתונים
עמידה ביעדי תפעוליים כגון שגרות משמרת
ניהול קשר פרואקטיבי עם ממשקים בתוך ומחוץ לארגון
עבודה על פי מלאים, הקצאות ומוצרים אל מול ממשקים בקשרי לקוחות
עבודה שוטפת מול מערכת ממוחשבת
דרישות התפקיד:
ניסיון קודם במכירות / טלמרקטינג – חובה
שליטה ביישומי OFFICE
אנגלית ברמה טובה
נכונות למשרה זמנית
המשרה בקרית גת (סמוך לתחנת הרכבת) נדרשת הגעה עצמאית",osem
Marketing Data Analyst חברת נספרסו,Osem-Nestlé,Petah Tikva,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/406629,שיווק,fulltime,"נספרסו מגייסת Marketing Data Analyst החלפה לחל""ד
תפקיד מרכזי בהנעת החלטות שיווקיות מבוססות דאטה – משלב הבנת התנהגות הלקוחות ועד השפעה ישירה על ביצועים . תיאור התפקיד :
:דרישות התפקיד",osem
מנהל/ת משמרת צבר,Osem-Nestlé,Kiryat Gat,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/406731,טכני וייצור,fulltime,"מנהל/ת משמרת למפעל טבעול-צבר בקרית גת אסם נסטלה
מפעל סלטי צבר בקרית גת מגייס מנהל/ת משמרת, במסגרת התפקיד:
ניהול עובדים באופן אישי ומקצועי במהלך משמרת
חניכה, הכשרה והסמכת צוות עובדים
הובלת שיפור מתמיד
אחריות על עמידה בתוכנית הייצור
טיפול בחריגים וסיוע בפתרון תקלות לעובדים
ניהול  ישיר של כ-20 עובדים
הטמעת תהליכים ברצפת הייצור ומול מחלקות תומכות
דרישות התפקיד
הנדסאי/ת תעשיה וניהול/מכונות- יתרון משמעותי
ניסיון בתפקיד דומה בסביבה תהליכית- חובה
ניסיון ניהולי – חובה!
נכונות לעבודה במשמרות (3 משמרות)
הגעה עצמאית",osem
ראש/ת צוות אחזקה יקנעם,Osem-Nestlé,Yokneam,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/406567,טכני וייצור,fulltime,"מפעל אסם יקנעם מגייס ראש צוות אחזקה לתפקיד שכולל
ניהול אחזקה של מכונות ייצור, אריזה ותשתיות כולל אחריות כוללת לפתרון תקלות
ניהול צוות מכונאים ומסגרים
חונכות מכונאים חדשים, העברת ידע והדרכת עובדים במחלקות הייצור.
ייזום וביצוע שיפורים בקווי ייצור ותשתיות ע''פ הצורך
ערנות ומענה לצרכים משתנים של מנהלי המחלקות ברצפת הייצור
תכנון ואחריות לבניית מתקנים עבור מוצרים חדשים.
ידע טכני, ידע במערכות תהליך, ואקום, משאבות, פנאומטיקה, מכשור ובקרה, שרטוט טכני.
איכות, בטיחות ואיכות סביבה
הובלת MWG כחלק מתהליך מצוינות תפעולית באחזקה.
דרישות התפקיד
השכלה- טכנאי/ת או הנדסאי/ת מכונות/חשמל 3 שנות ניסיון לפחות כראש צוות אחזקה- חובה!
5 שנות ניסיון לפחות במכונות ייצור ואריזה
ניסיון בניהול פרויקטים- יתרון
הכרת מחשב בסיסית.
ידיעת אנגלית טכנית.
הכרת מערכות ERP
נכונות למשרה מלאה כולל שעות נוספות וזמינות בשעות העבודה של המפעל (24/6).",osem
מנהל/ת שרשרת אספקה בונז'ור,Osem-Nestlé,Kiryat Gat,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/406068,שרשרת אספקה ורכש,fulltime,"מפעל בונז'ור מגייס מנהל/ת שרשרת אספקה
ני הול שרשרת האספקה המפעלית הכוללת - תכנון, רכש, לוגיסטיקה.
תכנון - תכנון כלל הייצור במפעל ותיאום מול כל הגורמים. יצירת אינטגרציה בין צרכי השיווק והסחר לבין מערכי הייצור במפעל.
לוגיסטיקה – אחראי על מנהל המחסנים ואחריות על המחלקה
רכש - ניהול קנייני רכש בתחום חומרי גלם, חומרי אריזה ושירותים נצרכים הניהול כולל: מעקב על יישום תוכניות היצור ועמידה בתוכנית אספקות שמירה על בטיחות ופעולה במסגרת המדיניות הפרואקטיבית למניעת תאונות. התנהלות מול ממשקים מרובים פנים וחוץ מפעליים, כולל רכש מרכזי, תכנון מטה, ספקים ועוד. ניהול ובקרה של תוכניות עבודה חבר/ת הנהלה, בכפיפות למנהל המפעל
דרישות התפקיד:
תואר ראשון רלוונטי –  חובה
ניסיון של לפחות 5 שנים בתעשייה בתפקיד בתכנון / שרשרת אספקה - חובה
ניסיון ניהולי קודם - חובה
אנגלית ברמה גבוהה
המפעל ממקום בקרית גת",osem
מנהל/ת מצוינות תפעולית בונז'ור,Osem-Nestlé,Kiryat Gat,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/405829,שרשרת אספקה ורכש,fulltime,"מפעל בונז'ור מגייס מנהל/ת מצוינות תפעולית זמני/ת לתפקיד מרתק שכולל
הובלת תהליכי שיפור מתמיד בכל פעילויות המפעל תוך יישום מתודולוגיות מתקדמות לצמצום הפסדים במפעל ולפתרון בעיות .
הובלת הטמעת מערכת DMO במפעל (מערכת MES )
הבנת הצרכים העסקיים בטווח הקצר והארוך.
הובלת מהלכים אסטרטגים לתוכנית רב שנתית/שנתית, השגת יעדים ותוצאות המפעל תוך הנעת מנהלים ועובדים.
הובלת תהליכי מצוינות ופרויקטי שיפור.
הדרכה וחניכה של הקבוצות בתחומים השונים. הטמעה ויישום כלי בקרה בתהליך.
ניהול תקנים ברצפת הייצור וזיהוי צווארי בקבוק בתהליך.
התפקיד בכפיפות למנהל מפעל וחבר הנהלת מפעל
דרישות התפקיד
מהנדס/ת תעשיה וניהול – יתרון משמעותי,  או תואר רלבנטי אחר - חובה
ניסיון בתפקיד דומה – חובה.
הכרה מעמיקה של מתודולוגיות הנדסת ייצור
ניסיון בשיפור תהליכים (מתודולוגיות 6sigma, KAIZEN )
ניסיון מוכח בהובלת שינוי ובהדרכה/חניכה
ניסיון במערכות SAP ומערכות בקרת תהליך – יתרון משמעותי
שליטה מלאה ביישומי OFFICE
יכולות ניתוח נתונים ואנליטיות ברמה גבוהה. אנגלית ברמה גבוהה המשרה בקרית גת",osem
סטודנט/ית למשרה זמנית במחלקת אריזות,Osem-Nestlé,Hevel Modiin,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/405602,הנדסה,fulltime,"מחלקת אריזות של קבוצת אסם נסטלה מגייסת סטודנט/ית
לתפקיד שבמסגרתו:
עדכון ובנייה של מפרטי אריזות בגלוב ( SAP )
תמיכה במהנדסי המחלקה בנושאי מפרטים
ניתוח נתוני אריזות ע""י שימוש בפונקציות אקסל איסוף נתונים מול מאגרי המידע ומול הספקים
עבודה שוטפת מול ממשקים (מהנדסים, ספקים)
דרישות התפקיד
סטודנט/ית להנדסה או תואר רלוונטי אחר בשנה ב' לפחות (יתרת לימודים של שנה- חובה)
עבודה עצמאית, דיוק, סדר, וארגון
תקשורת בינאישית טובה, תודעת שירות
ניסיון בעבודה עם אקסל ויישומי מחשב ( Teams, Outlook, SAP - יתרון)
זמינות לחצי משרה (2-3 ימים בשבוע)
אנגלית ברמה טובה מאוד
העבודה במטה אסם נסטלה בשוהם, נדרשת הגעה עצמאית",osem
סטודנט/ית לתפקיד בתחום People Analytics וDATA במשאבי אנוש,Osem-Nestlé,Hevel Modiin,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/405603,משאבי אנוש,fulltime,"אנו מחפשים סטודנט/ית לתפקיד בתחום People Analytics ו DATA במשאבי אנוש . התפקיד מהווה הזדמנות להשתלב בעולם ה -HR Data ולרכוש ניסיון מעשי בניהול וניתוח נתונים ארגוניים, תוך עבודה מול ממשקים מקומיים וגלובליים .
תחומי אחריות
• סיוע בניהול ותחזוקת מבנה ארגוני ונתוני משרות במערכות HR ( כגון SuccessFactors). • תמיכה בבקרות איכות נתונים ועדכון נתונים שוטף . • סיוע בניהול קטלוג המשרות בהתאם להנחיות גלובליות . • הפקת דוחות וניתוח נתונים • תמיכה בתהליכי תגמול שנתיים (הזנות נתונים, בדיקות, בקרה) . • השתתפות בפרויקטי HR ודאטה, כולל יישום הנחיות גלובליות . • עבודה מול גורמים שונים בארגון בארץ ובחו""ל . • תמיכה ביוזמות HR נוספות ובשינויים ארגוניים .
דרישות התפקיד • סטודנט/ית לתואר ראשון (לפחות שנה ב'- יתרת לימודים של שנה!) בתחומים רלוונטיים: סטטיסטיקה, כלכלה, מנהל עסקים, מערכות מידע, הנדסה תעשייה וניהול או תחום דומה . • זיקה לעבודה עם נתונים ועניין בתחום People Analytics / HR Data. • שליטה טובה ב Excel (כולל פונקציות) • יכולת אנליטית, דיוק וירידה לפרטים . • אנגלית ברמה טובה (קריאה, כתיבה ודיבור) .",osem
