title,company,location,date,url,department,workplace_type,source,description,position_type
מנהל/ת מוצר AI,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50400175,"טרנספומציית AI, דיגיטל וחדשנות עסקית",onsite,phoenix,"תחום טרנספומציית AI, דיגיטל וחדשנות עסקית תפקיד מנהל/ת מוצר AI מיקום המשרה ראשון לציון",
רכז/ת תפעול הפניקס רילטק,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50077903,תחום חסכון ארוך טווח וסיכוני חיים,onsite,phoenix,תחום תחום חסכון ארוך טווח וסיכוני חיים תפקיד רכז/ת תפעול הפניקס רילטק מיקום המשרה ראשון לציון,
חתמ/ת פרט,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50005731,תחום ביטוח כללי,onsite,phoenix,תחום תחום ביטוח כללי תפקיד חתמ/ת פרט מיקום המשרה ראשון לציון,
רכז/ת מידע לסוכן חיים,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50025986,תחום חסכון ארוך טווח וסיכוני חיים,onsite,phoenix,תחום תחום חסכון ארוך טווח וסיכוני חיים תפקיד רכז/ת מידע לסוכן חיים מיקום המשרה ראשון לציון,
רכז/ת מידע לסוכן בריאות,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50025979,תחום חסכון ארוך טווח וסיכוני חיים,onsite,phoenix,תחום תחום חסכון ארוך טווח וסיכוני חיים תפקיד רכז/ת מידע לסוכן בריאות מיקום המשרה ראשון לציון,
מנהל/ת תיקים פנסיוניים,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50008077,תחום חסכון ארוך טווח וסיכוני חיים,onsite,phoenix,תחום תחום חסכון ארוך טווח וסיכוני חיים תפקיד מנהל/ת תיקים פנסיוניים מיקום המשרה ראשון לציון,
רכז/ת תפעול קרנות קפיטל,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50400310,כספים,onsite,phoenix,תחום כספים תפקיד רכז/ת תפעול קרנות קפיטל מיקום המשרה ראשון לציון,
נציג/ת שירות לסוכן - מעסיקים,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50048103,מטה שירות,onsite,phoenix,תחום מטה שירות תפקיד נציג/ת שירות לסוכן - מעסיקים מיקום המשרה ראשון לציון,
מיישב/ת תביעות צד ג',הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50009046,מערך תביעות ראשי,onsite,phoenix,תחום מערך תביעות ראשי תפקיד מיישב/ת תביעות צד ג' מיקום המשרה ראשון לציון,
נציג/ת תביעות SMART,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50044991,מערך תביעות ראשי,onsite,phoenix,תחום מערך תביעות ראשי תפקיד נציג/ת תביעות SMART מיקום המשרה ראשון לציון,
עוזר/ת חשב/ת,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50027776,כספים,onsite,phoenix,תחום כספים תפקיד עוזר/ת חשב/ת מיקום המשרה ראשון לציון,
ML ENGINEER,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50007259,חטיבת טכנולוגיות מערכות מידע וחדשנות,onsite,phoenix,תחום חטיבת טכנולוגיות מערכות מידע וחדשנות תפקיד ML ENGINEER מיקום המשרה ראשון לציון,
רכז/ת הפקה PRO 2,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50047770,תחום חסכון ארוך טווח וסיכוני חיים,onsite,phoenix,תחום תחום חסכון ארוך טווח וסיכוני חיים תפקיד רכז/ת הפקה PRO 2 מיקום המשרה ראשון לציון,
ראש צוות תביעות רכב,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50008636,מערך תביעות ראשי,onsite,phoenix,תחום מערך תביעות ראשי תפקיד ראש צוות תביעות רכב מיקום המשרה ראשון לציון,
בקר/ית השקעות,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50028634,כספים,onsite,phoenix,תחום כספים תפקיד בקר/ית השקעות מיקום המשרה ראשון לציון,
data analyst,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50060601,חטיבת טכנולוגיות מערכות מידע וחדשנות,onsite,phoenix,תחום חטיבת טכנולוגיות מערכות מידע וחדשנות תפקיד data analyst מיקום המשרה ראשון לציון,
"ראש צוות שירות נח""ל וחיות מחמד",הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50053811,מערך תביעות ראשי,onsite,phoenix,"תחום מערך תביעות ראשי תפקיד ראש צוות שירות נח""ל וחיות מחמד מיקום המשרה ראשון לציון",
מנתב/ת מסמכים,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50008722,תחום חסכון ארוך טווח וסיכוני חיים,onsite,phoenix,תחום תחום חסכון ארוך טווח וסיכוני חיים תפקיד מנתב/ת מסמכים מיקום המשרה ראשון לציון,
מפתח/ת CRM סיבל,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50400314,חטיבת טכנולוגיות מערכות מידע וחדשנות,onsite,phoenix,תחום חטיבת טכנולוגיות מערכות מידע וחדשנות תפקיד מפתח/ת CRM סיבל מיקום המשרה ראשון לציון,
מנהל/ת מדור BI Development & Services,הפניקס,ראשון לציון,2026-07-01,https://www.fnx.co.il/career/open-positions/50070437,חטיבת טכנולוגיות מערכות מידע וחדשנות,onsite,phoenix,תחום חטיבת טכנולוגיות מערכות מידע וחדשנות תפקיד מנהל/ת מדור BI Development & Services מיקום המשרה ראשון לציון,
