title,company,department,location,url,date,description
מהנדס/ת דאטה DE - משרה 1001,"רמב""ם",דיגיטל וטכנולוגיות מידע,Haifa,https://www.rambam.org.il/about-rambam/careers/digital-it-jobs/,2026-05-24,"חטיבת הדיגיטל וטכנולוגיות המידע ברמב""ם מגייסת Data Engineer להצטרף לעשייה טכנולוגית משמעותית, כחלק מבניית תשתיות דאטה ופלטפורמות רוחביות לבית החולים.החטיבה בונה ומקדמת יכולות מידע מתקדמות התומכות בעבודה עם מידע קליני, תפעולי וארגוני, כחלק מהתפתחות בית החולים לעולם של רפואה דיגיטלית מבוססת נתונים. התפקיד משלב בין תשתיות דאטה קלאסיות לבין יכולות מתקדמות בעולמות הענן, האנליטיקה והבינה המלאכותית. תיאור התפקיד תכנון, פיתוח והפעלה של תהליכי דאטה ואינטגרציה בסביבה היברידית, תוך טיפול במידע על כל שלביו: קליטה, עיבוד, טיוב, אחסון, הנגשה ושילוב במערכות ובפלטפורמות ארגוניות.תפקיד תשתיתי רוחבי, בעל השפעה רחבה על היכולת הארגונית לעבוד עם מידע באופן איכותי, זמין ומתקדם, בשילוב עבודה עם צוותי BI, אנליטיקה, Data Science ויחידות מקצועיות בבית החולים. פיתוח, תחזוקה ושיפור מתמיד של תהליכי ETL / ELT עבודה עם "
מנהל/ת פרויקטים טכנולוגיים - משרה 1002,"רמב""ם",דיגיטל וטכנולוגיות מידע,Haifa,https://www.rambam.org.il/about-rambam/careers/digital-it-jobs/,2026-05-24,"חטיבת הדיגיטל וטכנולוגיות המידע ברמב""ם מגייסת מנהל/ת פרויקט להצטרף לעשייה משמעותית, כחלק מקידום מהלכים רוחביים מורכבים בעולמות הדאטה, החדשנות, התשתיות והרפואה הדיגיטלית.החטיבה מובילה יוזמות ותהליכים חוצי-ארגון, המחברים בין גורמים מקצועיים רבים בבית החולים ומחוצה לו, ותומכים בפיתוח יכולות חדשות ובהובלת שינוי בסביבה מורכבת ורבת ממשקים. תיאור התפקיד ניהול פרויקט מורכב ורב-תחומי, הכולל עבודה שוטפת מול דיסציפלינות שונות: אדמיניסטרטיביות, קליניות, מחקריות וטכנולוגיות הובלת תכנון, בקרה, סנכרון וקידום משימות בסביבה דינמית, מרובת ממשקים ובעלת משמעות רחבה לבית החולים דרישות התפקיד ניסיון של 5 שנים לפחות בניהול פרויקטים טכנולוגיים מורכבים ניסיון בהובלת פרויקטים מרובי ממשקים יכולת בניית תוכניות עבודה, מעקב ובקרה ניסיון בניהול בעלי עניין ממגוון תחומים מקצועיים ניסיון בעבודה בסביבה מורכבת, דינמית ורבת א"
ארכיטקט/ית דאטה - משרה 1003,"רמב""ם",דיגיטל וטכנולוגיות מידע,Haifa,https://www.rambam.org.il/about-rambam/careers/digital-it-jobs/,2026-05-24,"חטיבת הדיגיטל וטכנולוגיות המידע ברמב""ם מגייסת ארכיטקט/ית דאטה להצטרף לעשייה טכנולוגית משמעותית, כחלק מבניית תשתיות מידע ופלטפורמות דאטה רוחביות לבית החולים.החטיבה מובילה הקמה של יכולות מידע מתקדמות המחברות בין מערכות ליבה, מקורות נתונים קליניים, תפעוליים וארגוניים, ומהווה בסיס לעבודה מבוססת נתונים ולקידום רפואה דיגיטלית. תיאור התפקיד הובלת ארכיטקטורת הדאטה הארגונית, כולל תכנון שכבות מידע, מודלים, אינטגרציה ופלטפורמות נתונים, בסביבה מורכבת, מרובת מערכות וממשקים תפקיד תשתיתי רוחבי, בעל השפעה משמעותית על האופן שבו בית החולים אוסף, מארגן, מנגיש ומנצל מידע דרישות התפקיד תואר ראשון בתחום רלוונטי ניסיון קודם בארכיטקטורת דאטה בארגון בינוני-גדול ניסיון בשילוב והטמעה של פלטפורמות דאטה הבנה מעמיקה במודלי מידע, אינטגרציה, Data Platforms וזרימות מידע ניסיון בסביבה היברידית ענן On Premise - יתרון ידע בע"
מפתח/ת משלב/ת AI - משרה 1004,"רמב""ם",דיגיטל וטכנולוגיות מידע,Haifa,https://www.rambam.org.il/about-rambam/careers/digital-it-jobs/,2026-05-24,"חטיבת הדיגיטל וטכנולוגיות המידע ברמב""ם מגייסת מפתח/ת משלב/ת AI להצטרף לעשייה טכנולוגית משמעותית, כחלק מבניית תשתיות ויכולות חדשות בתחומי הדאטה, האוטומציה והבינה המלאכותית בבית החולים.החטיבה בונה ומקדמת פלטפורמות רוחביות ויכולות מתקדמות התומכות בהתפתחות בית החולים לעבודה דיגיטלית חדשנית, חכמה ורחבת היקף. תיאור התפקיד פיתוח ושילוב יכולות AI בתוך תהליכים, מערכות ופלטפורמות ארגוניות, לרבות חיבור מודלים, שירותי AI, תהליכי עבודה ויישומים בסביבה מורכבת, מרובת ממשקים ובעלת משמעות רחבה לבית החולים. דרישות התפקיד ניסיון של 3 שנים לפחות בפיתוח תוכנה ניסיון בעבודה עם Python ו/או JavaScript / Java ניסיון בשילוב APIs ושירותים חיצוניים היכרות עם עולמות AI / LLM / MLOps או שירותי AI בענן ניסיון בעבודה עם בסיסי נתונים וארכיטקטורת שירותים ניסיון ב- Agentic AI, orchestration, RAG או מערכות ארגוניות מורכבות -"
ארכיטקט/ית System מומחה/ית ענן - משרה 1005,"רמב""ם",דיגיטל וטכנולוגיות מידע,Haifa,https://www.rambam.org.il/about-rambam/careers/digital-it-jobs/,2026-05-24,"חטיבת הדיגיטל וטכנולוגיות המידע ברמב""ם מגייסת מומחה/ית ענן / ארכיטקט/ית System להצטרף לעשייה טכנולוגית משמעותית, כחלק מקידום תשתיות וארכיטקטורות חדשות המשלבות בין מערכות מקומיות, שירותי ענן ופלטפורמות רוחביות בבית החולים.החטיבה מובילה מהלכי התחדשות תשתיתיים רחבי היקף, במטרה לאפשר סביבה טכנולוגית יציבה, מאובטחת, גמישה ומתקדמת, התומכת בצרכים הארגוניים, התפעוליים והרפואיים של בית החולים. תיאור התפקיד תכנון, ליווי והובלה של ארכיטקטורת תשתיות היברידית המשלבת בין ענן ל- On Premise, תוך התייחסות לזמינות, אבטחת מידע, דרישות סייבר, אינטגרציה ויציבות מערכתית בסביבה מורכבת ורבת ממשקים תכנון, הקמה וניהול של סביבת ענן היברידית הובלת פרויקטי מיגרציה ואופטימיזציה של תשתיות קיימות דרישות התפקיד תואר ראשון בתחום רלוונטי ניסיון של לפחות 5 שנים כאיש System ניסיון קודם בתכנון, הקמה וניהול תשתיות מחשוב ופתרונו"
מיישם/ת מערכות ותמיכת משתמשים,"רמב""ם",דיגיטל וטכנולוגיות מידע,Haifa,https://campaign.adamtotal.co.il?d=Ww%2bO0DuxxbhQ3xb5u5%2bUpw%3d%3d,2026-05-24,תיאור התפקיד יישום פתרונות במערכות הארגון בהתאם לדרישות עסקיות תמיכה שוטפת במשתמשי קצה ומתן מענה לתקלות ולצרכים תפעוליים איסוף דרישות מהיחידות העסקיות וניתוח תהליכים קיימים עבודה מול צוותי פיתוח לצורך שיפור מערכות וטיפול בתקלות כתיבת מערכי הדרכה והדרכת משתמשים על מערכות הארגון ביצוע בדיקות קבלה (UAT) ובדיקות QA לפתרונות חדשים ושינויים במערכת השתתפות בתהליכי שיפור וייעול מערכות ותהליכים ארגוניים דרישות התפקיד הנדסאי/ת או תואר ראשון בתחום המחשבים / מערכות מידע / תעשייה וניהול ניסיון ביישום מערכות מידע ותמיכה במשתמשים ניסיון בניתוח מערכות וכתיבת מסמכי דרישות ניסיון בביצוע בדיקות QA ניסיון בעבודה מול בסיסי נתונים (SQL Server או Oracle) היכרות עם מערכות BPM - יתרון כישורים נוספים יכולת למידה עצמית גבוהה יכולת פתרון בעיות תודעת שירות גבוהה יכולת עבודה מול משתמשים ולקוחות להגשת מועמדות למשרה* רק 
מפתח/ת Oracle מנוסה,"רמב""ם",דיגיטל וטכנולוגיות מידע,Haifa,https://tinyurl.com/26bqojw9?latest,2026-05-24,"תיאור התפקיד פיתוח ותחזוקה של מערכות ליבה בסביבת Oracle פיתוח ותחזוקת ממשקים בין מערכותשיתוף פעולה עם צוות רב-תחומי הכולל אנשי טכנולוגיה ורפואה השתתפות בתכנון וארכיטקטורת המערכת כתיבת קוד איכותי ובר-תחזוקה הזדמנות להשפיע על חיי אנשים ולתרום למערכת הבריאות בפרויקטים לאומיים השתלבות בתפקיד מאתגר ומפתח, תוך שמירה על האיזון עם החיים הפרטיים דרישות התפקיד תואר אקדמי בתחום רלוונטי/קורסים מקצועיים ניסיון של 3 שנים לפחות בפיתוח Oracle ידע נרחב בכתיבת שאילתות מורכבות הבנה של תהליכים עסקיים ניסיון בפיתוח מערכות רפואיות - יתרון כישורים נוספים יכולת עבודה בסביבה דינמית ומאתגרת יכולת עבודה בצוות להגשת מועמדות למשרה* רק פניות מתאימות ייענו"
משרות בחטיבת הדיגיטל וטכנולוגיות המידע,"רמב""ם",,Haifa,https://www.rambam.org.il/about-rambam/careers/,2026-05-24,הקריירה הטכנולוגית שלך מתחילה כאן >> בואו לבנות איתנו את עתיד הדיגיטל וטכנולוגיות המידע בתחום הבריאות לצפייה במשרות בחטיבת הדיגיטל וטכנולוגיות המידע
דימותן/דימותנית,"רמב""ם",,Haifa,https://campaign.adamtotal.co.il?d=yOy%2bMiokzosiqP%2beSOtv1w%3d%3d,2026-05-24,"תיאור התפקיד עבודה עם מערכות דימות מתקדמות (CT, MRI, US ועוד) התמקצעות בבית חולים על-איזורי, מרכז טראומה משמעותי עבודה כחלק מצוות רב-מקצועי מוביל בתחומו הזדמנות לעבודה יציבה לטווח ארוך דרישות התפקיד תואר ראשון בדימות רפואי B.Sc רישיון כ""דימותן רפואי"" ממשרד הבריאות ניסיון קודם בתחום הדימות – יתרון נכונות לעבודה במשמרות כישורים נוספים יכולת סבלנות ואמפתיה יכולת עבודה מול ממשקים מרובים אחריות אישית גבוהה מחויבות ורצון להשתלב בתפקיד לטווח ארוך להגשת מועמדות למשרה* רק פניות מתאימות ייענו"
ממונה/ממונת בטיחות,"רמב""ם",,Haifa,https://campaign.adamtotal.co.il?d=cuf5x%2bCep8vYRimiLuHvXQ%3d%3d,2026-05-24,"תיאור התפקיד שמירה על עמידה בתקנים ונהלים בתחום הבטיחות ברחבי בית החולים ביצוע מבדקי בטיחות, ביקורות וסקרי בטיחות שוטפים סיורים במחלקות השונות סיוע בבניית תכניות לשיפור תרבות הבטיחות הארגונית הפקת דוחות תקופתיים דרישות התפקיד 12 שנות לימוד תעודת ״ממונה בטיחות״ כישורים נוספים שליטה ביישומי Office בדגש על Excel אנגלית - שליטה טובה נכונות לעבודה דינאמית ומאתגרת יכולת עבודה בצוות מול ממשקים מרובים להגשת מועמדות למשרה"
