title,company,location,date,url,department,workplace_type,source,description,position_type
מהנדס/ת דאטה DE - משרה 1001,"הקריה הרפואית רמב""ם",Haifa,2026-06-07,https://www.rambam.org.il/about-rambam/careers/digital-it-jobs/,דיגיטל וטכנולוגיות מידע,onsite,rambam,"חטיבת הדיגיטל וטכנולוגיות המידע ברמב""ם מגייסת Data Engineer להצטרף לעשייה טכנולוגית משמעותית, כחלק מבניית תשתיות דאטה ופלטפורמות רוחביות לבית החולים.החטיבה בונה ומקדמת יכולות מידע מתקדמות התומכות בעבודה עם מידע קליני, תפעולי וארגוני, כחלק מהתפתחות בית החולים לעולם של רפואה דיגיטלית מבוססת נתונים. התפקיד משלב בין תשתיות דאטה קלאסיות לבין יכולות מתקדמות בעולמות הענן, האנליטיקה והבינה המלאכותית. תיאור התפקיד תכנון, פיתוח והפעלה של תהליכי דאטה ואינטגרציה בסביבה היברידית, תוך טיפול במידע על כל שלביו: קליטה, עיבוד, טיוב, אחסון, הנגשה ושילוב במערכות ובפלטפורמות ארגוניות.תפקיד תשתיתי רוחבי, בעל השפעה רחבה על היכולת הארגונית לעבוד עם מידע באופן איכותי, זמין ומתקדם, בשילוב עבודה עם צוותי BI, אנליטיקה, Data Science ויחידות מקצועיות בבית החולים. פיתוח, תחזוקה ושיפור מתמיד של תהליכי ETL / ELT עבודה עם ",
מנהל/ת פרויקטים טכנולוגיים - משרה 1002,"הקריה הרפואית רמב""ם",Haifa,2026-06-07,https://www.rambam.org.il/about-rambam/careers/digital-it-jobs/,דיגיטל וטכנולוגיות מידע,onsite,rambam,"חטיבת הדיגיטל וטכנולוגיות המידע ברמב""ם מגייסת מנהל/ת פרויקט להצטרף לעשייה משמעותית, כחלק מקידום מהלכים רוחביים מורכבים בעולמות הדאטה, החדשנות, התשתיות והרפואה הדיגיטלית.החטיבה מובילה יוזמות ותהליכים חוצי-ארגון, המחברים בין גורמים מקצועיים רבים בבית החולים ומחוצה לו, ותומכים בפיתוח יכולות חדשות ובהובלת שינוי בסביבה מורכבת ורבת ממשקים. תיאור התפקיד ניהול פרויקט מורכב ורב-תחומי, הכולל עבודה שוטפת מול דיסציפלינות שונות: אדמיניסטרטיביות, קליניות, מחקריות וטכנולוגיות הובלת תכנון, בקרה, סנכרון וקידום משימות בסביבה דינמית, מרובת ממשקים ובעלת משמעות רחבה לבית החולים דרישות התפקיד תואר ראשון בתחום רלוונטיתואר שני - יתרון ניסיון של 5 שנים לפחות בניהול פרויקטים טכנולוגיים מורכבים ניסיון בהובלת פרויקטים מרובי ממשקים יכולת בניית תוכניות עבודה, מעקב ובקרה ניסיון בניהול בעלי עניין ממגוון תחומים מקצועיים נ",
ארכיטקט/ית דאטה - משרה 1003,"הקריה הרפואית רמב""ם",Haifa,2026-06-07,https://www.rambam.org.il/about-rambam/careers/digital-it-jobs/,דיגיטל וטכנולוגיות מידע,onsite,rambam,"חטיבת הדיגיטל וטכנולוגיות המידע ברמב""ם מגייסת ארכיטקט/ית דאטה להצטרף לעשייה טכנולוגית משמעותית, כחלק מבניית תשתיות מידע ופלטפורמות דאטה רוחביות לבית החולים.החטיבה מובילה הקמה של יכולות מידע מתקדמות המחברות בין מערכות ליבה, מקורות נתונים קליניים, תפעוליים וארגוניים, ומהווה בסיס לעבודה מבוססת נתונים ולקידום רפואה דיגיטלית. תיאור התפקיד הובלת ארכיטקטורת הדאטה הארגונית, כולל תכנון שכבות מידע, מודלים, אינטגרציה ופלטפורמות נתונים, בסביבה מורכבת, מרובת מערכות וממשקים תפקיד תשתיתי רוחבי, בעל השפעה משמעותית על האופן שבו בית החולים אוסף, מארגן, מנגיש ומנצל מידע דרישות התפקיד תואר ראשון בתחום רלוונטי ניסיון קודם בארכיטקטורת דאטה בארגון בינוני-גדול ניסיון בשילוב והטמעה של פלטפורמות דאטה הבנה מעמיקה במודלי מידע, אינטגרציה, Data Platforms וזרימות מידע ניסיון בסביבה היברידית ענן On Premise - יתרון ידע בע",
מפתח/ת משלב/ת AI - משרה 1004,"הקריה הרפואית רמב""ם",Haifa,2026-06-07,https://www.rambam.org.il/about-rambam/careers/digital-it-jobs/,דיגיטל וטכנולוגיות מידע,onsite,rambam,"חטיבת הדיגיטל וטכנולוגיות המידע ברמב""ם מגייסת מפתח/ת משלב/ת AI להצטרף לעשייה טכנולוגית משמעותית, כחלק מבניית תשתיות ויכולות חדשות בתחומי הדאטה, האוטומציה והבינה המלאכותית בבית החולים.החטיבה בונה ומקדמת פלטפורמות רוחביות ויכולות מתקדמות התומכות בהתפתחות בית החולים לעבודה דיגיטלית חדשנית, חכמה ורחבת היקף. תיאור התפקיד פיתוח ושילוב יכולות AI בתוך תהליכים, מערכות ופלטפורמות ארגוניות, לרבות חיבור מודלים, שירותי AI, תהליכי עבודה ויישומים בסביבה מורכבת, מרובת ממשקים ובעלת משמעות רחבה לבית החולים. דרישות התפקיד 12 שנות לימוד לפחות ניסיון של 3 שנים לפחות בפיתוח תוכנה ניסיון בעבודה עם Python ו/או JavaScript / Java ניסיון בשילוב APIs ושירותים חיצוניים היכרות עם עולמות AI / LLM / MLOps או שירותי AI בענן ניסיון בעבודה עם בסיסי נתונים וארכיטקטורת שירותים ניסיון ב- Agentic AI, orchestration, RAG או מערכו",
ארכיטקט/ית System מומחה/ית ענן - משרה 1005,"הקריה הרפואית רמב""ם",Haifa,2026-06-07,https://www.rambam.org.il/about-rambam/careers/digital-it-jobs/,דיגיטל וטכנולוגיות מידע,onsite,rambam,"חטיבת הדיגיטל וטכנולוגיות המידע ברמב""ם מגייסת מומחה/ית ענן / ארכיטקט/ית System להצטרף לעשייה טכנולוגית משמעותית, כחלק מקידום תשתיות וארכיטקטורות חדשות המשלבות בין מערכות מקומיות, שירותי ענן ופלטפורמות רוחביות בבית החולים.החטיבה מובילה מהלכי התחדשות תשתיתיים רחבי היקף, במטרה לאפשר סביבה טכנולוגית יציבה, מאובטחת, גמישה ומתקדמת, התומכת בצרכים הארגוניים, התפעוליים והרפואיים של בית החולים. תיאור התפקיד תכנון, ליווי והובלה של ארכיטקטורת תשתיות היברידית המשלבת בין ענן ל- On Premise, תוך התייחסות לזמינות, אבטחת מידע, דרישות סייבר, אינטגרציה ויציבות מערכתית בסביבה מורכבת ורבת ממשקים תכנון, הקמה וניהול של סביבת ענן היברידית הובלת פרויקטי מיגרציה ואופטימיזציה של תשתיות קיימות דרישות התפקיד תואר ראשון בתחום רלוונטי ניסיון של לפחות 5 שנים כאיש System ניסיון קודם בתכנון, הקמה וניהול תשתיות מחשוב ופתרונו",
מפתח/ת Full Stack ליישומים קליניים - משרה 1006,"הקריה הרפואית רמב""ם",Haifa,2026-06-07,https://www.rambam.org.il/about-rambam/careers/digital-it-jobs/,דיגיטל וטכנולוגיות מידע,onsite,rambam,"תיאור התפקיד פיתוח ותחזוקה של יישומים מקצה לקצה עבודה על צד שרת וצד לקוח פיתוח יכולות עבור יישומים קליניים מרכזיים בבית החולים תכנון, פיתוח ויישום של פתרונות יציבים, סקיילביליים ובעלי ביצועים גבוהים עבודה בצוות במתודולוגיית Agile השתתפות בתהליכי תכנון, סקירה ושיפור מתמיד של איכות הקוד והמערכת דרישות התפקיד 12 שנות לימוד לפחות תואר ראשון בתחום רלוונטי (בדגש על מדעי המחשב / הנדסת תוכנה) - יתרון משמועתי ניסיון של 5 שנים לפחות בפיתוח אפליקציות שליטה ב- JavaScript ו/או TypeScript ניסיון בפיתוח ב- Angular/ React ניסיון בפיתוח צד שרת ניסיון בעבודה מול בסיסי נתונים רלציוניים הבנה בארכיטקטורת מערכות ופיתוח שירותים ניסיון בעבודה עם Delphi, Java ו- Oracle - יתרון משמעותי ניסיון מעשי בשימוש בכלי AI להאצת תהליכי פיתוח ושיפור פרודוקטיביות - יתרון ניסיון בפיתוח בסביבת מובייל - יתרון ניסיון בעבודה עם מערכ",
Data Scientist - משרה 1007,"הקריה הרפואית רמב""ם",Haifa,2026-06-07,https://www.rambam.org.il/about-rambam/careers/digital-it-jobs/,דיגיטל וטכנולוגיות מידע,onsite,rambam,"תיאור התפקיד השתלבות בחטיבה המקדמת יכולות מידע מתקדמות התומכות בעבודה עם נתונים קליניים, תפעוליים וארגוניים כחלק מבניית פלטפורמות רוחביות ותמיכה ברפואה דיגיטלית מתקדמת פיתוח מודלים ניתוח נתונים והפקת תובנות לצורך תמיכה בתהליכים רפואיים, תפעוליים וניהוליים עבודה בסביבה עשירה בנתונים, מרובת ממשקים ובעלת אתגרים מקצועיים משמעותיים דרישות התפקיד תואר ראשון בתחום רלוונטי תואר שני - יתרון ניסיון קודם בארגון מתחום הרפואה/בריאות - יתרון משמעותי ניסיון קודם של 3 שנים לפחות בתפקיד דומה ניסיון בפיתוח מודלים סטטיסטיים ו/או Machine Learning ניסיון בעבודה עם SQL שליטה ב- Python יכולת להנגיש תובנות וניתוחים לגורמים מקצועיים כישורים נוספים כישורים אנליטיים גבוהים חשיבה מערכתית גישה סקרנית-מקצועית יכולת לעבוד בסביבת עבודה מורכבת ורבת משמעות רצון להשתלב בפיתוח יכולות מבוססות דאטה התומכות בקבלת החלטות ובקידום",
מיישם/ת מערכות מידע ותמיכה טכנית - משרה 1008,"הקריה הרפואית רמב""ם",Haifa,2026-06-07,https://www.rambam.org.il/about-rambam/careers/digital-it-jobs/,דיגיטל וטכנולוגיות מידע,onsite,rambam,"תיאור התפקיד שילוב בין יישום והטמעה של מערכות מידע לבין תמיכה שוטפת במשתמשים/ות קידום תהליכים דיגיטליים משמעותיים בבית החולים יישום והגדרת תהליכים במערכות מידע מתן תמיכה טכנית למשתמשים/ות, טלפונית ואונליין ניתוח דרישות עסקיות והתאמת פתרונות לצורכי השטח עבודה שוטפת מול צוותי פיתוח, QA וגורמים מקצועיים נוספים הדרכת משתמשים/ות וכתיבת מדריכים וחומרי עזר טיפול בתקלות בשוטף ליווי תהליכי הטמעה ושיפור תהליכי עבודה דרישות התפקיד 12 שנות לימוד לפחות ניסיון של שנתיים לפחות ביישום מערכות מידע / ERP / CRM ניסיון בעבודה מול משתמשים/ות ניסיון בעבודה מול צוותי פיתוח ניסיון בתמיכה טכנית - יתרון משמעותי היכרות עם SQL - יתרון ניסיון במערכות ארגוניות מורכבות - יתרון ניסיון קודם מארגון ציבורי / מתחום הבריאות - יתרון שליטה ברמה גבוהה באנגלית כישורים נוספים יכולת ניתוח תהליכים וראייה מערכתית גישה שירותית תקשורת ",
ארכיטקט/ית פתרונות - משרה 1009,"הקריה הרפואית רמב""ם",Haifa,2026-06-07,https://www.rambam.org.il/about-rambam/careers/digital-it-jobs/,דיגיטל וטכנולוגיות מידע,onsite,rambam,"תיאור התפקיד תכנון והובלת פתרונות מקצה לקצה, תוך שילוב בין דרישות עסקיות, תהליכים מקצועיים, מערכות ליבה ופלטפורמות נתונים השתלבות בתפקיד רוחבי, בעל השפעה משמעותית על האופן בו פתרונות טכנולוגיים מתוכננים, מחוברים ומיושמים בבית החולים עבודה בסביבה ארגונית מורכבת ומרובת ממשקים דרישות התפקיד תואר ראשון בתחום רלוונטי ניסיון מעשי קודם בארכיטקטורת פתרונות מארגון בינוני-גדול ניסיון בתכנון והטמעה של פתרונות מרובי ממשקים ניסיון בשילוב פלטפורמות דאטה כחלק מארכיטקטורת פתרון יכולת עבודה עם גורמים עסקיים וטכנולוגיים ועם ספקים ניסיון בסביבה היברידית ענן On Premise - יתרון היכרות קודמת עם עולם הרפואה, בדגש על FHIR ו- OMOP - יתרון משמעותי כישורים נוספים ראייה מערכתית יכולת תכנון ברמה גבוהה הבנה של תהליכים ארגוניים יכולת לחבר בין צורך מקצועי לפתרון טכנולוגי יישים הגשת מועמדות 1. שליחת קורות חיים לכתובת: [em",
מנתח/ת מערכות / Product - משרה 1010,"הקריה הרפואית רמב""ם",Haifa,2026-06-07,https://www.rambam.org.il/about-rambam/careers/digital-it-jobs/,דיגיטל וטכנולוגיות מידע,onsite,rambam,"תיאור התפקיד אפיון והובלת פתרונות דיגיטליים מתוך הבנת הצורך ותרגומו לדרישות ליווי תהליך הפיתוח או היישום עבודה שוטפת עם משתמשים/ות, צוותים טכנולוגיים ובעלי/ות עניין נוספים קידום תהליכים ויכולות רוחביות בבית החולים דרישות התפקיד 12 שנות לימוד לפחות הכשרה רשמית בניתוח מערכות ו/או Product - יתרון ניסיון קודם ממערכות ארגוניות מורכבות או בתחום הבריאות - יתרון ניסיון של 3 שנים לפחות בניתוח מערכות ו/או Product ניסיון בכתיבת מסמכי אפיון פונקציונליים וטכניים ניסיון בעבודה מול משתמשים/ות, צוותי פיתוח וספקים כישורים נוספים יכולת ניהול דרישות ותעדופן יכולת הבנת תהליכים עסקיים מורכבים יכולת ניתוח גבוהה יכולת לעבוד מול ממשקים רבים חשיבה מערכתית הבנה תהליכית רצון לקחת חלק בהובלת פתרונות דיגיטליים בעלי השפעה רחבה בסביבה מורכבת ומשמעותית הגשת מועמדות 1. שליחת קורות חיים לכתובת: [email protected]2. בכותרת ה",
