title,company,department,city,url,description,position_type,date
למחלקה ללימודי אנגלית למטרות אקדמיות,Ruppin Academic Center,academic_faculty,Emek Hefer,https://www.ruppin.ac.il/administration/academic-staff-required/,"דרוש/ה מרצה להוראת אנגלית כשפה זרה למטרות אקדמיות
דרי​
שות:
השכלה פורמלית בתחום המדעים, עם עדיפות למדעי החיים או ביולוגיה.
בעל/ת תואר שני לפחות בתחום הוראת אנגלית כשפה זרה.
ניסיון של לפחות שלוש שנים של הוראה משמעותית במערכת ההשכלה הגבוהה בישראל והמלצות.
ההוראה דורשת ידע נרחב ומעמיק בשימוש בטכנולוגיות חינוכיות ובמיוחד בMOODLE H5P, EdPuzzle NearPod & Google (Sheets, Docs & Slides).
העבודה כרוכה בניהול, תחזוקה וארגון של אתר הקורס, בדיקה שבועית של מטלות .
בנוסף על המועמד/ת להיות בעל/ת כישורים מוכחים בכתיבת מבחנים.
הגשת מועמדות:
נא לשלוח קו""ח אל
english@ruppin.ac.il
רק פניות מתאימות ייענו.​",,2026-06-25
דרושים בפקולטה למדעי החברה והקהילה,Ruppin Academic Center,academic_faculty,Emek Hefer,https://www.ruppin.ac.il/administration/academic-staff-required/,"קול קורא להגשת מועמדות למשרת סגל בכיר לתוכנית BA במדעי ההתנהגות לשנת הלימודים תשפ""ז
ההעסקה תחל בשנת הלימודים תשפ""ז, 1.10.2026 . המשרה בהצעה זו הינה בהיקף של 75-100% משרה.
דרישות התפקיד:
תואר Ph.D. בפסיכולוגיה ממוסד אקדמי מוכר
בעל/ת עניין ומומחיות באחד או יותר מהתחומים הבאים: פסיכולוגיה קלינית,
פסיכולוגיה רפואית/ שיקומית, נוירופסיכולוגיה, מדעי המוח, פסיכולוגיה קוגניטיבית.
בעל/ת ניסיון ועניין במחקר, הנחיה ו פרסומים.
בעל/ת ניסיון בהוראה ומשובי הוראה טובים/ מוצלחים.
עדיפות לבעל/ת יכולות הוראה של קורסים מתודולוגיים.
יכול ות מצוינות בעבודת צוות לצד רצון לתרום לפעילות הארגונית.
נכונות להשתלבות במשרה אקדמית כמשרה עיקרית.
על כל מועמד/ת לשלוח:
קורות חיים באנגלית במתכונת הנדרשת על ידי המל""ג
מכתב מלווה המתייחס לניסיון במחקר והוראה, וכן תוכנית מחקר לזמן הקרוב.
שני מכתבי המלצה.
שני מאמרים במתכונת PDF מהשנים האחרונות.
משובי הוראה מהשנים האחרונות.
את הפניות יש לשלוח עד ל- 22.3.2026 למזכירת הנהלת הפקולטה, הגב' אורלי כהן ירושלמי,
במייל
:
orlyc@ruppin.ac.il
המועמדים המתאימים יוזמנו ל- job talk וראיון במהלך אפריל 2026 .
בהצלחה!",,2026-06-25
דרוש.ה איש.אשת סגל אקדמי למחלקה למדעי המחשב,Ruppin Academic Center,academic_faculty,Emek Hefer,https://www.ruppin.ac.il/administration/academic-staff-required/,"קריטריונים להגשת מועמדות:
תואר שלישי במדעי המחשב (יתרון לפוסט בחו""ל). יישקלו מועמדים עם דוקטורט בהנדסת תוכנה/מחשבים.
ניסיון הוראה במדעי המחשב של שנתיים לפחות. קורסים לדוגמה: שפות תכנות, מתמטיקה בדידה, אלגוריתמים, מבני נתונים, מודלים חישוביים, בינה מלאכותית.
משובי סטודנטים גבוהים.
אוריינטציה והשתתפות במחקר בתחום.
ניסיון תעסוקתי בתעשיית ההיי טק בתחומים משיקים – יתרון.
אישיות נעימה, יכולת עבודה בצוות.
נכונות להשקיע בפיתוח תכנית הלימודים, הנחיית פרויקטים ומילוי תפקידים בוועדות במחלקה וברופין.
מועמד/ת שיתקבל יצטרף כחבר/ת סגל בכיר למחלקה.
לפנייה יש לצרף קורות חיים ומכתב נלווה המתייחסים לניסיון במחקר והוראה. פניות יש לשלוח  לד""ר אבנר פריאל, ראש המחלקה למדעי המחשב והמידע
avnerp@ruppin.ac.il",,2026-06-25
דרוש/ה מרצה בתחום החומרה הספרתית ומערכות משובצות,Ruppin Academic Center,academic_faculty,Emek Hefer,https://www.ruppin.ac.il/administration/academic-staff-required/,"המחלקה להנדסת חשמל ואלקטרוניקה במרכז האקדמי רופין מחפשת מרצה בתחום החומרה הספרתית ומערכות משובצות, בעל/ת מומחיות וניסיון באחד או יותר מהתחומים הבאים:
מערכות זמן אמת (Real-Time Systems)
מיקרו-מעבדים ומיקרו-בקרים
מערכות הפעלה
Embedded Systems
SoC (System-on-Chip)
תכן ואינטגרציה של מערכות חומרה-תוכנה
אנו מחפשים מועמדים בעלי ניסיון משמעותי בתעשייה בתחומים אלו ו/או תואר דוקטור בתחום רלוונטי.
התפקיד כולל הוראה והנחיית סטודנטים במחלקה להנדסת חשמל ואלקטרוניקה, תוך שילוב ידע מעשי ועדכני מהתעשייה.
למועמדים מתאימים קיימת אפשרות להשתלב בעתיד כחברי סגל במחלקה, בכפוף להתאמה מקצועית ואקדמית.
אם אתם בעלי תשוקה להוראה, מעוניינים להשפיע על דור המהנדסים הבא ומחפשים הזדמנות להשתלב בסביבה אקדמית דינמית ומתפתחת – נשמח לשמוע מכם.
קורות חיים ניתן לשלוח ל:
innag@ruppin.ac.il
ו-
bennysal@ruppin.ac.il",,2026-06-28
דרושים מתרגלים.ות לקורסי המתמטיקה,Ruppin Academic Center,academic_faculty,Emek Hefer,https://www.ruppin.ac.il/administration/academic-staff-required/,"קורסים: חדו""א, אלגברה לינארית, מד""ר, מד""ח ופונקציות מרוכבות.
דרישות התפקיד:
תואר שני במתמטיקה או לימוד פעיל לתואר שני.
נסיון בהוראה/תרגול של קורסים מתמטיים.
קו""ח ניתן לשלוח למייל:
engineering@ruppin.ac.il
​,
בציון המשרה בשורת הנושא
.",,2026-06-25
דרוש/ה מרצה לקורס: ניתוח ועיצוב מערכות מידע,Ruppin Academic Center,academic_faculty,Emek Hefer,https://www.ruppin.ac.il/administration/academic-staff-required/,"דרישות התפקיד:
בעל תואר M.Sc לפחות בתחום רלוונטי.
הכרה עמוקה עם מחזור החיים של מערכת מידע וגישות לפיתוח לרבות:
שפת BPMN לניתוח ומידול תהליכים עסקיים
ניתוח והגדרת דרישות
הכרות מעמיקה עם שפת UML:
תרשים נסיבות השימוש ומפרטים
תרשים מחלקות
תרשים מצבים
תרשים רצפים
תרגילי הבית הם תרגילים מתגלגלים המדמים פרויקט פיתוח של מערכת מידע.
קו""ח ניתן לשלוח למייל:
engineering@ruppin.ac.il
,
בציון שם המשרה בשורת הנושא.",,2026-06-25
"דרוש/ה מתרגל/ת לקורסים חדו""א ואלגברה לינארית במחלקות להנדסה",Ruppin Academic Center,academic_faculty,Emek Hefer,https://www.ruppin.ac.il/administration/academic-staff-required/,"דרישות התפקיד:
תואר שני (לקראת סיום) במתמטיקה/מדעי המחשב
ניסיון בהוראה במוסדות להשכלה גבוהה בישראל
קו""ח לשלוח למייל:
engineering@ruppin.ac.il
,
נא לציין בשורת הנושא את שם המשרה
.",,2026-06-25
דרוש/ה מרצה מן החוץ למתמטיקה,Ruppin Academic Center,academic_faculty,Emek Hefer,https://www.ruppin.ac.il/administration/academic-staff-required/,"דרישות התפקיד:
ניסיון מוכח לפחות באחד מהקורסים: חדו""א 1, לינארית,
תואר שלישי במתמטיקה.
משובים המעידים על יכולת הוראה גבוהה.
קו""ח לשלוח למייל:
engineering@ruppin.ac.il
, נא לציין בשורת הנושא את שם המשרה.",,2026-06-25
למחלקה להנדסת חשמל ואלקטרוניקה בפקולטה להנדסה נדרש איש סגל אקדמי בכיר למשרת מרצה מן המניין.,Ruppin Academic Center,academic_faculty,Emek Hefer,https://www.ruppin.ac.il/administration/academic-staff-required/,"קריטריונים להגשת מועמדות:
1.
תואר שלישי בהנדסת חשמל  /  הנדסת חשמל ומחשבים
2.
התמחות באחד מתחומי הדעת הבאים של מקצועות הפיזיקה והנדסת חשמל - יתרון:
קורסי יסוד בפיזיקה (פיזיקה 1, 2 ו-3)
תופעות גלים ואלקטרומגנטיות
מיקרואלקטרוניקה ומעגלי תדר גבוה
3.
ניסיון הוראה אקדמי ( הרצאה  ו/או תרגול )
4.
ניסיון ועניין במחקר - יתרון
מועמד/ת שיתקבל יצטרף כחבר/ת סגל בכיר במחלקה .
לפנייה יש לצרף קורות חיים ומכתב נלווה המתייחסים לניסיון במחקר והוראה.
פניות יש לשלוח  לד""ר ינון סתיו, ראש המחלקה להנדסת חשמל ואלקטרוניקה
yinnons@ruppin.ac.il",,2026-06-25
למחלקה להנדסת מחשבים ולמחלקה להנדסת חשמל ואלקטרוניקה בפקולטה להנדסה נדרש איש סגל אקדמי בכיר למשרת מרצה מן המניין.,Ruppin Academic Center,academic_faculty,Emek Hefer,https://www.ruppin.ac.il/administration/academic-staff-required/,"קריטריונים להגשת מועמדות:
תואר שלישי בהנדסת חשמל / הנדסת מחשבים 2. השכלה ומומחיות באחד או יותר מתחומי המומחיות הבאים:
חומרה ספרתית
ארכיטקטורת מחשבים
רשתות מחשבים ומערכות מבוזרות
מערכות הפעלה ובפרט מערכות הפעלה זמן אמת
ניסיון הוראה ( הרצאה  ו/או תרגול )
ניסיון ועניין במחקר - יתרון
מועמד/ת שיתקבל יצטרף כחבר/ת סגל בכיר במחלקה.
לפנייה יש לצרף קורות חיים ומכתב נלווה המתייחסים לניסיון במחקר והוראה.
פניות יש לשלוח  לד""ר בני סלומון, ראש המחלקה להנדסת מחשבים
bennysal@ruppin.ac.il",,2026-06-25
מנהל/ת מחלקת שיווק ופרסום,Ruppin Academic Center,admin_staff,Emek Hefer,https://www.ruppin.ac.il/media/aqjfyo3v/מכרז-למנהל-שיווק-ופרסום-מאי-26.pdf,,,2026-06-25
"מנהל/ת לשכת מנכ""לית",Ruppin Academic Center,admin_staff,Emek Hefer,https://www.ruppin.ac.il/media/vo0oqbxb/מנהלת-לשכת-מנכלית-מרץ-2026-_.pdf,,,2026-06-25
"מ""מ מנהל/ת היחידה לפיתוח קריירה- החלפה לחל""ד",Ruppin Academic Center,admin_staff,Emek Hefer,https://www.ruppin.ac.il/media/wjmcl5p4/מנהלת-היחידה-לפיתוח-קריירה-בדקאנט-הסטודנטים-החלפה-לחלד.pdf,,maternity_cover,2026-06-25
מזכיר/ת מנהל סטודנטים בפקולטה להנדסה,Ruppin Academic Center,admin_staff,Emek Hefer,https://www.ruppin.ac.il/media/dndbzhp3/מזכירת-מנהל-סטודנטים-בפקולטה-להנדסה-062026.pdf,,,2026-06-25
עובד/ת אחזקה כללי/ת,Ruppin Academic Center,admin_staff,Emek Hefer,https://www.ruppin.ac.il/media/wrgh5pmu/עובדת-אחזקה-כללית-112025.pdf,,,2026-06-25
"מ""מ יועצ/ת במרכז הנגישות",Ruppin Academic Center,admin_staff,Emek Hefer,https://www.ruppin.ac.il/media/mlbl1zik/מכרז-ממ-יועצת-לקויות-למידה-003.pdf,,,2026-06-25
