title,company,location,date,url,department,workplace_type,source,description,position_type
למרכז מידע ייעוץ ורישום דרוש.ה רפרנט.ית תשתיות ופרויקטים,המכללה האקדמית ספיר,שדרות,2026-06-23,https://app.civi.co.il/promo/id=566089&src=13586,admin_staff,onsite,sapir,"רפרנטי.ת תשתיות ופרויקטים אמון.ה על הובלת פרויקטים שונים במרכז מידע ייעוץ ורישום, ביניהם כנסים, דוחות שוטפים, סיכומי שנה, תכנית מענקים ליועצים, תחזוקה והטמעה של פרויקטים טכנולוגיים ותהליכי עבודה חדשים. גמישות תפעולית גבוהה והתאמה לצרכים המשתנים של אגף השיווק ומרכז המידע. התפקיד כולל: • מענה, ייעוץ ורישום למתעניינים בלימודים בכל מרכזי הלימוד במכללה • ארגון והפקה של ימי עיון, כנסים וימים פתוחים • ניהול והטמעת מערכות מידע (לרבות מערכת הוואטסאפ העסקי), הובלת פרויקטים מקצה לקצה ושיפור ואופטימיזציה של תהליכי עבודה באמצעות כלים טכנולוגיים. • מתן ייעוץ פרונטלי וטלפוני להכוונת מתעניינים בלימודים • טיפול ומענה לפניות המועמדים ללימודים • הכשרה וחניכה של מערך הייעוץ המורכב מסטודנטים • עבודה מול גורמי הנהלה וצוותי המחלקות • סביבת עבודה צעירה ודינאמית • ניהול צוות של יועצי.ות לימודים",
לפקולטה לניהול דרוש.ה ראש מינהל,המכללה האקדמית ספיר,שדרות,2026-06-23,https://app.civi.co.il/promo/id=755674&src=13586,admin_staff,onsite,sapir,"החל בשנה""ל תשפ""ז המכללה האקדמית ספיר תעבור להתנהלות במבנה פקולטאי. מבנה כזה יספק ערך מוסף בהיבטים של פיתוח אקדמי, הוראה ולמידה, מחקר, אימפקט אזורי וארצי, וחוויית הסטודנטים והסגלים. הוא יאפשר תכלול צרכים יצירת ערך לסטודנטים, למחלקות, לאנשי הסגל וכפקולטה. הנהלת הפקולטה תורכב מדיקן.ית ומראש המינהל של הפקולטה (רמ""ן/ית). אנו מזמינים אתכם/ן להגיש את מועמדותכם.ן לתפקיד ראש מנהל הפקולטה לניהול תיאור התפקיד: • שותפ.ה מרכזי.ת בניהול השוטף והאסטרטגי של הפקולטה • ניהול של צוות רכזות המחלקה וניהול עקיף של צוות רכזות השירות לסטודנט • בניית תשתיות ותהליכים לקידום מצוינות השירות לסטודנטים ולסגל • שותפ.ה להובלת מהלכים של שיתופי פעולה בין מחלקות, תכניות לימודים ופרויקטים פקולטאיים • ניהול ובקרה תקציבית • ריכוז הגשות תוכניות חדשות, כולל דו""חות התפתחות, למועצה להשכלה גבוהה. • בקרה על תהליכי עבודה פקולטאיים, כולל קביעת מדדי הצלחה ולוחות זמנים • עבודה מול אגף השיווק ליצירת שפת שיווק פקולטאית ומיקסום חשיפה.",
לפקולטה לחברה ויצירה דרוש.ה ראש מינהל,המכללה האקדמית ספיר,שדרות,2026-06-23,https://app.civi.co.il/promo/id=788637&src=13586,admin_staff,onsite,sapir,"החל בשנה""ל תשפ""ז המכללה האקדמית ספיר תעבור להתנהלות במבנה פקולטאי. מבנה כזה יספק ערך מוסף בהיבטים של פיתוח אקדמי, הוראה ולמידה, מחקר, אימפקט אזורי וארצי, וחוויית הסטודנטים והסגלים. הוא יאפשר תכלול צרכים יצירת ערך לסטודנטים, למחלקות, לאנשי הסגל וכפקולטה. הנהלת הפקולטה תורכב מדיקן.ית ומראש המינהל של הפקולטה (רמ""ן/ית). אנו מזמינים אתכם/ן להגיש את מועמדותכם.ן לתפקיד ראש מנהל הפקולטה לחברה ויצירה. תיאור התפקיד: • שותפ.ה מרכזי.ת בניהול השוטף והאסטרטגי של הפקולטה • ניהול של צוות רכזות המחלקה וניהול עקיף של צוות רכזות השירות לסטודנט • בניית תשתיות ותהליכים לקידום מצוינות השירות לסטודנטים ולסגל • שותפ.ה להובלת מהלכים של שיתופי פעולה בין מחלקות, תכניות לימודים ופרויקטים פקולטאיים • ניהול ובקרה תקציבית • ריכוז הגשות תוכניות חדשות, כולל דו""חות התפתחות, למועצה להשכלה גבוהה. • בקרה על תהליכי עבודה פקולטאיים, כולל קביעת מדדי הצלחה ולוחות זמנים • עבודה מול אגף השיווק ליצירת שפת שיווק פקולטאית ומיקסום חשיפה.",
"דרוש.ה מנהל.ת אדמיניסטרטיבי.ת למרכז המחקר ""שדות"" – רווחה וחוסן לבית הספר לעבודה סוציאלית",המכללה האקדמית ספיר,שדרות,2026-06-23,https://app.civi.co.il/promo/id=953785&src=13586,admin_staff,onsite,sapir,"למרכז ""שדות"" המוביל מחקר בתחומי הרווחה וחוסן, ופועל במסגרת בית הספר לעבודה סוציאלית במכללת ספיר, דרוש.ה מנהל.ת אדמיניסטרטיבי.ת להובלת התשתית הארגונית, התפעולית והתקציבית של המרכז. מרכז ""שדות"" פועל בלב הנגב המערבי ונושא תפקיד מרכזי בתקופה זו של שיקום והתחדשות אזורית. במיוחד לאחר אירועי ה־7 באוקטובר, חיזוק החוסן האישי, המשפחתי והקהילתי הפך למשימה לאומית מהמעלה הראשונה. המרכז מוביל מחקר יישומי ואקדמי המכוון לפיתוח ידע, כלים ותכניות התערבות התומכים בתהליכי שיקום, בבניית חוסן קהילתי ובהשפעה על מדיניות ציבורית ברמה המקומית והארצית. למחקרי המרכז תרומה משמעותית לעיצוב מענים מקצועיים, לליווי רשויות וקהילות, ולבניית תשתית ידע התומכת בשיקום ארוך טווח של האזור ושל החברה הישראלית כולה. תיאור התפקיד המנהל.ת האדמיניסטרטיבי.ת יהווה/תהווה את עמוד השדרה הארגוני של המרכז, ויהיה/תהיה אחראי.ת על ניהול כולל של הפעילות המנהלית, התפעולית והתקציבית, תוך עבודה ישירה עם ראש.ת המרכז ובהלימה לאסטרטגיה של בית הספר לעבודה סוציאלית והמכללה. מדובר בתפקיד משמעותי בליבת עשייה מחקרית בעלת אימפקט אזורי ולאומי. תחומי אחריו",
דרוש.ה מנהל.ת מדור בחינות לאגף מנהל ושירות,המכללה האקדמית ספיר,שדרות,2026-06-23,https://app.civi.co.il/promo/id=948685&src=13586,admin_staff,onsite,sapir,"ניהול, הובלה ופיתוח מערך הבחינות המוסדי ברמה האקדמית התפעולית והאסטרטגית, תוך אחריות מלאה על תקינות התהליך, חוויית השירות לסטודנטים ולסגל, עמידה בנהלים ובקרה שוטפת. התפקיד משלב ניהול מערך רחב היקף, תכנון משאבים, הובלת תהליכי שיפור וחדשנות, ועבודה רוחבית מול כלל היחידות האקדמיות והמנהליות. תחומי אחריות מרכזיים: תחום ניהולי - הובלה מערכתית ואסטרטגית • ניהול מקצועי ואדמיניסטרטיבי של צוות מדור הבחינות • ניהול מערך המשגיחים, כולל גיוס, הכשרה, שיבוץ ובקרה • גיבוש תכניות עבודה שנתיות והובלת תהליכי שיפור וייעול • פיתוח והטמעת נהלי עבודה ומדיניות תפעולית • ניהול תקציב המדור, תכנון ובקרה על עמידה ביעדים • ניתוח נתונים והפקת דוחות לצורך קבלת החלטות והצגתם להנהלה • הובלת פרויקטים מערכתיים, לרבות מערכות דיגיטליות ובחינות מקוונות תחום תפעולי - ניהול מערך הבחינות • אחריות כוללת על ניהול והפעלת מערך הבחינות במכללה, לרבות תכנון ותפעול הבחינות במערכת Tomax ובמערכות מידע מוסדיות נוספות. • תכנון והפעלת לוחות הבחינות ברמה השנתית והסמסטריאלית • שיבוץ כיתות, מועדי בחינה ומשאבים בהתאם להיקפי הנבחנים • אחריות ",
למח' משאבי אנוש דרוש.ה סגן.ית מנהלת מחלקת משאבי אנוש,המכללה האקדמית ספיר,שדרות,2026-06-23,https://app.civi.co.il/promo/id=839493&src=13586,admin_staff,onsite,sapir,"ממלא.ת התפקיד יהיה.תיהיה יד ימינה של מנהלת המחלקה, כתובת מקצועית אשר אחראית על ניהול תפעולי ומקצועי שוטף של פניות ותהליכי משאבי אנוש במחלקה, לרבות טיפול בבקשות פרטניות של עובדים, מנהלים ויחידות משלב הפנייה ועד לסגירת הטיפול. אחראיות על תכלול נתונים ודוחות מש""א. תחומי אחריות עיקריים: • תפעול שוטף של פניות פרט, רכזות ומנהלים בבקשות שוטפות בנושאי משאבי אנוש. בירור הצורך, בדיקת מדיניות, נהלים ורגולציה, תיאום עם גורמים רלוונטיים. • ליווי מחלקות ומנהלים באופן שוטף בסוגיות משאבי אנוש בנוסף למנהלת המחלקה. • ריכוז נתונים, דוחות ובקרות להנהלת המכללה ולגופים חיצוניים ע""פ הנדרש. • אחריות לריכוז חומרים נדרשים לצרכים שונים כגון: פרויקטים, תביעות, איסוף חומרים לחקירת נושא/בקשה וכיו""ב וקידומם. • שותפות בפיתוח תהליכים, תקציבים, כלים וסטנדרטים מקצועיים במחלקה. • אחריות מקצועית על יישום מדיניות משאבי אנוש במחלקה. • בקרה על איכות השירות, זמני תגובה ורמת המענה הניתן ע""י המחלקה לפניות עובדים ומנהלים. • אחראית על תיאומים ועבודה שוטפת מול ממשקים ארגוניים פנימיים וחיצוניים. • ביצוע מטלות נוספות בהתאם לדרישת המ",
לפקולטה לטכנולוגיה דרוש.ה מנהל.ת IT,המכללה האקדמית ספיר,שדרות,2026-06-23,https://app.civi.co.il/promo/id=613953&src=13586,admin_staff,onsite,sapir,"מנהל.ת IT שיוביל את התכנון והפרויקטים בהקמת והובלת מערך המידע והתשתיות הדיגיטליות של הפקולטה לטכנולוגיה במכללה האקדמית ספיר. התפקיד משלב אחריות טכנולוגית, ניהולית וחדשנית בסביבה דינמית ומרובת ממשקים תוך כדי עבודה שוטפת מול ראשי מחלקות האקדמיים בפקולטה והסגל האקדמי. אחריות להתאמת פתרונות טכנולוגיים לצרכים האקדמיים והניהוליים של הפקולטה. התפקיד בכפיפות ישירה לסמנכ""ל טכנולוגיות המידע של המכללה. תחומי אחריות • ניתוח צרכים, כתיבה ושיפור של מפרטים טכניים למערכות מידע ותשתיות טכנולוגיות בפקולטה • עבודה שוטפת עם ראשי מחלקות, מרצים וצוותי הוראה לצורך הטמעת פתרונות טכנולוגיים מותאמים לצרכים אקדמיים. • בחינת טכנולוגיות מתקדמות בארץ ובעולם לצורך התאמתן לצורכי הפקולטה והקידום האקדמי. • פיתוח והטמעת מערכות מבוססות ענן וכלי AI לשיפור איכות ההוראה, מחקר וייעול ניהול נתונים. • ניהול ספקים, מערכות ותהליכי רכש בתחום מערכות המידע וטכנולוגיות מתקדמות. • אחריות על אבטחת מידע, בקרת איכות ועמידה בתקני המוסד ורגולציה. • מתן תמיכה וליווי שוטף למרצים, סטודנטים וסגל בתחומי IT ודיגיטל בפקולטה . • עבודה מול גורמי מ",
דרוש.ה נציג.ת תמיכה טכנית – Help Desk לאגף טכנולוגיות מידע,המכללה האקדמית ספיר,שדרות,2026-06-23,https://app.civi.co.il/promo/id=812137&src=13586,admin_staff,onsite,sapir,"מכללת ספיר מפעילה מרכז תמיכה טכנית באמצעות נציגים התומכים טלפונית במשתמשי קצה תוך השתלטות מרחוק על מחשבים לצורך פתרון תקלות. הנציגים עוקבים אחר הפניות, מאפיינים את התקלות, ובמידת הצורך מעבירים להמשך טיפול ביחידת המחשב עד סגירתן. בנוסף, תומכים הנציגים בשיעורים המתקיימים בכיתות לימוד ובמעבדות מחשבים ומבצעים משימות נוספות לפי צרכי האגף.",
"לביה""ס לעבודה סוציאלית דרוש.ה רכז.ת גיוס מדריכים ליחידה להכשרה בשדה",המכללה האקדמית ספיר,שדרות,2026-06-23,https://app.civi.co.il/promo/id=819972&src=13586,admin_staff,onsite,sapir,תיאור התפקיד: • עבודה עם סטודנטים ושירותי רווחה מקצועיים • איתור וגיוס מסגרות הכשרה ומדריכים • איתור ומיון מדריכים העומדים בדרישות ההוראה בשדה • קשר שדה- אקדמיה • איתור ויצירה של שיתופי פעולה בין מסגרות הכשרה לבין היחידה להכשרה בשדה • שיתוף פעולה בסוגיות המעסיקות שירותים חברתיים באזור • שימור הקשר עם מנהלי מסגרות הכשרה בשדה • ארגון ימי עיון וסיורים לסטודנטים,
לאגף כספים והתקשרויות דרוש/ה רואה/ת חשבון מוסמך/ת,המכללה האקדמית ספיר,שדרות,2026-06-23,https://app.civi.co.il/promo/id=960184&src=13586,admin_staff,onsite,sapir,"אנו מחפשים רואה.ת חשבון מוסמך.ת בעל.ת ניסיון לתפקיד מאתגר ומגוון בתחום. התפקיד כולל הכנת דוחות כספיים, ניהול ובקרה תקציבית, דיווחים רגולטוריים ופיקוח על ההתנהלות הפיננסית של הארגון.",
