title,company,location,date,url,department,workplace_type,source,description,position_type
"ממלא/ת מקום רכז/ת סטודנטים במחלקת מנהל סטודנטים, קמפוס באר שבע (החלפת חופשת לידה)",מכללת סמי שמעון (SCE),באר שבע,2026-06-21,https://app.civi.co.il/promo/id=544375&src=8126,admin_staff,onsite,sce,,maternity_cover
איש שיווק שטח,מכללת סמי שמעון (SCE),באר שבע,2026-06-21,https://app.civi.co.il/promo/id=758614&src=8126,admin_staff,onsite,sce,,
"מזכיר/ת מחלקה במחלקה להנדסת תוכנה, קמפוס באר שבע",מכללת סמי שמעון (SCE),באר שבע,2026-06-21,https://app.civi.co.il/promo/id=616461&src=8126,admin_staff,onsite,sce,,
ממונה בטיחות - קמפוס באר שבע,מכללת סמי שמעון (SCE),באר שבע,2026-06-21,https://app.civi.co.il/promo/id=983272&src=8126,admin_staff,onsite,sce,,
ממלא/ת מקום עוזר/ת מנהלי/ת לדיקן הסטודנטים (החלפה לחופשת לידה),מכללת סמי שמעון (SCE),באר שבע,2026-06-21,https://app.civi.co.il/promo/id=723924&src=8126,admin_staff,onsite,sce,,maternity_cover
"רכז/ת מרכז תמיכה לסטודנט, קמפוס אשדוד",מכללת סמי שמעון (SCE),אשדוד,2026-06-21,https://app.civi.co.il/promo/id=912458&src=8126,admin_staff,onsite,sce,,
"כלכלן/ית במדור תקציבים, אגף כספים",מכללת סמי שמעון (SCE),באר שבע,2026-06-21,https://app.civi.co.il/promo/id=988438&src=8126,admin_staff,onsite,sce,,
"יועץ/ת פדגוגי/ת ומעצב/ת למידה, במרכז להערכת איכות וקידום ההוראה - קמפוסים באר שבע ואשדוד",מכללת סמי שמעון (SCE),אשדוד,2026-06-21,https://app.civi.co.il/promo/id=743790&src=8126,admin_staff,onsite,sce,,
"טכנאי/ת במחלקה להנדסת חשמל ואלקטרוניקה, קמפוס אשדוד",מכללת סמי שמעון (SCE),אשדוד,2026-06-21,https://app.civi.co.il/promo/id=899197&src=3167,admin_staff,onsite,sce,,
היחידה לפיזיקה - קמפוס באר שבע,מכללת סמי שמעון (SCE),באר שבע,2026-06-21,https://www.sce.ac.il/www.sce.ac.il/administration/human-resources1/wanted/academic/physics,academic_faculty,onsite,sce,,
ראש/ת תכנית לטכנולוגיות מזון,מכללת סמי שמעון (SCE),באר שבע,2026-06-21,https://www.sce.ac.il/www.sce.ac.il/administration/human-resources1/wanted/academic/food_technologies_program,academic_faculty,onsite,sce,,
ראש/ת מחלקה לתקשורת חזותית,מכללת סמי שמעון (SCE),באר שבע,2026-06-21,https://www.sce.ac.il/www.sce.ac.il/administration/human-resources1/wanted/academic/vc,academic_faculty,onsite,sce,,
מכינה קדם-אקדמית - קמפוס באר שבע,מכללת סמי שמעון (SCE),באר שבע,2026-06-21,https://www.sce.ac.il/www.sce.ac.il/administration/human-resources1/wanted/academic/preparatory-program_wanted-beer-sheva,academic_faculty,onsite,sce,,
המחלקה להנדסת תעשייה וניהול - קמפוס אשדוד,מכללת סמי שמעון (SCE),אשדוד,2026-06-21,https://www.sce.ac.il/www.sce.ac.il/administration/human-resources1/wanted/academic/industrial-engineering-and-management-ashdod,academic_faculty,onsite,sce,,
המחלקה למדעי המחשב - קמפוס באר שבע וקמפוס אשדוד,מכללת סמי שמעון (SCE),אשדוד,2026-06-21,https://www.sce.ac.il/www.sce.ac.il/administration/human-resources1/wanted/academic/computer_science,academic_faculty,onsite,sce,,
היחידה למתמטיקה,מכללת סמי שמעון (SCE),באר שבע,2026-06-21,https://www.sce.ac.il/www.sce.ac.il/administration/human-resources1/wanted/academic/math_jobs,academic_faculty,onsite,sce,,
מכינה קדם-אקדמית - קמפוס אשדוד,מכללת סמי שמעון (SCE),אשדוד,2026-06-21,https://www.sce.ac.il/www.sce.ac.il/administration/human-resources1/wanted/academic/preparatory-program_wanted-ashdod,academic_faculty,onsite,sce,,
סטודנט/ית למסטר בנושא של טיהור בעזרת ננו-בועות,מכללת סמי שמעון (SCE),באר שבע,2026-06-21,https://www.sce.ac.il/www.sce.ac.il/administration/human-resources1/wanted/post-doc-researches/nano-bubble,research,onsite,sce,,
A post-doctoral - Biomedical Optics,מכללת סמי שמעון (SCE),באר שבע,2026-06-21,https://www.sce.ac.il/www.sce.ac.il/administration/human-resources1/wanted/post-doc-researches/biomedical_optics,research,onsite,sce,,
חוקר/ת/עוזר/ת מחקר - פיזיקה קרינתית של מצב מוצק,מכללת סמי שמעון (SCE),באר שבע,2026-06-21,https://www.sce.ac.il/www.sce.ac.il/administration/human-resources1/wanted/post-doc-researches/physics,research,onsite,sce,,
