title,company,location,date,url,department,workplace_type,description,requirements
מנהל/ת שיווק למדעית שערי צדק,שערי צדק,Jerusalem,2026-06-11,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2913,,onsite,,
דרושים.ות פסיכולוגים.ות,שערי צדק,Jerusalem,2026-06-07,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2942,,onsite,,
סטודנט/ית לסיעוד/ רפואה/ מדעי החברה,שערי צדק,Jerusalem,2026-06-07,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2932,,onsite,,
ראש צוות טקסטיל,שערי צדק,Jerusalem,2026-06-07,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2931,,onsite,,
מזכיר/ה מנהל יחידה,שערי צדק,Jerusalem,2026-06-07,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2925,,onsite,,
אח/ות מומחה/ית בכירורגיה,שערי צדק,Jerusalem,2026-06-07,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2897,,onsite,"שותפות בהובלה מקצועית ואסטרטגית של תחום הסיעוד הכירורגי
קביעת סטנדרטים קליניים והטמעתם בשטח
הנהגת צוותים, חניכה והעצמת צוות סיעודי
שותפות בקבלת החלטות מקצועיות ברמה המחלקתית והארגונית
קידום יוזמות לשיפור איכות, בטיחות וחדשנות בטיפול
דרישות:
רישיון סיעוד בתוקף
תעודת אחות מומחית בכירורגיה (או בתהליך מתקדםניסיון קליני משמעותי בתחום הכירורגי
יכולת הנהגה, ראייה מערכתית ויוזמה
כישורי תקשורת והשפעה ברמה גבוהה
הגשת קו""ח
שיתוף משרה
הגשת מועמדות
צירוף קורות חיים
בחר קובץ
שם מלא
תעודת זהות
טלפון נייד
דוא״ל
היקף משרה מועדף
בחירה
אישור
ביטול
האם יש לך קרובי משפחה בשערי צדק?
כן
לא
הגשת קו""ח
פייסבוק
קישור לדף פייסבוק – שערי צדק
לינקדאין
קישור לדף לינקדאין – שערי צדק
אינסטגרם
קישור לדף אינסטגרם – שערי צדק
לאתר הראשי של שערי צדק
POWERED BY
NILOOSOFT HUNTER EDGE",
טכנאי אלקטרומכניקה וגזים רפואיים,שערי צדק,Jerusalem,2026-06-07,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2894,,onsite,,
מנהל/ת דיגיטל,שערי צדק,Jerusalem,2026-06-07,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2880,,onsite,,
מפקח\ת משק בית,שערי צדק,Jerusalem,2026-06-07,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2801,,onsite,,
רכז\ת גיוס וסורסינג,שערי צדק,Jerusalem,2026-06-07,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2800,,onsite,,
