title,company,location,date,url,department,workplace_type,position_type
איש/אשת סיסטם ותשתיות מחשוב,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=20111008,הפקולטה להנדסה אזרחית וסביבתית,onsite,
עובד/ת אחזקה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=20114057,הפקולטה להנדסה אזרחית וסביבתית,onsite,
רכז/ת הסמכה ולימודים לתארים מתקדמים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-22,https://hr.technion.ac.il/positions/?jobid=20117032,הפקולטה להנדסה אזרחית וסביבתית,onsite,
רכז/ת הוראה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=20414007,הפקולטה למדע והנדסה של חומרים,onsite,
תומך/ת מחשוב,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=20414011,הפקולטה למדע והנדסה של חומרים,onsite,
מהנדס/ת מחשוב,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-30,https://hr.technion.ac.il/positions/?jobid=20511019,הפקולטה להנדסת חשמל ומחשבים,onsite,
מהנדס/ת ראשי פקולטי,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=20511033,הפקולטה להנדסת חשמל ומחשבים,onsite,
מהנדס/ת אחראי/ת למעבדות יסוד (הוראה),הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=20517006,הפקולטה להנדסת חשמל ומחשבים,onsite,
מנהל/ת מעבדת מחקר,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=20517012,הפקולטה להנדסת חשמל ומחשבים,onsite,
תומך/ת IT,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=20617001,הפקולטה לכימיה,onsite,
מנהל/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=20811006,הפקולטה להנדסת ביוטכנולוגיה ומזון,onsite,
מהנדס/ת מעבדת מחקר,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=20814012,הפקולטה להנדסת ביוטכנולוגיה ומזון,onsite,
מהנדס/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=20914015,הפקולטה לפיזיקה,onsite,
רכז/ת מנהלית לתארים מתקדמים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=21917001,הפקולטה למדעי הנתונים וההחלטות,onsite,
מהנדס/ת מעבדה במעבדות דנציגר,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=22410173,מעבדות דנציגר,onsite,
מהנדס/ת מעבדת מחקר והוראה לאנטומיה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=22713002,הפקולטה לרפואה,onsite,
"מהנדס/ת מעבדה- משרה זמנית להחלפה לחל""ד",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=22713012,הפקולטה לרפואה,onsite,maternity_cover
רכז/ת רכש ולוגיסטיקה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=22713061,הפקולטה לרפואה,onsite,
מהנדס/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=22713064,הפקולטה לרפואה,onsite,
מהנדס/ת מעבדה חישובית,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=22717009,הפקולטה לרפואה,onsite,
רכז/ת הוראה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=22717011,הפקולטה לרפואה,onsite,
מהנדס/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-18,https://hr.technion.ac.il/positions/?jobid=22717018,הפקולטה לרפואה,onsite,
מהנדס/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-18,https://hr.technion.ac.il/positions/?jobid=22717025,הפקולטה לרפואה,onsite,
מנהל/ת מערך הספריות,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=22916001,הספריה המרכזית,onsite,
רכז/ת שימור והנגשת אוספים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=22916055,הספריה המרכזית,onsite,
עובדת או עובד אחזקה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=22950016,הספריה המרכזית,onsite,
מהנדס/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-19,https://hr.technion.ac.il/positions/?jobid=23317003,הפקולטה להנדסה ביו-רפואית,onsite,
מנהל/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=23414023,הפקולטה לביולוגיה,onsite,
רכז/ת מנהלי/ת ביחידה לנוער שוחר מדע,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=23717014,המרכז לחינוך קדם אקדמי,onsite,
"עוזר/ת למשנה לנשיא ומנכ""ל וראש לשכה",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=24217004,"לשכת המשנה לנשיא ומנכ""ל",onsite,
רכז/ת מנהלי/ת,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=24410159,לימודי הסמכה,onsite,
רכז/ת לימודי תואר שני מקצועי,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-16,https://hr.technion.ac.il/positions/?jobid=24417027,הפקולטה לארכיטקטורה ובינוי ערים,onsite,
מהנדסת או מהנדס תקשוב,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=25011004,מערך מחשוב ומערכות מידע,onsite,
"רכז/ת שיווק קשרי נוער, תיכונים וצבא",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=25517072,יחידת השיווק,onsite,
רכז/ת שיווק וקמפיינים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=25550031,יחידת השיווק,onsite,
מומחה/ית מולטימדיה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=26814002,המרכז לקידום הלמידה וההוראה,onsite,
רכז/ת תשתיות ארגוניות,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=27911001,מערך מחשוב ומערכות מידע,onsite,
