title,company,location,date,url,department,workplace_type,source,description,position_type
מדריך/ה בכיר/ה מתאם/ת לימודי שדה בחוג לעבודה סוציאלית,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7505,academic_faculty,onsite,telhai,היקף: 75% · זמינות: מיידית · חיצונית · מועד הגשה: 04.06.2026,
Call for Tenure-Track Faculty Position The Cluster of Engineering and Advanced Computing University of Kiryat Shmona at the Galilee,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7286,academic_faculty,onsite,telhai,היקף: 100% · זמינות: תחילת שנת הלימודים הבאה · חיצונית · מועד הגשה: 07.02.2026,
קול קורא לגיוס חבר/ת סגל למשרת סגל אקדמי בכיר אשכול חינוך והוראה תחום ייעוץ חינוכי,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7284,academic_faculty,onsite,telhai,היקף: 100% · זמינות: תחילת שנת הלימודים הבאה · חיצונית · מועד הגשה: 01.03.2026,
קול קורא לגיוס חבר/ת סגל למשרת סגל אקדמי בכיר אשכול חינוך והוראה תחום טכנולוגיה וחדשנות בחינוך,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7282,academic_faculty,onsite,telhai,היקף: 100% · זמינות: תחילת שנת הלימודים הבאה · חיצונית · מועד הגשה: 01.03.2026,
קול קורא לגיוס חבר/ת סגל למשרת סגל אקדמי בכיר אשכול חינוך והוראה תחום חינוך מיוחד: מוגבלות אינטלקטואלית ופיזית,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7281,academic_faculty,onsite,telhai,היקף: 100% · זמינות: תחילת שנת הלימודים הבאה · חיצונית · מועד הגשה: 30.01.2026,
קול קורא לגיוס חבר/ת סגל למשרת סגל אקדמי בכיר אשכול חינוך והוראה תחום חינוך הגיל הרך / פסיכולוגיה התפתחותית,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7280,academic_faculty,onsite,telhai,היקף: 100% · זמינות: תחילת שנת הלימודים הבאה · חיצונית · מועד הגשה: 31.01.2026,
קול קורא לגיוס חבר/ת סגל למשרת סגל אקדמי בכיר אשכול חינוך והוראה תחום ניהול וארגון מערכות חינוך,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7279,academic_faculty,onsite,telhai,היקף: 100% · זמינות: תחילת שנת הלימודים הבאה · חיצונית · מועד הגשה: 31.01.2026,
"רכז/ת שותפויות, רשויות ומחקרים - מרכז הידע האזורי - גליל מערבי",המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7434,admin_staff,onsite,telhai,היקף: 75% · זמינות: מיידית · חיצונית · מועד הגשה: 29.06.2026,
יועצ/ת לימודים ביחידה ללימודי חוץ,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7617,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · חיצונית · מועד הגשה: 06.07.2026,
תומכ/ת הדרכה באגף מחשוב וטכנולוגיות מידע,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7616,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · חיצונית · מועד הגשה: 06.07.2026,
מנהל/ת חשבונות לקמפוס קצרין,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7615,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · חיצונית · מועד הגשה: 06.07.2026,
Data Analyst,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7614,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · חיצונית · מועד הגשה: 06.07.2026,
רכז.ת משאבי אנוש לסגל אקדמי,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7613,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · חיצונית · מועד הגשה: 06.07.2026,
מנהל/ת אקדמי/ת לתוכנית מחוננים לנוער,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7604,admin_staff,onsite,telhai,היקף: 75% · זמינות: תחילת שנת הלימודים הבאה · חיצונית · מועד הגשה: 05.07.2026,
מנהל/ת יחידה לתקציבי מחקר,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7603,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · מועד הגשה: 05.07.2026,
ראש תחום אינטרנט,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7589,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · חיצונית · מועד הגשה: 29.06.2026,
דרוש/ה עובד/ת סוציאלי/ת לתמיכה רגשית וליווי סטודנטים,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7578,admin_staff,onsite,telhai,היקף: חצי משרה · זמינות: מיידית · חיצונית · מועד הגשה: 28.06.2026,part_time
"ראש צוות/אחמ""ש למרכז ייעוץ והכוונה",המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7577,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · חיצונית · מועד הגשה: 29.06.2026,
עובד/ת אחזקה,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7560,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · מועד הגשה: 27.07.2026,
רכז/ת בכירה בחוג לביוטכנולוגיה,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7559,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · חיצונית · מועד הגשה: 29.06.2026,
עובד.ת תפעול למכון לאומנויות,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7542,admin_staff,onsite,telhai,היקף: 75% · זמינות: מיידית · חיצונית · מועד הגשה: 29.06.2026,
כלכלן/ית מתחיל/ה,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7540,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · חיצונית · מועד הגשה: 29.06.2026,
ראש.ת מנהל אשכול פקולטה למדעי החברה והרוח,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7539,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · חיצונית · מועד הגשה: 29.06.2026,
איש/אשת סיסטם,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7538,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · חיצונית · מועד הגשה: 29.06.2026,
"יועצ/ת לימודים - החלפה לחל""ד",המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7507,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · חיצונית · מועד הגשה: 29.06.2026,maternity_cover
יועצ/ת לימודים,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7506,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · חיצונית · מועד הגשה: 29.06.2026,
רכז/ת מדור חונכויות,המכללה האקדמית תל-חי,תל-חי,2026-06-24,https://www.telhai.ac.il/position/7414,admin_staff,onsite,telhai,היקף: 100% · זמינות: מיידית · חיצונית · מועד הגשה: 29.06.2026,
