title,company,location,date,url,department,workplace_type,description
"סטודנט.ית לעבודת מיון דגימות במעבדה (משמרות לילה וסופ""ש)",המרכז הרפואי תל-אביב (איכילוב),איכילוב,2026-06-17,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=198287,"סטודנטים, נוער, אחרי צבא",onsite,"למעבדת ביוכימיה קלינית דרוש.ה סטודנט.ית לקבלה ומיון דגימות מתוך המערכת הפנאומטית
במסגרת התפקיד:
קבלה של שלוחיות (טילים) מהמחלקות השונות, פריקתן והחזרתן במערכת הפנאומטית.
מיון הדגימות שהתקבלו והעברתן ליחידת כימיה דחופה /מוקד המעבדות /חדר ספירות בהמטולוגיה/ חדר סניטרים.
דיווח על תקלות למנהל המערכת הפנאומטית.
דרישות התפקיד:
זמינות לעבודה בעיקר במשמרות לילה וסופ""ש (לפחות 3 משמרות בשבוע)
יתרת לימודים של שנה לפחות
** עבודה נוחה לסטודנטים.יות - ניתן ללמוד במהלך המשמרת בהתאם לעומס**
היקף המשרה:
משמרות לילה וסופ""ש בעיקר
זמינות ל 3 משמרות בשבוע לפחות"
מהנדס.ת מכשור רפואי למחלקת הנדסה רפואית,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-06-17,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=198281,הנדסה,onsite,"המהנדס.ת מכשור רפואי ממלא.ת תפקיד קריטי בהבטחת תפקוד תקין ובטיחותי של מגוון רחב של מכשירים רפואיים.
התפקיד מחייב היכרות בתחום ההנדסה ובפרט במכשור רפואי, יכולת פתרון בעיות ויכולת עבודה עצמאית וצוותית.
תיאור התפקיד:
ביצוע תחזוקה שוטפת ומניעתית של מכשירים רפואיים מגוונים.
איתור ותיקון תקלות במכשירים רפואיים, כולל הזמנת חלקי חילוף והתקנתם.
ביצוע טיפולים תקופתיים למכשירים רפואיים, בהתאם להנחיות היצרן.
המלצה וביצוע הסכמי שירות למכשור רפואי.
תיעוד מדויק של כל הפעולות והתיקונים ורישום המכשור .
שיתוף פעולה עם צוותי רפואיים והנדסיים אחרים, כגון רופאים, אחיות, כוח עזר וכו'
השתתפות בהתקנת מכשירים רפואיים חדשים.
מתן הדרכה לצוותים הרפואיים על השימוש הנכון במכשירים.
פיקוח על הקשר עם הספק לפי הסכמים.
ייעוץ והדרכה למשתמשים השונים
הפקת דוחות מחשב, ניתוח נתונים ( EXCEL ) ובניית מצגות ( POWER POINT ).
ביצוע משימות נוספות לפי הנחיית המנהל.
דרישות התפקיד:
תוואר ראשון בהנדסה ביו-רפואית, הנדסת חשמל, או תחום הנדסי רלוונטי אחר.
ניסיון קודם בתחום תחזוקת מכשור רפואי, רצוי בסביבת בית חולים- יתרון משמעותי
ניסיון בעבודה עם מגוון רחב של מכשירים רפואיים- יתרון
ניסיון כמהנדס/ת שירות במכשור רפואי- יתרון משמעותי
ניסיון בתחום האלקטרוניקה - יתרון
ידע וניסיון בהפעלת מחשב ושימוש בתוכנות OFFICE
ידע ומומחיות:
ידע מעמיק בתחום האלקטרוניקה, החשמל, המכניקה והמחשבים.
הבנה מעמיקה של תקנות בטיחות ותקנים רפואיים רלוונטיים - יתרון
יכולת קריאה והבנה של תרשימים חשמליים ומכניים.
שליטה בשפה האנגלית הטכנית.
היקף משרה:
משרה מלאה, א'-ה'."
דימותנ.ית רפואי.ת,המרכז הרפואי תל-אביב (איכילוב),איכילוב,2026-06-16,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=198276,רפואה ובריאות,onsite,"מערך הדימות במרכז הרפואי ת""א (איכילוב) מגייס דימותנים ודימותניות למערך הדימות לעבודה בצוות רב-מקצועי לצורך השתלבות במגוון תחומי התמחות והתפתחות מקצועית
במסגרת התפקיד:
ביצוע בדיקות דימות בהתאם לנהלי משרד הבריאות והמרכז הרפואי
הפעלת ציוד דימות וטכנולוגיות מתקדמות
הכנת מטופלים לבדיקות ומתן שירות מקצועי
השתתפות בפעילות המערך בשגרה ובחירום
דרישות התפקיד:
רישיון דימותן מטעם משרד הבריאות - חובה
עברית ברמה טובה ואנגלית לצורך קריאת חומר מקצועי
תודעת שירות ויכולת עבודה בצוות
היכרות עם מערכות מידע ממוחשבות
**פוטנציאל השתכרות גבוה ותנאים מצוינים למתאימים.ות**
אין צורך בניסיון קודם
היקף המשרה:
משרה מלאה- העבודה כוללת משמרות 24 שעות בשבוע עם גמישות תעסוקתית"
מתאמ.ת מחקר גנטי בתחום פרקינסון,המרכז הרפואי תל-אביב (איכילוב),איכילוב,2026-06-16,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=198275,"מדעים ומו""פ כללי",onsite,"המרכז להפרעות תנועה בניהול פרופ' רועי אלקלעי מחפש מתאמ.ת מחקר למחקרים גנטיים בתחום מחלת הפרקינסון.
היחידה מוכרת כמרכז מצוינות למחלת הפרקינסון מטעם ה Parkinson foundation ולאור זאת מגיעים אלינו מחקרים חדשים, מגוונים ופורצי דרך.
העבודה בסביבה נעימה, מקצועית ומלמדת המשלבת קליניקה ומחקר בשת""פ עם צוות רב תחומי מנוסה ומקצועי.
העבודה בכפיפות ישירה לפרופ' אלקלעי ובליווי צוות המחקר.
במסגרת התפקיד:
עבודת תיאום מחקר אשר כוללת:
גיוס משתתפים
החתמת מטופלים למחקר
מילוי נתונים במאגרי מידע ממוחשבים, והגשות לוועדת הלסינקי
העבודה מורכבת מתקשורת פרונטלית, טלפונית ובמיילים מול מתמודדים עם פרקינסון, חוקרים (רופאים במחלקה, בתי חולים נוספים בישראל ובחו""ל), עמותת הפרקינסון בארה""ב.
תקשורת מול מתמודדים ומתמודדות עם פרקינסון ובני משפחותיהם מהווה מרכיב מרכזי בעבודה השוטפת
דרישות התפקיד:
תואר ראשון (יתרון לתואר במדעים לרבות מדעי החיים/ ביולוגיה) - חובה
דוברי עברית ואנגלית שוטפת (דיבור קריאה וכתיבה בשתי השפות) - חובה
היכרות עם תוכנות וורד, POWERPOINT ואקסל- חובה
תעודת GCP ורישיון ללקיחת דמים- יתרון
ניסיון רלוונטי קודם - יתרון
יכולת עבודה בצוות, יכולת לתקשר עם חולים ובני משפחה
רצינות ואחריות עם יכולת ניהול זמנים ועמידה בתנאי לחץ
היקף המשרה-
מלאה, בימים א-ה
שעות עבודה: 08:00-16:00
*** ייתכנו שיחות וועידה עם גורמים בארה""ב בשעות אחה""צ מאוחרות***"
מפתח.ת Full Stack מנוסה ב NET / .NET Core / React,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-06-16,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=198273,"תשתית, מערכות מידע ואבטחת מידע- IT",onsite,"אגף מערכות מידע מגייס מפתח.ת Full Stack עם ניסיון של 3 שנים, להצטרפות לצוות פיתוח במחלקת הדיגיטל האחראי על פיתוח, תחזוקה ושדרוג של מערכות Web ארגוניות.
תיאור תפקיד:
פיתוח מערכות Web מקצה לקצה בסביבת Full Stack עבור מערכות פנים ארגוניות קריטיות בעולמות הרפואה והמטופלים
חשיפה למערכות מורכבות, ממשקים ותהליכים ארגוניים משמעותיים
הזדמנות לצמיחה מקצועית ולהשתלבות בפרויקטים טכנולוגיים מתקדמים, טכנולוגיות חדשות ו AI.
ניתוח דרישות עסקיות וטכניות ותרגומן לפתרונות תוכנה
עבודה בצמוד למנהלי מערכות, משתמשים עסקיים וצוותים טכנולוגיים נוספים
דרישות התפקיד:
ניסיון של 3 שנים בארגון בפיתוח Full Stack - חובה.
ניסיון מוכח בפיתוח מערכות Web בטכנולוגיות .NET / .NET Core - חובה.
ניסיון בפיתוח Frontend באמצעות React - חובה.
ניסיון בעבודה עם DATA BASE- חובה.
הבנה טובה בארכיטקטורת מערכות Web - חובה.
ניסיון בעבודה עם מערכות קיימות ותחזוקת קוד - חובה.
ניסיון בעבודה עם שירותי AWS, בדגש על Amazon S3 ו־AWS Lambda - יתרון.
ניסיון בפיתוח ב־Node.js או Python - יתרון.
ניסיון בבניית AI Agents או שילוב יכולות AI במערכות ארגוניות - יתרון.
היקף משרה:
משרה מלאה, א'-ה'."
רכז.ת אדמיניסטרציה למעבדת גנטיקה,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-06-16,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=198252,אדמינסטרציה,onsite,"תיאור תפקיד:
ניהול אדמיניסטרטיבי ותפעולי שוטף של המעבדה.
ניהול הזמנות, הצעות מחיר, מעקב אחרי מלאי ועבודה מול ספקים.
קבלת דגימות במערכת מעקב דגימות, הקמת תיקיום מטופלים בהתאם להנחיות הצוות הבכיר.
הפצת תשובות והעברת נתונים לגורמים פנימיים וחיצוניים, בהתאם להנחיות מקצועיות.
טיפול בקריאות, תלונות ופניות שוטפות.
ביצוע משימות נוספות בהתאם לצורכי המעבדה ולהנחיות מנהל.ת המעבדה.
דרישות:
תואר ראשון- יתרון משמעותי
ידע בעבודת מעבדה / ניסיון של שנה בעבודה מעבדה - יתרון
תעודת הכרה במעמד של עובד.ת מעבדה רפואי.ת - יתרון
אנגלית ברמה טובה - לרמה הבנה וקריאה
רמת דיוק גבוהה, תשומת לב לפרטים, יכולת לעבוד במקביל ועמידה בלחצים, יחסי אנוש מעולים ויכולת הנעה ורתימה, עבודת צוות, סבלנות והתנהלות בכבוד
היקף משרה:
50% משרה, ימים א'-ה', גמיש"
רוקח.ת בית מרקחת למחקרים קליניים,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-06-15,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=198263,"מדעים ומו""פ כללי",onsite,"תיאור תפקיד:
עבודה תוך עמידה בדרישות רגולטוריות בתחום הניסויים בבני אדם
מתן מענה מקצועי לחוקרים בתחום התרופות והרוקחות
הכנה ואספקת תרופות/הכנות רוקחיות לכלל המטופלים במסגרת המחקרים
עבודה בצוות
ייעוץ מקצועי בתחום לרופאים, צוות סיעודי, רוקחים ומטופלים
ניהול תיקי מסמכים ונתונים כמתחייב בנהלי משרד הבריאות
ניהול מלאי תרופות, הזמנות מספקים וכל ההיבטים הלוגיסטיים בתחום מחקרים קליניים בתכשירים רפואיים
כפיפות לרוקחת אחראית מחקרים קליניים
ביצוע משימות נוספות בהתאם לדרישות הממונה - מנהל בית המרקחת
דרישות התפקיד:
תואר ראשון ברוקחות עם רישיון לעסוק ברוקחות בישראל.
נכונות לעבודה מאומצת ושעות נוספות ע""פ הצורך הארגוני.
מגורים באזור המרכז עם יכולת יגעה לבית החולים תוך שעה ככל היותר.
תודעת שירות גבוהה ויכולת עבודה בצוות אל מול ריבוי לקוחות ומשימות.
שליטה טובה מאוד באנגלית : קריאה , כתיבה וניהול שיחה.
היקף משרה:
משרה מלאה, א'-ה', שעות עבודה 07:30-15:45.
ימי שישי ע""פ הצורך."
עובד.ת סוציאלי.ת קליני.ת למחלקה הפסיכיאטרית האשפוזית הפתוחה למשרה של 50%,המרכז הרפואי תל-אביב (איכילוב),איכילוב,2026-06-13,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=198239,"עבודה סוציאלית, שירותי רווחה וייעוץ",onsite,"המערך הפסיכיאטרי במרכז הרפואי ת""א (איכילוב) מגייס עובד.ת סוציאלי.ת קליני.ת למחלקה הפסיכיאטרית האשפוזית הפתוחה למשרה של 50%
במסגרת התפקיד:
התמודדות עם מקרים מורכבים במצב אקוטי, מטופלים המתמודדים עם בעיות נפשיות, גופניות ונוירולוגיות.
עיסוק בפסיכותרפיה ושיקום
עבודה של מיצוי זכויות מול ביטוח לאומי, ניהול ועדות סל שיקום, ליווי והדרכת קבוצת סטודנטים.
עבודה עם מטופלים ומשפחותיהם
מציאת מענים יצירתיים בקהילה ושמירה על רצף טיפולי
דרישות התפקיד:
עובד.ת סוציאלי.ת קליני.ת בעל.ת תואר שני- חובה בעל.ת נסיון ובגרות
בוגר.ת בית ספר לפסיכותרפיה- יתרון
⁠בעל.ת יכולת לעבודה בצוות רב מקצועי - פסיכיאטרים, פסיכולוגים, מרפאים בעיסוק.
אוריינטציה דינמית - עבודה עם מטופלים פרטניים, התערבויות משפחתיות וזוגיות, טיפול קבוצתי.
היקף המשרה: 50%"
אח.ות מוסמכ.ת - כירורגיה פלסטית,המרכז הרפואי תל-אביב (איכילוב),איכילוב,2026-06-13,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=198238,רפואה ובריאות,onsite,"המחלה לכירורגיה פלסטית מגייסת אחו.ת מוסמכ.ת
במסגרת התפקיד:
טיפול במטופלים ומטופלות במחלקה לכירורגיה פלסטית
טיפול במטופלים ומטופלות ביחידת כוויות
עבודה בצוות רב מקצועי
מתן מענה איכותי ומקצועי למטופלים ומטופלות ולבני משפחותיהם
דרישות התפקיד:
אח.ות מוסמכ.ת בעל.ת רישיון בתוקף
ניסיון קליני רלבנטי - יתרון
בעל.ת הכשרה על בסיסית בטיפול נמרץ משולב - יתרון משמעותי
מקצועיות, אחריות אישית גבוהה, יכולת עבודה בתנאי לחץ ויחסי אנוש מצוינים
היקף המשרה:
משרה מלאה א-ה"
"רכז.ת תפעול למו""פ",המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-06-13,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=198159,גיוס משאבים,onsite,"יחידת תפעול המו״פ בתאגיד הבריאות של בית החולים איכילוב מגייסת רכז/ת תפעול לתפקיד רוחבי, שכולל ריכוז, תיאום ומעקב אחר תהליכים אדמיניסטרטיביים ותפעוליים לאורך מחזור חיי המחקר
תחומי אחריות עיקריים:
ריכוז ומעקב אחר תהליכים תפעוליים לאורך מחזור חיי המחקר - מהגשה, דרך פתיחה וחתימת חוזים, ועד סגירה כספית ומדעית
תיאום שוטף בין צוותי הגראנטים, הכספים, הרכש וההתקשרויות
ליווי החוקרים בניווט בתוך המערכת, עם דגש על ההיבטים התפעוליים והכספיים
בניית תמונת מצב שוטפת של משימות ותהליכים, והצפת עיכובים וחסמים לגורמים הרלוונטיים
תיווך בין צרכי החוקרים לבין דרישות המערכת וצוותי התמיכה
סיוע בשיפור תהליכי עבודה, הפחתת חיכוכים וקידום אחידות נהלים בין היחידות
דרישות התפקיד:
ניסיון בתפקידים אדמיניסטרטיביים, תפעוליים או שירותיים בארגון מורכב
ניסיון בעבודה מרובת ממשקים והנעת גורמים ללא סמכות פורמלית
יכולת גבוהה לסדר, ארגון, מעקב ובקרה אחר משימות ותהליכים
תקשורת בין-אישית טובה ויכולת עבודה מול גורמים מגוונים
יכולת לנהל מספר משימות במקביל ולעקוב אחר ביצוען עד להשלמה
יתרון: היכרות עם עולמות המו""פ, מחקרים, מענקים, כספים, רכש או מערכת הבריאות"
