title,company,location,date,url,department,workplace_type,position_type
מתכנת.ת מחשבים בענף יישומים באגף טכנולוגיות מידע,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64020,,,
מפעיל/ת מערכות מיזוג אוויר בחדר בקרה - 24/7,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/63947,,,
מוביל.ה בצוות הובלות באגף תפעול,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64283,,,
סטודנט.ית- רכז.ת מאגרי מידע בתחום דוברות ויחסי ציבור למכון ויצמן למדע,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/63903,,,
רכז.ת נסיעות באגף הכספים,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64243,,,
מנהל.ת פרוייקטים טכנו-פדגוגיים,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64022,,,
קניינ.ית רכש,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/63765,,,
עוזר.ת מחקר במחלקה למדעים ביומולקולריים,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/63962,,,
עובד.ת מעבדה במחלקה למדעי המוח,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/63861,,,
חוקר.ת חישובי למחלקה לגנטיקה מולקולרית,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/63481,,,
סדרני.ת,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64288,,,
מדענ.ית סגל,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/1003,,,
עוזר.ת מחקר במחלקה לתשתיות מחקר מדעי החיים,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64069,,,
ביוכימאי.ת,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/1002,,,
מנהל.ת פרוייקטים בתחום אינסטלציה וגזים באגף בינוי והנדסה,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64115,,,
עוזר.ת מחקר במחלקה לביולוגיה מולקולרית של התא,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64289,,,
רכז.ת אדמיניסטרטיבי.ת במחלקה לתקשורת ודוברות,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64142,,,
מנהל.ת פרויקטי תוכנה באגף טכנולוגיות מידע,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64147,,,
"מנהל.ת חשבונות – צוות ספקים, אגף כספים",מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64156,,,
עובד.ת מעבדה  בקבוצת המחקר גנאים - לניהול מעבדה,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/1007,,,
עובד.ת משק לקאנטרי קלאב במתחם מכון ויצמן ברחובות,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/1009,,,
סטודנט.ית מנהל.ת חשבונות- משרה זמנית לחצי שנה,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64164,,,
"ראש.ת ענף שכר, פנסיה וביטוחים",מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64187,,,
רכז.ת מעונות בתחום דיור ושירותי קהילה באגף תפעול,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64186,,,
מנהל.ת רשת Windows,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64195,,,
רכז.ת תגמול והטבות,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64207,,,
מדענ.ית סגל למעבדת ההטרוגניות בסרטן,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/1010,,,
רכז.ת תקשורת בורד,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64228,,,
רכז.ת אדמיניסטרטיבי.ת למנהלת התרבות (50% משרה),מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64222,,,
מומחה/ית לביואינפורמטיקה למחקר רב־מערכתי בצמחי מודל,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64231,,,
ממונה/ת בטיחות כימיה וגהות תעסוקתית,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64232,,,
עובד.ת מעבדה במחלקה למדעי כדור הארץ וכוכבי הלכת,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64240,,,
טכנאי.ת קירור,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64236,,,
ראש.ת צוות בתחום בתי המלאכה,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64237,,,
רכז.ת אדמינ' לסיוע שוטף בתחומי צילומים/תמונות ועוד-תפקיד זמני לחצי שנה,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64239,,,
רכז.ת אדמניסטרטיבי.ת (50% משרה) למחלקה מדעית,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64219,,,
מנהל רצפת ייצור בענף טכנולוגיות ייצור במחלקה לתשתיות מחקר פיזיקה,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64206,,,
עובד/ת סוציאלי/ת  לבית הספר למחקר,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64252,,,
ראש ענף יישומים באגף טכנולוגיות מידע,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64256,,,
מנהל.ת פרויקטים בכיר.ה,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64259,,,
מנהל/ת ומזכיר/ה אקדמי/ת של בית הספר למחקר (בית הספר לתארים מתקדמים),מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64254,,,
"ראש.ת תחום בקרת שכר, נוכחות ואנליזה",מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64262,,,
מנהל.ת חשבונות- צוות תשלומים,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64258,,,
ממונה.ת בטיחות באגף בינוי והנדסה,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64265,,,
"עובד.ת מעבדה במחלקה לתשתיות מחקר מדעי החיים (החלפה לחל""ד)",מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64269,,,maternity_cover
מהנדס.ת תהליכים במחלקה לתשתיות למחקר כימי,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64275,,,
רכז.ת תקציבים בתחום PMO שליטה ובקרה בענף תקציבים והתקשרויות באגף בינוי והנדסה,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64277,,,
רכז.ת מיצוי זכויות,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64281,,,
אנליסט.ית ביואינפורמטיקאי במחלקה לתשתיות מחקר מדעי החיים,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64286,,,
נציג.ת תמיכה ב-HELP DESK,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64282,,,
איש.אשת DevOps Linux,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64285,,,
רכז.ת אדמיניסטרטיבי.ת בוועד הגימלאים,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64276,,,
סטודנט.ית ללשכת הנשיא - לסיוע בעריכה ובקרת איכות של תמלולי ראיונות (זמני לשנה),מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64298,,,
סטודנט.ית - עובד.ת כללי.ת בתחום רשתות חברתיות,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64300,,,
מהנדס.ת תקשורת לאגף טכנולוגיות מידע,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64303,,,
עובד.ת מעבדה במחלקה לתשתיות מחקר מדעי החיים,מכון ויצמן למדע,רחובות,2026-06-02,https://www.weizmann.ac.il/career/jobs/64301,,,
